Date,Open,High,Low,Close,Volume,Adj Close
2015-01-22,0.32,0.44,0.305,0.42,12625000,0.42
2015-01-23,0.51,0.92,0.50,0.78,33712600,0.78
2015-01-26,0.78,0.78,0.78,0.78,000,0.78
2015-01-27,0.805,0.91,0.60,0.63,11873500,0.63
2015-01-28,0.60,0.61,0.47,0.515,9137800,0.515
2015-01-29,0.49,0.63,0.485,0.545,9028300,0.545
2015-01-30,0.565,0.58,0.475,0.475,3970600,0.475
2015-02-02,0.445,0.50,0.405,0.42,4143000,0.42
2015-02-03,0.44,0.445,0.33,0.355,6460300,0.355
2015-02-04,0.37,0.40,0.35,0.37,3612600,0.37
2015-02-05,0.37,0.375,0.325,0.325,1621800,0.325
2015-02-06,0.35,0.35,0.28,0.29,3788300,0.29
2015-02-09,0.29,0.295,0.255,0.285,3676500,0.285
2015-02-10,0.285,0.335,0.275,0.305,4064100,0.305
2015-02-11,0.32,0.355,0.315,0.345,3189200,0.345
2015-02-12,0.365,0.39,0.355,0.39,3271400,0.39
2015-02-13,0.415,0.43,0.39,0.39,3548200,0.39
2015-02-16,0.40,0.42,0.35,0.365,1963500,0.365
2015-02-17,0.365,0.38,0.35,0.36,878300,0.36
2015-02-18,0.365,0.365,0.325,0.35,1066200,0.35
2015-02-19,0.36,0.385,0.35,0.37,1164900,0.37
2015-02-20,0.37,0.38,0.365,0.375,535800,0.375
2015-02-23,0.375,0.375,0.35,0.355,448000,0.355
2015-02-24,0.36,0.365,0.32,0.32,618900,0.32
2015-02-25,0.325,0.335,0.315,0.315,515200,0.315
2015-02-26,0.32,0.33,0.315,0.33,646900,0.33
2015-02-27,0.33,0.34,0.325,0.335,532300,0.335
2015-03-02,0.375,0.38,0.34,0.35,1707200,0.35
2015-03-03,0.355,0.36,0.335,0.335,509700,0.335
2015-03-04,0.335,0.35,0.33,0.33,223200,0.33
2015-03-05,0.33,0.345,0.33,0.345,151400,0.345
2015-03-06,0.345,0.345,0.33,0.33,92500,0.33
2015-03-09,0.33,0.335,0.31,0.31,459800,0.31
2015-03-10,0.31,0.32,0.305,0.31,147800,0.31
2015-03-11,0.31,0.325,0.31,0.32,475400,0.32
2015-03-12,0.32,0.34,0.32,0.34,280500,0.34
2015-03-13,0.345,0.345,0.32,0.345,61000,0.345
2015-03-16,0.34,0.34,0.315,0.33,118600,0.33
2015-03-17,0.33,0.33,0.315,0.325,152200,0.325
2015-03-18,0.32,0.32,0.30,0.305,523900,0.305
2015-03-19,0.31,0.31,0.30,0.305,660800,0.305
2015-03-20,0.305,0.305,0.305,0.305,000,0.305
2015-03-23,0.305,0.305,0.305,0.305,000,0.305
2015-03-24,0.42,0.46,0.34,0.34,5393400,0.34
2015-03-25,0.345,0.345,0.315,0.325,619000,0.325
2015-03-26,0.33,0.335,0.32,0.32,244400,0.32
2015-03-27,0.32,0.32,0.31,0.32,90500,0.32
2015-03-30,0.32,0.335,0.31,0.32,310400,0.32
2015-03-31,0.32,0.33,0.31,0.315,324400,0.315
2015-04-01,0.33,0.33,0.315,0.315,223300,0.315
2015-04-02,0.315,0.32,0.31,0.31,561200,0.31
2015-04-03,0.31,0.31,0.31,0.31,000,0.31
2015-04-06,0.31,0.31,0.31,0.31,000,0.31
2015-04-07,0.31,0.31,0.31,0.31,000,0.31
2015-04-08,0.31,0.31,0.31,0.31,000,0.31
2015-04-09,0.34,0.34,0.315,0.32,481300,0.32
2015-04-10,0.325,0.325,0.32,0.32,98200,0.32
2015-04-13,0.325,0.325,0.31,0.31,391200,0.31
2015-04-14,0.315,0.315,0.295,0.295,839700,0.295
2015-04-15,0.30,0.31,0.295,0.30,134900,0.30
2015-04-16,0.305,0.305,0.295,0.30,137800,0.30
2015-04-17,0.30,0.315,0.30,0.31,155000,0.31
2015-04-20,0.33,0.38,0.33,0.35,3045600,0.35
2015-04-21,0.355,0.355,0.32,0.335,712000,0.335
