Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.65,0.65,0.65,0.65,000,0.65
2015-01-02,0.66,0.72,0.65,0.71,1084700,0.71
2015-01-05,0.695,0.755,0.675,0.74,1454100,0.74
2015-01-06,0.72,0.785,0.72,0.765,1129000,0.765
2015-01-07,0.80,0.80,0.75,0.765,1224900,0.765
2015-01-08,0.77,0.79,0.75,0.76,812300,0.76
2015-01-09,0.76,0.80,0.735,0.795,998600,0.795
2015-01-12,0.82,0.86,0.81,0.82,1866400,0.82
2015-01-13,0.84,0.875,0.825,0.855,1255100,0.855
2015-01-14,0.845,0.85,0.81,0.82,995600,0.82
2015-01-15,0.83,0.83,0.725,0.805,3390800,0.805
2015-01-16,0.85,0.8875,0.83,0.85,2327000,0.85
2015-01-19,0.88,0.885,0.835,0.86,1563900,0.86
2015-01-20,0.87,0.87,0.845,0.855,570600,0.855
2015-01-21,0.895,0.94,0.87,0.897,2226000,0.897
2015-01-22,0.89,0.89,0.83,0.835,1329900,0.835
2015-01-23,0.855,0.86,0.835,0.85,538500,0.85
2015-01-26,0.85,0.85,0.85,0.85,000,0.85
2015-01-27,0.825,0.83,0.76,0.785,1385100,0.785
2015-01-28,0.80,0.875,0.795,0.865,1151400,0.865
2015-01-29,0.825,0.86,0.805,0.855,825000,0.855
2015-01-30,0.81,0.83,0.78,0.825,1459000,0.825
2015-02-02,0.84,0.885,0.835,0.875,1213500,0.875
2015-02-03,0.86,0.88,0.85,0.87,1189600,0.87
2015-02-04,0.88,0.88,0.835,0.86,841200,0.86
2015-02-05,0.87,0.87,0.835,0.85,2083700,0.85
2015-02-06,0.855,0.855,0.835,0.845,787700,0.845
2015-02-09,0.82,0.835,0.79,0.83,1369300,0.83
2015-02-10,0.82,0.855,0.81,0.845,1622200,0.845
2015-02-11,0.835,0.855,0.825,0.85,600900,0.85
2015-02-12,0.82,0.855,0.82,0.855,688500,0.855
2015-02-13,0.85,0.895,0.84,0.88,1915300,0.88
2015-02-16,0.89,0.92,0.885,0.895,1264700,0.895
2015-02-17,0.895,0.905,0.88,0.895,557800,0.895
2015-02-18,0.865,0.875,0.845,0.85,394100,0.85
2015-02-19,0.865,0.90,0.855,0.89,847000,0.89
2015-02-20,0.885,0.90,0.835,0.85,662600,0.85
2015-02-23,0.86,0.89,0.855,0.89,702000,0.89
2015-02-24,0.87,0.88,0.86,0.86,594000,0.86
2015-02-25,0.89,0.89,0.855,0.88,512700,0.88
2015-02-26,0.88,0.90,0.87,0.90,1009600,0.90
2015-02-27,0.91,0.98,0.90,0.98,2010400,0.98
2015-03-02,0.99,1.095,0.99,1.08,3663300,1.08
2015-03-03,1.055,1.055,0.995,1.015,2105700,1.015
2015-03-04,1.015,1.02,0.955,0.96,1543800,0.96
2015-03-05,1.00,1.025,0.98,1.015,1051300,1.015
2015-03-06,1.02,1.02,0.96,0.99,1160900,0.99
2015-03-09,0.93,0.97,0.915,0.94,1322600,0.94
2015-03-10,0.925,0.935,0.85,0.86,1701100,0.86
2015-03-11,0.85,0.855,0.817,0.84,934400,0.84
2015-03-12,0.84,0.855,0.81,0.83,992000,0.83
2015-03-13,0.825,0.832,0.78,0.80,1247700,0.80
2015-03-16,0.80,0.835,0.80,0.815,1023800,0.815
2015-03-17,0.835,0.835,0.805,0.81,800900,0.81
2015-03-18,0.82,0.835,0.805,0.81,911600,0.81
2015-03-19,0.85,0.87,0.83,0.84,905400,0.84
2015-03-20,0.835,0.85,0.82,0.82,2932500,0.82
2015-03-23,0.855,0.87,0.85,0.855,1815800,0.855
2015-03-24,0.875,0.95,0.86,0.95,2373200,0.95
2015-03-25,0.97,0.98,0.925,0.93,2004000,0.93
2015-03-26,0.94,0.96,0.92,0.96,971200,0.96
2015-03-27,0.95,0.95,0.89,0.90,869100,0.90
2015-03-30,0.91,0.91,0.86,0.885,941700,0.885
2015-03-31,0.88,0.95,0.865,0.95,1956200,0.95
2015-04-01,0.90,0.945,0.90,0.925,979000,0.925
2015-04-02,0.94,0.97,0.94,0.96,1296900,0.96
2015-04-03,0.96,0.96,0.96,0.96,000,0.96
2015-04-06,0.96,0.96,0.96,0.96,000,0.96
2015-04-07,0.95,1.00,0.945,0.98,1550500,0.98
2015-04-08,0.975,0.98,0.95,0.98,488600,0.98
2015-04-09,0.96,0.965,0.935,0.945,382900,0.945
2015-04-10,0.94,0.94,0.92,0.93,353300,0.93
2015-04-13,0.945,0.98,0.94,0.95,316700,0.95
2015-04-14,0.925,0.96,0.915,0.935,359000,0.935
2015-04-15,0.915,0.95,0.91,0.925,352400,0.925
2015-04-16,0.93,0.945,0.905,0.91,811700,0.91
2015-04-17,0.94,0.94,0.895,0.895,617000,0.895
2015-04-20,0.895,0.925,0.895,0.90,428900,0.90
2015-04-21,0.92,0.92,0.89,0.895,576600,0.895
2015-04-22,0.895,0.92,0.895,0.92,554700,0.92
2015-04-23,0.905,0.905,0.885,0.89,486400,0.89
2015-04-24,0.90,0.90,0.885,0.89,521900,0.89
2015-04-27,0.88,0.88,0.85,0.865,875600,0.865
2015-04-28,0.87,0.915,0.87,0.89,1087000,0.89
2015-04-29,0.915,0.925,0.895,0.925,788600,0.925
2015-04-30,0.915,0.935,0.895,0.925,658800,0.925
2015-05-01,0.88,0.915,0.875,0.905,402400,0.905
2015-05-04,0.885,0.94,0.885,0.94,447600,0.94
2015-05-05,0.95,0.965,0.94,0.94,588400,0.94
2015-05-06,0.925,0.975,0.925,0.975,762500,0.975
2015-05-07,0.96,0.98,0.935,0.98,470200,0.98
2015-05-08,0.97,1.042,0.965,1.005,1000600,1.005
2015-05-11,1.02,1.025,0.99,1.00,986200,1.00
2015-05-12,1.01,1.01,0.965,1.00,418900,1.00
2015-05-13,0.98,0.995,0.96,0.96,385400,0.96
2015-05-14,1.00,1.0125,0.99,1.00,1637400,1.00
2015-05-15,1.00,1.02,0.982,1.00,1566400,1.00
2015-05-18,1.01,1.02,1.005,1.02,398300,1.02
2015-05-19,1.02,1.02,0.97,0.985,403700,0.985
2015-05-20,0.955,0.975,0.945,0.96,744700,0.96
2015-05-21,0.985,0.985,0.955,0.975,249000,0.975
2015-05-22,0.972,1.00,0.965,1.00,486500,1.00
2015-05-25,0.98,1.015,0.98,1.005,216500,1.005
2015-05-26,0.99,1.015,0.99,1.015,295900,1.015
2015-05-27,0.99,1.005,0.98,0.995,386900,0.995
2015-05-28,0.985,0.99,0.93,0.945,891600,0.945
2015-05-29,0.965,0.97,0.945,0.955,381800,0.955
2015-06-01,0.955,0.97,0.935,0.935,503500,0.935
2015-06-02,0.935,0.96,0.935,0.95,330200,0.95
2015-06-03,0.94,0.96,0.915,0.92,346600,0.92
2015-06-04,0.93,0.935,0.865,0.865,648900,0.865
2015-06-05,0.87,0.89,0.865,0.87,519200,0.87
2015-06-08,0.87,0.87,0.87,0.87,000,0.87
2015-06-09,0.895,0.915,0.88,0.895,328400,0.895
2015-06-10,0.885,0.925,0.88,0.895,317400,0.895
2015-06-11,0.90,0.915,0.88,0.88,236300,0.88
2015-06-12,0.88,0.915,0.88,0.90,341000,0.90
2015-06-15,0.90,0.90,0.84,0.84,687900,0.84
2015-06-16,0.845,0.87,0.84,0.85,266200,0.85
2015-06-17,0.86,0.875,0.835,0.84,439300,0.84
2015-06-18,0.85,0.865,0.84,0.865,367500,0.865
2015-06-19,0.85,0.86,0.81,0.84,2290200,0.84
2015-06-22,0.825,0.865,0.82,0.865,450500,0.865
2015-06-23,0.855,0.89,0.85,0.875,665900,0.875
2015-06-24,0.87,0.875,0.84,0.85,673800,0.85
2015-06-25,0.85,0.885,0.85,0.87,317000,0.87
2015-06-26,0.86,0.88,0.86,0.865,338300,0.865
2015-06-29,0.86,0.875,0.835,0.845,435900,0.845
2015-06-30,0.85,0.85,0.825,0.835,495100,0.835
2015-07-01,0.84,0.85,0.83,0.84,263300,0.84
2015-07-02,0.83,0.84,0.79,0.815,562500,0.815
2015-07-03,0.81,0.82,0.80,0.81,285600,0.81
2015-07-06,0.815,0.835,0.80,0.815,267600,0.815
2015-07-07,0.82,0.825,0.805,0.805,235800,0.805
2015-07-08,0.795,0.815,0.775,0.81,258300,0.81
2015-07-09,0.78,0.80,0.775,0.775,335200,0.775
2015-07-10,0.78,0.795,0.76,0.79,374400,0.79
2015-07-13,0.77,0.8075,0.77,0.785,227500,0.785
2015-07-14,0.78,0.835,0.78,0.835,388800,0.835
2015-07-15,0.825,0.835,0.81,0.81,147100,0.81
2015-07-16,0.80,0.845,0.797,0.81,362600,0.81
2015-07-17,0.815,0.865,0.815,0.84,490300,0.84
2015-07-20,0.825,0.827,0.72,0.735,1286600,0.735
2015-07-21,0.72,0.73,0.66,0.71,2602000,0.71
2015-07-22,0.695,0.715,0.67,0.67,1188700,0.67
2015-07-23,0.655,0.67,0.65,0.67,606100,0.67
2015-07-24,0.66,0.66,0.59,0.645,1003000,0.645
2015-07-27,0.655,0.665,0.60,0.625,967200,0.625
2015-07-28,0.62,0.63,0.565,0.57,1042600,0.57
2015-07-29,0.575,0.58,0.555,0.575,432200,0.575
2015-07-30,0.575,0.60,0.565,0.57,661200,0.57
2015-07-31,0.57,0.57,0.535,0.55,644800,0.55
2015-08-03,0.55,0.565,0.54,0.56,188500,0.56
2015-08-04,0.55,0.555,0.50,0.50,1035000,0.50
2015-08-05,0.53,0.53,0.51,0.51,278400,0.51
2015-08-06,0.53,0.535,0.51,0.51,370700,0.51
2015-08-07,0.51,0.525,0.495,0.50,626500,0.50
2015-08-10,0.50,0.525,0.50,0.52,420500,0.52
2015-08-11,0.53,0.54,0.50,0.50,721300,0.50
2015-08-12,0.525,0.525,0.505,0.515,702300,0.515
2015-08-13,0.53,0.545,0.525,0.545,1851800,0.545
2015-08-14,0.545,0.545,0.525,0.54,279100,0.54
2015-08-17,0.53,0.545,0.515,0.54,439300,0.54
2015-08-18,0.545,0.545,0.53,0.54,219000,0.54
2015-08-19,0.54,0.54,0.51,0.52,327400,0.52
2015-08-20,0.54,0.55,0.535,0.54,825800,0.54
2015-08-21,0.56,0.59,0.55,0.56,1164900,0.56
2015-08-24,0.57,0.57,0.525,0.54,832900,0.54
2015-08-25,0.54,0.54,0.51,0.51,839600,0.51
2015-08-26,0.515,0.525,0.485,0.495,562200,0.495
2015-08-27,0.48,0.507,0.45,0.475,822600,0.475
2015-08-28,0.465,0.51,0.465,0.50,357900,0.50
2015-08-31,0.50,0.53,0.485,0.485,687000,0.485
2015-09-01,0.49,0.50,0.485,0.485,610400,0.485
2015-09-02,0.49,0.495,0.45,0.45,1216700,0.45
2015-09-03,0.45,0.45,0.39,0.41,2069000,0.41
2015-09-04,0.43,0.435,0.415,0.42,1932300,0.42
2015-09-07,0.44,0.445,0.425,0.445,12102200,0.445
2015-09-08,0.445,0.462,0.435,0.46,532300,0.46
2015-09-09,0.485,0.49,0.46,0.485,953100,0.485
2015-09-10,0.47,0.485,0.445,0.455,568200,0.455
2015-09-11,0.475,0.475,0.42,0.42,1186200,0.42
2015-09-14,0.43,0.44,0.375,0.41,3222100,0.41
2015-09-15,0.405,0.42,0.38,0.38,1415000,0.38
2015-09-16,0.395,0.405,0.38,0.38,1309500,0.38
2015-09-17,0.405,0.405,0.385,0.385,1310000,0.385
2015-09-18,0.405,0.41,0.37,0.37,15770300,0.37
2015-09-21,0.40,0.40,0.38,0.385,1791200,0.385
2015-09-22,0.40,0.41,0.395,0.395,1943300,0.395
2015-09-23,0.39,0.40,0.36,0.365,2700400,0.365
2015-09-24,0.365,0.38,0.355,0.365,897000,0.365
2015-09-25,0.40,0.40,0.38,0.38,664800,0.38
2015-09-28,0.385,0.415,0.38,0.415,576700,0.415
2015-09-29,0.39,0.41,0.38,0.385,605300,0.385
2015-09-30,0.39,0.40,0.38,0.38,389700,0.38
2015-10-01,0.385,0.39,0.372,0.38,639600,0.38
2015-10-02,0.38,0.40,0.37,0.39,635200,0.39
2015-10-05,0.395,0.43,0.395,0.43,745900,0.43
2015-10-06,0.445,0.475,0.44,0.455,760900,0.455
2015-10-07,0.475,0.51,0.47,0.51,1505300,0.51
2015-10-08,0.54,0.55,0.50,0.53,1194400,0.53
2015-10-09,0.52,0.54,0.515,0.535,841000,0.535
2015-10-12,0.56,0.645,0.555,0.62,1344800,0.62
2015-10-13,0.63,0.637,0.57,0.585,817700,0.585
2015-10-14,0.61,0.625,0.575,0.575,1205100,0.575
2015-10-15,0.615,0.63,0.585,0.60,988100,0.60
2015-10-16,0.605,0.62,0.59,0.61,12176800,0.61
2015-10-19,0.61,0.615,0.58,0.585,215900,0.585
2015-10-20,0.59,0.602,0.55,0.56,1109500,0.56
2015-10-21,0.565,0.585,0.565,0.585,337100,0.585
2015-10-22,0.555,0.57,0.555,0.565,381900,0.565
2015-10-23,0.565,0.585,0.565,0.575,258000,0.575
2015-10-26,0.565,0.58,0.565,0.565,125600,0.565
2015-10-27,0.565,0.60,0.56,0.60,739200,0.60
2015-10-28,0.595,0.60,0.565,0.58,603800,0.58
2015-10-29,0.57,0.585,0.56,0.585,755200,0.585
2015-10-30,0.58,0.585,0.555,0.565,887400,0.565
2015-11-02,0.565,0.565,0.51,0.52,973900,0.52
2015-11-03,0.535,0.535,0.495,0.51,790400,0.51
2015-11-04,0.51,0.517,0.49,0.51,923600,0.51
2015-11-05,0.50,0.5025,0.47,0.47,975300,0.47
2015-11-06,0.48,0.49,0.475,0.485,438900,0.485
2015-11-09,0.47,0.48,0.45,0.465,395000,0.465
2015-11-10,0.47,0.47,0.445,0.455,1846700,0.455
2015-11-11,0.46,0.467,0.45,0.46,735300,0.46
2015-11-12,0.475,0.475,0.46,0.475,606200,0.475
2015-11-13,0.46,0.485,0.46,0.465,1119300,0.465
2015-11-16,0.475,0.48,0.445,0.45,412400,0.45
2015-11-17,0.455,0.46,0.435,0.44,459800,0.44
2015-11-18,0.43,0.43,0.41,0.43,679100,0.43
2015-11-19,0.44,0.44,0.415,0.415,801400,0.415
2015-11-20,0.42,0.425,0.40,0.40,873000,0.40
2015-11-23,0.40,0.405,0.39,0.40,562200,0.40
2015-11-24,0.40,0.41,0.39,0.39,416800,0.39
2015-11-25,0.405,0.405,0.375,0.40,1574400,0.40
2015-11-26,0.40,0.405,0.38,0.38,375900,0.38
2015-11-27,0.395,0.40,0.38,0.38,289400,0.38
2015-11-30,0.39,0.39,0.375,0.375,524800,0.375
2015-12-01,0.375,0.39,0.365,0.365,750800,0.365
2015-12-02,0.365,0.38,0.355,0.355,985600,0.355
2015-12-03,0.35,0.3675,0.35,0.365,348200,0.365
2015-12-04,0.365,0.37,0.355,0.36,471900,0.36
2015-12-07,0.385,0.39,0.375,0.375,597400,0.375
2015-12-08,0.37,0.37,0.35,0.355,755500,0.355
2015-12-09,0.36,0.365,0.35,0.35,451800,0.35
2015-12-10,0.37,0.37,0.35,0.355,211300,0.355
2015-12-11,0.365,0.365,0.35,0.355,222600,0.355
2015-12-14,0.36,0.37,0.36,0.37,199600,0.37
2015-12-15,0.36,0.365,0.35,0.355,574000,0.355
2015-12-16,0.365,0.365,0.355,0.36,12954000,0.36
2015-12-17,0.36,0.37,0.355,0.355,488100,0.355
2015-12-18,0.35,0.36,0.325,0.34,1354000,0.34
2015-12-21,0.35,0.35,0.325,0.33,601900,0.33
2015-12-22,0.345,0.345,0.33,0.335,260300,0.335
2015-12-23,0.34,0.345,0.335,0.34,162900,0.34
2015-12-24,0.35,0.355,0.345,0.35,121600,0.35
2015-12-25,0.35,0.35,0.35,0.35,000,0.35
2015-12-28,0.35,0.35,0.35,0.35,000,0.35
2015-12-29,0.355,0.37,0.345,0.365,291600,0.365
2015-12-30,0.365,0.365,0.355,0.36,241800,0.36
2015-12-31,0.35,0.36,0.35,0.36,45500,0.36
2016-01-01,0.36,0.36,0.36,0.36,000,0.36
