Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.016,0.016,0.016,0.016,000,6.40
2015-01-02,0.015,0.017,0.015,0.017,5700,6.80
2015-01-05,0.017,0.017,0.015,0.016,6200,6.40
2015-01-06,0.015,0.015,0.015,0.015,3500,6.00
2015-01-07,0.015,0.015,0.015,0.015,1300,6.00
2015-01-08,0.016,0.018,0.015,0.015,18100,6.00
2015-01-09,0.016,0.016,0.015,0.015,6800,6.00
2015-01-12,0.016,0.016,0.015,0.015,1300,6.00
2015-01-13,0.015,0.015,0.014,0.014,6500,5.60
2015-01-14,0.014,0.014,0.013,0.013,7500,5.20
2015-01-15,0.014,0.014,0.014,0.014,5300,5.60
2015-01-16,0.014,0.014,0.014,0.014,800,5.60
2015-01-19,0.014,0.015,0.014,0.014,2500,5.60
2015-01-20,0.015,0.015,0.014,0.014,4900,5.60
2015-01-21,0.014,0.015,0.014,0.014,5600,5.60
2015-01-22,0.014,0.0145,0.014,0.014,3900,5.60
2015-01-23,0.014,0.015,0.014,0.015,1800,6.00
2015-01-26,0.015,0.015,0.015,0.015,000,6.00
2015-01-27,0.015,0.015,0.015,0.015,000,6.00
2015-01-28,0.015,0.015,0.013,0.013,1100,5.20
2015-01-29,0.014,0.014,0.013,0.013,2800,5.20
2015-01-30,0.013,0.013,0.013,0.013,6700,5.20
2015-02-02,0.013,0.013,0.013,0.013,1600,5.20
2015-02-03,0.013,0.013,0.013,0.013,000,5.20
2015-02-04,0.014,0.014,0.012,0.012,3700,4.80
2015-02-05,0.012,0.012,0.012,0.012,000,4.80
2015-02-06,0.012,0.013,0.012,0.012,1000,4.80
2015-02-09,0.012,0.012,0.012,0.012,000,4.80
2015-02-10,0.013,0.013,0.013,0.013,11100,5.20
2015-02-11,0.015,0.019,0.015,0.019,41400,7.60
2015-02-12,0.017,0.02,0.017,0.017,47900,6.80
2015-02-13,0.017,0.017,0.015,0.015,35000,6.00
2015-02-16,0.015,0.015,0.014,0.015,2400,6.00
2015-02-17,0.015,0.015,0.015,0.015,1000,6.00
2015-02-18,0.015,0.015,0.014,0.015,900,6.00
2015-02-19,0.014,0.014,0.014,0.014,100,5.60
2015-02-20,0.014,0.014,0.013,0.014,13400,5.60
2015-02-23,0.014,0.014,0.013,0.013,3500,5.20
2015-02-24,0.013,0.013,0.013,0.013,000,5.20
2015-02-25,0.014,0.014,0.013,0.014,8900,5.60
2015-02-26,0.013,0.014,0.013,0.014,8300,5.60
2015-02-27,0.014,0.014,0.014,0.014,000,5.60
2015-03-02,0.012,0.013,0.012,0.012,6700,4.80
2015-03-03,0.012,0.013,0.012,0.012,1000,4.80
2015-03-04,0.012,0.012,0.012,0.012,6300,4.80
2015-03-05,0.012,0.012,0.011,0.012,1800,4.80
2015-03-06,0.012,0.012,0.012,0.012,900,4.80
2015-03-09,0.012,0.012,0.012,0.012,000,4.80
2015-03-10,0.012,0.012,0.011,0.011,18100,4.40
2015-03-11,0.011,0.011,0.01,0.01,19100,4.00
2015-03-12,0.011,0.011,0.011,0.011,11900,4.40
2015-03-13,0.011,0.011,0.011,0.011,5000,4.40
2015-03-16,0.011,0.011,0.011,0.011,000,4.40
2015-03-17,0.011,0.011,0.01,0.01,300,4.00
2015-03-18,0.011,0.012,0.011,0.011,8000,4.40
2015-03-19,0.011,0.011,0.011,0.011,000,4.40
2015-03-20,0.011,0.011,0.011,0.011,4500,4.40
2015-03-23,0.011,0.011,0.011,0.011,000,4.40
2015-03-24,0.01,0.01,0.01,0.01,7700,4.00
2015-03-25,0.01,0.01,0.01,0.01,000,4.00
2015-03-26,0.01,0.01,0.01,0.01,1600,4.00
2015-03-27,0.01,0.01,0.01,0.01,3300,4.00
2015-03-30,0.01,0.01,0.01,0.01,4700,4.00
2015-03-31,0.01,0.01,0.01,0.01,500,4.00
2015-04-01,0.01,0.01,0.009,0.009,3000,3.60
2015-04-02,0.009,0.009,0.008,0.009,13000,3.60
2015-04-03,0.009,0.009,0.009,0.009,000,3.60
2015-04-06,0.009,0.009,0.009,0.009,000,3.60
2015-04-07,0.009,0.009,0.008,0.008,6400,3.20
2015-04-08,0.008,0.008,0.008,0.008,2500,3.20
2015-04-09,0.008,0.008,0.008,0.008,900,3.20
2015-04-10,0.008,0.008,0.008,0.008,9600,3.20
2015-04-13,0.008,0.008,0.008,0.008,300,3.20
2015-04-14,0.008,0.008,0.008,0.008,1500,3.20
2015-04-15,0.008,0.008,0.008,0.008,1200,3.20
2015-04-16,0.008,0.008,0.007,0.007,3000,2.80
