Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.004,0.004,0.004,0.004,000,0.004
2015-01-02,0.005,0.006,0.005,0.006,1433300,0.006
2015-01-05,0.005,0.005,0.005,0.005,45000,0.005
2015-01-06,0.005,0.005,0.005,0.005,000,0.005
2015-01-07,0.005,0.005,0.005,0.005,000,0.005
2015-01-08,0.005,0.005,0.005,0.005,30000,0.005
2015-01-09,0.005,0.005,0.005,0.005,000,0.005
2015-01-12,0.005,0.005,0.005,0.005,000,0.005
2015-01-13,0.005,0.005,0.005,0.005,000,0.005
2015-01-14,0.005,0.005,0.005,0.005,217300,0.005
2015-01-15,0.005,0.005,0.005,0.005,10400,0.005
2015-01-16,0.005,0.005,0.005,0.005,000,0.005
2015-01-19,0.005,0.005,0.005,0.005,000,0.005
2015-01-20,0.005,0.005,0.005,0.005,345100,0.005
2015-01-21,0.005,0.005,0.004,0.004,1559700,0.004
2015-01-22,0.004,0.004,0.004,0.004,4145400,0.004
2015-01-23,0.004,0.004,0.004,0.004,177400,0.004
2015-01-26,0.004,0.004,0.004,0.004,000,0.004
2015-01-27,0.004,0.004,0.004,0.004,000,0.004
2015-01-28,0.004,0.004,0.004,0.004,000,0.004
2015-01-29,0.004,0.004,0.004,0.004,000,0.004
2015-01-30,0.004,0.004,0.004,0.004,000,0.004
2015-02-02,0.004,0.004,0.004,0.004,000,0.004
2015-02-03,0.004,0.004,0.004,0.004,000,0.004
2015-02-04,0.004,0.004,0.004,0.004,500000,0.004
2015-02-05,0.004,0.004,0.004,0.004,000,0.004
2015-02-06,0.004,0.004,0.004,0.004,000,0.004
2015-02-09,0.005,0.005,0.005,0.005,6300,0.005
2015-02-10,0.006,0.007,0.006,0.007,915500,0.007
2015-02-11,0.007,0.007,0.007,0.007,000,0.007
2015-02-12,0.007,0.007,0.007,0.007,000,0.007
2015-02-13,0.005,0.005,0.005,0.005,413700,0.005
2015-02-16,0.005,0.005,0.005,0.005,000,0.005
2015-02-17,0.005,0.005,0.005,0.005,000,0.005
2015-02-18,0.005,0.005,0.005,0.005,000,0.005
2015-02-19,0.005,0.005,0.005,0.005,000,0.005
2015-02-20,0.005,0.006,0.005,0.006,146600,0.006
2015-02-23,0.005,0.006,0.005,0.006,462500,0.006
2015-02-24,0.006,0.006,0.006,0.006,000,0.006
2015-02-25,0.005,0.005,0.005,0.005,119500,0.005
2015-02-26,0.005,0.005,0.005,0.005,000,0.005
2015-02-27,0.005,0.005,0.005,0.005,000,0.005
2015-03-02,0.005,0.005,0.005,0.005,615100,0.005
2015-03-03,0.005,0.005,0.005,0.005,000,0.005
2015-03-04,0.005,0.005,0.005,0.005,000,0.005
2015-03-05,0.005,0.005,0.005,0.005,000,0.005
2015-03-06,0.005,0.005,0.005,0.005,397000,0.005
2015-03-09,0.005,0.006,0.005,0.006,1052900,0.006
2015-03-10,0.006,0.006,0.006,0.006,000,0.006
2015-03-11,0.006,0.006,0.006,0.006,000,0.006
2015-03-12,0.006,0.006,0.006,0.006,000,0.006
2015-03-13,0.006,0.006,0.006,0.006,000,0.006
