Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.037,0.037,0.037,0.037,000,0.037
2015-01-02,0.037,0.037,0.037,0.037,000,0.037
2015-01-05,0.036,0.036,0.032,0.032,175000,0.032
2015-01-06,0.033,0.036,0.033,0.036,259000,0.036
2015-01-07,0.037,0.038,0.037,0.038,906600,0.038
2015-01-08,0.038,0.038,0.038,0.038,000,0.038
2015-01-09,0.038,0.039,0.036,0.039,162400,0.039
2015-01-12,0.04,0.04,0.036,0.036,390800,0.036
2015-01-13,0.036,0.036,0.033,0.033,546000,0.033
2015-01-14,0.033,0.033,0.033,0.033,000,0.033
2015-01-15,0.034,0.034,0.033,0.033,83200,0.033
2015-01-16,0.036,0.037,0.034,0.037,214200,0.037
2015-01-19,0.037,0.037,0.034,0.034,276600,0.034
2015-01-20,0.034,0.034,0.033,0.033,123600,0.033
2015-01-21,0.033,0.038,0.033,0.038,630100,0.038
2015-01-22,0.04,0.042,0.038,0.038,1329600,0.038
2015-01-23,0.04,0.045,0.039,0.04,882700,0.04
2015-01-26,0.04,0.04,0.04,0.04,000,0.04
2015-01-27,0.041,0.041,0.037,0.037,416000,0.037
2015-01-28,0.038,0.039,0.037,0.037,59700,0.037
2015-01-29,0.036,0.036,0.036,0.036,100,0.036
2015-01-30,0.036,0.036,0.036,0.036,000,0.036
2015-02-02,0.036,0.036,0.036,0.036,86200,0.036
2015-02-03,0.035,0.038,0.035,0.035,444900,0.035
2015-02-04,0.035,0.036,0.034,0.034,158800,0.034
2015-02-05,0.036,0.037,0.035,0.037,72800,0.037
2015-02-06,0.035,0.037,0.034,0.035,227100,0.035
2015-02-09,0.034,0.035,0.034,0.034,100000,0.034
2015-02-10,0.034,0.035,0.033,0.033,171100,0.033
2015-02-11,0.038,0.039,0.038,0.038,203900,0.038
2015-02-12,0.04,0.04,0.035,0.035,305900,0.035
2015-02-13,0.034,0.04,0.034,0.04,94100,0.04
2015-02-16,0.041,0.041,0.037,0.037,179200,0.037
2015-02-17,0.035,0.035,0.034,0.034,291300,0.034
2015-02-18,0.035,0.036,0.035,0.036,236400,0.036
2015-02-19,0.036,0.037,0.036,0.037,135800,0.037
2015-02-20,0.037,0.037,0.036,0.036,17600,0.036
2015-02-23,0.037,0.037,0.036,0.036,213400,0.036
2015-02-24,0.035,0.035,0.035,0.035,1400,0.035
2015-02-25,0.035,0.039,0.034,0.039,76300,0.039
2015-02-26,0.036,0.038,0.036,0.038,110000,0.038
2015-02-27,0.038,0.039,0.038,0.039,13000,0.039
2015-03-02,0.037,0.037,0.037,0.037,100000,0.037
2015-03-03,0.036,0.036,0.035,0.035,288500,0.035
2015-03-04,0.035,0.035,0.035,0.035,000,0.035
2015-03-05,0.037,0.037,0.037,0.037,150000,0.037
2015-03-06,0.035,0.037,0.035,0.037,102400,0.037
2015-03-09,0.035,0.035,0.035,0.035,14400,0.035
2015-03-10,0.035,0.035,0.034,0.034,455500,0.034
2015-03-11,0.034,0.034,0.03,0.03,572000,0.03
2015-03-12,0.033,0.033,0.033,0.033,30000,0.033
2015-03-13,0.033,0.039,0.033,0.039,233300,0.039
2015-03-16,0.039,0.04,0.039,0.039,89300,0.039
2015-03-17,0.039,0.039,0.039,0.039,000,0.039
2015-03-18,0.039,0.039,0.039,0.039,000,0.039
2015-03-19,0.032,0.033,0.032,0.032,131600,0.032
2015-03-20,0.032,0.032,0.032,0.032,000,0.032
2015-03-23,0.032,0.032,0.032,0.032,61400,0.032
2015-03-24,0.032,0.033,0.031,0.033,36800,0.033
2015-03-25,0.033,0.036,0.033,0.036,40400,0.036
2015-03-26,0.033,0.033,0.032,0.032,68100,0.032
2015-03-27,0.032,0.032,0.03,0.03,413600,0.03
2015-03-30,0.029,0.029,0.028,0.028,166800,0.028
2015-03-31,0.029,0.03,0.028,0.028,330900,0.028
2015-04-01,0.029,0.029,0.029,0.029,21800,0.029
2015-04-02,0.029,0.029,0.028,0.028,64900,0.028
2015-04-03,0.028,0.028,0.028,0.028,000,0.028
2015-04-06,0.028,0.028,0.028,0.028,000,0.028
2015-04-07,0.028,0.028,0.028,0.028,6300,0.028
2015-04-08,0.028,0.028,0.028,0.028,000,0.028
2015-04-09,0.03,0.03,0.03,0.03,20000,0.03
2015-04-10,0.028,0.028,0.028,0.028,293000,0.028
2015-04-13,0.028,0.028,0.028,0.028,4900,0.028
2015-04-14,0.028,0.028,0.028,0.028,85000,0.028
2015-04-15,0.028,0.028,0.028,0.028,5000,0.028
2015-04-16,0.027,0.03,0.027,0.03,419900,0.03
2015-04-17,0.03,0.03,0.028,0.028,345800,0.028
2015-04-20,0.026,0.026,0.026,0.026,90900,0.026
2015-04-21,0.027,0.03,0.027,0.029,70400,0.029
2015-04-22,0.027,0.027,0.027,0.027,219300,0.027
2015-04-23,0.027,0.027,0.027,0.027,900,0.027
2015-04-24,0.027,0.027,0.027,0.027,000,0.027
2015-04-27,0.028,0.028,0.027,0.027,266600,0.027
2015-04-28,0.027,0.027,0.027,0.027,2500,0.027
2015-04-29,0.027,0.027,0.027,0.027,33800,0.027
2015-04-30,0.027,0.029,0.026,0.026,292700,0.026
2015-05-01,0.029,0.03,0.029,0.03,18200,0.03
