Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.155,0.155,0.155,0.155,000,0.155
2015-01-02,0.16,0.16,0.16,0.16,90100,0.16
2015-01-05,0.16,0.165,0.16,0.165,628900,0.165
2015-01-06,0.17,0.17,0.17,0.17,26600,0.17
2015-01-07,0.165,0.165,0.16,0.16,18900,0.16
2015-01-08,0.16,0.16,0.16,0.16,129000,0.16
2015-01-09,0.17,0.17,0.165,0.165,5700,0.165
2015-01-12,0.165,0.165,0.165,0.165,112400,0.165
2015-01-13,0.165,0.165,0.16,0.16,258800,0.16
2015-01-14,0.16,0.16,0.16,0.16,000,0.16
2015-01-15,0.16,0.16,0.16,0.16,000,0.16
2015-01-16,0.155,0.155,0.155,0.155,162200,0.155
2015-01-19,0.155,0.155,0.135,0.14,1169600,0.14
2015-01-20,0.135,0.135,0.135,0.135,173800,0.135
2015-01-21,0.13,0.13,0.125,0.125,674100,0.125
2015-01-22,0.12,0.125,0.115,0.125,468100,0.125
2015-01-23,0.12,0.12,0.12,0.12,702800,0.12
2015-01-26,0.12,0.12,0.12,0.12,000,0.12
2015-01-27,0.12,0.125,0.12,0.125,250200,0.125
2015-01-28,0.13,0.13,0.13,0.13,461400,0.13
2015-01-29,0.13,0.135,0.12,0.135,406600,0.135
2015-01-30,0.135,0.14,0.135,0.14,121900,0.14
2015-02-02,0.13,0.135,0.12,0.125,447500,0.125
2015-02-03,0.13,0.13,0.13,0.13,95000,0.13
2015-02-04,0.13,0.13,0.13,0.13,285000,0.13
2015-02-05,0.13,0.13,0.125,0.125,287800,0.125
2015-02-06,0.125,0.125,0.125,0.125,216500,0.125
2015-02-09,0.125,0.125,0.125,0.125,12900,0.125
2015-02-10,0.125,0.125,0.125,0.125,25900,0.125
2015-02-11,0.125,0.125,0.125,0.125,18200,0.125
2015-02-12,0.125,0.125,0.12,0.12,741300,0.12
2015-02-13,0.125,0.13,0.125,0.125,102500,0.125
2015-02-16,0.12,0.13,0.12,0.13,148600,0.13
2015-02-17,0.13,0.13,0.125,0.125,37000,0.125
2015-02-18,0.13,0.13,0.125,0.125,216800,0.125
2015-02-19,0.125,0.13,0.125,0.13,523000,0.13
2015-02-20,0.13,0.13,0.125,0.13,115800,0.13
2015-02-23,0.125,0.125,0.115,0.12,1178600,0.12
2015-02-24,0.12,0.12,0.12,0.12,1175700,0.12
2015-02-25,0.12,0.12,0.12,0.12,81400,0.12
2015-02-26,0.12,0.12,0.12,0.12,000,0.12
2015-02-27,0.12,0.12,0.12,0.12,284200,0.12
2015-03-02,0.12,0.13,0.12,0.125,430200,0.125
2015-03-03,0.125,0.125,0.12,0.12,64700,0.12
2015-03-04,0.12,0.12,0.12,0.12,138800,0.12
2015-03-05,0.125,0.125,0.122,0.122,227600,0.122
2015-03-06,0.125,0.125,0.12,0.125,236700,0.125
2015-03-09,0.125,0.125,0.125,0.125,4300,0.125
2015-03-10,0.125,0.125,0.12,0.12,44900,0.12
2015-03-11,0.122,0.125,0.122,0.125,83000,0.125
2015-03-12,0.125,0.125,0.125,0.125,88500,0.125
2015-03-13,0.125,0.125,0.125,0.125,11100,0.125
2015-03-16,0.125,0.125,0.125,0.125,2398600,0.125
2015-03-17,0.125,0.125,0.125,0.125,000,0.125
2015-03-18,0.125,0.125,0.125,0.125,000,0.125
2015-03-19,0.125,0.125,0.125,0.125,1082000,0.125
2015-03-20,0.125,0.125,0.125,0.125,20000,0.125
2015-03-23,0.125,0.125,0.125,0.125,1874600,0.125
2015-03-24,0.125,0.13,0.125,0.13,1173300,0.13
2015-03-25,0.135,0.15,0.135,0.135,15038000,0.135
2015-03-26,0.13,0.13,0.13,0.13,220000,0.13
2015-03-27,0.13,0.13,0.125,0.125,357100,0.125
2015-03-30,0.13,0.13,0.127,0.127,27900,0.127
2015-03-31,0.125,0.125,0.125,0.125,207700,0.125
2015-04-01,0.135,0.135,0.125,0.125,81700,0.125
2015-04-02,0.125,0.125,0.125,0.125,93200,0.125
2015-04-03,0.125,0.125,0.125,0.125,000,0.125
2015-04-06,0.125,0.125,0.125,0.125,000,0.125
2015-04-07,0.125,0.125,0.125,0.125,49400,0.125
2015-04-08,0.125,0.125,0.125,0.125,47800,0.125
2015-04-09,0.125,0.13,0.125,0.13,774100,0.13
2015-04-10,0.13,0.13,0.13,0.13,330200,0.13
2015-04-13,0.13,0.13,0.13,0.13,105800,0.13
2015-04-14,0.125,0.13,0.125,0.13,64200,0.13
2015-04-15,0.125,0.125,0.125,0.125,10000,0.125
2015-04-16,0.13,0.13,0.125,0.125,451600,0.125
2015-04-17,0.13,0.13,0.125,0.13,480200,0.13
2015-04-20,0.13,0.13,0.125,0.13,155700,0.13
2015-04-21,0.135,0.135,0.125,0.125,144200,0.125
2015-04-22,0.125,0.125,0.125,0.125,132900,0.125
2015-04-23,0.125,0.125,0.125,0.125,201500,0.125
2015-04-24,0.125,0.125,0.125,0.125,69600,0.125
2015-04-27,0.12,0.125,0.12,0.125,298200,0.125
2015-04-28,0.125,0.125,0.125,0.125,21000,0.125
2015-04-29,0.125,0.13,0.125,0.125,144200,0.125
2015-04-30,0.125,0.135,0.125,0.13,1099800,0.13
2015-05-01,0.13,0.135,0.13,0.135,755000,0.135
2015-05-04,0.135,0.135,0.13,0.135,1136700,0.135
2015-05-05,0.135,0.135,0.135,0.135,101900,0.135
2015-05-06,0.145,0.16,0.145,0.16,2420100,0.16
2015-05-07,0.16,0.165,0.155,0.155,1184800,0.155
2015-05-08,0.155,0.16,0.15,0.15,1218500,0.15
2015-05-11,0.15,0.15,0.15,0.15,750000,0.15
2015-05-12,0.15,0.15,0.15,0.15,195700,0.15
2015-05-13,0.15,0.15,0.15,0.15,4500,0.15
2015-05-14,0.15,0.155,0.15,0.155,1203500,0.155
2015-05-15,0.155,0.155,0.155,0.155,138500,0.155
2015-05-18,0.155,0.155,0.15,0.15,1746400,0.15
2015-05-19,0.15,0.15,0.15,0.15,1394500,0.15
2015-05-20,0.15,0.15,0.15,0.15,159000,0.15
2015-05-21,0.15,0.15,0.15,0.15,1117000,0.15
2015-05-22,0.155,0.155,0.15,0.15,55800,0.15
2015-05-25,0.15,0.155,0.15,0.15,30200,0.15
2015-05-26,0.15,0.15,0.15,0.15,1500,0.15
2015-05-27,0.155,0.155,0.155,0.155,10000,0.155
2015-05-28,0.15,0.15,0.15,0.15,60000,0.15
2015-05-29,0.15,0.15,0.15,0.15,4300,0.15
2015-06-01,0.15,0.15,0.15,0.15,400,0.15
2015-06-02,0.155,0.16,0.155,0.16,264400,0.16
2015-06-03,0.16,0.16,0.16,0.16,3000,0.16
2015-06-04,0.15,0.155,0.15,0.15,178600,0.15
2015-06-05,0.15,0.15,0.15,0.15,79600,0.15
2015-06-08,0.15,0.15,0.15,0.15,000,0.15
2015-06-09,0.155,0.155,0.15,0.15,50200,0.15
2015-06-10,0.15,0.15,0.15,0.15,4000,0.15
2015-06-11,0.155,0.16,0.15,0.15,880700,0.15
2015-06-12,0.15,0.155,0.15,0.15,288100,0.15
2015-06-15,0.15,0.155,0.15,0.155,119900,0.155
2015-06-16,0.155,0.155,0.15,0.15,29200,0.15
