Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.80,1.80,1.80,1.80,000,1.723
2015-01-02,1.80,1.80,1.80,1.80,000,1.723
2015-01-05,1.80,1.80,1.80,1.80,000,1.723
2015-01-06,1.80,1.80,1.80,1.80,000,1.723
2015-01-07,1.80,1.80,1.80,1.80,000,1.723
2015-01-08,1.80,1.80,1.80,1.80,000,1.723
2015-01-09,1.80,1.80,1.80,1.80,000,1.723
2015-01-12,1.80,1.80,1.80,1.80,000,1.723
2015-01-13,1.80,1.80,1.80,1.80,000,1.723
2015-01-14,1.80,1.80,1.80,1.80,000,1.723
2015-01-15,1.80,1.80,1.80,1.80,000,1.723
2015-01-16,1.80,1.80,1.80,1.80,000,1.723
2015-01-19,1.80,1.80,1.80,1.80,000,1.723
2015-01-20,1.80,1.80,1.80,1.80,000,1.723
2015-01-21,1.78,1.78,1.78,1.78,12100,1.704
2015-01-22,1.78,1.78,1.78,1.78,000,1.704
2015-01-23,1.78,1.78,1.78,1.78,000,1.704
2015-01-26,1.78,1.78,1.78,1.78,000,1.704
2015-01-27,1.78,1.78,1.78,1.78,000,1.704
2015-01-28,1.78,1.78,1.78,1.78,000,1.704
2015-01-29,1.78,1.78,1.78,1.78,000,1.704
2015-01-30,1.78,1.78,1.78,1.78,000,1.704
2015-02-02,1.78,1.78,1.78,1.78,000,1.704
2015-02-03,1.78,1.78,1.78,1.78,000,1.704
2015-02-04,1.78,1.78,1.78,1.78,000,1.704
2015-02-05,1.78,1.78,1.78,1.78,000,1.704
2015-02-06,1.78,1.78,1.78,1.78,000,1.704
2015-02-09,1.78,1.78,1.78,1.78,000,1.704
2015-02-10,1.78,1.78,1.78,1.78,000,1.704
2015-02-11,1.78,1.78,1.78,1.78,000,1.704
2015-02-12,1.78,1.78,1.78,1.78,000,1.704
2015-02-13,1.80,1.80,1.80,1.80,000,1.723
2015-02-16,1.80,1.80,1.80,1.80,000,1.723
2015-02-17,1.80,1.80,1.80,1.80,000,1.723
2015-02-18,1.80,1.85,1.80,1.85,197400,1.771
2015-02-19,1.85,1.85,1.85,1.85,000,1.771
2015-02-20,1.85,1.85,1.85,1.85,000,1.771
2015-02-23,1.80,1.80,1.75,1.755,700,1.68
2015-02-24,1.755,1.755,1.755,1.755,000,1.68
2015-02-25,1.755,1.755,1.755,1.755,000,1.68
2015-02-26,1.755,1.755,1.755,1.755,000,1.68
2015-02-27,1.72,1.72,1.72,1.72,85000,1.646
2015-03-02,1.72,1.72,1.72,1.72,000,1.646
2015-03-03,1.72,1.72,1.72,1.72,000,1.646
2015-03-04,1.72,1.72,1.72,1.72,000,1.646
2015-03-05,1.72,1.72,1.72,1.72,000,1.646
2015-03-06,1.72,1.72,1.72,1.72,000,1.646
2015-03-09,1.72,1.72,1.72,1.72,000,1.646
2015-03-10,1.72,1.72,1.72,1.72,000,1.646
2015-03-11,1.72,1.72,1.72,1.72,000,1.646
2015-03-12,1.72,1.72,1.72,1.72,000,1.646
2015-03-13,1.72,1.72,1.72,1.72,000,1.646
2015-03-16,1.72,1.72,1.72,1.72,000,1.646
2015-03-17,1.72,1.72,1.72,1.72,000,1.646
2015-03-18,1.72,1.72,1.72,1.72,000,1.646
2015-03-19,1.72,1.72,1.72,1.72,000,1.646
2015-03-20,1.72,1.72,1.72,1.72,000,1.646
2015-03-23,1.72,1.72,1.72,1.72,000,1.646
2015-03-24,1.72,1.72,1.72,1.72,000,1.646
2015-03-25,1.72,1.72,1.72,1.72,000,1.646
2015-03-26,1.72,1.72,1.72,1.72,000,1.646
2015-03-27,1.72,1.72,1.72,1.72,000,1.646
2015-03-30,1.72,1.72,1.72,1.72,000,1.646
2015-03-31,1.81,1.81,1.81,1.81,500,1.733
2015-04-01,1.81,1.81,1.81,1.81,000,1.733
2015-04-02,1.81,1.81,1.81,1.81,000,1.733
2015-04-03,1.81,1.81,1.81,1.81,000,1.733
2015-04-06,1.81,1.81,1.81,1.81,000,1.733
2015-04-07,1.81,1.81,1.81,1.81,000,1.733
2015-04-08,1.81,1.81,1.81,1.81,000,1.733
2015-04-09,1.81,1.81,1.81,1.81,000,1.733
2015-04-10,1.81,1.81,1.81,1.81,000,1.733
2015-04-13,1.81,1.81,1.81,1.81,000,1.733
2015-04-14,1.80,1.80,1.80,1.80,6000,1.723
2015-04-15,1.80,1.80,1.80,1.80,000,1.723
2015-04-16,1.80,1.80,1.80,1.80,30900,1.723
2015-04-17,1.80,1.80,1.80,1.80,27100,1.723
2015-04-20,1.80,1.80,1.80,1.80,000,1.723
2015-04-21,1.80,1.80,1.80,1.80,000,1.723
2015-04-22,1.85,1.85,1.85,1.85,22000,1.771
2015-04-23,1.85,1.85,1.85,1.85,000,1.771
2015-04-24,1.85,1.85,1.85,1.85,000,1.771
2015-04-27,1.85,1.85,1.85,1.85,400,1.771
2015-04-28,1.85,1.85,1.85,1.85,000,1.771
2015-04-29,1.85,1.85,1.85,1.85,000,1.771
2015-04-30,1.84,1.84,1.84,1.84,10000,1.761
2015-05-01,1.84,1.84,1.84,1.84,000,1.761
2015-05-04,1.72,1.72,1.72,1.72,300,1.646
2015-05-05,1.78,1.78,1.78,1.78,15000,1.704
2015-05-06,1.78,1.78,1.78,1.78,000,1.704
2015-05-07,1.78,1.78,1.78,1.78,000,1.704
2015-05-08,1.78,1.78,1.78,1.78,000,1.704
2015-05-11,1.78,1.78,1.78,1.78,000,1.704
2015-05-12,1.78,1.78,1.78,1.78,000,1.704
2015-05-13,1.78,1.78,1.78,1.78,000,1.704
2015-05-14,1.78,1.78,1.78,1.78,000,1.704
2015-05-15,1.78,1.78,1.78,1.78,000,1.704
2015-05-18,1.78,1.78,1.78,1.78,000,1.704
2015-05-19,1.78,1.78,1.78,1.78,000,1.704
2015-05-20,1.78,1.78,1.78,1.78,000,1.704
2015-05-21,1.78,1.78,1.78,1.78,000,1.704
2015-05-22,1.78,1.78,1.78,1.78,000,1.704
2015-05-25,1.78,1.78,1.78,1.78,000,1.704
2015-05-26,1.78,1.78,1.78,1.78,000,1.704
2015-05-27,1.64,1.64,1.64,1.64,000,1.57
2015-05-28,1.67,1.67,1.67,1.67,112000,1.599
2015-05-29,1.67,1.67,1.67,1.67,000,1.599
2015-06-01,1.67,1.67,1.67,1.67,000,1.599
2015-06-02,1.67,1.67,1.67,1.67,000,1.599
2015-06-03,1.67,1.67,1.67,1.67,000,1.599
2015-06-04,1.67,1.67,1.67,1.67,000,1.599
2015-06-05,1.67,1.67,1.67,1.67,000,1.599
