Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,58.29,58.29,58.29,58.29,000,55.34788
2015-01-02,57.91,58.74,57.48,58.54,470700,55.58526
2015-01-05,58.34,58.78,58.15,58.42,312700,55.47131
2015-01-06,57.54,58.04,56.82,57.08,1141300,54.19895
2015-01-07,56.78,57.52,55.98,57.42,970800,54.52179
2015-01-08,57.61,57.88,57.11,57.88,811900,54.95857
2015-01-09,58.25,58.54,57.68,57.94,981700,55.01554
2015-01-12,57.15,57.68,57.03,57.20,534400,54.3129
2015-01-13,56.88,57.13,56.465,56.99,856900,54.1135
2015-01-14,56.89,56.90,55.85,55.92,1410900,53.0975
2015-01-15,55.61,55.91,55.04,55.85,1464300,53.03103
2015-01-16,55.50,55.62,54.81,55.29,1478700,52.4993
2015-01-19,58.98,59.02,57.81,58.25,2817400,55.3099
2015-01-20,58.70,60.25,58.70,59.80,2497200,56.78166
2015-01-21,60.20,60.46,59.50,59.75,1250800,56.73419
2015-01-22,59.91,60.01,59.35,59.50,1048300,56.4968
2015-01-23,60.30,61.32,60.15,61.03,1715400,57.94958
2015-01-26,61.03,61.03,61.03,61.03,000,57.94958
2015-01-27,61.42,61.44,60.94,61.29,1016900,58.19646
2015-01-28,61.00,61.69,60.86,61.55,650200,58.44333
2015-01-29,61.12,61.90,61.04,61.75,1400300,58.63324
2015-01-30,62.00,62.66,61.99,62.15,2412100,59.01305
2015-02-02,62.00,62.68,61.95,62.42,879200,59.26942
2015-02-03,62.95,64.04,62.62,63.87,1653800,60.64623
2015-02-04,65.00,65.28,64.41,64.75,1177800,61.48182
2015-02-05,64.19,65.59,64.19,65.43,1201600,62.1275
2015-02-06,66.00,67.00,65.58,66.60,1345300,63.23844
2015-02-09,66.27,67.24,66.265,67.24,688500,63.84614
2015-02-10,67.30,67.50,66.31,67.50,1481400,64.09301
2015-02-11,68.07,69.19,66.90,67.41,845000,64.00756
2015-02-12,67.44,67.60,65.77,65.83,1342400,62.50731
2015-02-13,67.36,68.56,67.20,68.13,1262100,64.69121
2015-02-16,67.69,68.57,67.05,68.48,890200,65.02355
2015-02-17,69.00,71.10,68.96,70.90,1618300,67.3214
2015-02-18,71.30,71.76,70.70,71.69,1579300,68.07153
2015-02-19,71.95,72.95,71.33,71.55,1603000,67.9386
2015-02-20,70.71,71.71,70.35,71.20,742800,67.60626
2015-02-23,71.36,72.30,70.68,71.46,713600,67.85314
2015-02-24,71.50,72.15,70.91,71.47,1041700,67.86263
2015-02-25,71.73,72.86,71.48,72.23,1391200,68.58428
2015-02-26,71.99,72.39,71.40,71.81,774200,68.18547
2015-02-27,72.18,72.95,71.40,72.86,2882600,69.18247
2015-03-02,73.00,75.07,72.83,74.99,1370000,71.20496
2015-03-03,75.10,75.63,72.40,73.52,1341600,69.80916
2015-03-04,73.52,73.52,73.52,73.52,000,69.80916
2015-03-05,73.52,74.76,73.39,74.50,1952100,70.7397
2015-03-06,74.85,75.81,74.805,75.37,982400,71.56579
2015-03-09,73.75,74.50,73.56,73.70,742300,69.98007
2015-03-10,73.70,74.51,73.69,74.25,1035300,70.50232
2015-03-11,73.42,74.09,72.79,74.08,777500,70.3409
2015-03-12,74.50,76.85,74.18,76.60,1418900,72.7337
2015-03-13,77.38,77.38,75.06,75.39,1132600,71.58477
2015-03-16,74.50,75.81,74.50,75.45,731400,71.64174
2015-03-17,76.30,76.69,75.68,75.78,1085100,71.95509
2015-03-18,75.93,76.50,75.28,75.76,905900,71.9361
2015-03-19,75.25,76.73,75.25,76.69,1252300,72.81916
2015-03-20,76.00,77.96,75.93,77.90,1566100,73.96809
2015-03-23,78.04,78.69,77.98,78.29,726400,74.3384
2015-03-24,78.26,78.74,77.90,78.50,724800,74.5378
2015-03-25,78.46,78.82,78.15,78.33,790600,74.37638
2015-03-26,77.91,78.035,77.21,77.29,758700,73.38888
2015-03-27,77.01,77.74,77.01,77.29,3434600,73.38888
2015-03-30,76.64,76.79,75.61,76.42,870200,72.56279
2015-03-31,76.95,77.53,76.43,76.67,1091900,72.80017
2015-04-01,76.20,77.76,75.96,77.60,693900,73.68323
2015-04-02,77.80,78.84,77.34,78.52,787200,74.55679
2015-04-03,78.52,78.52,78.52,78.52,000,74.55679
2015-04-06,78.52,78.52,78.52,78.52,000,74.55679
