Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.39,4.39,4.39,4.39,000,4.39
2015-01-02,4.38,4.43,4.34,4.43,208600,4.43
2015-01-05,4.40,4.46,4.36,4.41,130000,4.41
2015-01-06,4.33,4.36,4.12,4.21,305000,4.21
2015-01-07,4.17,4.23,4.115,4.14,254500,4.14
2015-01-08,4.18,4.18,4.06,4.16,360500,4.16
2015-01-09,4.15,4.15,4.09,4.14,258000,4.14
2015-01-12,4.12,4.19,4.06,4.19,691000,4.19
2015-01-13,4.07,4.10,4.01,4.06,177400,4.06
2015-01-14,4.08,4.09,4.01,4.01,196100,4.01
2015-01-15,4.08,4.08,4.00,4.04,425700,4.04
2015-01-16,4.02,4.06,3.90,3.95,649200,3.95
2015-01-19,3.98,4.03,3.96,3.98,250800,3.98
2015-01-20,3.99,4.04,3.95,4.03,145200,4.03
2015-01-21,4.03,4.04,4.00,4.04,192300,4.04
2015-01-22,4.03,4.06,3.98,4.06,458300,4.06
2015-01-23,4.04,4.04,4.00,4.02,393700,4.02
2015-01-26,4.02,4.02,4.02,4.02,000,4.02
2015-01-27,4.04,4.045,4.02,4.03,212800,4.03
2015-01-28,4.00,4.08,4.00,4.06,211400,4.06
2015-01-29,4.03,4.03,3.96,4.00,420500,4.00
2015-01-30,4.04,4.04,3.99,4.02,491700,4.02
2015-02-02,4.01,4.20,4.00,4.09,235900,4.09
2015-02-03,4.11,4.205,4.05,4.16,807400,4.16
2015-02-04,4.18,4.24,4.17,4.20,239200,4.20
2015-02-05,4.21,4.39,4.14,4.39,399500,4.39
2015-02-06,4.39,4.43,4.21,4.24,231300,4.24
2015-02-09,4.25,4.31,4.25,4.28,234500,4.28
2015-02-10,4.31,4.46,4.28,4.46,345500,4.46
2015-02-11,4.50,4.60,4.33,4.34,345300,4.34
2015-02-12,4.39,4.48,4.25,4.41,311000,4.41
2015-02-13,4.45,4.45,4.11,4.16,471700,4.16
2015-02-16,4.13,4.20,4.02,4.04,450000,4.04
2015-02-17,4.00,4.10,3.96,4.04,275900,4.04
2015-02-18,4.05,4.09,4.00,4.05,239000,4.05
2015-02-19,4.01,4.03,3.90,3.95,643600,3.95
2015-02-20,3.98,4.18,3.95,4.18,554700,4.18
2015-02-23,4.18,4.20,4.00,4.03,283300,4.03
2015-02-24,4.03,4.50,3.96,4.50,905700,4.50
2015-02-25,4.27,4.32,4.05,4.32,976900,4.32
2015-02-26,4.28,4.28,4.13,4.19,288500,4.19
2015-02-27,4.21,4.22,4.10,4.14,269200,4.14
2015-03-02,4.16,4.165,4.06,4.06,308400,4.06
2015-03-03,4.05,4.10,3.97,3.98,565700,3.98
2015-03-04,4.00,4.11,3.97,4.00,317000,4.00
2015-03-05,4.09,4.09,3.94,3.97,449400,3.97
2015-03-06,3.93,3.98,3.74,3.79,843600,3.79
2015-03-09,3.80,3.96,3.80,3.84,552600,3.84
2015-03-10,3.86,3.92,3.84,3.87,285500,3.87
2015-03-11,3.78,3.87,3.78,3.85,764500,3.85
2015-03-12,3.85,3.88,3.82,3.85,752200,3.85
2015-03-13,3.86,3.92,3.845,3.87,461300,3.87
2015-03-16,3.87,3.95,3.86,3.88,502100,3.88
2015-03-17,3.89,3.94,3.87,3.88,841100,3.88
2015-03-18,3.87,3.88,3.85,3.87,520600,3.87
2015-03-19,3.88,3.99,3.85,3.96,789100,3.96
2015-03-20,3.96,4.13,3.96,4.03,1051000,4.03
2015-03-23,4.03,4.07,3.88,3.92,1997400,3.92
2015-03-24,3.92,3.92,3.85,3.88,652100,3.88
2015-03-25,3.89,3.97,3.85,3.86,769800,3.86
2015-03-26,3.83,3.83,3.50,3.58,985600,3.58
2015-03-27,3.62,3.77,3.58,3.65,1370300,3.65
2015-03-30,3.70,3.73,3.62,3.62,628800,3.62
2015-03-31,3.72,3.72,3.63,3.63,430400,3.63
2015-04-01,3.69,3.72,3.59,3.59,673800,3.59
2015-04-02,3.61,3.63,3.51,3.51,625700,3.51
2015-04-03,3.51,3.51,3.51,3.51,000,3.51
2015-04-06,3.51,3.51,3.51,3.51,000,3.51
2015-04-07,3.50,3.51,3.21,3.28,1171500,3.28
2015-04-08,3.30,3.41,3.27,3.32,795400,3.32
2015-04-09,3.33,3.36,3.19,3.20,890600,3.20
2015-04-10,3.20,3.30,3.17,3.21,1116700,3.21
2015-04-13,3.70,4.07,3.61,3.99,1402300,3.99
2015-04-14,4.07,4.07,3.91,3.95,2123200,3.95
2015-04-15,3.97,3.97,3.72,3.72,635700,3.72
2015-04-16,3.79,3.88,3.75,3.83,431100,3.83
2015-04-17,3.89,3.90,3.77,3.79,373300,3.79
2015-04-20,3.76,3.78,3.55,3.57,663600,3.57
2015-04-21,3.63,3.63,3.50,3.50,442600,3.50
2015-04-22,3.51,3.61,3.51,3.54,684800,3.54
2015-04-23,3.55,3.57,3.50,3.53,249900,3.53
2015-04-24,3.56,3.62,3.55,3.62,221100,3.62
2015-04-27,3.64,3.65,3.60,3.62,267700,3.62
2015-04-28,3.62,3.64,3.50,3.52,277700,3.52
2015-04-29,3.53,3.55,3.48,3.50,331600,3.50
