Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.075,1.075,1.075,1.075,000,1.064
2015-01-02,1.15,1.20,1.15,1.20,10900,1.188
2015-01-05,1.21,1.21,1.20,1.20,11600,1.188
2015-01-06,1.20,1.20,1.20,1.20,000,1.188
2015-01-07,1.11,1.14,1.06,1.14,40300,1.128
2015-01-08,1.155,1.155,1.155,1.155,6200,1.143
2015-01-09,1.185,1.20,1.185,1.20,9000,1.188
2015-01-12,1.16,1.16,1.16,1.16,11000,1.148
2015-01-13,1.16,1.16,1.16,1.16,000,1.148
2015-01-14,1.16,1.16,1.16,1.16,000,1.148
2015-01-15,1.12,1.12,1.08,1.08,6400,1.069
2015-01-16,1.08,1.08,1.08,1.08,000,1.069
2015-01-19,1.135,1.20,1.135,1.20,24800,1.188
2015-01-20,1.20,1.20,1.20,1.20,000,1.188
2015-01-21,1.20,1.20,1.20,1.20,000,1.188
2015-01-22,1.20,1.20,1.20,1.20,000,1.188
2015-01-23,1.13,1.13,1.13,1.13,900,1.118
2015-01-26,1.13,1.13,1.13,1.13,000,1.118
2015-01-27,1.19,1.19,1.19,1.19,3800,1.178
2015-01-28,1.19,1.19,1.19,1.19,000,1.178
2015-01-29,1.18,1.18,1.15,1.15,8300,1.138
2015-01-30,1.13,1.13,1.12,1.12,19100,1.108
2015-02-02,1.12,1.12,1.12,1.12,000,1.108
2015-02-03,1.12,1.12,1.12,1.12,000,1.108
2015-02-04,1.255,1.36,1.255,1.29,161600,1.277
2015-02-05,1.30,1.34,1.30,1.33,23600,1.316
2015-02-06,1.35,1.35,1.31,1.35,22200,1.336
2015-02-09,1.34,1.34,1.32,1.33,10000,1.316
2015-02-10,1.32,1.32,1.25,1.25,31500,1.237
2015-02-11,1.24,1.24,1.24,1.24,5000,1.227
2015-02-12,1.24,1.24,1.24,1.24,000,1.227
2015-02-13,1.24,1.305,1.24,1.30,4300,1.287
2015-02-16,1.26,1.26,1.255,1.255,2100,1.242
2015-02-17,1.255,1.255,1.255,1.255,000,1.242
2015-02-18,1.27,1.30,1.27,1.30,16000,1.287
2015-02-19,1.30,1.30,1.30,1.30,500,1.287
2015-02-20,1.30,1.44,1.30,1.43,67300,1.415
2015-02-23,1.43,1.43,1.43,1.43,000,1.415
2015-02-24,1.43,1.45,1.43,1.44,31300,1.425
2015-02-25,1.35,1.45,1.35,1.45,25100,1.435
2015-02-26,1.445,1.445,1.44,1.44,7800,1.425
2015-02-27,1.40,1.45,1.40,1.45,25400,1.435
2015-03-02,1.45,1.45,1.40,1.40,9000,1.385
2015-03-03,1.42,1.45,1.42,1.45,12800,1.435
2015-03-04,1.45,1.45,1.45,1.45,000,1.435
2015-03-05,1.45,1.45,1.45,1.45,000,1.435
2015-03-06,1.45,1.45,1.45,1.45,000,1.435
2015-03-09,1.45,1.45,1.45,1.45,000,1.435
2015-03-10,1.45,1.45,1.45,1.45,000,1.435
2015-03-11,1.445,1.45,1.44,1.45,13700,1.435
2015-03-12,1.45,1.45,1.45,1.45,000,1.435
2015-03-13,1.445,1.445,1.40,1.40,1000,1.385
2015-03-16,1.40,1.445,1.38,1.38,3400,1.366
2015-03-17,1.40,1.40,1.38,1.38,7900,1.366
2015-03-18,1.33,1.33,1.33,1.33,4500,1.316
2015-03-19,1.33,1.33,1.33,1.33,000,1.316
2015-03-20,1.35,1.35,1.30,1.30,14800,1.287
2015-03-23,1.37,1.38,1.37,1.38,14200,1.366
2015-03-24,1.415,1.45,1.415,1.45,19800,1.435
2015-03-25,1.45,1.58,1.45,1.48,37300,1.465
2015-03-26,1.48,1.48,1.48,1.48,000,1.465
2015-03-27,1.48,1.48,1.48,1.48,000,1.465
2015-03-30,1.54,1.60,1.54,1.58,12500,1.564
2015-03-31,1.57,1.57,1.57,1.57,1500,1.554
2015-04-01,1.50,1.50,1.50,1.50,2000,1.484
2015-04-02,1.50,1.50,1.50,1.50,4500,1.484
2015-04-03,1.50,1.50,1.50,1.50,000,1.484
2015-04-06,1.50,1.50,1.50,1.50,000,1.484
2015-04-07,1.52,1.52,1.405,1.405,16300,1.39
2015-04-08,1.505,1.51,1.505,1.51,3900,1.494
2015-04-09,1.42,1.42,1.41,1.41,2500,1.395
2015-04-10,1.43,1.43,1.43,1.43,2000,1.415
2015-04-13,1.45,1.45,1.45,1.45,3500,1.435
2015-04-14,1.50,1.50,1.45,1.45,3500,1.435
2015-04-15,1.45,1.45,1.41,1.41,10300,1.395
2015-04-16,1.41,1.41,1.41,1.41,000,1.395
2015-04-17,1.41,1.41,1.41,1.41,000,1.395
2015-04-20,1.41,1.41,1.41,1.41,000,1.395
2015-04-21,1.43,1.45,1.43,1.45,3000,1.435
2015-04-22,1.45,1.45,1.45,1.45,000,1.435
2015-04-23,1.45,1.45,1.375,1.375,16600,1.361
2015-04-24,1.35,1.35,1.325,1.325,19900,1.311
2015-04-27,1.325,1.325,1.325,1.325,000,1.311
2015-04-28,1.325,1.325,1.325,1.325,000,1.311
2015-04-29,1.355,1.355,1.35,1.35,16600,1.336
2015-04-30,1.35,1.35,1.35,1.35,000,1.336
2015-05-01,1.35,1.35,1.35,1.35,000,1.336
2015-05-04,1.33,1.33,1.325,1.325,16000,1.311
2015-05-05,1.325,1.49,1.30,1.49,39000,1.475
2015-05-06,1.55,1.58,1.55,1.55,11600,1.534
2015-05-07,1.55,1.55,1.52,1.545,12400,1.529
2015-05-08,1.545,1.545,1.49,1.49,20400,1.475
2015-05-11,1.51,1.51,1.51,1.51,9300,1.494
2015-05-12,1.50,1.75,1.49,1.75,46900,1.732
2015-05-13,1.70,1.70,1.70,1.70,1500,1.682
2015-05-14,1.49,1.49,1.49,1.49,9600,1.475
2015-05-15,1.535,1.535,1.505,1.505,12000,1.489
2015-05-18,1.51,1.55,1.48,1.55,3900,1.534
2015-05-19,1.52,1.52,1.52,1.52,1000,1.504
2015-05-20,1.52,1.52,1.52,1.52,600,1.504
2015-05-21,1.52,1.52,1.52,1.52,000,1.504
2015-05-22,1.57,1.57,1.57,1.57,600,1.554
2015-05-25,1.57,1.57,1.57,1.57,000,1.554
2015-05-26,1.57,1.57,1.57,1.57,000,1.554
2015-05-27,1.49,1.49,1.47,1.47,22300,1.455
2015-05-28,1.47,1.47,1.47,1.47,4600,1.455
2015-05-29,1.47,1.47,1.47,1.47,500,1.455
