Date,Open,High,Low,Close,Volume,Adj Close
2015-05-04,3.91,3.92,3.84,3.89,68467900,3.827
2015-05-05,3.87,3.88,3.84,3.84,14683900,3.778
2015-05-06,3.81,3.81,3.69,3.69,11498700,3.631
2015-05-07,3.69,3.70,3.65,3.70,6204400,3.641
2015-05-08,3.66,3.69,3.63,3.64,3235400,3.581
2015-05-11,3.68,3.68,3.55,3.58,3223600,3.522
2015-05-12,3.55,3.695,3.55,3.68,4036300,3.621
2015-05-13,3.67,3.69,3.64,3.67,1360500,3.611
2015-05-14,3.65,3.68,3.62,3.68,549200,3.621
2015-05-15,3.67,3.68,3.63,3.68,1208800,3.621
2015-05-18,3.64,3.66,3.62,3.63,1658500,3.572
2015-05-19,3.62,3.68,3.62,3.68,1074100,3.621
2015-05-20,3.65,3.68,3.64,3.67,988900,3.611
2015-05-21,3.65,3.68,3.65,3.68,1523300,3.621
2015-05-22,3.67,3.68,3.65,3.67,1807900,3.611
2015-05-25,3.65,3.67,3.61,3.64,226900,3.581
2015-05-26,3.64,3.64,3.61,3.64,1114200,3.581
2015-05-27,3.61,3.62,3.53,3.59,741700,3.532
2015-05-28,3.59,3.59,3.43,3.47,611100,3.414
2015-05-29,3.41,3.55,3.39,3.52,2056200,3.463
2015-06-01,3.52,3.60,3.52,3.55,2497000,3.493
2015-06-02,3.57,3.57,3.45,3.48,975800,3.424
2015-06-03,3.48,3.55,3.48,3.55,883100,3.493
2015-06-04,3.51,3.56,3.50,3.50,795700,3.444
2015-06-05,3.50,3.57,3.50,3.50,3590500,3.444
2015-06-08,3.50,3.50,3.50,3.50,000,3.444
2015-06-09,3.60,3.60,3.46,3.48,218400,3.424
2015-06-10,3.47,3.48,3.40,3.40,597800,3.345
2015-06-11,3.40,3.42,3.32,3.34,497600,3.286
2015-06-12,3.35,3.45,3.34,3.40,1249600,3.345
2015-06-15,3.40,3.41,3.37,3.41,2168800,3.355
2015-06-16,3.41,3.45,3.40,3.43,345500,3.375
2015-06-17,3.42,3.44,3.36,3.43,662900,3.375
2015-06-18,3.45,3.47,3.36,3.38,887000,3.326
2015-06-19,3.38,3.38,3.29,3.30,979800,3.247
2015-06-22,3.28,3.39,3.21,3.38,3842400,3.326
2015-06-23,3.38,3.41,3.35,3.40,630300,3.345
2015-06-24,3.35,3.41,3.31,3.39,747900,3.335
2015-06-25,3.40,3.40,3.335,3.38,607700,3.326
2015-06-26,3.33,3.40,3.31,3.40,1433500,3.345
2015-06-29,3.37,3.42,3.35,3.40,250600,3.345
2015-06-30,3.35,3.39,3.32,3.39,598400,3.335
2015-07-01,3.38,3.40,3.36,3.40,349500,3.345
2015-07-02,3.40,3.48,3.38,3.44,810200,3.385
2015-07-03,3.49,3.49,3.41,3.45,992000,3.395
2015-07-06,3.47,3.48,3.43,3.45,673200,3.395
2015-07-07,3.48,3.58,3.435,3.58,351300,3.522
2015-07-08,3.53,3.57,3.43,3.48,648900,3.424
2015-07-09,3.41,3.45,3.40,3.41,382500,3.355
2015-07-10,3.44,3.50,3.43,3.43,869600,3.375
2015-07-13,3.47,3.52,3.47,3.51,160100,3.454
2015-07-14,3.50,3.56,3.50,3.56,299800,3.503
2015-07-15,3.45,3.57,3.45,3.53,574100,3.473
2015-07-16,3.51,3.56,3.48,3.50,334200,3.444
2015-07-17,3.51,3.55,3.51,3.53,43600,3.473
2015-07-20,3.51,3.525,3.47,3.50,488300,3.444
2015-07-21,3.43,3.54,3.43,3.53,221800,3.473
2015-07-22,3.55,3.55,3.485,3.54,238000,3.483
2015-07-23,3.53,3.55,3.48,3.53,143700,3.473
2015-07-24,3.50,3.57,3.48,3.53,512000,3.473
2015-07-27,3.56,3.57,3.50,3.56,286300,3.503
2015-07-28,3.50,3.56,3.48,3.55,365700,3.493
2015-07-29,3.55,3.55,3.48,3.52,261700,3.463
2015-07-30,3.53,3.53,3.48,3.50,255700,3.444
2015-07-31,3.49,3.55,3.46,3.54,589100,3.483
2015-08-03,3.50,3.55,3.50,3.52,221700,3.463
2015-08-04,3.51,3.63,3.51,3.62,544900,3.562
2015-08-05,3.50,3.57,3.50,3.51,435000,3.454
2015-08-06,3.55,3.55,3.48,3.48,206000,3.424
2015-08-07,3.50,3.50,3.445,3.45,179300,3.395
2015-08-10,3.48,3.49,3.43,3.45,155600,3.395
2015-08-11,3.46,3.46,3.40,3.45,96400,3.395
2015-08-12,3.45,3.45,3.38,3.43,1199900,3.375
2015-08-13,3.43,3.43,3.34,3.37,1501600,3.316
2015-08-14,3.38,3.38,3.23,3.32,465800,3.267
2015-08-17,3.32,3.39,3.27,3.33,197000,3.276
2015-08-18,3.37,3.37,3.27,3.30,643200,3.247
2015-08-19,3.22,3.35,3.22,3.28,886600,3.227
2015-08-20,3.35,3.35,3.20,3.24,615700,3.188
2015-08-21,3.25,3.26,3.05,3.16,2793300,3.109
2015-08-24,3.14,3.22,3.01,3.05,1272700,3.001
2015-08-25,3.00,3.16,2.98,3.10,1446500,3.05
2015-08-26,3.10,3.17,3.05,3.10,1039300,3.05
2015-08-27,3.24,3.42,3.24,3.32,3334800,3.267
2015-08-28,3.48,3.48,3.34,3.41,1663700,3.355
2015-08-31,3.42,3.42,3.27,3.30,1080200,3.247
2015-09-01,3.30,3.34,3.26,3.26,7886800,3.208
2015-09-02,3.13,3.29,3.13,3.27,1256800,3.217
2015-09-03,3.25,3.33,3.21,3.22,550300,3.168
2015-09-04,3.31,3.32,3.19,3.23,1016500,3.178
2015-09-07,3.29,3.39,3.21,3.35,953700,3.296
2015-09-08,3.34,3.39,3.32,3.35,345900,3.296
2015-09-09,3.31,3.36,3.31,3.34,173700,3.286
2015-09-10,3.33,3.36,3.30,3.35,128700,3.296
2015-09-11,3.30,3.36,3.23,3.30,234100,3.247
2015-09-14,3.24,3.33,3.24,3.30,336300,3.247
2015-09-15,3.32,3.33,3.24,3.27,523700,3.217
2015-09-16,3.29,3.345,3.27,3.29,869800,3.237
2015-09-17,3.29,3.38,3.29,3.36,237500,3.306
2015-09-18,3.32,3.48,3.26,3.26,10288800,3.208
2015-09-21,3.25,3.28,3.18,3.26,648800,3.208
2015-09-22,3.37,3.37,3.28,3.31,1076600,3.257
2015-09-23,3.28,3.40,3.27,3.33,2240200,3.276
2015-09-24,3.32,3.36,3.29,3.35,1284400,3.296
2015-09-25,3.35,3.39,3.27,3.37,870100,3.316
2015-09-28,3.39,3.48,3.30,3.48,1416000,3.424
2015-09-29,3.41,3.42,3.32,3.35,927600,3.296
2015-09-30,3.33,3.44,3.31,3.39,1052400,3.335
2015-10-01,3.42,3.45,3.39,3.44,647800,3.385
2015-10-02,3.39,3.44,3.35,3.37,363600,3.316
2015-10-05,3.39,3.43,3.33,3.43,277000,3.375
2015-10-06,3.44,3.45,3.37,3.40,344200,3.345
2015-10-07,3.41,3.42,3.37,3.40,293100,3.345
2015-10-08,3.43,3.44,3.38,3.40,298000,3.345
2015-10-09,3.40,3.40,3.35,3.36,506000,3.306
2015-10-12,3.32,3.39,3.31,3.36,663200,3.306
2015-10-13,3.36,3.36,3.31,3.31,718600,3.257
2015-10-14,3.30,3.35,3.27,3.30,1179100,3.247
2015-10-15,3.38,3.39,3.30,3.38,485400,3.326
2015-10-16,3.40,3.45,3.37,3.45,939500,3.395
2015-10-19,3.44,3.47,3.39,3.40,240100,3.345
2015-10-20,3.38,3.43,3.38,3.42,380900,3.365
2015-10-21,3.40,3.50,3.38,3.49,666200,3.434
2015-10-22,3.49,3.49,3.44,3.46,414500,3.404
2015-10-23,3.49,3.51,3.44,3.45,672100,3.395
2015-10-26,3.46,3.46,3.43,3.44,139200,3.385
2015-10-27,3.44,3.46,3.43,3.44,508600,3.385
2015-10-28,3.44,3.44,3.34,3.35,297700,3.296
2015-10-29,3.39,3.39,3.32,3.32,220300,3.267
2015-10-30,3.30,3.30,3.27,3.29,996900,3.237
2015-11-02,3.28,3.28,3.20,3.21,396400,3.158
2015-11-03,3.25,3.33,3.24,3.33,267500,3.276
2015-11-04,3.36,3.36,3.29,3.31,211600,3.257
2015-11-05,3.28,3.33,3.25,3.30,451700,3.247
2015-11-06,3.31,3.34,3.25,3.28,270500,3.227
2015-11-09,3.27,3.33,3.24,3.30,679800,3.247
2015-11-10,3.30,3.32,3.22,3.23,320400,3.178
2015-11-11,3.24,3.29,3.17,3.28,1590000,3.227
2015-11-12,3.23,3.34,3.23,3.32,1186700,3.267
2015-11-13,3.26,3.32,3.24,3.31,294600,3.257
2015-11-16,3.22,3.34,3.22,3.34,444500,3.286
2015-11-17,3.38,3.49,3.38,3.48,936500,3.424
2015-11-18,3.47,3.505,3.44,3.50,317200,3.444
2015-11-19,3.50,3.51,3.47,3.50,1029600,3.444
2015-11-20,3.50,3.505,3.48,3.50,500100,3.444
2015-11-23,3.50,3.50,3.47,3.49,391400,3.434
2015-11-24,3.46,3.50,3.45,3.47,418300,3.414
2015-11-25,3.47,3.50,3.455,3.50,656300,3.444
2015-11-26,3.50,3.51,3.46,3.47,457300,3.414
2015-11-27,3.49,3.50,3.44,3.45,737700,3.395
2015-11-30,3.46,3.50,3.44,3.45,6618700,3.395
2015-12-01,3.48,3.51,3.47,3.49,1747300,3.434
2015-12-02,3.48,3.50,3.42,3.49,763800,3.434
2015-12-03,3.45,3.45,3.37,3.40,1129400,3.345
2015-12-04,3.35,3.35,3.28,3.30,1204500,3.247
2015-12-07,3.38,3.39,3.32,3.33,787800,3.276
2015-12-08,3.30,3.34,3.28,3.30,704200,3.247
2015-12-09,3.29,3.35,3.29,3.31,1399100,3.257
2015-12-10,3.31,3.31,3.26,3.30,1805500,3.247
2015-12-11,3.27,3.30,3.24,3.29,1238700,3.237
2015-12-14,3.25,3.30,3.18,3.26,809000,3.208
2015-12-15,3.26,3.30,3.24,3.26,530400,3.208
2015-12-16,3.26,3.29,3.24,3.25,960600,3.198
2015-12-17,3.29,3.31,3.28,3.29,1980000,3.237
2015-12-18,3.26,3.28,3.19,3.20,4313600,3.149
2015-12-21,3.18,3.21,3.18,3.18,396800,3.129
2015-12-22,3.24,3.26,3.20,3.21,400600,3.158
2015-12-23,3.26,3.28,3.22,3.24,318100,3.188
2015-12-24,3.29,3.30,3.26,3.30,132900,3.247
2015-12-25,3.30,3.30,3.30,3.30,000,3.247
2015-12-28,3.30,3.30,3.30,3.30,000,3.247
2015-12-29,3.31,3.365,3.29,3.31,434300,3.257
2015-12-30,3.37,3.37,3.30,3.33,215700,3.276
2015-12-31,3.33,3.34,3.26,3.26,102500,3.208
2016-01-01,3.26,3.26,3.26,3.26,000,3.208
2016-01-04,3.25,3.29,3.23,3.23,319500,3.178
2016-01-05,3.25,3.25,3.165,3.20,682500,3.149
2016-01-06,3.17,3.19,3.12,3.12,568500,3.07
2016-01-07,3.15,3.16,3.065,3.12,1197600,3.07
2016-01-08,3.04,3.08,2.99,3.06,1025900,3.011
2016-01-11,2.98,3.05,2.89,3.01,1133300,2.962
2016-01-12,3.01,3.06,2.975,3.00,3216800,2.952
2016-01-13,2.99,3.01,2.92,3.00,860600,2.952
2016-01-14,2.91,3.01,2.90,2.97,1553900,2.922
2016-01-15,3.00,3.02,2.94,2.97,1107900,2.922
2016-01-18,2.94,2.94,2.87,2.92,904900,2.873
2016-01-19,2.93,2.98,2.92,2.95,1524300,2.903
2016-01-20,2.95,3.015,2.94,2.98,1139900,2.932
2016-01-21,3.04,3.04,2.965,3.01,1009000,2.962
2016-01-22,3.04,3.04,2.98,3.01,552600,2.962
2016-01-25,3.05,3.07,3.03,3.06,397500,3.011
2016-01-26,3.06,3.06,3.06,3.06,000,3.011
2016-01-27,3.04,3.08,3.04,3.06,716500,3.011
2016-01-28,3.05,3.10,3.01,3.10,475200,3.05
2016-01-29,3.10,3.11,3.02,3.11,488200,3.06
2016-02-01,3.13,3.14,3.10,3.10,513000,3.05
2016-02-02,3.10,3.10,2.96,2.97,742800,2.922
2016-02-03,2.92,2.97,2.875,2.94,2093200,2.893
2016-02-04,2.95,3.02,2.95,3.00,2302200,2.952
