Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.75,4.75,4.75,4.75,000,4.208
2015-01-02,4.73,4.77,4.69,4.73,11900,4.19
2015-01-05,4.80,4.83,4.76,4.81,62600,4.261
2015-01-06,4.80,4.85,4.80,4.85,41600,4.296
2015-01-07,4.90,4.90,4.85,4.89,37700,4.332
2015-01-08,4.90,4.97,4.90,4.93,33700,4.367
2015-01-09,4.92,4.96,4.90,4.91,31500,4.35
2015-01-12,4.92,4.95,4.88,4.88,19600,4.323
2015-01-13,4.89,4.925,4.88,4.90,4100,4.341
2015-01-14,4.94,4.94,4.75,4.90,18400,4.341
2015-01-15,4.89,4.90,4.88,4.90,13000,4.341
2015-01-16,4.90,4.90,4.76,4.80,4700,4.252
2015-01-19,4.79,4.80,4.78,4.80,15700,4.252
2015-01-20,4.80,4.90,4.78,4.79,13600,4.243
2015-01-21,4.76,4.82,4.74,4.79,28700,4.243
2015-01-22,4.80,4.80,4.72,4.73,18500,4.19
2015-01-23,4.76,4.79,4.72,4.77,25000,4.226
2015-01-26,4.77,4.77,4.77,4.77,000,4.226
2015-01-27,4.75,4.78,4.74,4.77,20300,4.226
2015-01-28,4.76,4.78,4.75,4.75,48100,4.208
2015-01-29,4.76,4.77,4.74,4.74,14100,4.199
2015-01-30,4.74,4.90,4.74,4.77,58000,4.226
2015-02-02,4.77,4.82,4.73,4.82,21200,4.27
2015-02-03,4.82,4.84,4.77,4.84,50800,4.288
2015-02-04,4.83,4.98,4.83,4.93,49500,4.367
2015-02-05,4.93,4.95,4.83,4.92,68300,4.358
2015-02-06,4.95,4.98,4.92,4.96,54000,4.394
2015-02-09,4.97,5.05,4.97,5.02,61100,4.447
2015-02-10,5.01,5.05,5.01,5.04,42300,4.465
2015-02-11,5.03,5.10,5.00,5.10,45000,4.518
2015-02-12,5.14,5.15,5.10,5.15,34100,4.562
2015-02-13,5.14,5.17,5.09,5.15,26000,4.562
2015-02-16,5.15,5.15,5.01,5.05,59200,4.474
2015-02-17,5.04,5.09,5.03,5.09,6800,4.509
2015-02-18,5.09,5.09,5.05,5.09,12400,4.509
2015-02-19,5.15,5.15,5.03,5.03,8600,4.456
2015-02-20,5.03,5.15,5.00,5.13,43300,4.545
2015-02-23,5.17,5.28,5.13,5.20,127600,4.607
2015-02-24,5.25,5.255,5.20,5.20,75000,4.607
2015-02-25,5.22,5.27,5.16,5.25,72600,4.651
2015-02-26,5.22,5.27,5.20,5.23,203400,4.633
2015-02-27,5.23,5.48,5.23,5.47,160500,4.846
2015-03-02,5.08,5.23,5.08,5.15,56300,4.682
2015-03-03,5.08,5.25,5.08,5.25,43600,4.773
2015-03-04,5.25,5.26,5.16,5.16,23100,4.691
2015-03-05,5.18,5.18,5.11,5.16,22200,4.691
2015-03-06,5.16,5.19,5.15,5.16,31800,4.691
