Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.85,2.85,2.85,2.85,000,2.5601
2015-01-02,2.85,2.85,2.85,2.85,000,2.5601
2015-01-05,2.85,2.85,2.80,2.80,2600,2.51519
2015-01-06,2.85,2.93,2.85,2.93,5500,2.63197
2015-01-07,3.03,3.03,3.00,3.00,18100,2.69485
2015-01-08,2.97,3.00,2.95,2.95,28200,2.64993
2015-01-09,3.00,3.00,2.95,2.95,5900,2.64993
2015-01-12,3.00,3.00,2.95,3.00,60300,2.69485
2015-01-13,2.98,3.00,2.95,2.96,19400,2.65891
2015-01-14,2.95,3.05,2.95,3.05,32700,2.73976
2015-01-15,3.04,3.05,3.04,3.05,13000,2.73976
2015-01-16,3.00,3.08,3.00,3.08,4700,2.76671
2015-01-19,3.07,3.09,3.07,3.09,20700,2.77569
2015-01-20,3.09,3.09,3.09,3.09,000,2.77569
2015-01-21,3.20,3.22,3.15,3.17,5800,2.84756
2015-01-22,3.27,3.27,3.11,3.15,17100,2.82959
2015-01-23,3.16,3.25,3.16,3.19,5900,2.86552
2015-01-26,3.19,3.19,3.19,3.19,000,2.86552
2015-01-27,3.22,3.30,3.22,3.30,54400,2.96434
2015-01-28,3.29,3.37,3.27,3.28,60900,2.94637
2015-01-29,3.35,3.35,3.15,3.15,32300,2.82959
2015-01-30,3.24,3.24,3.09,3.14,11400,2.82061
2015-02-02,3.15,3.20,3.14,3.20,14300,2.8745
2015-02-03,3.20,3.29,3.20,3.21,5700,2.88349
2015-02-04,3.15,3.31,3.15,3.26,18800,2.92841
2015-02-05,3.18,3.33,3.18,3.22,16600,2.89247
2015-02-06,3.22,3.32,3.22,3.32,8900,2.9823
2015-02-09,3.25,3.29,3.25,3.28,40300,2.94637
2015-02-10,3.25,3.25,3.25,3.25,1900,2.91942
2015-02-11,3.26,3.27,3.23,3.23,1100,2.90145
2015-02-12,3.20,3.20,3.17,3.18,5300,2.85654
2015-02-13,3.14,3.23,3.14,3.21,274900,2.88349
2015-02-16,3.24,3.25,3.22,3.25,44300,2.91942
