Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.23,0.23,0.23,0.23,000,0.23
2015-01-02,0.24,0.25,0.24,0.25,38300,0.25
2015-01-05,0.25,0.27,0.25,0.27,81200,0.27
2015-01-06,0.28,0.28,0.28,0.28,38000,0.28
2015-01-07,0.30,0.35,0.30,0.325,271700,0.325
2015-01-08,0.35,0.35,0.335,0.34,110700,0.34
2015-01-09,0.34,0.355,0.335,0.355,164200,0.355
2015-01-12,0.34,0.355,0.34,0.34,34000,0.34
2015-01-13,0.34,0.34,0.31,0.31,55700,0.31
2015-01-14,0.31,0.34,0.31,0.34,29000,0.34
2015-01-15,0.34,0.34,0.33,0.33,71400,0.33
2015-01-16,0.32,0.34,0.32,0.34,5000,0.34
2015-01-19,0.34,0.34,0.34,0.34,000,0.34
2015-01-20,0.34,0.34,0.34,0.34,000,0.34
2015-01-21,0.33,0.34,0.33,0.34,8000,0.34
2015-01-22,0.32,0.32,0.30,0.30,6800,0.30
2015-01-23,0.32,0.32,0.28,0.32,20000,0.32
2015-01-26,0.32,0.32,0.32,0.32,000,0.32
2015-01-27,0.32,0.32,0.32,0.32,000,0.32
2015-01-28,0.29,0.31,0.29,0.31,10800,0.31
2015-01-29,0.31,0.31,0.31,0.31,000,0.31
2015-01-30,0.28,0.30,0.28,0.30,3200,0.30
2015-02-02,0.30,0.30,0.30,0.30,000,0.30
2015-02-03,0.30,0.30,0.30,0.30,000,0.30
2015-02-04,0.285,0.285,0.285,0.285,12000,0.285
2015-02-05,0.29,0.29,0.29,0.29,18100,0.29
2015-02-06,0.29,0.29,0.29,0.29,000,0.29
2015-02-09,0.29,0.29,0.29,0.29,21500,0.29
2015-02-10,0.29,0.30,0.29,0.295,75300,0.295
2015-02-11,0.31,0.32,0.305,0.32,64400,0.32
2015-02-12,0.32,0.32,0.31,0.32,37100,0.32
2015-02-13,0.32,0.32,0.31,0.32,41600,0.32
2015-02-16,0.31,0.32,0.31,0.32,2600,0.32
2015-02-17,0.32,0.32,0.32,0.32,000,0.32
2015-02-18,0.32,0.32,0.31,0.31,32600,0.31
2015-02-19,0.305,0.305,0.30,0.30,43700,0.30
2015-02-20,0.30,0.30,0.295,0.295,109000,0.295
2015-02-23,0.295,0.295,0.295,0.295,6300,0.295
2015-02-24,0.295,0.30,0.295,0.30,10100,0.30
2015-02-25,0.30,0.31,0.30,0.30,114200,0.30
2015-02-26,0.31,0.34,0.31,0.32,248000,0.32
2015-02-27,0.305,0.32,0.305,0.32,19000,0.32
2015-03-02,0.335,0.335,0.33,0.335,192700,0.335
2015-03-03,0.335,0.335,0.335,0.335,35900,0.335
2015-03-04,0.34,0.38,0.34,0.37,252400,0.37
2015-03-05,0.37,0.37,0.36,0.36,41200,0.36
2015-03-06,0.34,0.34,0.31,0.34,103200,0.34
2015-03-09,0.35,0.35,0.35,0.35,20000,0.35
2015-03-10,0.34,0.34,0.32,0.32,63100,0.32
2015-03-11,0.325,0.34,0.325,0.34,18300,0.34
2015-03-12,0.325,0.325,0.325,0.325,3300,0.325
2015-03-13,0.325,0.325,0.325,0.325,000,0.325
2015-03-16,0.34,0.34,0.34,0.34,19000,0.34
2015-03-17,0.34,0.34,0.325,0.325,118000,0.325
2015-03-18,0.325,0.34,0.32,0.34,104900,0.34
2015-03-19,0.34,0.34,0.33,0.34,31600,0.34
2015-03-20,0.335,0.335,0.33,0.33,31500,0.33
2015-03-23,0.33,0.33,0.33,0.33,1700,0.33
2015-03-24,0.34,0.34,0.34,0.34,155000,0.34
2015-03-25,0.34,0.34,0.315,0.32,169600,0.32
2015-03-26,0.325,0.34,0.325,0.34,139500,0.34
2015-03-27,0.34,0.34,0.33,0.33,13100,0.33
2015-03-30,0.325,0.34,0.325,0.34,7300,0.34
2015-03-31,0.33,0.33,0.325,0.33,43000,0.33
2015-04-01,0.32,0.32,0.32,0.32,21000,0.32
2015-04-02,0.32,0.33,0.32,0.33,20600,0.33
2015-04-03,0.33,0.33,0.33,0.33,000,0.33
2015-04-06,0.33,0.33,0.33,0.33,000,0.33
2015-04-07,0.32,0.33,0.32,0.32,48700,0.32
2015-04-08,0.32,0.32,0.32,0.32,3000,0.32
2015-04-09,0.32,0.32,0.32,0.32,000,0.32
2015-04-10,0.32,0.32,0.32,0.32,9700,0.32
2015-04-13,0.32,0.325,0.32,0.325,19900,0.325
2015-04-14,0.34,0.34,0.33,0.33,23700,0.33
2015-04-15,0.34,0.34,0.34,0.34,62700,0.34
2015-04-16,0.33,0.34,0.33,0.34,41100,0.34
2015-04-17,0.34,0.37,0.34,0.37,87400,0.37
2015-04-20,0.37,0.45,0.37,0.45,315000,0.45
2015-04-21,0.425,0.46,0.425,0.445,247800,0.445
2015-04-22,0.43,0.44,0.425,0.425,124000,0.425
2015-04-23,0.41,0.41,0.40,0.40,40000,0.40
2015-04-24,0.425,0.435,0.405,0.405,81300,0.405
2015-04-27,0.41,0.41,0.405,0.405,47300,0.405
2015-04-28,0.43,0.43,0.405,0.415,26300,0.415
2015-04-29,0.415,0.42,0.415,0.42,56900,0.42
2015-04-30,0.42,0.42,0.415,0.415,57400,0.415
2015-05-01,0.415,0.44,0.415,0.435,77900,0.435
2015-05-04,0.44,0.44,0.43,0.43,136900,0.43
2015-05-05,0.42,0.42,0.42,0.42,5000,0.42
2015-05-06,0.42,0.42,0.42,0.42,000,0.42
2015-05-07,0.415,0.415,0.39,0.39,81400,0.39
2015-05-08,0.385,0.40,0.385,0.40,76600,0.40
2015-05-11,0.40,0.40,0.395,0.395,60800,0.395
2015-05-12,0.395,0.40,0.39,0.39,96000,0.39
2015-05-13,0.395,0.40,0.395,0.395,6300,0.395
2015-05-14,0.40,0.40,0.40,0.40,6100,0.40
2015-05-15,0.395,0.395,0.395,0.395,5700,0.395
2015-05-18,0.40,0.40,0.385,0.39,75200,0.39
2015-05-19,0.395,0.395,0.395,0.395,2700,0.395
2015-05-20,0.395,0.395,0.395,0.395,000,0.395
2015-05-21,0.395,0.395,0.39,0.39,14600,0.39
2015-05-22,0.395,0.395,0.39,0.39,13600,0.39
2015-05-25,0.395,0.415,0.395,0.405,26700,0.405
2015-05-26,0.405,0.405,0.395,0.395,28500,0.395
2015-05-27,0.40,0.41,0.40,0.41,59000,0.41
2015-05-28,0.41,0.43,0.41,0.43,63300,0.43
2015-05-29,0.435,0.52,0.435,0.495,204500,0.495
2015-06-01,0.50,0.50,0.475,0.475,86800,0.475
2015-06-02,0.45,0.45,0.45,0.45,4300,0.45
2015-06-03,0.455,0.455,0.45,0.45,44900,0.45
2015-06-04,0.46,0.47,0.45,0.45,74900,0.45
2015-06-05,0.455,0.455,0.455,0.455,20000,0.455
2015-06-08,0.455,0.455,0.455,0.455,000,0.455
2015-06-09,0.46,0.46,0.45,0.455,38200,0.455
2015-06-10,0.455,0.455,0.45,0.45,56600,0.45
2015-06-11,0.45,0.45,0.425,0.43,210000,0.43
2015-06-12,0.42,0.43,0.42,0.43,78700,0.43
2015-06-15,0.425,0.43,0.41,0.43,42600,0.43
2015-06-16,0.42,0.42,0.41,0.41,99800,0.41
2015-06-17,0.41,0.41,0.405,0.41,17600,0.41
2015-06-18,0.41,0.41,0.41,0.41,000,0.41
2015-06-19,0.41,0.42,0.40,0.41,28800,0.41
2015-06-22,0.435,0.435,0.41,0.425,87300,0.425
2015-06-23,0.425,0.425,0.425,0.425,000,0.425
2015-06-24,0.425,0.425,0.42,0.42,158500,0.42
2015-06-25,0.41,0.41,0.405,0.405,44000,0.405
