Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,31.9631,31.9631,31.9631,31.9631,000,29.14133
2015-01-02,31.8584,31.9441,31.6016,31.925,2002300,29.10659
2015-01-05,31.9536,32.1153,31.8109,31.9726,2934700,29.14999
2015-01-06,31.6777,31.7538,31.497,31.7158,5487600,28.91586
2015-01-07,31.4494,31.9536,31.2687,31.7919,5774600,28.98524
2015-01-08,31.9821,32.1438,31.6872,32.0773,4590800,29.24545
2015-01-09,32.2009,32.6004,32.1914,32.5624,7814600,29.68772
2015-01-12,32.3912,32.5148,32.1724,32.2675,3032300,29.41885
2015-01-13,32.0582,32.2009,31.8965,32.1629,3550400,29.32349
2015-01-14,32.1438,32.3912,31.9821,32.0677,5735400,29.23669
2015-01-15,31.9155,31.9631,31.6301,31.887,6408700,29.07194
2015-01-16,31.6111,31.8394,31.4874,31.7443,4158400,28.94184
2015-01-19,32.0582,32.0868,31.6206,31.6967,3685400,28.89844
2015-01-20,31.6777,32.0011,31.6682,31.925,4559000,29.10659
2015-01-21,32.1534,32.4197,32.0868,32.4197,7203100,29.55762
2015-01-22,32.5339,32.7622,32.5148,32.6575,6119700,29.77442
2015-01-23,32.9905,33.1046,32.8573,33.0761,6733600,30.15607
2015-01-26,33.0761,33.0761,33.0761,33.0761,000,30.15607
2015-01-27,33.1903,33.4851,33.0476,33.4376,6320900,30.48565
2015-01-28,33.2949,33.5803,33.1237,33.4851,7084200,30.52896
2015-01-29,33.371,33.8752,33.3615,33.7705,6846700,30.78917
2015-01-30,33.9608,34.0369,33.8847,33.8942,14709800,30.90194
2015-02-02,33.8942,33.9608,33.6944,33.9132,4809500,30.91927
2015-02-03,33.9988,34.522,33.9798,34.465,7467900,31.42235
2015-02-04,34.9121,34.9596,34.503,34.7218,7036400,31.65648
2015-02-05,34.4935,35.226,34.3318,35.1689,7482400,32.06411
2015-02-06,35.5875,35.616,35.0452,35.3972,7497500,32.27226
2015-02-09,35.1974,35.4733,34.9882,35.3877,4707500,32.26359
2015-02-10,35.245,35.2926,34.8835,35.226,3208100,32.11617
2015-02-11,35.3687,35.5589,34.9882,35.2545,3215200,32.14216
2015-02-12,35.4353,35.4353,34.836,34.9216,6125900,31.83864
2015-02-13,35.1499,35.8348,35.0548,35.6541,5893900,32.50648
