Date,Open,High,Low,Close,Volume,Adj Close
2015-07-06,0.23,0.27,0.23,0.23,2378500,0.23
2015-07-07,0.24,0.245,0.225,0.225,919400,0.225
2015-07-08,0.22,0.225,0.20,0.21,880200,0.21
2015-07-09,0.22,0.22,0.205,0.21,310600,0.21
2015-07-10,0.21,0.21,0.205,0.205,499500,0.205
2015-07-13,0.21,0.21,0.20,0.20,580700,0.20
2015-07-14,0.205,0.21,0.205,0.205,237300,0.205
2015-07-15,0.205,0.215,0.205,0.215,347000,0.215
2015-07-16,0.215,0.235,0.215,0.23,529200,0.23
2015-07-17,0.24,0.25,0.23,0.25,277400,0.25
2015-07-20,0.25,0.25,0.24,0.245,667000,0.245
2015-07-21,0.24,0.24,0.23,0.23,180100,0.23
2015-07-22,0.23,0.23,0.225,0.225,44000,0.225
2015-07-23,0.225,0.225,0.22,0.225,78800,0.225
2015-07-24,0.225,0.225,0.21,0.21,110700,0.21
2015-07-27,0.215,0.215,0.215,0.215,25600,0.215
2015-07-28,0.21,0.225,0.21,0.21,60600,0.21
2015-07-29,0.21,0.21,0.21,0.21,35000,0.21
2015-07-30,0.205,0.22,0.20,0.20,146400,0.20
2015-07-31,0.20,0.20,0.20,0.20,000,0.20
2015-08-03,0.20,0.20,0.20,0.20,20000,0.20
2015-08-04,0.20,0.20,0.20,0.20,135000,0.20
2015-08-05,0.20,0.20,0.20,0.20,000,0.20
2015-08-06,0.20,0.21,0.20,0.21,26200,0.21
2015-08-07,0.21,0.21,0.21,0.21,000,0.21
2015-08-10,0.21,0.21,0.21,0.21,000,0.21
2015-08-11,0.20,0.20,0.20,0.20,10000,0.20
2015-08-12,0.20,0.20,0.195,0.20,120000,0.20
2015-08-13,0.21,0.21,0.20,0.20,103000,0.20
2015-08-14,0.20,0.20,0.20,0.20,000,0.20
2015-08-17,0.20,0.20,0.20,0.20,20000,0.20
2015-08-18,0.1975,0.20,0.1975,0.20,105000,0.20
2015-08-19,0.20,0.20,0.20,0.20,000,0.20
2015-08-20,0.195,0.195,0.195,0.195,61000,0.195
2015-08-21,0.20,0.20,0.175,0.18,18600,0.18
2015-08-24,0.19,0.19,0.19,0.19,7500,0.19
2015-08-25,0.18,0.18,0.175,0.175,63500,0.175
2015-08-26,0.175,0.175,0.175,0.175,000,0.175
2015-08-27,0.175,0.175,0.175,0.175,000,0.175
2015-08-28,0.195,0.195,0.195,0.195,30000,0.195
2015-08-31,0.195,0.195,0.195,0.195,000,0.195
2015-09-01,0.19,0.20,0.19,0.19,125000,0.19
2015-09-02,0.18,0.18,0.18,0.18,14000,0.18
2015-09-03,0.17,0.17,0.17,0.17,6000,0.17
2015-09-04,0.165,0.165,0.16,0.16,28000,0.16
2015-09-07,0.16,0.16,0.15,0.15,50000,0.15
2015-09-08,0.18,0.20,0.18,0.20,50000,0.20
2015-09-09,0.20,0.20,0.20,0.20,000,0.20
2015-09-10,0.20,0.20,0.20,0.20,000,0.20
2015-09-11,0.20,0.20,0.20,0.20,000,0.20
2015-09-14,0.20,0.20,0.20,0.20,000,0.20
2015-09-15,0.17,0.17,0.17,0.17,30000,0.17
2015-09-16,0.17,0.17,0.17,0.17,000,0.17
2015-09-17,0.17,0.17,0.17,0.17,000,0.17
2015-09-18,0.17,0.17,0.17,0.17,000,0.17
2015-09-21,0.17,0.17,0.17,0.17,000,0.17
2015-09-22,0.17,0.17,0.17,0.17,000,0.17
2015-09-23,0.17,0.17,0.17,0.17,000,0.17
2015-09-24,0.17,0.17,0.17,0.17,000,0.17
2015-09-25,0.17,0.17,0.17,0.17,000,0.17
2015-09-28,0.17,0.17,0.17,0.17,000,0.17
2015-09-29,0.17,0.17,0.17,0.17,000,0.17
2015-09-30,0.17,0.17,0.17,0.17,000,0.17
2015-10-01,0.17,0.17,0.17,0.17,000,0.17
2015-10-02,0.16,0.16,0.16,0.16,29000,0.16
2015-10-05,0.16,0.16,0.16,0.16,000,0.16
2015-10-06,0.16,0.16,0.16,0.16,101000,0.16
2015-10-07,0.16,0.16,0.16,0.16,33000,0.16
2015-10-08,0.16,0.17,0.16,0.17,30000,0.17
2015-10-09,0.17,0.17,0.16,0.16,15000,0.16
2015-10-12,0.16,0.16,0.16,0.16,000,0.16
