Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.012,0.012,0.012,0.012,000,0.012
2015-01-02,0.012,0.012,0.012,0.012,000,0.012
2015-01-05,0.01,0.01,0.01,0.01,29700,0.01
2015-01-06,0.01,0.01,0.01,0.01,400000,0.01
2015-01-07,0.01,0.01,0.01,0.01,90000,0.01
2015-01-08,0.01,0.011,0.01,0.011,457400,0.011
2015-01-09,0.011,0.011,0.011,0.011,50000,0.011
2015-01-12,0.012,0.013,0.012,0.013,390000,0.013
2015-01-13,0.013,0.013,0.013,0.013,200000,0.013
2015-01-14,0.011,0.011,0.01,0.01,300000,0.01
2015-01-15,0.01,0.01,0.01,0.01,55000,0.01
2015-01-16,0.01,0.01,0.01,0.01,000,0.01
2015-01-19,0.012,0.012,0.012,0.012,21500,0.012
2015-01-20,0.012,0.012,0.012,0.012,000,0.012
2015-01-21,0.014,0.014,0.012,0.012,120000,0.012
2015-01-22,0.014,0.014,0.014,0.014,100000,0.014
2015-01-23,0.012,0.012,0.01,0.01,109500,0.01
2015-01-26,0.01,0.01,0.01,0.01,000,0.01
2015-01-27,0.01,0.014,0.01,0.014,34000,0.014
2015-01-28,0.011,0.011,0.011,0.011,300,0.011
2015-01-29,0.014,0.016,0.014,0.016,977000,0.016
2015-01-30,0.016,0.016,0.013,0.013,1099500,0.013
2015-02-02,0.013,0.013,0.013,0.013,000,0.013
2015-02-03,0.014,0.015,0.014,0.014,164300,0.014
2015-02-04,0.015,0.016,0.015,0.015,180600,0.015
2015-02-05,0.015,0.015,0.015,0.015,500000,0.015
2015-02-06,0.013,0.013,0.013,0.013,4000,0.013
2015-02-09,0.014,0.014,0.013,0.013,438100,0.013
2015-02-10,0.013,0.013,0.013,0.013,000,0.013
2015-02-11,0.013,0.013,0.013,0.013,1023000,0.013
2015-02-12,0.015,0.015,0.013,0.015,1138000,0.015
2015-02-13,0.015,0.015,0.015,0.015,000,0.015
2015-02-16,0.011,0.011,0.011,0.011,504000,0.011
2015-02-17,0.011,0.011,0.011,0.011,000,0.011
2015-02-18,0.011,0.011,0.011,0.011,000,0.011
2015-02-19,0.011,0.011,0.011,0.011,000,0.011
2015-02-20,0.011,0.012,0.011,0.012,806000,0.012
2015-02-23,0.012,0.012,0.012,0.012,000,0.012
2015-02-24,0.012,0.012,0.012,0.012,15000,0.012
2015-02-25,0.013,0.015,0.013,0.015,138500,0.015
2015-02-26,0.015,0.015,0.015,0.015,000,0.015
2015-02-27,0.015,0.015,0.015,0.015,000,0.015
2015-03-02,0.015,0.015,0.015,0.015,000,0.015
2015-03-03,0.015,0.015,0.015,0.015,000,0.015
2015-03-04,0.015,0.015,0.015,0.015,000,0.015
2015-03-05,0.015,0.015,0.015,0.015,000,0.015
2015-03-06,0.014,0.015,0.014,0.015,350000,0.015
2015-03-09,0.015,0.015,0.015,0.015,000,0.015
2015-03-10,0.012,0.012,0.012,0.012,100,0.012
2015-03-11,0.012,0.012,0.012,0.012,147400,0.012
2015-03-12,0.012,0.012,0.012,0.012,73300,0.012
2015-03-13,0.012,0.012,0.012,0.012,000,0.012
2015-03-16,0.012,0.012,0.012,0.012,143300,0.012
2015-03-17,0.014,0.014,0.014,0.014,292200,0.014
2015-03-18,0.014,0.014,0.012,0.012,70100,0.012
2015-03-19,0.012,0.012,0.011,0.012,381800,0.012
2015-03-20,0.012,0.012,0.01,0.01,500000,0.01
2015-03-23,0.01,0.01,0.01,0.01,000,0.01
2015-03-24,0.01,0.01,0.01,0.01,000,0.01
2015-03-25,0.013,0.015,0.012,0.012,345300,0.012
2015-03-26,0.012,0.012,0.012,0.012,000,0.012
2015-03-27,0.012,0.012,0.012,0.012,000,0.012
2015-03-30,0.012,0.012,0.012,0.012,000,0.012
2015-03-31,0.011,0.011,0.011,0.011,45000,0.011
2015-04-01,0.011,0.011,0.011,0.011,000,0.011
2015-04-02,0.012,0.012,0.012,0.012,150000,0.012
2015-04-03,0.012,0.012,0.012,0.012,000,0.012
2015-04-06,0.012,0.012,0.012,0.012,000,0.012
2015-04-07,0.012,0.012,0.012,0.012,300000,0.012
2015-04-08,0.012,0.012,0.012,0.012,14000,0.012
2015-04-09,0.012,0.013,0.011,0.013,1182400,0.013
2015-04-10,0.013,0.013,0.013,0.013,000,0.013
2015-04-13,0.013,0.013,0.013,0.013,000,0.013
2015-04-14,0.013,0.013,0.013,0.013,000,0.013
2015-04-15,0.013,0.013,0.013,0.013,000,0.013
2015-04-16,0.004,0.005,0.004,0.004,6171800,0.004
2015-04-17,0.005,0.006,0.005,0.006,6465900,0.006
2015-04-20,0.005,0.005,0.004,0.004,2297000,0.004
2015-04-21,0.005,0.005,0.005,0.005,1201300,0.005
2015-04-22,0.004,0.005,0.004,0.005,1623400,0.005
2015-04-23,0.005,0.005,0.005,0.005,91900,0.005
2015-04-24,0.005,0.005,0.005,0.005,6100,0.005
2015-04-27,0.005,0.005,0.005,0.005,1135000,0.005
2015-04-28,0.005,0.005,0.005,0.005,2010000,0.005
2015-04-29,0.005,0.005,0.005,0.005,000,0.005
2015-04-30,0.005,0.005,0.005,0.005,392300,0.005
2015-05-01,0.005,0.006,0.005,0.006,501200,0.006
2015-05-04,0.006,0.006,0.006,0.006,000,0.006
2015-05-05,0.005,0.005,0.005,0.005,4372400,0.005
2015-05-06,0.005,0.005,0.005,0.005,000,0.005
2015-05-07,0.005,0.005,0.005,0.005,000,0.005
2015-05-08,0.004,0.005,0.004,0.004,1866700,0.004
2015-05-11,0.005,0.005,0.005,0.005,50000,0.005
2015-05-12,0.004,0.004,0.004,0.004,3600,0.004
2015-05-13,0.004,0.004,0.004,0.004,000,0.004
2015-05-14,0.004,0.004,0.004,0.004,15000,0.004
2015-05-15,0.005,0.005,0.005,0.005,136900,0.005
2015-05-18,0.005,0.005,0.005,0.005,200000,0.005
2015-05-19,0.005,0.005,0.005,0.005,000,0.005
2015-05-20,0.005,0.005,0.005,0.005,000,0.005
2015-05-21,0.005,0.005,0.005,0.005,000,0.005
2015-05-22,0.004,0.005,0.004,0.005,900000,0.005
2015-05-25,0.004,0.004,0.004,0.004,17200,0.004
2015-05-26,0.004,0.004,0.004,0.004,000,0.004
2015-05-27,0.004,0.004,0.004,0.004,000,0.004
2015-05-28,0.004,0.004,0.004,0.004,000,0.004
2015-05-29,0.004,0.004,0.004,0.004,1077500,0.004
2015-06-01,0.004,0.004,0.004,0.004,340000,0.004
2015-06-02,0.004,0.004,0.004,0.004,30500,0.004
2015-06-03,0.004,0.004,0.004,0.004,000,0.004
2015-06-04,0.004,0.004,0.004,0.004,000,0.004
2015-06-05,0.005,0.005,0.004,0.004,414200,0.004
2015-06-08,0.004,0.004,0.004,0.004,000,0.004
2015-06-09,0.004,0.004,0.004,0.004,000,0.004
2015-06-10,0.004,0.004,0.004,0.004,70000,0.004
