Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.035,0.035,0.035,0.035,000,0.35
2015-01-02,0.035,0.035,0.034,0.034,8700,0.34
2015-01-05,0.035,0.035,0.034,0.034,34800,0.34
2015-01-06,0.034,0.034,0.032,0.032,342900,0.32
2015-01-07,0.032,0.034,0.031,0.034,373200,0.34
2015-01-08,0.034,0.034,0.034,0.034,17700,0.34
2015-01-09,0.034,0.034,0.033,0.033,41400,0.33
2015-01-12,0.033,0.033,0.033,0.033,35400,0.33
2015-01-13,0.033,0.033,0.033,0.033,219300,0.33
2015-01-14,0.033,0.035,0.033,0.035,122000,0.35
2015-01-15,0.034,0.034,0.034,0.034,38100,0.34
2015-01-16,0.034,0.034,0.033,0.034,91500,0.34
2015-01-19,0.034,0.034,0.033,0.033,66700,0.33
2015-01-20,0.033,0.034,0.033,0.034,16700,0.34
2015-01-21,0.034,0.034,0.034,0.034,000,0.34
2015-01-22,0.033,0.034,0.033,0.034,32100,0.34
2015-01-23,0.034,0.034,0.034,0.034,74900,0.34
2015-01-26,0.034,0.034,0.034,0.034,000,0.34
2015-01-27,0.034,0.034,0.034,0.034,17100,0.34
2015-01-28,0.033,0.034,0.033,0.034,151600,0.34
2015-01-29,0.034,0.034,0.034,0.034,67800,0.34
2015-01-30,0.033,0.034,0.033,0.034,137300,0.34
2015-02-02,0.034,0.034,0.034,0.034,67000,0.34
2015-02-03,0.034,0.034,0.034,0.034,181700,0.34
2015-02-04,0.034,0.034,0.033,0.033,114800,0.33
2015-02-05,0.033,0.033,0.033,0.033,6000,0.33
2015-02-06,0.033,0.034,0.033,0.034,55000,0.34
2015-02-09,0.034,0.034,0.034,0.034,43200,0.34
2015-02-10,0.034,0.034,0.033,0.033,43000,0.33
2015-02-11,0.033,0.034,0.033,0.034,39400,0.34
2015-02-12,0.034,0.034,0.034,0.034,58200,0.34
2015-02-13,0.034,0.034,0.034,0.034,45000,0.34
2015-02-16,0.034,0.034,0.033,0.033,25300,0.33
2015-02-17,0.034,0.034,0.034,0.034,42200,0.34
2015-02-18,0.034,0.034,0.033,0.033,73100,0.33
2015-02-19,0.033,0.033,0.033,0.033,13900,0.33
2015-02-20,0.033,0.033,0.032,0.032,37700,0.32
2015-02-23,0.032,0.033,0.032,0.032,173600,0.32
2015-02-24,0.033,0.034,0.032,0.033,90700,0.33
2015-02-25,0.033,0.033,0.032,0.032,139300,0.32
2015-02-26,0.032,0.033,0.032,0.033,52400,0.33
2015-02-27,0.033,0.033,0.032,0.033,110600,0.33
2015-03-02,0.032,0.032,0.031,0.031,268100,0.31
2015-03-03,0.032,0.033,0.032,0.032,552100,0.32
2015-03-04,0.032,0.033,0.032,0.033,133700,0.33
2015-03-05,0.033,0.033,0.032,0.032,338000,0.32
2015-03-06,0.032,0.032,0.032,0.032,117500,0.32
2015-03-09,0.032,0.032,0.032,0.032,000,0.32
