Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.075,0.075,0.075,0.075,000,0.075
2015-01-02,0.074,0.074,0.07,0.074,155900,0.074
2015-01-05,0.07,0.07,0.065,0.066,667600,0.066
2015-01-06,0.07,0.071,0.07,0.071,33600,0.071
2015-01-07,0.072,0.073,0.071,0.073,227400,0.073
2015-01-08,0.076,0.078,0.075,0.075,180600,0.075
2015-01-09,0.08,0.082,0.075,0.082,132000,0.082
2015-01-12,0.082,0.082,0.075,0.075,212200,0.075
2015-01-13,0.078,0.078,0.078,0.078,5000,0.078
2015-01-14,0.078,0.085,0.078,0.085,410000,0.085
2015-01-15,0.085,0.085,0.085,0.085,150600,0.085
2015-01-16,0.088,0.089,0.088,0.089,558300,0.089
2015-01-19,0.08,0.08,0.08,0.08,19300,0.08
2015-01-20,0.08,0.08,0.08,0.08,11500,0.08
2015-01-21,0.081,0.085,0.081,0.085,125000,0.085
2015-01-22,0.084,0.085,0.078,0.078,218800,0.078
2015-01-23,0.078,0.078,0.078,0.078,82400,0.078
2015-01-26,0.078,0.078,0.078,0.078,000,0.078
2015-01-27,0.078,0.082,0.076,0.079,91500,0.079
2015-01-28,0.081,0.081,0.081,0.081,600,0.081
2015-01-29,0.084,0.085,0.084,0.085,626100,0.085
2015-01-30,0.084,0.089,0.084,0.088,605900,0.088
2015-02-02,0.088,0.088,0.088,0.088,000,0.088
2015-02-03,0.088,0.088,0.085,0.085,279000,0.085
2015-02-04,0.087,0.087,0.082,0.083,451900,0.083
2015-02-05,0.088,0.089,0.085,0.088,497200,0.088
2015-02-06,0.088,0.09,0.088,0.088,174100,0.088
2015-02-09,0.09,0.09,0.085,0.09,267200,0.09
2015-02-10,0.09,0.09,0.084,0.088,79800,0.088
2015-02-11,0.084,0.084,0.084,0.084,22000,0.084
2015-02-12,0.084,0.084,0.084,0.084,21000,0.084
2015-02-13,0.085,0.088,0.085,0.086,90600,0.086
2015-02-16,0.086,0.086,0.085,0.085,399900,0.085
2015-02-17,0.084,0.085,0.084,0.084,217200,0.084
2015-02-18,0.084,0.087,0.081,0.087,509900,0.087
2015-02-19,0.083,0.085,0.081,0.083,284000,0.083
2015-02-20,0.084,0.085,0.084,0.084,306900,0.084
2015-02-23,0.085,0.085,0.083,0.083,48900,0.083
2015-02-24,0.08,0.08,0.075,0.075,760700,0.075
2015-02-25,0.075,0.083,0.074,0.075,424100,0.075
2015-02-26,0.081,0.081,0.081,0.081,100000,0.081
2015-02-27,0.08,0.08,0.074,0.08,258200,0.08
2015-03-02,0.08,0.08,0.075,0.075,605000,0.075
2015-03-03,0.075,0.075,0.075,0.075,250000,0.075
2015-03-04,0.075,0.075,0.071,0.075,1050400,0.075
2015-03-05,0.076,0.076,0.074,0.075,702600,0.075
2015-03-06,0.075,0.075,0.075,0.075,000,0.075
2015-03-09,0.075,0.075,0.075,0.075,000,0.075
2015-03-10,0.075,0.075,0.075,0.075,000,0.075
2015-03-11,0.076,0.076,0.075,0.075,747600,0.075
2015-03-12,0.076,0.076,0.073,0.075,234000,0.075
2015-03-13,0.08,0.08,0.075,0.075,436900,0.075
2015-03-16,0.078,0.079,0.075,0.075,287600,0.075
2015-03-17,0.074,0.077,0.072,0.075,1015600,0.075
2015-03-18,0.075,0.076,0.073,0.076,171500,0.076
2015-03-19,0.076,0.076,0.076,0.076,000,0.076
2015-03-20,0.076,0.077,0.073,0.073,59200,0.073
2015-03-23,0.073,0.073,0.071,0.071,726700,0.071
2015-03-24,0.071,0.071,0.071,0.071,000,0.071
2015-03-25,0.071,0.071,0.07,0.071,152000,0.071
2015-03-26,0.071,0.071,0.07,0.071,265000,0.071
2015-03-27,0.07,0.078,0.069,0.078,110600,0.078
2015-03-30,0.078,0.078,0.078,0.078,000,0.078
2015-03-31,0.069,0.07,0.068,0.069,130000,0.069
2015-04-01,0.074,0.075,0.074,0.075,212900,0.075
2015-04-02,0.07,0.07,0.069,0.069,13600,0.069
2015-04-03,0.069,0.069,0.069,0.069,000,0.069
2015-04-06,0.069,0.069,0.069,0.069,000,0.069
2015-04-07,0.075,0.075,0.068,0.069,275500,0.069
2015-04-08,0.069,0.069,0.069,0.069,2500,0.069
2015-04-09,0.069,0.07,0.068,0.07,1019800,0.07
2015-04-10,0.07,0.074,0.068,0.072,136000,0.072
2015-04-13,0.07,0.075,0.069,0.075,266000,0.075
2015-04-14,0.069,0.075,0.068,0.072,2128500,0.072
2015-04-15,0.07,0.072,0.07,0.072,1548600,0.072
2015-04-16,0.072,0.073,0.07,0.07,435600,0.07
2015-04-17,0.07,0.07,0.07,0.07,40000,0.07
2015-04-20,0.07,0.072,0.07,0.072,74000,0.072
2015-04-21,0.072,0.075,0.072,0.072,58400,0.072
2015-04-22,0.072,0.072,0.072,0.072,000,0.072
2015-04-23,0.073,0.076,0.073,0.074,613600,0.074
2015-04-24,0.073,0.077,0.073,0.077,80500,0.077
2015-04-27,0.073,0.075,0.07,0.075,828800,0.075
2015-04-28,0.07,0.077,0.068,0.077,291600,0.077
2015-04-29,0.077,0.077,0.077,0.077,68300,0.077
2015-04-30,0.071,0.071,0.071,0.071,5000,0.071
2015-05-01,0.075,0.075,0.071,0.071,13000,0.071
2015-05-04,0.072,0.076,0.072,0.074,245000,0.074
2015-05-05,0.075,0.077,0.072,0.077,691000,0.077
2015-05-06,0.073,0.073,0.073,0.073,144000,0.073
2015-05-07,0.073,0.073,0.073,0.073,19500,0.073
2015-05-08,0.078,0.08,0.078,0.08,1159900,0.08
