Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.48,0.48,0.48,0.48,000,0.48
2015-01-02,0.475,0.48,0.475,0.48,12400,0.48
2015-01-05,0.475,0.475,0.475,0.475,4000,0.475
2015-01-06,0.475,0.475,0.47,0.47,48100,0.47
2015-01-07,0.47,0.47,0.43,0.43,292700,0.43
2015-01-08,0.43,0.45,0.43,0.45,47500,0.45
2015-01-09,0.455,0.46,0.455,0.46,92600,0.46
2015-01-12,0.45,0.47,0.45,0.45,197000,0.45
2015-01-13,0.45,0.465,0.45,0.45,115600,0.45
2015-01-14,0.46,0.47,0.46,0.47,217800,0.47
2015-01-15,0.47,0.47,0.46,0.46,35000,0.46
2015-01-16,0.46,0.46,0.455,0.455,7400,0.455
2015-01-19,0.455,0.455,0.455,0.455,33100,0.455
2015-01-20,0.455,0.46,0.455,0.455,50000,0.455
2015-01-21,0.46,0.46,0.45,0.45,112700,0.45
2015-01-22,0.455,0.46,0.445,0.46,90500,0.46
2015-01-23,0.46,0.48,0.45,0.46,143200,0.46
2015-01-26,0.46,0.46,0.46,0.46,000,0.46
2015-01-27,0.45,0.46,0.43,0.46,117000,0.46
2015-01-28,0.45,0.46,0.45,0.45,37000,0.45
2015-01-29,0.45,0.46,0.45,0.46,27100,0.46
2015-01-30,0.46,0.52,0.45,0.52,1076500,0.52
2015-02-02,0.52,0.52,0.49,0.52,300200,0.52
2015-02-03,0.52,0.52,0.495,0.51,73300,0.51
2015-02-04,0.51,0.52,0.51,0.515,177800,0.515
2015-02-05,0.515,0.53,0.515,0.515,37900,0.515
2015-02-06,0.515,0.52,0.505,0.51,110700,0.51
2015-02-09,0.52,0.525,0.49,0.525,118800,0.525
2015-02-10,0.49,0.52,0.49,0.52,92800,0.52
2015-02-11,0.52,0.52,0.52,0.52,68700,0.52
2015-02-12,0.52,0.52,0.52,0.52,35600,0.52
2015-02-13,0.52,0.525,0.49,0.52,105600,0.52
2015-02-16,0.52,0.525,0.485,0.49,135500,0.49
2015-02-17,0.49,0.49,0.47,0.47,123300,0.47
2015-02-18,0.48,0.48,0.47,0.475,79500,0.475
2015-02-19,0.475,0.48,0.475,0.475,213200,0.475
2015-02-20,0.475,0.49,0.475,0.49,46500,0.49
2015-02-23,0.47,0.47,0.35,0.40,1681900,0.40
2015-02-24,0.42,0.445,0.41,0.44,688800,0.44
2015-02-25,0.44,0.45,0.44,0.44,166200,0.44
2015-02-26,0.44,0.44,0.44,0.44,226900,0.44
2015-02-27,0.45,0.45,0.44,0.44,110500,0.44
2015-03-02,0.435,0.45,0.43,0.45,230900,0.45
2015-03-03,0.475,0.51,0.475,0.50,196900,0.50
2015-03-04,0.50,0.505,0.485,0.485,308300,0.485
2015-03-05,0.485,0.495,0.475,0.49,268600,0.49
2015-03-06,0.485,0.485,0.47,0.47,272900,0.47
2015-03-09,0.465,0.465,0.45,0.45,179200,0.45
2015-03-10,0.455,0.465,0.45,0.465,88000,0.465
2015-03-11,0.465,0.47,0.445,0.445,159200,0.445
2015-03-12,0.45,0.47,0.45,0.47,188600,0.47
2015-03-13,0.48,0.51,0.48,0.48,687800,0.48
2015-03-16,0.49,0.555,0.49,0.555,412700,0.555
2015-03-17,0.54,0.54,0.53,0.53,103800,0.53
2015-03-18,0.53,0.54,0.53,0.535,264300,0.535
2015-03-19,0.54,0.56,0.535,0.56,329800,0.56
2015-03-20,0.56,0.60,0.56,0.60,357700,0.60
2015-03-23,0.605,0.62,0.595,0.605,416200,0.605
2015-03-24,0.61,0.625,0.595,0.60,599800,0.60
2015-03-25,0.60,0.63,0.60,0.625,105200,0.625
2015-03-26,0.625,0.63,0.60,0.63,218400,0.63
2015-03-27,0.64,0.695,0.63,0.665,168700,0.665
2015-03-30,0.66,0.67,0.62,0.63,150800,0.63
2015-03-31,0.63,0.675,0.63,0.665,386500,0.665
2015-04-01,0.665,0.665,0.64,0.64,628700,0.64
2015-04-02,0.65,0.655,0.645,0.645,61300,0.645
2015-04-03,0.645,0.645,0.645,0.645,000,0.645
2015-04-06,0.645,0.645,0.645,0.645,000,0.645
2015-04-07,0.64,0.67,0.64,0.65,252700,0.65
2015-04-08,0.67,0.675,0.65,0.675,33500,0.675
2015-04-09,0.67,0.67,0.625,0.625,75200,0.625
2015-04-10,0.63,0.65,0.62,0.62,105700,0.62
2015-04-13,0.65,0.655,0.64,0.645,71400,0.645
2015-04-14,0.64,0.64,0.63,0.63,27400,0.63
2015-04-15,0.64,0.645,0.63,0.645,100200,0.645
2015-04-16,0.645,0.645,0.63,0.63,88100,0.63
2015-04-17,0.63,0.63,0.62,0.63,17500,0.63
2015-04-20,0.625,0.625,0.62,0.62,32700,0.62
2015-04-21,0.615,0.615,0.585,0.585,135900,0.585
2015-04-22,0.56,0.57,0.55,0.555,166600,0.555
2015-04-23,0.555,0.56,0.55,0.56,51500,0.56
2015-04-24,0.56,0.565,0.56,0.56,22000,0.56
2015-04-27,0.57,0.595,0.57,0.595,70300,0.595
2015-04-28,0.60,0.60,0.57,0.57,13800,0.57
2015-04-29,0.57,0.60,0.57,0.58,38500,0.58
2015-04-30,0.60,0.60,0.57,0.60,49400,0.60
2015-05-01,0.58,0.595,0.58,0.595,74300,0.595
2015-05-04,0.60,0.645,0.60,0.61,189400,0.61
2015-05-05,0.61,0.625,0.60,0.60,91600,0.60
2015-05-06,0.60,0.60,0.58,0.60,69900,0.60
2015-05-07,0.595,0.595,0.56,0.56,102000,0.56
2015-05-08,0.56,0.57,0.555,0.57,72500,0.57
2015-05-11,0.57,0.58,0.565,0.565,105500,0.565
2015-05-12,0.575,0.585,0.57,0.585,125400,0.585
2015-05-13,0.57,0.58,0.56,0.58,43700,0.58
2015-05-14,0.56,0.575,0.56,0.565,96300,0.565
2015-05-15,0.565,0.565,0.56,0.56,73500,0.56
2015-05-18,0.56,0.56,0.55,0.55,112300,0.55
2015-05-19,0.56,0.56,0.56,0.56,10000,0.56
2015-05-20,0.56,0.56,0.56,0.56,85300,0.56
2015-05-21,0.56,0.575,0.56,0.575,17500,0.575
2015-05-22,0.58,0.582,0.56,0.582,39000,0.582
2015-05-25,0.585,0.59,0.585,0.59,57500,0.59
2015-05-26,0.63,0.655,0.63,0.64,306500,0.64
