Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.043,0.043,0.043,0.043,000,0.043
2015-01-02,0.044,0.051,0.044,0.047,1673000,0.047
2015-01-05,0.05,0.05,0.046,0.046,377200,0.046
2015-01-06,0.045,0.058,0.045,0.057,3487000,0.057
2015-01-07,0.057,0.058,0.053,0.056,1006800,0.056
2015-01-08,0.057,0.068,0.057,0.067,8681800,0.067
2015-01-09,0.065,0.072,0.062,0.068,4881900,0.068
2015-01-12,0.07,0.075,0.064,0.065,10904900,0.065
2015-01-13,0.066,0.078,0.066,0.078,18788500,0.078
2015-01-14,0.079,0.084,0.072,0.073,19516100,0.073
2015-01-15,0.073,0.076,0.071,0.073,2921600,0.073
2015-01-16,0.073,0.079,0.072,0.074,3471200,0.074
2015-01-19,0.074,0.087,0.072,0.085,15166800,0.085
2015-01-20,0.081,0.082,0.074,0.074,13559500,0.074
2015-01-21,0.075,0.077,0.072,0.073,3954000,0.073
2015-01-22,0.076,0.076,0.071,0.072,3093500,0.072
2015-01-23,0.071,0.073,0.07,0.072,2412000,0.072
2015-01-26,0.072,0.072,0.072,0.072,000,0.072
2015-01-27,0.072,0.073,0.072,0.072,1166400,0.072
2015-01-28,0.072,0.072,0.066,0.069,1859600,0.069
2015-01-29,0.065,0.071,0.065,0.071,2318300,0.071
2015-01-30,0.071,0.071,0.066,0.067,1677100,0.067
2015-02-02,0.065,0.069,0.064,0.066,1677000,0.066
2015-02-03,0.068,0.07,0.067,0.067,402000,0.067
2015-02-04,0.07,0.078,0.07,0.076,2913500,0.076
2015-02-05,0.077,0.08,0.074,0.074,4045300,0.074
2015-02-06,0.075,0.079,0.075,0.077,1281900,0.077
2015-02-09,0.078,0.08,0.077,0.077,3475600,0.077
2015-02-10,0.078,0.08,0.076,0.076,1454600,0.076
2015-02-11,0.077,0.079,0.076,0.077,2814000,0.077
2015-02-12,0.077,0.089,0.077,0.086,16731000,0.086
2015-02-13,0.091,0.093,0.087,0.09,12360900,0.09
2015-02-16,0.089,0.091,0.087,0.089,5923700,0.089
2015-02-17,0.091,0.097,0.091,0.093,6231000,0.093
2015-02-18,0.096,0.1025,0.094,0.098,11600500,0.098
2015-02-19,0.098,0.10,0.097,0.10,3862800,0.10
2015-02-20,0.10,0.105,0.09,0.092,9702200,0.092
2015-02-23,0.093,0.097,0.093,0.097,2439500,0.097
2015-02-24,0.099,0.099,0.094,0.094,2329000,0.094
2015-02-25,0.094,0.096,0.092,0.093,1443000,0.093
2015-02-26,0.094,0.098,0.093,0.098,1406500,0.098
2015-02-27,0.097,0.102,0.097,0.10,6292400,0.10
2015-03-02,0.099,0.115,0.098,0.115,6522900,0.115
2015-03-03,0.115,0.115,0.115,0.115,000,0.115
2015-03-04,0.115,0.115,0.115,0.115,000,0.115
2015-03-05,0.115,0.115,0.093,0.094,18232300,0.094
2015-03-06,0.092,0.093,0.088,0.089,5895900,0.089
2015-03-09,0.084,0.086,0.08,0.081,8292800,0.081
2015-03-10,0.081,0.09,0.081,0.087,3027500,0.087
2015-03-11,0.088,0.096,0.087,0.091,11828100,0.091
2015-03-12,0.091,0.093,0.086,0.088,1986200,0.088
2015-03-13,0.089,0.09,0.087,0.087,1089300,0.087
2015-03-16,0.088,0.088,0.084,0.084,1057200,0.084
2015-03-17,0.082,0.086,0.081,0.083,1968200,0.083
2015-03-18,0.086,0.086,0.076,0.08,2058400,0.08
2015-03-19,0.079,0.079,0.073,0.074,833200,0.074
2015-03-20,0.073,0.08,0.07,0.078,2548200,0.078
2015-03-23,0.078,0.078,0.073,0.074,304600,0.074
2015-03-24,0.073,0.073,0.068,0.069,2655400,0.069
2015-03-25,0.07,0.073,0.069,0.071,1657800,0.071
2015-03-26,0.071,0.074,0.068,0.068,1313100,0.068
2015-03-27,0.069,0.074,0.066,0.074,1363600,0.074
2015-03-30,0.073,0.073,0.069,0.071,499100,0.071
2015-03-31,0.07,0.071,0.066,0.066,1511600,0.066
2015-04-01,0.068,0.068,0.066,0.066,113700,0.066
2015-04-02,0.067,0.067,0.066,0.067,70100,0.067
2015-04-03,0.067,0.067,0.067,0.067,000,0.067
2015-04-06,0.067,0.067,0.067,0.067,000,0.067
2015-04-07,0.069,0.071,0.066,0.067,809800,0.067
2015-04-08,0.068,0.08,0.067,0.08,2971100,0.08
2015-04-09,0.082,0.085,0.08,0.081,2316400,0.081
2015-04-10,0.081,0.082,0.079,0.08,1237700,0.08
2015-04-13,0.083,0.085,0.08,0.082,2410900,0.082
2015-04-14,0.083,0.085,0.08,0.081,1500300,0.081
2015-04-15,0.081,0.081,0.078,0.078,962900,0.078
2015-04-16,0.078,0.08,0.075,0.08,569000,0.08
2015-04-17,0.08,0.08,0.076,0.076,129800,0.076
2015-04-20,0.078,0.083,0.076,0.082,1045000,0.082
2015-04-21,0.082,0.082,0.08,0.08,161000,0.08
2015-04-22,0.082,0.082,0.077,0.077,569600,0.077
2015-04-23,0.079,0.079,0.077,0.078,1200000,0.078
2015-04-24,0.078,0.078,0.077,0.077,128300,0.077
2015-04-27,0.077,0.078,0.076,0.077,547700,0.077
2015-04-28,0.077,0.081,0.077,0.08,1427800,0.08
2015-04-29,0.081,0.091,0.081,0.084,10813400,0.084
2015-04-30,0.086,0.105,0.084,0.105,21955000,0.105
2015-05-01,0.10,0.1025,0.096,0.096,6774800,0.096
2015-05-04,0.095,0.095,0.086,0.088,10688300,0.088
2015-05-05,0.088,0.096,0.087,0.092,7040700,0.092
2015-05-06,0.091,0.092,0.089,0.091,1513500,0.091
2015-05-07,0.089,0.091,0.087,0.089,1997400,0.089
2015-05-08,0.091,0.095,0.091,0.095,1285200,0.095
2015-05-11,0.096,0.105,0.096,0.10,3800600,0.10
2015-05-12,0.10,0.125,0.099,0.125,6510000,0.125
2015-05-13,0.125,0.135,0.115,0.125,9085100,0.125
2015-05-14,0.125,0.125,0.105,0.11,5495300,0.11
2015-05-15,0.11,0.11,0.098,0.105,4451600,0.105
2015-05-18,0.105,0.11,0.099,0.105,1164400,0.105
2015-05-19,0.105,0.105,0.10,0.10,500400,0.10
2015-05-20,0.10,0.10,0.099,0.10,1010700,0.10
2015-05-21,0.102,0.1025,0.102,0.102,200000,0.102
2015-05-22,0.10,0.105,0.10,0.102,1957100,0.102
2015-05-25,0.10,0.105,0.10,0.105,127100,0.105
2015-05-26,0.105,0.105,0.098,0.102,3162000,0.102
2015-05-27,0.10,0.105,0.098,0.105,2606400,0.105
2015-05-28,0.105,0.105,0.105,0.105,546000,0.105
2015-05-29,0.105,0.12,0.105,0.115,1996400,0.115
2015-06-01,0.115,0.12,0.115,0.12,611500,0.12
2015-06-02,0.115,0.12,0.105,0.105,1628900,0.105
2015-06-03,0.105,0.105,0.10,0.105,1965100,0.105
2015-06-04,0.105,0.125,0.10,0.125,3628800,0.125
2015-06-05,0.125,0.125,0.125,0.125,000,0.125
2015-06-08,0.125,0.125,0.125,0.125,000,0.125
2015-06-09,0.125,0.125,0.125,0.125,000,0.125
2015-06-10,0.115,0.15,0.115,0.145,16893800,0.145
2015-06-11,0.145,0.16,0.14,0.15,7009200,0.15
2015-06-12,0.155,0.16,0.135,0.135,3731700,0.135
2015-06-15,0.135,0.145,0.135,0.135,2834400,0.135
2015-06-16,0.135,0.145,0.135,0.135,2116200,0.135
2015-06-17,0.14,0.15,0.14,0.145,2834400,0.145
2015-06-18,0.15,0.15,0.14,0.14,1558900,0.14
2015-06-19,0.145,0.145,0.14,0.145,717500,0.145
2015-06-22,0.145,0.145,0.135,0.135,1184200,0.135
2015-06-23,0.135,0.14,0.135,0.135,1410700,0.135
2015-06-24,0.135,0.135,0.125,0.125,1599700,0.125
2015-06-25,0.125,0.135,0.125,0.135,538500,0.135
2015-06-26,0.14,0.145,0.135,0.135,1165500,0.135
2015-06-29,0.14,0.14,0.13,0.13,467600,0.13
2015-06-30,0.13,0.13,0.125,0.125,12000,0.125
2015-07-01,0.13,0.14,0.13,0.135,116900,0.135
2015-07-02,0.135,0.14,0.13,0.13,753600,0.13
2015-07-03,0.135,0.135,0.13,0.13,424300,0.13
2015-07-06,0.125,0.13,0.125,0.13,1223600,0.13
2015-07-07,0.13,0.13,0.13,0.13,306700,0.13
2015-07-08,0.13,0.13,0.09,0.093,9488600,0.093
2015-07-09,0.10,0.11,0.095,0.105,6000400,0.105
2015-07-10,0.11,0.11,0.10,0.10,1967400,0.10
2015-07-13,0.105,0.105,0.10,0.10,894800,0.10
2015-07-14,0.105,0.115,0.105,0.11,1519200,0.11
2015-07-15,0.115,0.135,0.115,0.125,2019000,0.125
2015-07-16,0.13,0.13,0.115,0.12,888300,0.12
2015-07-17,0.115,0.115,0.115,0.115,435600,0.115
2015-07-20,0.11,0.11,0.105,0.105,442100,0.105
2015-07-21,0.105,0.11,0.105,0.105,487200,0.105
2015-07-22,0.105,0.105,0.105,0.105,255600,0.105
2015-07-23,0.105,0.11,0.105,0.105,308200,0.105
2015-07-24,0.11,0.11,0.105,0.105,130000,0.105
2015-07-27,0.11,0.125,0.11,0.12,874000,0.12
2015-07-28,0.12,0.125,0.115,0.115,1103300,0.115
2015-07-29,0.115,0.125,0.115,0.125,1132000,0.125
2015-07-30,0.125,0.125,0.125,0.125,367400,0.125
2015-07-31,0.125,0.125,0.12,0.12,803100,0.12
2015-08-03,0.12,0.12,0.115,0.12,195000,0.12
2015-08-04,0.12,0.12,0.115,0.115,397700,0.115
2015-08-05,0.11,0.11,0.10,0.105,1335200,0.105
2015-08-06,0.105,0.105,0.10,0.105,816400,0.105
2015-08-07,0.105,0.105,0.10,0.102,174600,0.102
2015-08-10,0.115,0.115,0.105,0.105,1309700,0.105
2015-08-11,0.11,0.11,0.105,0.105,528700,0.105
2015-08-12,0.105,0.105,0.10,0.10,114600,0.10
2015-08-13,0.105,0.105,0.10,0.10,80400,0.10
2015-08-14,0.105,0.105,0.10,0.10,59400,0.10
2015-08-17,0.10,0.105,0.10,0.105,64500,0.105
2015-08-18,0.10,0.102,0.10,0.10,254000,0.10
2015-08-19,0.105,0.105,0.10,0.105,293700,0.105
2015-08-20,0.105,0.105,0.10,0.10,37200,0.10
2015-08-21,0.10,0.10,0.098,0.10,1954200,0.10
2015-08-24,0.098,0.098,0.087,0.088,1838300,0.088
2015-08-25,0.085,0.097,0.083,0.086,1248000,0.086
2015-08-26,0.09,0.09,0.087,0.087,157000,0.087
2015-08-27,0.09,0.094,0.089,0.09,741300,0.09
2015-08-28,0.09,0.09,0.082,0.086,1391700,0.086
2015-08-31,0.089,0.089,0.084,0.084,521900,0.084
2015-09-01,0.085,0.088,0.085,0.087,167900,0.087
