Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.635,0.635,0.635,0.635,000,0.635
2015-01-02,0.605,0.605,0.605,0.605,8500,0.605
2015-01-05,0.63,0.63,0.605,0.605,1700,0.605
2015-01-06,0.605,0.605,0.605,0.605,13800,0.605
2015-01-07,0.605,0.605,0.605,0.605,5000,0.605
2015-01-08,0.605,0.605,0.605,0.605,000,0.605
2015-01-09,0.605,0.625,0.59,0.59,6600,0.59
2015-01-12,0.60,0.60,0.60,0.60,1700,0.60
2015-01-13,0.60,0.61,0.60,0.60,24900,0.60
2015-01-14,0.60,0.60,0.60,0.60,000,0.60
2015-01-15,0.59,0.59,0.59,0.59,5000,0.59
2015-01-16,0.60,0.60,0.59,0.59,8300,0.59
2015-01-19,0.60,0.60,0.59,0.59,28500,0.59
2015-01-20,0.58,0.59,0.58,0.59,35800,0.59
2015-01-21,0.59,0.59,0.59,0.59,000,0.59
2015-01-22,0.58,0.58,0.58,0.58,9000,0.58
2015-01-23,0.555,0.595,0.555,0.595,21500,0.595
2015-01-26,0.595,0.595,0.595,0.595,000,0.595
2015-01-27,0.595,0.595,0.56,0.56,5000,0.56
2015-01-28,0.595,0.595,0.595,0.595,500,0.595
2015-01-29,0.595,0.595,0.595,0.595,000,0.595
2015-01-30,0.595,0.595,0.595,0.595,25000,0.595
2015-02-02,0.595,0.595,0.595,0.595,000,0.595
2015-02-03,0.595,0.62,0.595,0.62,40900,0.62
2015-02-04,0.63,0.63,0.625,0.625,12800,0.625
2015-02-05,0.60,0.60,0.60,0.60,700,0.60
2015-02-06,0.60,0.60,0.60,0.60,000,0.60
2015-02-09,0.61,0.61,0.60,0.61,46600,0.61
2015-02-10,0.61,0.61,0.61,0.61,86600,0.61
2015-02-11,0.61,0.61,0.61,0.61,000,0.61
2015-02-12,0.61,0.61,0.61,0.61,000,0.61
2015-02-13,0.61,0.61,0.61,0.61,000,0.61
2015-02-16,0.59,0.60,0.59,0.60,27800,0.60
2015-02-17,0.61,0.61,0.60,0.60,6600,0.60
2015-02-18,0.60,0.60,0.60,0.60,000,0.60
2015-02-19,0.60,0.60,0.60,0.60,1600,0.60
2015-02-20,0.605,0.62,0.605,0.62,61000,0.62
2015-02-23,0.63,0.63,0.63,0.63,900,0.63
2015-02-24,0.63,0.63,0.63,0.63,6600,0.63
2015-02-25,0.625,0.625,0.58,0.58,59600,0.58
2015-02-26,0.62,0.62,0.59,0.62,12000,0.62
2015-02-27,0.62,0.625,0.62,0.625,21000,0.625
2015-03-02,0.62,0.62,0.605,0.605,79200,0.605
2015-03-03,0.605,0.605,0.60,0.60,20000,0.60
2015-03-04,0.60,0.60,0.60,0.60,000,0.60
2015-03-05,0.60,0.60,0.585,0.585,44800,0.585
2015-03-06,0.58,0.58,0.58,0.58,15200,0.58
2015-03-09,0.58,0.58,0.58,0.58,000,0.58
2015-03-10,0.57,0.58,0.555,0.555,46900,0.555
2015-03-11,0.57,0.60,0.555,0.555,239600,0.555
2015-03-12,0.56,0.57,0.56,0.565,12500,0.565
2015-03-13,0.57,0.57,0.565,0.565,11000,0.565
2015-03-16,0.60,0.60,0.56,0.56,6400,0.56
2015-03-17,0.56,0.56,0.56,0.56,000,0.56
2015-03-18,0.59,0.59,0.59,0.59,1100,0.59
2015-03-19,0.59,0.59,0.59,0.59,000,0.59
2015-03-20,0.58,0.58,0.555,0.555,8100,0.555
2015-03-23,0.55,0.55,0.55,0.55,800,0.55
2015-03-24,0.55,0.58,0.53,0.58,27600,0.58
2015-03-25,0.55,0.56,0.55,0.56,4600,0.56
2015-03-26,0.54,0.54,0.54,0.54,7300,0.54
2015-03-27,0.54,0.54,0.54,0.54,000,0.54
2015-03-30,0.53,0.53,0.53,0.53,4000,0.53
2015-03-31,0.53,0.53,0.53,0.53,000,0.53
2015-04-01,0.56,0.56,0.56,0.56,900,0.56
2015-04-02,0.54,0.55,0.54,0.55,3100,0.55
2015-04-03,0.55,0.55,0.55,0.55,000,0.55
2015-04-06,0.55,0.55,0.55,0.55,000,0.55
2015-04-07,0.55,0.55,0.54,0.55,34800,0.55
2015-04-08,0.565,0.60,0.555,0.60,12900,0.60
2015-04-09,0.555,0.555,0.555,0.555,500,0.555
2015-04-10,0.58,0.58,0.56,0.56,21200,0.56
2015-04-13,0.56,0.56,0.56,0.56,1000,0.56
2015-04-14,0.56,0.56,0.56,0.56,6500,0.56
2015-04-15,0.56,0.56,0.56,0.56,000,0.56
2015-04-16,0.57,0.57,0.57,0.57,1500,0.57
2015-04-17,0.595,0.595,0.595,0.595,800,0.595
2015-04-20,0.58,0.58,0.58,0.58,800,0.58
2015-04-21,0.58,0.58,0.58,0.58,000,0.58
2015-04-22,0.57,0.595,0.57,0.595,8800,0.595
2015-04-23,0.55,0.55,0.55,0.55,14000,0.55
2015-04-24,0.55,0.55,0.55,0.55,000,0.55
2015-04-27,0.55,0.55,0.55,0.55,000,0.55
2015-04-28,0.55,0.55,0.55,0.55,000,0.55
2015-04-29,0.565,0.565,0.565,0.565,1000,0.565
2015-04-30,0.56,0.56,0.56,0.56,9400,0.56
2015-05-01,0.56,0.56,0.56,0.56,000,0.56
2015-05-04,0.57,0.595,0.57,0.575,25000,0.575
2015-05-05,0.595,0.605,0.58,0.605,41200,0.605
2015-05-06,0.605,0.605,0.605,0.605,000,0.605
2015-05-07,0.565,0.60,0.565,0.60,9900,0.60
2015-05-08,0.595,0.595,0.595,0.595,1700,0.595
2015-05-11,0.595,0.595,0.595,0.595,000,0.595
2015-05-12,0.56,0.56,0.56,0.56,10800,0.56
2015-05-13,0.56,0.56,0.56,0.56,000,0.56
2015-05-14,0.595,0.595,0.56,0.56,13400,0.56
2015-05-15,0.55,0.55,0.55,0.55,1400,0.55
2015-05-18,0.56,0.56,0.56,0.56,15500,0.56
2015-05-19,0.57,0.585,0.57,0.585,27300,0.585
2015-05-20,0.57,0.57,0.57,0.57,8000,0.57
2015-05-21,0.55,0.56,0.55,0.55,48900,0.55
2015-05-22,0.55,0.55,0.55,0.55,31800,0.55
2015-05-25,0.56,0.56,0.56,0.56,23100,0.56
2015-05-26,0.56,0.56,0.56,0.56,92200,0.56
2015-05-27,0.555,0.555,0.55,0.55,52500,0.55
2015-05-28,0.55,0.59,0.55,0.59,1300,0.59
2015-05-29,0.575,0.575,0.575,0.575,1600,0.575
2015-06-01,0.575,0.575,0.575,0.575,000,0.575
2015-06-02,0.555,0.555,0.555,0.555,13200,0.555
2015-06-03,0.555,0.555,0.55,0.55,38200,0.55
2015-06-04,0.56,0.56,0.55,0.55,14500,0.55
2015-06-05,0.575,0.575,0.55,0.55,40900,0.55
2015-06-08,0.55,0.55,0.55,0.55,000,0.55
2015-06-09,0.55,0.55,0.55,0.55,87800,0.55
2015-06-10,0.55,0.565,0.55,0.55,84900,0.55
2015-06-11,0.545,0.545,0.54,0.54,71600,0.54
2015-06-12,0.54,0.54,0.54,0.54,000,0.54
2015-06-15,0.515,0.515,0.51,0.51,32000,0.51
2015-06-16,0.50,0.50,0.50,0.50,8200,0.50
2015-06-17,0.50,0.51,0.49,0.51,64000,0.51
2015-06-18,0.49,0.49,0.49,0.49,10000,0.49
2015-06-19,0.48,0.48,0.48,0.48,300,0.48
2015-06-22,0.48,0.48,0.48,0.48,5000,0.48
2015-06-23,0.50,0.50,0.49,0.495,11500,0.495
2015-06-24,0.49,0.49,0.485,0.485,1600,0.485
2015-06-25,0.50,0.50,0.50,0.50,24000,0.50
2015-06-26,0.50,0.50,0.50,0.50,000,0.50
2015-06-29,0.49,0.49,0.485,0.485,10500,0.485
2015-06-30,0.485,0.485,0.485,0.485,1600,0.485
2015-07-01,0.49,0.49,0.46,0.46,86000,0.46
2015-07-02,0.46,0.46,0.46,0.46,000,0.46
2015-07-03,0.485,0.485,0.48,0.48,30000,0.48
2015-07-06,0.48,0.48,0.48,0.48,000,0.48
2015-07-07,0.47,0.47,0.47,0.47,10000,0.47
2015-07-08,0.47,0.48,0.47,0.48,300,0.48
2015-07-09,0.48,0.48,0.48,0.48,000,0.48
2015-07-10,0.465,0.465,0.465,0.465,15900,0.465
2015-07-13,0.465,0.465,0.465,0.465,000,0.465
2015-07-14,0.46,0.465,0.46,0.465,5200,0.465
2015-07-15,0.46,0.46,0.46,0.46,5200,0.46
2015-07-16,0.46,0.46,0.46,0.46,4000,0.46
2015-07-17,0.46,0.47,0.45,0.46,30600,0.46
2015-07-20,0.46,0.46,0.46,0.46,000,0.46
2015-07-21,0.46,0.46,0.46,0.46,000,0.46
2015-07-22,0.47,0.47,0.47,0.47,20000,0.47
2015-07-23,0.47,0.47,0.47,0.47,000,0.47
2015-07-24,0.47,0.47,0.47,0.47,000,0.47
2015-07-27,0.47,0.47,0.47,0.47,000,0.47
2015-07-28,0.455,0.455,0.45,0.45,57000,0.45
2015-07-29,0.45,0.47,0.45,0.45,8800,0.45
2015-07-30,0.46,0.46,0.46,0.46,12000,0.46
2015-07-31,0.46,0.46,0.46,0.46,000,0.46
2015-08-03,0.45,0.46,0.45,0.45,44000,0.45
2015-08-04,0.46,0.46,0.45,0.45,22100,0.45
2015-08-05,0.45,0.45,0.45,0.45,000,0.45
2015-08-06,0.45,0.45,0.42,0.42,1300,0.42
2015-08-07,0.42,0.42,0.42,0.42,000,0.42
2015-08-10,0.42,0.42,0.42,0.42,000,0.42
2015-08-11,0.42,0.42,0.42,0.42,000,0.42
2015-08-12,0.445,0.445,0.43,0.43,151200,0.43
2015-08-13,0.44,0.44,0.44,0.44,100000,0.44
2015-08-14,0.45,0.45,0.45,0.45,1200,0.45
2015-08-17,0.45,0.45,0.45,0.45,000,0.45
2015-08-18,0.435,0.435,0.435,0.435,1000,0.435
2015-08-19,0.42,0.43,0.405,0.405,27100,0.405
2015-08-20,0.405,0.405,0.405,0.405,000,0.405
2015-08-21,0.42,0.42,0.41,0.41,16500,0.41
2015-08-24,0.405,0.41,0.405,0.405,32400,0.405
2015-08-25,0.38,0.38,0.38,0.38,11800,0.38
2015-08-26,0.38,0.38,0.38,0.38,000,0.38
2015-08-27,0.38,0.38,0.38,0.38,000,0.38
2015-08-28,0.405,0.42,0.405,0.405,58200,0.405
2015-08-31,0.445,0.45,0.445,0.45,11700,0.45
2015-09-01,0.45,0.45,0.45,0.45,2600,0.45
2015-09-02,0.45,0.45,0.42,0.42,1800,0.42
2015-09-03,0.40,0.40,0.40,0.40,13000,0.40
2015-09-04,0.40,0.40,0.40,0.40,000,0.40
2015-09-07,0.40,0.40,0.39,0.39,3300,0.39
2015-09-08,0.40,0.40,0.40,0.40,7000,0.40
2015-09-09,0.40,0.40,0.39,0.39,29900,0.39
2015-09-10,0.39,0.39,0.38,0.38,8500,0.38
2015-09-11,0.38,0.38,0.38,0.38,000,0.38
2015-09-14,0.38,0.38,0.38,0.38,000,0.38
2015-09-15,0.38,0.38,0.38,0.38,000,0.38
2015-09-16,0.38,0.38,0.38,0.38,000,0.38
2015-09-17,0.38,0.38,0.38,0.38,000,0.38
2015-09-18,0.38,0.38,0.37,0.37,5200,0.37
2015-09-21,0.39,0.39,0.39,0.39,2600,0.39
2015-09-22,0.39,0.39,0.39,0.39,000,0.39
2015-09-23,0.39,0.39,0.39,0.39,000,0.39
2015-09-24,0.39,0.39,0.39,0.39,000,0.39
2015-09-25,0.39,0.39,0.39,0.39,000,0.39
2015-09-28,0.38,0.38,0.375,0.375,20400,0.375
