Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.38,1.38,1.38,1.38,000,1.38
2015-01-02,1.38,1.38,1.38,1.38,000,1.38
2015-01-05,1.38,1.38,1.38,1.38,000,1.38
2015-01-06,1.38,1.38,1.38,1.38,000,1.38
2015-01-07,1.385,1.385,1.38,1.38,20000,1.38
2015-01-08,1.38,1.38,1.38,1.38,000,1.38
2015-01-09,1.38,1.38,1.38,1.38,000,1.38
2015-01-12,1.38,1.38,1.38,1.38,000,1.38
2015-01-13,1.385,1.385,1.385,1.385,600,1.385
2015-01-14,1.385,1.385,1.385,1.385,000,1.385
2015-01-15,1.385,1.385,1.385,1.385,000,1.385
2015-01-16,1.385,1.385,1.385,1.385,000,1.385
2015-01-19,1.385,1.385,1.385,1.385,000,1.385
2015-01-20,1.385,1.385,1.385,1.385,000,1.385
2015-01-21,1.385,1.385,1.385,1.385,000,1.385
2015-01-22,1.385,1.385,1.385,1.385,000,1.385
2015-01-23,1.385,1.385,1.385,1.385,000,1.385
2015-01-26,1.385,1.385,1.385,1.385,000,1.385
2015-01-27,1.385,1.385,1.385,1.385,000,1.385
2015-01-28,1.385,1.385,1.385,1.385,000,1.385
2015-01-29,1.385,1.385,1.385,1.385,000,1.385
2015-01-30,1.385,1.385,1.385,1.385,000,1.385
2015-02-02,1.385,1.385,1.385,1.385,000,1.385
2015-02-03,1.385,1.385,1.385,1.385,000,1.385
2015-02-04,1.385,1.385,1.385,1.385,000,1.385
2015-02-05,1.385,1.385,1.385,1.385,000,1.385
2015-02-06,1.385,1.385,1.385,1.385,000,1.385
2015-02-09,1.385,1.385,1.385,1.385,000,1.385
2015-02-10,1.385,1.385,1.385,1.385,000,1.385
2015-02-11,1.385,1.385,1.385,1.385,000,1.385
2015-02-12,1.385,1.385,1.385,1.385,000,1.385
2015-02-13,1.385,1.385,1.385,1.385,000,1.385
2015-02-16,1.385,1.385,1.385,1.385,000,1.385
2015-02-17,1.385,1.385,1.385,1.385,000,1.385
2015-02-18,1.385,1.385,1.385,1.385,000,1.385
2015-02-19,1.385,1.385,1.385,1.385,000,1.385
2015-02-20,1.385,1.385,1.385,1.385,000,1.385
2015-02-23,1.385,1.385,1.385,1.385,000,1.385
2015-02-24,1.385,1.385,1.385,1.385,000,1.385
2015-02-25,1.255,1.255,1.255,1.255,1600,1.255
2015-02-26,1.255,1.255,1.255,1.255,000,1.255
2015-02-27,1.255,1.255,1.255,1.255,000,1.255
2015-03-02,1.255,1.255,1.255,1.255,000,1.255
2015-03-03,1.255,1.255,1.255,1.255,6700,1.255
2015-03-04,1.255,1.255,1.255,1.255,1000,1.255
2015-03-05,1.255,1.255,1.255,1.255,000,1.255
2015-03-06,1.255,1.255,1.255,1.255,000,1.255
2015-03-09,1.265,1.38,1.265,1.38,10000,1.38
2015-03-10,1.38,1.38,1.38,1.38,000,1.38
2015-03-11,1.36,1.36,1.36,1.36,400,1.36
2015-03-12,1.36,1.36,1.36,1.36,000,1.36
2015-03-13,1.36,1.36,1.36,1.36,000,1.36
2015-03-16,1.36,1.36,1.36,1.36,000,1.36
2015-03-17,1.36,1.36,1.36,1.36,000,1.36
2015-03-18,1.36,1.36,1.36,1.36,000,1.36
2015-03-19,1.36,1.36,1.36,1.36,000,1.36
2015-03-20,1.36,1.36,1.36,1.36,000,1.36
2015-03-23,1.36,1.36,1.35,1.35,1900,1.35
2015-03-24,1.325,1.325,1.32,1.32,26500,1.32
2015-03-25,1.32,1.32,1.29,1.30,92500,1.30
2015-03-26,1.30,1.335,1.30,1.335,7500,1.335
2015-03-27,1.335,1.335,1.335,1.335,000,1.335
2015-03-30,1.335,1.335,1.335,1.335,000,1.335
2015-03-31,1.335,1.335,1.335,1.335,000,1.335
2015-04-01,1.335,1.335,1.335,1.335,000,1.335
2015-04-02,1.285,1.285,1.285,1.285,4500,1.285
2015-04-03,1.285,1.285,1.285,1.285,000,1.285
2015-04-06,1.285,1.285,1.285,1.285,000,1.285
2015-04-07,1.285,1.285,1.285,1.285,000,1.285
2015-04-08,1.285,1.285,1.285,1.285,000,1.285
2015-04-09,1.285,1.285,1.285,1.285,000,1.285
2015-04-10,1.285,1.285,1.285,1.285,000,1.285
2015-04-13,1.285,1.285,1.285,1.285,000,1.285
2015-04-14,1.285,1.285,1.285,1.285,000,1.285
2015-04-15,1.285,1.285,1.285,1.285,000,1.285
2015-04-16,1.285,1.285,1.285,1.285,000,1.285
2015-04-17,1.285,1.285,1.285,1.285,000,1.285
2015-04-20,1.285,1.285,1.285,1.285,000,1.285
2015-04-21,1.285,1.285,1.285,1.285,000,1.285
2015-04-22,1.285,1.285,1.285,1.285,000,1.285
2015-04-23,1.25,1.25,1.25,1.25,5600,1.25
2015-04-24,1.25,1.25,1.25,1.25,000,1.25
2015-04-27,1.25,1.25,1.25,1.25,000,1.25
2015-04-28,1.25,1.25,1.25,1.25,000,1.25
2015-04-29,1.25,1.25,1.25,1.25,2300,1.25
2015-04-30,1.25,1.25,1.25,1.25,000,1.25
2015-05-01,1.25,1.25,1.25,1.25,000,1.25
2015-05-04,1.215,1.215,1.215,1.215,000,1.215
2015-05-05,1.215,1.215,1.215,1.215,000,1.215
2015-05-06,1.215,1.215,1.215,1.215,000,1.215
2015-05-07,1.21,1.21,1.21,1.21,19200,1.21
2015-05-08,1.21,1.21,1.21,1.21,000,1.21
2015-05-11,1.21,1.21,1.21,1.21,000,1.21
2015-05-12,1.21,1.21,1.21,1.21,000,1.21
2015-05-13,1.21,1.21,1.21,1.21,000,1.21
2015-05-14,1.21,1.21,1.21,1.21,000,1.21
2015-05-15,1.21,1.21,1.21,1.21,000,1.21
2015-05-18,1.21,1.21,1.21,1.21,000,1.21
2015-05-19,1.21,1.21,1.21,1.21,000,1.21
2015-05-20,1.18,1.18,1.18,1.18,1800,1.18
2015-05-21,1.18,1.18,1.18,1.18,000,1.18
2015-05-22,1.18,1.18,1.18,1.18,000,1.18
2015-05-25,1.25,1.30,1.25,1.30,26800,1.30
2015-05-26,1.30,1.30,1.30,1.30,000,1.30
2015-05-27,1.30,1.30,1.30,1.30,000,1.30
2015-05-28,1.30,1.30,1.30,1.30,000,1.30
2015-05-29,1.30,1.30,1.30,1.30,000,1.30
2015-06-01,1.29,1.30,1.29,1.30,12800,1.30
2015-06-02,1.30,1.30,1.30,1.30,000,1.30
2015-06-03,1.265,1.265,1.265,1.265,3000,1.265
2015-06-04,1.30,1.30,1.30,1.30,10000,1.30
2015-06-05,1.30,1.30,1.30,1.30,000,1.30
2015-06-08,1.30,1.30,1.30,1.30,000,1.30
2015-06-09,1.30,1.30,1.30,1.30,12000,1.30
2015-06-10,1.30,1.30,1.30,1.30,1300,1.30
2015-06-11,1.30,1.30,1.30,1.30,000,1.30
2015-06-12,1.27,1.27,1.27,1.27,5000,1.27
2015-06-15,1.27,1.27,1.27,1.27,000,1.27
2015-06-16,1.27,1.27,1.27,1.27,2500,1.27
2015-06-17,1.225,1.225,1.225,1.225,1500,1.225
2015-06-18,1.225,1.225,1.225,1.225,000,1.225
2015-06-19,1.225,1.225,1.22,1.22,1500,1.22
2015-06-22,1.22,1.22,1.22,1.22,000,1.22
2015-06-23,1.22,1.25,1.22,1.25,4500,1.25
2015-06-24,1.25,1.25,1.25,1.25,000,1.25
2015-06-25,1.25,1.25,1.25,1.25,1000,1.25
2015-06-26,1.25,1.25,1.25,1.25,000,1.25
2015-06-29,1.25,1.25,1.25,1.25,000,1.25
2015-06-30,1.25,1.25,1.25,1.25,000,1.25
2015-07-01,1.25,1.25,1.25,1.25,000,1.25
2015-07-02,1.25,1.25,1.25,1.25,000,1.25
2015-07-03,1.25,1.25,1.25,1.25,000,1.25
2015-07-06,1.25,1.25,1.25,1.25,000,1.25
2015-07-07,1.25,1.25,1.25,1.25,000,1.25
2015-07-08,1.22,1.22,1.22,1.22,3100,1.22
2015-07-09,1.205,1.205,1.205,1.205,800,1.205
2015-07-10,1.205,1.205,1.205,1.205,000,1.205
2015-07-13,1.205,1.205,1.205,1.205,000,1.205
2015-07-14,1.205,1.205,1.205,1.205,000,1.205
2015-07-15,1.205,1.205,1.205,1.205,000,1.205
2015-07-16,1.22,1.22,1.22,1.22,1500,1.22
2015-07-17,1.22,1.22,1.22,1.22,10000,1.22
2015-07-20,1.22,1.22,1.22,1.22,000,1.22
2015-07-21,1.22,1.22,1.22,1.22,200,1.22
2015-07-22,1.25,1.25,1.25,1.25,4000,1.25
2015-07-23,1.25,1.25,1.25,1.25,8600,1.25
