Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.34,0.34,0.34,0.34,000,0.34
2015-01-02,0.34,0.34,0.34,0.34,000,0.34
2015-01-05,0.34,0.34,0.34,0.34,000,0.34
2015-01-06,0.31,0.31,0.31,0.31,900,0.31
2015-01-07,0.31,0.31,0.31,0.31,000,0.31
2015-01-08,0.31,0.31,0.31,0.31,000,0.31
2015-01-09,0.35,0.35,0.35,0.35,1100,0.35
2015-01-12,0.35,0.35,0.35,0.35,000,0.35
2015-01-13,0.38,0.40,0.38,0.40,6300,0.40
2015-01-14,0.40,0.40,0.40,0.40,000,0.40
2015-01-15,0.40,0.40,0.40,0.40,000,0.40
2015-01-16,0.38,0.39,0.38,0.39,35200,0.39
2015-01-19,0.39,0.39,0.39,0.39,2500,0.39
2015-01-20,0.39,0.39,0.38,0.38,25000,0.38
2015-01-21,0.38,0.38,0.38,0.38,000,0.38
2015-01-22,0.395,0.395,0.395,0.395,22500,0.395
2015-01-23,0.395,0.395,0.395,0.395,000,0.395
2015-01-26,0.395,0.395,0.395,0.395,000,0.395
2015-01-27,0.39,0.39,0.38,0.38,8700,0.38
2015-01-28,0.38,0.38,0.37,0.37,5200,0.37
2015-01-29,0.37,0.37,0.31,0.35,46000,0.35
2015-01-30,0.35,0.35,0.33,0.33,33600,0.33
2015-02-02,0.31,0.32,0.31,0.32,92000,0.32
2015-02-03,0.33,0.35,0.33,0.35,47900,0.35
2015-02-04,0.365,0.38,0.365,0.38,213500,0.38
2015-02-05,0.38,0.38,0.38,0.38,000,0.38
2015-02-06,0.35,0.35,0.35,0.35,1400,0.35
2015-02-09,0.35,0.35,0.35,0.35,2200,0.35
2015-02-10,0.35,0.35,0.35,0.35,000,0.35
2015-02-11,0.35,0.40,0.35,0.40,113700,0.40
2015-02-12,0.42,0.42,0.38,0.38,73900,0.38
2015-02-13,0.40,0.40,0.38,0.40,119100,0.40
2015-02-16,0.42,0.45,0.42,0.44,104600,0.44
2015-02-17,0.41,0.41,0.41,0.41,30000,0.41
2015-02-18,0.415,0.415,0.41,0.41,10200,0.41
2015-02-19,0.41,0.41,0.41,0.41,400,0.41
2015-02-20,0.43,0.45,0.43,0.45,149500,0.45
2015-02-23,0.445,0.445,0.42,0.43,31700,0.43
2015-02-24,0.45,0.46,0.45,0.45,102300,0.45
2015-02-25,0.44,0.44,0.43,0.43,6300,0.43
2015-02-26,0.42,0.43,0.40,0.43,16300,0.43
2015-02-27,0.415,0.43,0.40,0.43,20200,0.43
2015-03-02,0.43,0.435,0.43,0.435,12100,0.435
2015-03-03,0.45,0.46,0.45,0.46,191500,0.46
2015-03-04,0.45,0.47,0.45,0.47,110300,0.47
2015-03-05,0.45,0.455,0.43,0.455,87600,0.455
2015-03-06,0.45,0.455,0.44,0.44,43500,0.44
2015-03-09,0.45,0.45,0.45,0.45,1500,0.45
2015-03-10,0.44,0.44,0.44,0.44,1518600,0.44
2015-03-11,0.43,0.43,0.43,0.43,13300,0.43
2015-03-12,0.44,0.49,0.44,0.48,1723500,0.48
2015-03-13,0.505,0.52,0.505,0.51,43400,0.51
2015-03-16,0.56,0.56,0.54,0.54,36200,0.54
2015-03-17,0.555,0.59,0.55,0.59,91300,0.59
2015-03-18,0.58,0.58,0.58,0.58,6500,0.58
2015-03-19,0.58,0.59,0.58,0.59,14700,0.59
2015-03-20,0.56,0.565,0.53,0.565,571200,0.565
2015-03-23,0.565,0.62,0.565,0.62,379600,0.62
2015-03-24,0.60,0.60,0.59,0.60,172200,0.60
2015-03-25,0.60,0.63,0.60,0.61,133600,0.61
2015-03-26,0.61,0.61,0.61,0.61,000,0.61
2015-03-27,0.57,0.57,0.56,0.57,125800,0.57
2015-03-30,0.57,0.57,0.56,0.56,26000,0.56
2015-03-31,0.56,0.56,0.555,0.56,50000,0.56
2015-04-01,0.555,0.555,0.55,0.55,93900,0.55
2015-04-02,0.51,0.51,0.51,0.51,29600,0.51
2015-04-03,0.51,0.51,0.51,0.51,000,0.51
2015-04-06,0.51,0.51,0.51,0.51,000,0.51
2015-04-07,0.51,0.51,0.51,0.51,000,0.51
2015-04-08,0.525,0.55,0.525,0.55,18200,0.55
2015-04-09,0.55,0.595,0.55,0.565,76100,0.565
2015-04-10,0.575,0.575,0.565,0.565,28400,0.565
2015-04-13,0.53,0.53,0.53,0.53,1300,0.53
2015-04-14,0.54,0.54,0.53,0.53,46100,0.53
2015-04-15,0.53,0.53,0.53,0.53,10800,0.53
2015-04-16,0.52,0.52,0.51,0.52,50000,0.52
2015-04-17,0.52,0.525,0.51,0.51,62500,0.51
2015-04-20,0.51,0.51,0.505,0.505,57800,0.505
2015-04-21,0.505,0.505,0.505,0.505,3800,0.505
2015-04-22,0.485,0.485,0.46,0.46,47500,0.46
2015-04-23,0.47,0.48,0.465,0.48,285500,0.48
2015-04-24,0.49,0.49,0.46,0.46,198400,0.46
2015-04-27,0.46,0.46,0.46,0.46,000,0.46
2015-04-28,0.43,0.46,0.42,0.46,239900,0.46
2015-04-29,0.46,0.46,0.46,0.46,7800,0.46
2015-04-30,0.46,0.46,0.46,0.46,42000,0.46
2015-05-01,0.45,0.45,0.45,0.45,100,0.45
2015-05-04,0.50,0.53,0.50,0.52,263200,0.52
2015-05-05,0.52,0.52,0.51,0.52,242600,0.52
2015-05-06,0.52,0.52,0.50,0.50,1245000,0.50
2015-05-07,0.52,0.53,0.52,0.53,75000,0.53
2015-05-08,0.52,0.52,0.52,0.52,2000,0.52
2015-05-11,0.52,0.52,0.52,0.52,000,0.52
2015-05-12,0.525,0.545,0.48,0.50,737800,0.50
2015-05-13,0.54,0.54,0.505,0.51,90100,0.51
2015-05-14,0.54,0.54,0.53,0.53,12000,0.53
2015-05-15,0.53,0.53,0.51,0.51,15300,0.51
2015-05-18,0.53,0.53,0.51,0.51,10000,0.51
2015-05-19,0.52,0.54,0.52,0.54,50000,0.54
2015-05-20,0.525,0.54,0.51,0.535,123100,0.535
2015-05-21,0.515,0.515,0.50,0.50,82800,0.50
2015-05-22,0.50,0.50,0.50,0.50,8500,0.50
2015-05-25,0.50,0.50,0.50,0.50,000,0.50
2015-05-26,0.52,0.53,0.50,0.50,25700,0.50
2015-05-27,0.50,0.50,0.50,0.50,50000,0.50
2015-05-28,0.50,0.50,0.50,0.50,8200,0.50
2015-05-29,0.50,0.535,0.50,0.535,33400,0.535
2015-06-01,0.535,0.535,0.535,0.535,000,0.535
2015-06-02,0.535,0.535,0.535,0.535,000,0.535
2015-06-03,0.535,0.535,0.535,0.535,1300,0.535
2015-06-04,0.51,0.51,0.51,0.51,10100,0.51
2015-06-05,0.51,0.51,0.51,0.51,000,0.51
2015-06-08,0.51,0.51,0.51,0.51,000,0.51
2015-06-09,0.51,0.51,0.51,0.51,000,0.51
2015-06-10,0.51,0.53,0.50,0.50,79600,0.50
2015-06-11,0.52,0.525,0.505,0.525,12100,0.525
2015-06-12,0.525,0.525,0.525,0.525,000,0.525
2015-06-15,0.52,0.52,0.505,0.515,41900,0.515
2015-06-16,0.505,0.505,0.50,0.50,34800,0.50
2015-06-17,0.50,0.50,0.50,0.50,10000,0.50
2015-06-18,0.51,0.51,0.51,0.51,1000,0.51
2015-06-19,0.50,0.50,0.50,0.50,4300,0.50
2015-06-22,0.50,0.51,0.50,0.51,235000,0.51
2015-06-23,0.47,0.50,0.47,0.50,36300,0.50
2015-06-24,0.50,0.51,0.50,0.51,2300,0.51
2015-06-25,0.50,0.51,0.49,0.50,109600,0.50
2015-06-26,0.49,0.49,0.49,0.49,1700,0.49
2015-06-29,0.49,0.50,0.49,0.50,53700,0.50
2015-06-30,0.50,0.50,0.49,0.49,320400,0.49
2015-07-01,0.50,0.50,0.50,0.50,1000,0.50
2015-07-02,0.49,0.49,0.49,0.49,1200,0.49
2015-07-03,0.50,0.525,0.50,0.50,52500,0.50
2015-07-06,0.53,0.54,0.53,0.53,964900,0.53
2015-07-07,0.54,0.575,0.54,0.55,286600,0.55
2015-07-08,0.54,0.55,0.54,0.55,119900,0.55
2015-07-09,0.55,0.55,0.53,0.53,145300,0.53
2015-07-10,0.54,0.54,0.54,0.54,20000,0.54
2015-07-13,0.53,0.53,0.53,0.53,10000,0.53
2015-07-14,0.53,0.54,0.52,0.54,200100,0.54
2015-07-15,0.54,0.57,0.54,0.56,165200,0.56
2015-07-16,0.57,0.59,0.57,0.575,141000,0.575
2015-07-17,0.59,0.60,0.59,0.60,320800,0.60
2015-07-20,0.60,0.60,0.60,0.60,208400,0.60
2015-07-21,0.61,0.63,0.61,0.63,32600,0.63
2015-07-22,0.63,0.65,0.63,0.64,25000,0.64
2015-07-23,0.64,0.67,0.64,0.67,115400,0.67
2015-07-24,0.68,0.68,0.63,0.63,30600,0.63
2015-07-27,0.63,0.64,0.63,0.63,40100,0.63
2015-07-28,0.63,0.63,0.63,0.63,50700,0.63
2015-07-29,0.61,0.61,0.60,0.60,16500,0.60
2015-07-30,0.63,0.63,0.63,0.63,30000,0.63
2015-07-31,0.62,0.62,0.60,0.60,130000,0.60
2015-08-03,0.60,0.61,0.60,0.60,69300,0.60
2015-08-04,0.60,0.60,0.60,0.60,137900,0.60
2015-08-05,0.60,0.64,0.60,0.61,8000,0.61
2015-08-06,0.61,0.61,0.61,0.61,130000,0.61
2015-08-07,0.61,0.61,0.61,0.61,000,0.61
2015-08-10,0.61,0.61,0.60,0.60,74300,0.60
2015-08-11,0.60,0.60,0.59,0.59,57800,0.59
2015-08-12,0.59,0.60,0.59,0.60,14100,0.60
2015-08-13,0.595,0.595,0.58,0.59,467000,0.59
2015-08-14,0.59,0.61,0.59,0.61,91000,0.61
2015-08-17,0.61,0.61,0.60,0.61,9500,0.61
2015-08-18,0.61,0.61,0.60,0.60,148500,0.60
2015-08-19,0.60,0.60,0.60,0.60,124600,0.60
2015-08-20,0.59,0.60,0.59,0.60,100000,0.60
2015-08-21,0.58,0.59,0.58,0.58,105000,0.58
2015-08-24,0.58,0.58,0.58,0.58,000,0.58
2015-08-25,0.55,0.55,0.54,0.54,56500,0.54
2015-08-26,0.60,0.63,0.575,0.60,563500,0.60
2015-08-27,0.62,0.75,0.62,0.70,775600,0.70
2015-08-28,0.75,0.77,0.69,0.70,342700,0.70
2015-08-31,0.70,0.70,0.64,0.64,254100,0.64
2015-09-01,0.64,0.67,0.61,0.625,384200,0.625
2015-09-02,0.625,0.66,0.625,0.645,159700,0.645
2015-09-03,0.67,0.67,0.65,0.65,241000,0.65
2015-09-04,0.67,0.67,0.655,0.655,107200,0.655
2015-09-07,0.655,0.66,0.645,0.645,128800,0.645
2015-09-08,0.645,0.65,0.58,0.62,415200,0.62
2015-09-09,0.62,0.62,0.615,0.615,8700,0.615
2015-09-10,0.60,0.60,0.54,0.56,78500,0.56
2015-09-11,0.56,0.56,0.56,0.56,6500,0.56
2015-09-14,0.565,0.57,0.56,0.56,45100,0.56
2015-09-15,0.56,0.56,0.555,0.555,18500,0.555
2015-09-16,0.52,0.52,0.48,0.48,183400,0.48
2015-09-17,0.455,0.51,0.455,0.51,118100,0.51
2015-09-18,0.50,0.535,0.50,0.525,137700,0.525
2015-09-21,0.525,0.525,0.525,0.525,000,0.525
2015-09-22,0.545,0.56,0.545,0.56,17800,0.56
2015-09-23,0.56,0.56,0.53,0.56,67800,0.56
2015-09-24,0.56,0.56,0.56,0.56,000,0.56
2015-09-25,0.59,0.59,0.59,0.59,12000,0.59
2015-09-28,0.565,0.565,0.565,0.565,10900,0.565
2015-09-29,0.56,0.56,0.55,0.55,112500,0.55
2015-09-30,0.56,0.59,0.56,0.59,19200,0.59
2015-10-01,0.615,0.64,0.57,0.57,21000,0.57
2015-10-02,0.57,0.57,0.57,0.57,000,0.57
2015-10-05,0.57,0.57,0.57,0.57,000,0.57
2015-10-06,0.60,0.60,0.565,0.565,13000,0.565
2015-10-07,0.58,0.58,0.58,0.58,100,0.58
2015-10-08,0.59,0.63,0.59,0.61,7200,0.61
2015-10-09,0.62,0.63,0.60,0.60,138000,0.60
2015-10-12,0.61,0.62,0.605,0.61,54100,0.61
2015-10-13,0.60,0.60,0.60,0.60,200,0.60
2015-10-14,0.60,0.60,0.60,0.60,43400,0.60
2015-10-15,0.60,0.60,0.60,0.60,16000,0.60
2015-10-16,0.60,0.60,0.60,0.60,10000,0.60
2015-10-19,0.60,0.60,0.60,0.60,2400,0.60
2015-10-20,0.60,0.60,0.60,0.60,000,0.60
2015-10-21,0.58,0.58,0.58,0.58,15000,0.58
2015-10-22,0.60,0.60,0.59,0.59,186000,0.59
2015-10-23,0.625,0.625,0.59,0.60,133000,0.60
