Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.08,2.08,2.08,2.08,000,2.08
2015-01-02,2.13,2.17,2.09,2.10,246800,2.10
2015-01-05,2.18,2.21,2.17,2.21,438100,2.21
2015-01-06,2.33,2.35,2.28,2.30,690400,2.30
2015-01-07,2.41,2.44,2.41,2.41,903900,2.41
2015-01-08,2.40,2.40,2.35,2.39,505800,2.39
2015-01-09,2.38,2.41,2.37,2.41,374400,2.41
2015-01-12,2.42,2.45,2.40,2.40,708700,2.40
2015-01-13,2.44,2.47,2.43,2.46,567400,2.46
2015-01-14,2.39,2.40,2.35,2.38,573800,2.38
2015-01-15,2.23,2.26,2.16,2.24,759100,2.24
2015-01-16,2.34,2.35,2.28,2.31,1454800,2.31
2015-01-19,2.33,2.39,2.33,2.38,571700,2.38
2015-01-20,2.44,2.50,2.44,2.47,593000,2.47
2015-01-21,2.61,2.63,2.59,2.61,488700,2.61
2015-01-22,2.62,2.70,2.62,2.68,712500,2.68
2015-01-23,2.80,2.88,2.80,2.87,650600,2.87
2015-01-26,2.87,2.87,2.87,2.87,000,2.87
2015-01-27,2.79,2.79,2.67,2.69,1470800,2.69
2015-01-28,2.80,2.84,2.77,2.80,918900,2.80
2015-01-29,2.80,2.80,2.73,2.74,694200,2.74
2015-01-30,2.67,2.67,2.62,2.67,465000,2.67
2015-02-02,2.79,2.83,2.74,2.78,671600,2.78
2015-02-03,2.80,2.82,2.78,2.80,451400,2.80
2015-02-04,2.70,2.70,2.64,2.69,411600,2.69
2015-02-05,2.75,2.77,2.72,2.75,333300,2.75
2015-02-06,2.78,2.79,2.74,2.75,171700,2.75
2015-02-09,2.60,2.61,2.56,2.60,594200,2.60
2015-02-10,2.63,2.63,2.57,2.62,236900,2.62
2015-02-11,2.69,2.70,2.63,2.66,412600,2.66
2015-02-12,2.60,2.65,2.56,2.61,297100,2.61
2015-02-13,2.64,2.69,2.64,2.67,448300,2.67
2015-02-16,2.64,2.65,2.60,2.64,542200,2.64
2015-02-17,2.63,2.67,2.61,2.64,281800,2.64
2015-02-18,2.59,2.62,2.58,2.59,273800,2.59
2015-02-19,2.63,2.68,2.63,2.68,428300,2.68
2015-02-20,2.71,2.73,2.61,2.61,897600,2.61
2015-02-23,2.56,2.59,2.50,2.51,459700,2.51
2015-02-24,2.54,2.57,2.48,2.51,204600,2.51
2015-02-25,2.55,2.60,2.54,2.55,276400,2.55
2015-02-26,2.51,2.52,2.46,2.47,415400,2.47
2015-02-27,2.46,2.48,2.43,2.47,237700,2.47
2015-03-02,2.48,2.51,2.45,2.50,157300,2.50
2015-03-03,2.45,2.45,2.38,2.40,374400,2.40
2015-03-04,2.37,2.42,2.36,2.38,166600,2.38
2015-03-05,2.40,2.44,2.38,2.41,198600,2.41
2015-03-06,2.41,2.41,2.38,2.41,220600,2.41
2015-03-09,2.30,2.33,2.23,2.23,488800,2.23
2015-03-10,2.22,2.27,2.16,2.20,427100,2.20
2015-03-11,2.11,2.115,2.07,2.10,1008200,2.10
2015-03-12,2.15,2.18,2.12,2.12,1212300,2.12
2015-03-13,2.15,2.23,2.13,2.19,899700,2.19
2015-03-16,2.20,2.23,2.16,2.19,889700,2.19
2015-03-17,2.13,2.19,2.11,2.17,799200,2.17
2015-03-18,2.19,2.24,2.16,2.24,700300,2.24
2015-03-19,2.35,2.41,2.34,2.36,661000,2.36
2015-03-20,2.42,2.48,2.42,2.46,2704300,2.46
2015-03-23,2.52,2.55,2.48,2.48,473300,2.48
2015-03-24,2.55,2.58,2.54,2.56,346600,2.56
2015-03-25,2.59,2.63,2.59,2.61,785000,2.61
2015-03-26,2.65,2.73,2.61,2.69,504700,2.69
2015-03-27,2.64,2.64,2.53,2.55,498800,2.55
2015-03-30,2.52,2.56,2.51,2.52,311000,2.52
2015-03-31,2.46,2.54,2.44,2.52,190700,2.52
2015-04-01,2.44,2.48,2.44,2.45,345000,2.45
2015-04-02,2.64,2.73,2.64,2.71,868000,2.71
2015-04-03,2.71,2.71,2.71,2.71,000,2.71
2015-04-06,2.71,2.71,2.71,2.71,000,2.71
2015-04-07,2.75,2.76,2.70,2.70,285800,2.70
2015-04-08,2.66,2.71,2.65,2.71,331900,2.71
2015-04-09,2.62,2.62,2.53,2.54,534900,2.54
2015-04-10,2.50,2.54,2.49,2.53,557000,2.53
2015-04-13,2.59,2.68,2.58,2.60,232300,2.60
2015-04-14,2.56,2.58,2.53,2.54,255800,2.54
2015-04-15,2.47,2.49,2.43,2.46,311600,2.46
2015-04-16,2.47,2.56,2.46,2.52,819900,2.52
2015-04-17,2.46,2.48,2.37,2.39,819900,2.39
2015-04-20,2.38,2.43,2.36,2.37,527800,2.37
2015-04-21,2.44,2.48,2.43,2.46,387800,2.46
2015-04-22,2.52,2.54,2.47,2.52,224400,2.52
2015-04-23,2.42,2.43,2.38,2.42,210700,2.42
2015-04-24,2.47,2.50,2.43,2.47,144700,2.47
2015-04-27,2.40,2.40,2.35,2.40,361600,2.40
2015-04-28,2.43,2.45,2.41,2.44,620700,2.44
2015-04-29,2.45,2.48,2.40,2.44,545300,2.44
2015-04-30,2.48,2.48,2.35,2.42,335400,2.42
2015-05-01,2.44,2.50,2.42,2.48,631600,2.48
2015-05-04,2.48,2.50,2.46,2.50,515400,2.50
2015-05-05,2.55,2.60,2.53,2.56,411000,2.56
2015-05-06,2.57,2.58,2.56,2.58,254600,2.58
2015-05-07,2.51,2.52,2.48,2.50,585600,2.50
2015-05-08,2.57,2.59,2.51,2.58,643300,2.58
2015-05-11,2.60,2.63,2.60,2.61,180100,2.61
2015-05-12,2.69,2.75,2.69,2.72,391100,2.72
2015-05-13,2.77,2.82,2.75,2.75,298000,2.75
2015-05-14,2.78,2.80,2.70,2.75,420500,2.75
2015-05-15,2.90,2.95,2.87,2.90,672200,2.90
2015-05-18,3.01,3.04,2.98,2.99,797400,2.99
2015-05-19,3.01,3.03,2.95,2.96,203400,2.96
2015-05-20,2.91,2.98,2.91,2.98,568400,2.98
