Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.055,0.055,0.055,0.055,000,0.055
2015-01-02,0.055,0.055,0.05,0.05,378800,0.05
2015-01-05,0.052,0.057,0.051,0.054,1092000,0.054
2015-01-06,0.051,0.055,0.051,0.054,669500,0.054
2015-01-07,0.054,0.054,0.052,0.054,359200,0.054
2015-01-08,0.053,0.054,0.05,0.05,1217500,0.05
2015-01-09,0.05,0.051,0.05,0.05,23300,0.05
2015-01-12,0.05,0.053,0.049,0.05,457000,0.05
2015-01-13,0.05,0.074,0.05,0.074,22900800,0.074
2015-01-14,0.068,0.078,0.061,0.064,24873300,0.064
2015-01-15,0.062,0.073,0.06,0.067,17192200,0.067
2015-01-16,0.066,0.071,0.06,0.06,6691700,0.06
2015-01-19,0.062,0.063,0.055,0.058,4767700,0.058
2015-01-20,0.057,0.06,0.055,0.056,2360900,0.056
2015-01-21,0.056,0.064,0.056,0.064,4678400,0.064
2015-01-22,0.065,0.071,0.058,0.058,12108900,0.058
2015-01-23,0.058,0.06,0.055,0.059,2698400,0.059
2015-01-26,0.059,0.059,0.059,0.059,000,0.059
2015-01-27,0.059,0.063,0.057,0.061,1537800,0.061
2015-01-28,0.061,0.066,0.06,0.064,3665500,0.064
2015-01-29,0.064,0.064,0.06,0.06,1193300,0.06
2015-01-30,0.06,0.064,0.06,0.06,1607100,0.06
2015-02-02,0.06,0.064,0.06,0.061,1592200,0.061
2015-02-03,0.062,0.07,0.062,0.068,7580200,0.068
2015-02-04,0.07,0.073,0.065,0.065,6591500,0.065
2015-02-05,0.065,0.068,0.063,0.066,1200300,0.066
2015-02-06,0.068,0.068,0.065,0.068,737200,0.068
2015-02-09,0.068,0.077,0.068,0.076,8539500,0.076
2015-02-10,0.077,0.089,0.076,0.078,17213200,0.078
2015-02-11,0.078,0.079,0.072,0.075,5049100,0.075
2015-02-12,0.078,0.082,0.075,0.079,5920100,0.079
2015-02-13,0.081,0.093,0.078,0.093,12586700,0.093
2015-02-16,0.09,0.105,0.089,0.105,11854600,0.105
2015-02-17,0.105,0.115,0.093,0.093,12270800,0.093
2015-02-18,0.093,0.095,0.087,0.088,6640400,0.088
2015-02-19,0.089,0.10,0.089,0.092,5302100,0.092
2015-02-20,0.095,0.098,0.092,0.095,2681800,0.095
2015-02-23,0.096,0.097,0.089,0.089,2056600,0.089
2015-02-24,0.089,0.097,0.089,0.093,2293300,0.093
2015-02-25,0.096,0.10,0.092,0.093,4893000,0.093
2015-02-26,0.093,0.094,0.088,0.09,3636600,0.09
2015-02-27,0.09,0.094,0.067,0.067,5825100,0.067
2015-03-02,0.063,0.067,0.057,0.063,6532300,0.063
2015-03-03,0.063,0.065,0.058,0.058,2029800,0.058
2015-03-04,0.06,0.062,0.058,0.059,750900,0.059
2015-03-05,0.061,0.064,0.059,0.059,336000,0.059
2015-03-06,0.059,0.06,0.055,0.055,417800,0.055
2015-03-09,0.055,0.06,0.055,0.06,287200,0.06
2015-03-10,0.059,0.062,0.059,0.06,986900,0.06
2015-03-11,0.058,0.059,0.056,0.059,266900,0.059
2015-03-12,0.061,0.076,0.061,0.074,2028600,0.074
2015-03-13,0.074,0.08,0.067,0.074,2071700,0.074
2015-03-16,0.074,0.074,0.07,0.072,665500,0.072
2015-03-17,0.072,0.08,0.07,0.072,3239000,0.072
2015-03-18,0.07,0.07,0.062,0.066,2206200,0.066
2015-03-19,0.065,0.065,0.062,0.063,795900,0.063
2015-03-20,0.063,0.063,0.062,0.062,318400,0.062
