Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.13,0.13,0.13,0.13,000,0.13
2015-01-02,0.115,0.115,0.115,0.115,30500,0.115
2015-01-05,0.115,0.115,0.115,0.115,000,0.115
2015-01-06,0.115,0.115,0.115,0.115,000,0.115
2015-01-07,0.115,0.115,0.115,0.115,000,0.115
2015-01-08,0.115,0.115,0.115,0.115,000,0.115
2015-01-09,0.07,0.07,0.07,0.07,200,0.07
2015-01-12,0.07,0.07,0.07,0.07,000,0.07
2015-01-13,0.07,0.07,0.07,0.07,000,0.07
2015-01-14,0.065,0.065,0.065,0.065,50000,0.065
2015-01-15,0.065,0.07,0.065,0.07,1155500,0.07
2015-01-16,0.07,0.07,0.07,0.07,000,0.07
2015-01-19,0.07,0.07,0.07,0.07,000,0.07
2015-01-20,0.07,0.07,0.07,0.07,000,0.07
2015-01-21,0.07,0.07,0.07,0.07,000,0.07
2015-01-22,0.07,0.07,0.07,0.07,000,0.07
2015-01-23,0.08,0.08,0.08,0.08,50000,0.08
2015-01-26,0.08,0.08,0.08,0.08,000,0.08
2015-01-27,0.074,0.074,0.074,0.074,38100,0.074
2015-01-28,0.074,0.074,0.074,0.074,000,0.074
2015-01-29,0.076,0.085,0.076,0.085,119600,0.085
2015-01-30,0.076,0.076,0.076,0.076,46700,0.076
2015-02-02,0.07,0.07,0.07,0.07,10000,0.07
2015-02-03,0.07,0.07,0.07,0.07,31600,0.07
2015-02-04,0.074,0.074,0.074,0.074,14100,0.074
2015-02-05,0.074,0.074,0.074,0.074,000,0.074
2015-02-06,0.074,0.074,0.074,0.074,144200,0.074
2015-02-09,0.072,0.074,0.072,0.074,66700,0.074
2015-02-10,0.074,0.074,0.074,0.074,000,0.074
2015-02-11,0.076,0.076,0.076,0.076,23200,0.076
2015-02-12,0.076,0.076,0.076,0.076,000,0.076
2015-02-13,0.076,0.076,0.076,0.076,000,0.076
2015-02-16,0.076,0.076,0.076,0.076,000,0.076
2015-02-17,0.076,0.076,0.076,0.076,000,0.076
2015-02-18,0.067,0.067,0.067,0.067,70300,0.067
2015-02-19,0.067,0.067,0.067,0.067,000,0.067
2015-02-20,0.067,0.067,0.067,0.067,000,0.067
2015-02-23,0.062,0.062,0.062,0.062,20000,0.062
2015-02-24,0.062,0.062,0.062,0.062,000,0.062
2015-02-25,0.062,0.062,0.062,0.062,000,0.062
2015-02-26,0.062,0.062,0.062,0.062,000,0.062
2015-02-27,0.062,0.062,0.062,0.062,000,0.062
2015-03-02,0.062,0.062,0.062,0.062,11300,0.062
2015-03-03,0.062,0.062,0.062,0.062,000,0.062
2015-03-04,0.06,0.063,0.06,0.063,239400,0.063
2015-03-05,0.063,0.063,0.063,0.063,000,0.063
2015-03-06,0.063,0.063,0.063,0.063,000,0.063
2015-03-09,0.063,0.063,0.063,0.063,000,0.063
2015-03-10,0.063,0.063,0.063,0.063,000,0.063
2015-03-11,0.063,0.063,0.063,0.063,000,0.063
2015-03-12,0.063,0.063,0.063,0.063,000,0.063
2015-03-13,0.063,0.063,0.063,0.063,000,0.063
2015-03-16,0.077,0.077,0.077,0.077,50000,0.077
2015-03-17,0.08,0.085,0.08,0.085,133800,0.085
2015-03-18,0.085,0.085,0.085,0.085,000,0.085
2015-03-19,0.085,0.085,0.085,0.085,000,0.085
2015-03-20,0.08,0.08,0.08,0.08,3900,0.08
2015-03-23,0.08,0.08,0.08,0.08,000,0.08
2015-03-24,0.08,0.095,0.08,0.095,150100,0.095
2015-03-25,0.095,0.095,0.095,0.095,000,0.095
2015-03-26,0.085,0.085,0.085,0.085,100000,0.085
2015-03-27,0.085,0.085,0.085,0.085,000,0.085
2015-03-30,0.085,0.085,0.085,0.085,000,0.085
2015-03-31,0.081,0.081,0.081,0.081,10000,0.081
2015-04-01,0.081,0.084,0.08,0.084,102000,0.084
2015-04-02,0.084,0.084,0.084,0.084,000,0.084
2015-04-03,0.084,0.084,0.084,0.084,000,0.084
2015-04-06,0.084,0.084,0.084,0.084,000,0.084
2015-04-07,0.084,0.084,0.084,0.084,200,0.084
2015-04-08,0.084,0.084,0.084,0.084,403500,0.084
2015-04-09,0.084,0.084,0.084,0.084,000,0.084
2015-04-10,0.084,0.084,0.083,0.083,150300,0.083
2015-04-13,0.083,0.083,0.083,0.083,000,0.083
2015-04-14,0.083,0.083,0.083,0.083,000,0.083
2015-04-15,0.083,0.083,0.083,0.083,000,0.083
2015-04-16,0.083,0.083,0.083,0.083,000,0.083
2015-04-17,0.083,0.083,0.083,0.083,120000,0.083
2015-04-20,0.078,0.078,0.078,0.078,130000,0.078
2015-04-21,0.078,0.078,0.078,0.078,000,0.078
2015-04-22,0.078,0.078,0.078,0.078,000,0.078
2015-04-23,0.077,0.077,0.077,0.077,56200,0.077
