Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,0.275,0.29,0.215,0.235,5233400,0.235
2015-04-01,0.24,0.245,0.235,0.235,1239100,0.235
2015-04-02,0.23,0.23,0.205,0.21,1320900,0.21
2015-04-03,0.21,0.21,0.21,0.21,000,0.21
2015-04-06,0.21,0.21,0.21,0.21,000,0.21
2015-04-07,0.22,0.22,0.21,0.21,338000,0.21
2015-04-08,0.21,0.21,0.205,0.21,176800,0.21
2015-04-09,0.215,0.22,0.21,0.21,262000,0.21
2015-04-10,0.21,0.22,0.195,0.205,567200,0.205
2015-04-13,0.20,0.20,0.19,0.19,369900,0.19
2015-04-14,0.19,0.20,0.19,0.19,137000,0.19
2015-04-15,0.19,0.20,0.18,0.195,511000,0.195
2015-04-16,0.185,0.19,0.17,0.185,275000,0.185
2015-04-17,0.195,0.195,0.195,0.195,130700,0.195
2015-04-20,0.19,0.195,0.19,0.195,60000,0.195
2015-04-21,0.19,0.20,0.185,0.20,94100,0.20
2015-04-22,0.20,0.20,0.185,0.20,90100,0.20
2015-04-23,0.20,0.20,0.185,0.185,40000,0.185
2015-04-24,0.19,0.195,0.19,0.19,70000,0.19
2015-04-27,0.19,0.19,0.185,0.185,43500,0.185
2015-04-28,0.185,0.19,0.185,0.19,152500,0.19
2015-04-29,0.19,0.21,0.19,0.205,623100,0.205
2015-04-30,0.205,0.205,0.185,0.20,115700,0.20
2015-05-01,0.19,0.19,0.19,0.19,22500,0.19
2015-05-04,0.185,0.185,0.185,0.185,95000,0.185
2015-05-05,0.185,0.185,0.18,0.18,300000,0.18
2015-05-06,0.18,0.18,0.18,0.18,000,0.18
2015-05-07,0.18,0.18,0.18,0.18,25000,0.18
2015-05-08,0.18,0.18,0.17,0.17,345600,0.17
2015-05-11,0.18,0.18,0.18,0.18,21500,0.18
2015-05-12,0.18,0.18,0.18,0.18,75300,0.18
2015-05-13,0.175,0.175,0.17,0.17,80000,0.17
2015-05-14,0.18,0.185,0.175,0.185,151000,0.185
2015-05-15,0.185,0.185,0.185,0.185,000,0.185
2015-05-18,0.18,0.19,0.18,0.185,97500,0.185
2015-05-19,0.18,0.18,0.175,0.175,223000,0.175
2015-05-20,0.175,0.175,0.17,0.17,398200,0.17
2015-05-21,0.17,0.175,0.17,0.17,115300,0.17
2015-05-22,0.175,0.175,0.175,0.175,12500,0.175
2015-05-25,0.175,0.175,0.175,0.175,000,0.175
2015-05-26,0.16,0.16,0.16,0.16,12800,0.16
2015-05-27,0.16,0.165,0.16,0.165,230000,0.165
2015-05-28,0.16,0.165,0.16,0.165,225200,0.165
2015-05-29,0.165,0.165,0.15,0.15,134100,0.15
2015-06-01,0.16,0.165,0.16,0.16,248000,0.16
2015-06-02,0.16,0.165,0.16,0.165,18700,0.165
2015-06-03,0.155,0.16,0.15,0.155,107000,0.155
2015-06-04,0.16,0.16,0.16,0.16,32000,0.16
2015-06-05,0.16,0.17,0.16,0.17,19500,0.17
2015-06-08,0.17,0.17,0.17,0.17,000,0.17
2015-06-09,0.16,0.165,0.16,0.16,230000,0.16
2015-06-10,0.16,0.16,0.16,0.16,000,0.16
2015-06-11,0.16,0.16,0.155,0.155,115100,0.155
2015-06-12,0.155,0.16,0.155,0.16,262600,0.16
2015-06-15,0.16,0.165,0.16,0.165,39900,0.165
2015-06-16,0.15,0.15,0.15,0.15,45000,0.15
2015-06-17,0.15,0.15,0.15,0.15,102200,0.15
2015-06-18,0.15,0.15,0.15,0.15,528100,0.15
2015-06-19,0.15,0.15,0.15,0.15,130000,0.15
2015-06-22,0.15,0.15,0.15,0.15,124500,0.15
2015-06-23,0.16,0.16,0.15,0.15,95000,0.15
2015-06-24,0.17,0.17,0.155,0.155,80800,0.155
2015-06-25,0.155,0.155,0.155,0.155,000,0.155
2015-06-26,0.15,0.15,0.15,0.15,8800,0.15
2015-06-29,0.16,0.16,0.16,0.16,55000,0.16
2015-06-30,0.16,0.165,0.15,0.15,151000,0.15
2015-07-01,0.15,0.15,0.15,0.15,50000,0.15
2015-07-02,0.15,0.15,0.15,0.15,140200,0.15
2015-07-03,0.15,0.15,0.15,0.15,19300,0.15
2015-07-06,0.15,0.15,0.15,0.15,29300,0.15
2015-07-07,0.15,0.16,0.15,0.16,30000,0.16
2015-07-08,0.16,0.16,0.16,0.16,000,0.16
2015-07-09,0.16,0.165,0.16,0.165,313100,0.165
2015-07-10,0.16,0.165,0.16,0.165,458200,0.165
2015-07-13,0.165,0.165,0.165,0.165,000,0.165
2015-07-14,0.17,0.17,0.165,0.17,95100,0.17
2015-07-15,0.17,0.17,0.17,0.17,000,0.17
2015-07-16,0.17,0.17,0.17,0.17,131500,0.17
2015-07-17,0.18,0.18,0.18,0.18,55500,0.18
2015-07-20,0.195,0.195,0.19,0.195,30000,0.195
2015-07-21,0.175,0.175,0.175,0.175,4600,0.175
2015-07-22,0.175,0.175,0.175,0.175,000,0.175
2015-07-23,0.175,0.175,0.175,0.175,169800,0.175
2015-07-24,0.175,0.175,0.175,0.175,200,0.175
2015-07-27,0.16,0.16,0.155,0.155,90000,0.155
2015-07-28,0.155,0.155,0.15,0.15,61000,0.15
2015-07-29,0.15,0.15,0.15,0.15,18900,0.15
2015-07-30,0.15,0.15,0.15,0.15,155900,0.15
2015-07-31,0.15,0.15,0.15,0.15,000,0.15
2015-08-03,0.15,0.15,0.15,0.15,50000,0.15
2015-08-04,0.15,0.15,0.15,0.15,000,0.15
2015-08-05,0.15,0.15,0.15,0.15,25000,0.15
2015-08-06,0.15,0.15,0.15,0.15,25000,0.15
2015-08-07,0.15,0.15,0.145,0.145,105000,0.145
2015-08-10,0.145,0.145,0.145,0.145,19500,0.145
2015-08-11,0.14,0.14,0.14,0.14,46400,0.14
2015-08-12,0.14,0.14,0.14,0.14,19500,0.14
2015-08-13,0.14,0.14,0.14,0.14,25000,0.14
2015-08-14,0.145,0.145,0.14,0.14,113200,0.14
2015-08-17,0.14,0.14,0.14,0.14,000,0.14
2015-08-18,0.14,0.14,0.14,0.14,000,0.14
2015-08-19,0.14,0.14,0.14,0.14,000,0.14
2015-08-20,0.155,0.155,0.14,0.14,62000,0.14
2015-08-21,0.14,0.16,0.14,0.15,359700,0.15
2015-08-24,0.15,0.15,0.14,0.14,543500,0.14
2015-08-25,0.13,0.135,0.13,0.135,36000,0.135
2015-08-26,0.15,0.15,0.145,0.15,1544000,0.15
2015-08-27,0.155,0.165,0.155,0.165,246600,0.165
2015-08-28,0.155,0.16,0.155,0.16,64500,0.16
2015-08-31,0.16,0.16,0.16,0.16,000,0.16
2015-09-01,0.155,0.16,0.15,0.16,155400,0.16
2015-09-02,0.15,0.15,0.15,0.15,1500,0.15
2015-09-03,0.15,0.15,0.145,0.145,250000,0.145
2015-09-04,0.15,0.15,0.15,0.15,35000,0.15
2015-09-07,0.14,0.14,0.14,0.14,10000,0.14
2015-09-08,0.14,0.14,0.14,0.14,150000,0.14
2015-09-09,0.15,0.165,0.145,0.145,65000,0.145
2015-09-10,0.155,0.155,0.155,0.155,4000,0.155
2015-09-11,0.16,0.17,0.16,0.17,106000,0.17
2015-09-14,0.17,0.17,0.17,0.17,000,0.17
2015-09-15,0.17,0.17,0.17,0.17,000,0.17
2015-09-16,0.155,0.155,0.155,0.155,100000,0.155
2015-09-17,0.155,0.155,0.145,0.145,188100,0.145
2015-09-18,0.145,0.145,0.145,0.145,000,0.145
2015-09-21,0.145,0.145,0.145,0.145,000,0.145
2015-09-22,0.15,0.15,0.15,0.15,37600,0.15
2015-09-23,0.15,0.15,0.15,0.15,000,0.15
2015-09-24,0.15,0.15,0.15,0.15,100000,0.15
2015-09-25,0.15,0.15,0.15,0.15,000,0.15
2015-09-28,0.145,0.145,0.145,0.145,60000,0.145
2015-09-29,0.145,0.145,0.145,0.145,165000,0.145
2015-09-30,0.145,0.145,0.145,0.145,000,0.145
2015-10-01,0.145,0.145,0.145,0.145,000,0.145
2015-10-02,0.145,0.145,0.145,0.145,000,0.145
2015-10-05,0.14,0.14,0.13,0.135,41100,0.135
2015-10-06,0.135,0.135,0.13,0.13,35000,0.13
2015-10-07,0.13,0.13,0.13,0.13,108800,0.13
2015-10-08,0.13,0.13,0.13,0.13,34900,0.13
2015-10-09,0.135,0.135,0.135,0.135,26600,0.135
2015-10-12,0.135,0.135,0.135,0.135,000,0.135
2015-10-13,0.135,0.135,0.135,0.135,000,0.135
2015-10-14,0.135,0.135,0.135,0.135,000,0.135
2015-10-15,0.13,0.13,0.125,0.125,90600,0.125
2015-10-16,0.125,0.125,0.125,0.125,000,0.125
2015-10-19,0.125,0.125,0.125,0.125,000,0.125
2015-10-20,0.135,0.135,0.135,0.135,40000,0.135
2015-10-21,0.135,0.135,0.135,0.135,12000,0.135
2015-10-22,0.135,0.15,0.135,0.15,300000,0.15
2015-10-23,0.155,0.155,0.15,0.15,94400,0.15
2015-10-26,0.155,0.155,0.155,0.155,347000,0.155
2015-10-27,0.16,0.18,0.16,0.16,546500,0.16
2015-10-28,0.16,0.16,0.16,0.16,000,0.16
2015-10-29,0.16,0.16,0.14,0.14,97800,0.14
2015-10-30,0.14,0.145,0.13,0.145,215500,0.145
2015-11-02,0.145,0.145,0.145,0.145,000,0.145
2015-11-03,0.145,0.145,0.145,0.145,000,0.145
2015-11-04,0.145,0.145,0.145,0.145,000,0.145
2015-11-05,0.135,0.135,0.135,0.135,10000,0.135
2015-11-06,0.135,0.135,0.135,0.135,000,0.135
2015-11-09,0.135,0.135,0.135,0.135,10000,0.135
2015-11-10,0.135,0.135,0.135,0.135,000,0.135
2015-11-11,0.135,0.135,0.135,0.135,2000,0.135
2015-11-12,0.135,0.135,0.135,0.135,000,0.135
2015-11-13,0.135,0.135,0.135,0.135,000,0.135
2015-11-16,0.135,0.135,0.12,0.12,89200,0.12
2015-11-17,0.12,0.12,0.12,0.12,27700,0.12
2015-11-18,0.11,0.12,0.11,0.11,517000,0.11
2015-11-19,0.11,0.12,0.11,0.11,1174800,0.11
2015-11-20,0.11,0.11,0.11,0.11,000,0.11
2015-11-23,0.11,0.11,0.11,0.11,000,0.11
2015-11-24,0.11,0.11,0.11,0.11,000,0.11
2015-11-25,0.13,0.14,0.13,0.14,86900,0.14
2015-11-26,0.14,0.14,0.14,0.14,000,0.14
2015-11-27,0.14,0.14,0.14,0.14,000,0.14
2015-11-30,0.14,0.14,0.14,0.14,000,0.14
2015-12-01,0.125,0.125,0.12,0.12,53200,0.12
2015-12-02,0.12,0.12,0.10,0.105,218500,0.105
2015-12-03,0.105,0.105,0.105,0.105,000,0.105
2015-12-04,0.105,0.105,0.105,0.105,115000,0.105
2015-12-07,0.105,0.105,0.10,0.105,96900,0.105
2015-12-08,0.105,0.105,0.10,0.10,144500,0.10
2015-12-09,0.11,0.11,0.10,0.10,132500,0.10
2015-12-10,0.10,0.10,0.10,0.10,000,0.10
2015-12-11,0.10,0.10,0.10,0.10,10000,0.10
2015-12-14,0.10,0.10,0.10,0.10,000,0.10
2015-12-15,0.10,0.10,0.10,0.10,000,0.10
2015-12-16,0.10,0.10,0.10,0.10,000,0.10
2015-12-17,0.10,0.10,0.10,0.10,000,0.10
2015-12-18,0.10,0.10,0.10,0.10,8400,0.10
2015-12-21,0.12,0.12,0.11,0.11,75000,0.11
2015-12-22,0.10,0.10,0.098,0.098,70000,0.098
2015-12-23,0.098,0.10,0.098,0.10,109700,0.10
2015-12-24,0.10,0.10,0.10,0.10,000,0.10
2015-12-25,0.10,0.10,0.10,0.10,000,0.10
2015-12-28,0.10,0.10,0.10,0.10,000,0.10
2015-12-29,0.10,0.10,0.10,0.10,000,0.10
2015-12-30,0.10,0.10,0.10,0.10,000,0.10
2015-12-31,0.10,0.10,0.10,0.10,000,0.10
2016-01-01,0.10,0.10,0.10,0.10,000,0.10
2016-01-04,0.10,0.10,0.10,0.10,000,0.10
2016-01-05,0.10,0.10,0.10,0.10,252300,0.10
2016-01-06,0.10,0.10,0.10,0.10,000,0.10
2016-01-07,0.12,0.125,0.11,0.11,419300,0.11
2016-01-08,0.11,0.11,0.105,0.105,39000,0.105
2016-01-11,0.105,0.115,0.105,0.11,104700,0.11
2016-01-12,0.098,0.098,0.098,0.098,48400,0.098
2016-01-13,0.098,0.098,0.098,0.098,000,0.098
2016-01-14,0.098,0.098,0.098,0.098,80000,0.098
2016-01-15,0.098,0.098,0.098,0.098,000,0.098
2016-01-18,0.105,0.11,0.105,0.11,71000,0.11
