Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.00,2.00,2.00,2.00,000,1.927
2015-01-02,2.05,2.05,2.05,2.05,4500,1.975
2015-01-05,2.03,2.03,2.01,2.03,600,1.956
2015-01-06,2.03,2.03,1.93,1.93,12900,1.859
2015-01-07,1.935,1.935,1.90,1.93,37800,1.859
2015-01-08,1.93,1.93,1.92,1.93,272600,1.859
2015-01-09,1.93,1.93,1.915,1.93,203300,1.859
2015-01-12,1.96,1.96,1.92,1.92,6200,1.85
2015-01-13,1.93,1.93,1.925,1.925,30800,1.855
2015-01-14,2.00,2.00,1.94,1.94,600,1.869
2015-01-15,1.93,1.93,1.93,1.93,3700,1.859
2015-01-16,1.95,1.95,1.93,1.93,63700,1.859
2015-01-19,1.93,1.93,1.92,1.93,3700,1.859
2015-01-20,1.92,1.93,1.90,1.90,1116300,1.831
2015-01-21,1.93,1.93,1.92,1.93,509800,1.859
2015-01-22,1.93,1.93,1.92,1.93,2300,1.859
2015-01-23,1.91,1.93,1.91,1.93,900100,1.859
2015-01-26,1.93,1.93,1.93,1.93,000,1.859
2015-01-27,1.96,2.03,1.96,1.97,12300,1.898
2015-01-28,1.98,2.02,1.97,1.99,106800,1.917
2015-01-29,2.02,2.10,2.01,2.03,78100,1.956
2015-01-30,2.05,2.09,2.05,2.05,65200,1.975
2015-02-02,2.07,2.25,2.07,2.15,304400,2.071
2015-02-03,2.20,2.20,2.18,2.19,88200,2.11
2015-02-04,2.19,2.25,2.18,2.24,97400,2.158
2015-02-05,2.25,2.28,2.25,2.27,101000,2.187
2015-02-06,2.30,2.33,2.27,2.30,51500,2.216
2015-02-09,2.32,2.35,2.25,2.29,92000,2.206
2015-02-10,2.28,2.28,2.25,2.28,2900,2.197
2015-02-11,2.26,2.30,2.25,2.25,106100,2.168
2015-02-12,2.25,2.25,2.24,2.25,75400,2.168
2015-02-13,2.25,2.26,2.25,2.25,24800,2.168
2015-02-16,2.25,2.25,2.21,2.21,8100,2.129
2015-02-17,2.25,2.25,2.24,2.24,9700,2.158
2015-02-18,2.23,2.24,2.21,2.24,13800,2.158
2015-02-19,2.26,2.27,2.23,2.23,114500,2.149
2015-02-20,2.24,2.25,2.22,2.22,185300,2.139
2015-02-23,2.25,2.27,2.22,2.25,160600,2.168
2015-02-24,2.26,2.39,2.26,2.38,388800,2.293
2015-02-25,2.39,2.47,2.37,2.37,194900,2.283
2015-02-26,2.39,2.49,2.39,2.49,101600,2.399
2015-02-27,2.49,2.49,2.42,2.45,30000,2.36
2015-03-02,2.46,2.47,2.44,2.45,52100,2.36
2015-03-03,2.45,2.45,2.42,2.42,14300,2.332
2015-03-04,2.43,2.45,2.41,2.42,176900,2.332
2015-03-05,2.42,2.42,2.25,2.35,232500,2.264
2015-03-06,2.35,2.49,2.35,2.45,282300,2.36
2015-03-09,2.45,2.45,2.42,2.44,219700,2.351
2015-03-10,2.44,2.45,2.35,2.45,37700,2.36
2015-03-11,2.45,2.46,2.44,2.45,123300,2.36
2015-03-12,2.45,2.45,2.41,2.44,16900,2.351
2015-03-13,2.44,2.44,2.43,2.44,23700,2.351
2015-03-16,2.44,2.49,2.40,2.43,107000,2.341
2015-03-17,2.45,2.45,2.35,2.45,111200,2.36
2015-03-18,2.415,2.46,2.40,2.46,233400,2.37
2015-03-19,2.41,2.45,2.37,2.40,326200,2.312
2015-03-20,2.37,2.40,2.32,2.32,898900,2.235
2015-03-23,2.35,2.39,2.32,2.36,51000,2.274
2015-03-24,2.41,2.41,2.32,2.32,154800,2.235
2015-03-25,2.38,2.38,2.38,2.38,6000,2.293
2015-03-26,2.35,2.39,2.33,2.36,205700,2.274
2015-03-27,2.38,2.39,2.33,2.34,52800,2.255
2015-03-30,2.38,2.38,2.33,2.38,38500,2.293
2015-03-31,2.38,2.38,2.36,2.36,8400,2.274
2015-04-01,2.36,2.40,2.33,2.40,3728600,2.312
2015-04-02,2.34,2.34,2.34,2.34,500,2.255
2015-04-03,2.34,2.34,2.34,2.34,000,2.255
2015-04-06,2.34,2.34,2.34,2.34,000,2.255
2015-04-07,2.35,2.35,2.33,2.34,13800,2.255
2015-04-08,2.32,2.46,2.32,2.40,235400,2.312
2015-04-09,2.40,2.40,2.36,2.36,37900,2.274
2015-04-10,2.36,2.41,2.36,2.40,1132300,2.312
2015-04-13,2.40,2.41,2.37,2.40,48400,2.312
2015-04-14,2.40,2.40,2.37,2.40,10100,2.312
2015-04-15,2.40,2.40,2.36,2.40,26100,2.312
