Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.95,1.95,1.95,1.95,000,1.8408
2015-01-02,1.90,1.94,1.90,1.93,1583100,1.8219
2015-01-05,1.93,1.98,1.925,1.975,2171300,1.8644
2015-01-06,1.93,1.97,1.92,1.935,2712000,1.8266
2015-01-07,1.91,2.00,1.91,1.95,3237100,1.8408
2015-01-08,1.96,2.02,1.95,1.99,4556400,1.8785
2015-01-09,1.99,2.08,1.99,2.06,4673500,1.9446
2015-01-12,2.06,2.07,1.995,2.01,2035400,1.8974
2015-01-13,2.01,2.04,2.01,2.02,2542200,1.9068
2015-01-14,2.02,2.07,2.01,2.05,4006100,1.9351
2015-01-15,2.05,2.06,2.03,2.04,3108400,1.9257
2015-01-16,2.01,2.06,2.01,2.06,2993500,1.9446
2015-01-19,2.08,2.09,2.01,2.02,6550900,1.9068
2015-01-20,2.02,2.03,1.99,2.01,3289900,1.8974
2015-01-21,2.02,2.07,2.01,2.06,2754400,1.9446
2015-01-22,2.07,2.08,2.03,2.03,3670400,1.9163
2015-01-23,2.07,2.15,2.04,2.12,5395300,2.0012
2015-01-26,2.12,2.12,2.12,2.12,000,2.0012
2015-01-27,2.13,2.22,2.13,2.16,3774300,2.039
2015-01-28,2.15,2.15,2.08,2.10,3158500,1.9823
2015-01-29,2.09,2.11,2.07,2.10,3642700,1.9823
2015-01-30,2.09,2.135,2.055,2.13,3493200,2.0107
2015-02-02,2.11,2.16,2.10,2.13,3464800,2.0107
2015-02-03,2.13,2.16,2.095,2.12,2176400,2.0012
2015-02-04,2.13,2.13,2.05,2.08,3718200,1.9635
2015-02-05,2.07,2.10,2.06,2.07,2523200,1.954
2015-02-06,2.10,2.14,2.07,2.14,4889400,2.0201
2015-02-09,2.13,2.15,2.10,2.12,1817800,2.0012
2015-02-10,2.14,2.14,2.06,2.10,2144300,1.9823
2015-02-11,2.11,2.13,2.04,2.04,2332100,1.9257
2015-02-12,2.05,2.06,1.98,1.99,3580700,1.8785
2015-02-13,2.01,2.07,1.997,2.02,3455700,1.9068
2015-02-16,2.02,2.05,2.01,2.04,1627600,1.9257
2015-02-17,2.05,2.08,2.01,2.01,5089300,1.8974
2015-02-18,2.03,2.08,2.02,2.02,3260200,1.9068
2015-02-19,2.07,2.07,2.02,2.04,4858000,1.9257
2015-02-20,2.08,2.08,2.00,2.00,2851700,1.888
2015-02-23,2.01,2.04,1.99,2.02,2964800,1.9068
2015-02-24,2.12,2.23,2.08,2.18,11988500,2.0579
2015-02-25,2.28,2.44,2.25,2.31,10760800,2.1806
2015-02-26,2.30,2.32,2.23,2.28,7580200,2.1523
2015-02-27,2.34,2.34,2.255,2.27,12031100,2.1428
2015-03-02,2.27,2.31,2.255,2.30,4994700,2.1711
2015-03-03,2.30,2.33,2.21,2.23,5070000,2.1051
2015-03-04,2.29,2.32,2.25,2.30,6325000,2.1711
2015-03-05,2.30,2.42,2.28,2.35,8812900,2.2183
2015-03-06,2.35,2.38,2.33,2.37,2520400,2.2372
2015-03-09,2.38,2.43,2.31,2.34,3543600,2.2089
2015-03-10,2.32,2.37,2.25,2.36,2798100,2.2616
2015-03-11,2.34,2.36,2.31,2.34,2946000,2.2424
2015-03-12,2.35,2.40,2.35,2.36,2829000,2.2616
2015-03-13,2.37,2.38,2.33,2.37,2585000,2.2712
2015-03-16,2.34,2.345,2.29,2.32,3158300,2.2233
2015-03-17,2.34,2.35,2.30,2.31,2947900,2.2137
2015-03-18,2.31,2.38,2.30,2.37,3742100,2.2712
2015-03-19,2.37,2.37,2.34,2.36,4983100,2.2616
2015-03-20,2.37,2.37,2.35,2.36,3633300,2.2616
2015-03-23,2.37,2.37,2.29,2.30,5126800,2.2041
2015-03-24,2.33,2.335,2.30,2.32,3744000,2.2233
2015-03-25,2.32,2.33,2.28,2.30,7490200,2.2041
2015-03-26,2.29,2.30,2.225,2.25,2501600,2.1562
2015-03-27,2.25,2.29,2.24,2.28,2155800,2.1849
2015-03-30,2.28,2.33,2.27,2.29,3167800,2.1945
2015-03-31,2.29,2.31,2.25,2.27,3906800,2.1754
2015-04-01,2.28,2.295,2.22,2.25,3350300,2.1562
2015-04-02,2.26,2.335,2.25,2.31,5593200,2.2137
2015-04-03,2.31,2.31,2.31,2.31,000,2.2137
2015-04-06,2.31,2.31,2.31,2.31,000,2.2137
2015-04-07,2.32,2.37,2.26,2.28,3460100,2.1849
2015-04-08,2.28,2.30,2.26,2.26,2671000,2.1658
2015-04-09,2.28,2.30,2.27,2.29,2099800,2.1945
2015-04-10,2.30,2.31,2.25,2.26,1722300,2.1658
2015-04-13,2.26,2.29,2.26,2.26,2488900,2.1658
