Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,12.10,12.10,12.10,12.10,000,10.395
2015-01-02,11.90,12.30,11.90,12.15,10200,10.437
2015-01-05,12.15,12.39,12.15,12.15,28500,10.437
2015-01-06,12.10,12.10,11.91,12.00,19600,10.309
2015-01-07,12.00,12.14,11.91,12.00,18700,10.309
2015-01-08,12.04,12.05,11.90,12.04,11800,10.343
2015-01-09,12.05,12.10,11.95,12.00,47000,10.309
2015-01-12,11.83,11.97,11.75,11.75,38700,10.094
2015-01-13,11.72,11.73,11.51,11.61,46000,9.974
2015-01-14,11.60,11.70,11.57,11.64,48700,9.999
2015-01-15,11.64,12.05,11.59,12.00,40200,10.309
2015-01-16,12.00,12.04,11.79,11.95,33900,10.266
2015-01-19,11.95,12.05,11.88,11.95,27400,10.266
2015-01-20,12.00,12.20,11.95,12.20,117000,10.48
2015-01-21,11.87,12.10,11.87,11.90,28500,10.223
2015-01-22,12.02,12.46,12.02,12.35,42300,10.609
2015-01-23,12.40,12.65,12.21,12.30,79700,10.566
2015-01-26,12.30,12.30,12.30,12.30,000,10.566
2015-01-27,12.15,12.30,11.95,12.20,63400,10.48
2015-01-28,12.21,12.23,12.05,12.11,36900,10.403
2015-01-29,12.10,12.19,11.90,12.06,52800,10.36
2015-01-30,12.01,12.23,12.00,12.14,26200,10.429
2015-02-02,12.10,12.24,12.03,12.18,55400,10.463
2015-02-03,12.20,12.35,12.19,12.26,36500,10.532
2015-02-04,12.30,12.70,12.30,12.70,45200,10.91
2015-02-05,12.64,12.77,12.54,12.70,41600,10.91
2015-02-06,12.72,12.79,12.63,12.74,32000,10.944
2015-02-09,12.72,12.80,12.67,12.74,15200,10.944
2015-02-10,12.73,13.14,12.73,13.14,12600,11.288
2015-02-11,13.14,13.49,13.13,13.49,41700,11.589
2015-02-12,13.50,13.60,13.15,13.15,46200,11.297
2015-02-13,13.00,13.35,12.70,13.03,58800,11.193
2015-02-16,13.17,13.17,12.94,12.99,35900,11.159
2015-02-17,12.95,13.20,12.82,12.82,23400,11.013
2015-02-18,12.92,13.07,12.85,12.96,18300,11.133
2015-02-19,12.88,13.01,12.76,12.82,34500,11.013
2015-02-20,12.76,12.86,12.38,12.45,65100,10.695
2015-02-23,12.50,12.89,12.48,12.75,22000,10.953
2015-02-24,12.75,12.99,12.75,12.93,33800,11.108
2015-02-25,12.99,13.30,12.90,13.20,43300,11.339
2015-02-26,13.06,13.49,13.00,13.49,337200,11.589
2015-02-27,13.50,13.57,13.29,13.50,128300,11.597
2015-03-02,13.65,13.78,13.45,13.68,80400,11.965
2015-03-03,13.20,13.34,12.89,13.09,172300,11.743
2015-03-04,13.07,13.20,12.71,12.75,181900,11.438
2015-03-05,12.75,12.76,12.56,12.61,110800,11.312
