Date,Open,High,Low,Close,Volume,Adj Close
2015-08-19,0.40,0.40,0.35,0.37,134200,0.37
2015-08-20,0.33,0.35,0.31,0.35,31900,0.35
2015-08-21,0.35,0.35,0.35,0.35,48700,0.35
2015-08-24,0.35,0.35,0.35,0.35,1200,0.35
2015-08-25,0.31,0.31,0.31,0.31,7500,0.31
2015-08-26,0.31,0.31,0.31,0.31,000,0.31
2015-08-27,0.31,0.31,0.31,0.31,000,0.31
2015-08-28,0.34,0.34,0.34,0.34,3000,0.34
2015-08-31,0.33,0.33,0.33,0.33,4000,0.33
2015-09-01,0.33,0.33,0.33,0.33,000,0.33
2015-09-02,0.33,0.33,0.33,0.33,000,0.33
2015-09-03,0.33,0.33,0.33,0.33,000,0.33
2015-09-04,0.32,0.32,0.32,0.32,13300,0.32
2015-09-07,0.32,0.32,0.32,0.32,000,0.32
2015-09-08,0.31,0.31,0.28,0.28,201400,0.28
2015-09-09,0.315,0.325,0.315,0.32,23000,0.32
2015-09-10,0.32,0.32,0.32,0.32,000,0.32
2015-09-11,0.32,0.32,0.32,0.32,000,0.32
2015-09-14,0.32,0.32,0.32,0.32,2000,0.32
2015-09-15,0.32,0.32,0.32,0.32,000,0.32
2015-09-16,0.305,0.305,0.305,0.305,10000,0.305
2015-09-17,0.315,0.315,0.315,0.315,6000,0.315
2015-09-18,0.30,0.33,0.30,0.33,15100,0.33
2015-09-21,0.33,0.33,0.33,0.33,1700,0.33
2015-09-22,0.32,0.33,0.32,0.33,7700,0.33
2015-09-23,0.33,0.33,0.33,0.33,000,0.33
2015-09-24,0.32,0.32,0.30,0.30,14800,0.30
2015-09-25,0.30,0.30,0.30,0.30,4000,0.30
2015-09-28,0.30,0.30,0.30,0.30,000,0.30
2015-09-29,0.30,0.30,0.30,0.30,000,0.30
2015-09-30,0.30,0.30,0.30,0.30,000,0.30
2015-10-01,0.30,0.30,0.30,0.30,000,0.30
2015-10-02,0.30,0.30,0.30,0.30,000,0.30
2015-10-05,0.25,0.30,0.25,0.30,60000,0.30
2015-10-06,0.29,0.30,0.29,0.30,6000,0.30
2015-10-07,0.30,0.315,0.29,0.29,46000,0.29
2015-10-08,0.29,0.29,0.29,0.29,000,0.29
2015-10-09,0.315,0.33,0.30,0.30,70300,0.30
2015-10-12,0.30,0.30,0.30,0.30,000,0.30
2015-10-13,0.30,0.30,0.30,0.30,000,0.30
2015-10-14,0.30,0.30,0.30,0.30,000,0.30
2015-10-15,0.30,0.30,0.30,0.30,000,0.30
2015-10-16,0.32,0.32,0.30,0.30,30000,0.30
2015-10-19,0.30,0.30,0.30,0.30,000,0.30
2015-10-20,0.30,0.30,0.30,0.30,000,0.30
2015-10-21,0.30,0.30,0.30,0.30,000,0.30
2015-10-22,0.30,0.30,0.30,0.30,000,0.30
2015-10-23,0.30,0.30,0.30,0.30,000,0.30
2015-10-26,0.30,0.30,0.30,0.30,000,0.30
2015-10-27,0.28,0.28,0.28,0.28,11400,0.28
2015-10-28,0.28,0.28,0.28,0.28,000,0.28
2015-10-29,0.28,0.28,0.28,0.28,000,0.28
2015-10-30,0.28,0.28,0.28,0.28,000,0.28
2015-11-02,0.29,0.29,0.29,0.29,26000,0.29
2015-11-03,0.30,0.30,0.30,0.30,20000,0.30
2015-11-04,0.30,0.30,0.28,0.28,15000,0.28
2015-11-05,0.28,0.28,0.28,0.28,000,0.28
2015-11-06,0.28,0.28,0.28,0.28,000,0.28
2015-11-09,0.30,0.305,0.30,0.305,25500,0.305
2015-11-10,0.305,0.305,0.305,0.305,000,0.305
2015-11-11,0.28,0.28,0.27,0.28,36400,0.28
2015-11-12,0.28,0.28,0.28,0.28,000,0.28
2015-11-13,0.32,0.32,0.32,0.32,26000,0.32
2015-11-16,0.28,0.28,0.28,0.28,20700,0.28
2015-11-17,0.30,0.315,0.30,0.315,50000,0.315
2015-11-18,0.30,0.30,0.30,0.30,11000,0.30
2015-11-19,0.315,0.315,0.315,0.315,24900,0.315
2015-11-20,0.32,0.35,0.32,0.33,156200,0.33
2015-11-23,0.34,0.34,0.34,0.34,38200,0.34
2015-11-24,0.33,0.35,0.33,0.33,48000,0.33
2015-11-25,0.33,0.33,0.33,0.33,000,0.33
2015-11-26,0.33,0.33,0.33,0.33,2700,0.33
2015-11-27,0.32,0.32,0.31,0.31,39700,0.31
2015-11-30,0.31,0.31,0.31,0.31,000,0.31
2015-12-01,0.31,0.31,0.31,0.31,000,0.31
2015-12-02,0.34,0.34,0.32,0.32,11400,0.32
2015-12-03,0.32,0.32,0.31,0.31,17100,0.31
2015-12-04,0.32,0.32,0.31,0.31,20000,0.31
2015-12-07,0.325,0.325,0.325,0.325,10000,0.325
2015-12-08,0.325,0.325,0.325,0.325,000,0.325
2015-12-09,0.315,0.32,0.31,0.32,164400,0.32
2015-12-10,0.31,0.34,0.31,0.34,35500,0.34
2015-12-11,0.34,0.34,0.31,0.34,22700,0.34
2015-12-14,0.31,0.31,0.31,0.31,1000,0.31
2015-12-15,0.31,0.31,0.31,0.31,000,0.31
2015-12-16,0.315,0.315,0.31,0.31,13000,0.31
2015-12-17,0.31,0.32,0.31,0.31,29000,0.31
2015-12-18,0.31,0.31,0.31,0.31,000,0.31
2015-12-21,0.33,0.33,0.33,0.33,4200,0.33
2015-12-22,0.33,0.33,0.33,0.33,000,0.33
2015-12-23,0.33,0.33,0.33,0.33,000,0.33
2015-12-24,0.33,0.33,0.33,0.33,000,0.33
2015-12-25,0.33,0.33,0.33,0.33,000,0.33
2015-12-28,0.33,0.33,0.33,0.33,000,0.33
2015-12-29,0.33,0.33,0.33,0.33,000,0.33
2015-12-30,0.30,0.30,0.30,0.30,2000,0.30
2015-12-31,0.30,0.30,0.30,0.30,000,0.30
2016-01-01,0.30,0.30,0.30,0.30,000,0.30
2016-01-04,0.30,0.30,0.30,0.30,000,0.30
2016-01-05,0.30,0.30,0.30,0.30,000,0.30
2016-01-06,0.30,0.30,0.30,0.30,000,0.30
2016-01-07,0.30,0.30,0.30,0.30,000,0.30
2016-01-08,0.30,0.30,0.30,0.30,000,0.30
2016-01-11,0.30,0.30,0.30,0.30,000,0.30
2016-01-12,0.30,0.30,0.30,0.30,000,0.30
2016-01-13,0.32,0.32,0.32,0.32,7700,0.32
2016-01-14,0.32,0.32,0.32,0.32,000,0.32
2016-01-15,0.32,0.32,0.32,0.32,000,0.32
2016-01-18,0.32,0.32,0.32,0.32,000,0.32
2016-01-19,0.32,0.32,0.32,0.32,000,0.32
2016-01-20,0.32,0.32,0.32,0.32,000,0.32
2016-01-21,0.32,0.32,0.32,0.32,000,0.32
2016-01-22,0.32,0.32,0.32,0.32,000,0.32
2016-01-25,0.32,0.32,0.32,0.32,000,0.32
2016-01-26,0.32,0.32,0.32,0.32,000,0.32
2016-01-27,0.32,0.32,0.32,0.32,000,0.32
2016-01-28,0.32,0.32,0.32,0.32,000,0.32
2016-01-29,0.30,0.30,0.30,0.30,4000,0.30
2016-02-01,0.30,0.30,0.30,0.30,000,0.30
2016-02-02,0.30,0.30,0.30,0.30,000,0.30
2016-02-03,0.30,0.30,0.30,0.30,000,0.30
2016-02-04,0.30,0.30,0.30,0.30,000,0.30
2016-02-05,0.30,0.30,0.30,0.30,000,0.30
2016-02-08,0.30,0.30,0.30,0.30,000,0.30
2016-02-09,0.30,0.30,0.30,0.30,000,0.30
2016-02-10,0.30,0.30,0.30,0.30,000,0.30
2016-02-11,0.30,0.30,0.30,0.30,000,0.30
2016-02-12,0.30,0.30,0.30,0.30,000,0.30
2016-02-15,0.26,0.29,0.26,0.29,70200,0.29
2016-02-16,0.30,0.30,0.30,0.30,3000,0.30
2016-02-17,0.30,0.30,0.30,0.30,000,0.30
2016-02-18,0.29,0.29,0.28,0.28,57000,0.28
2016-02-19,0.27,0.27,0.26,0.26,26000,0.26
2016-02-22,0.28,0.28,0.28,0.28,3000,0.28
2016-02-23,0.28,0.28,0.28,0.28,000,0.28
2016-02-24,0.28,0.28,0.28,0.28,000,0.28
2016-02-25,0.27,0.27,0.27,0.27,4000,0.27
2016-02-26,0.27,0.28,0.27,0.28,2000,0.28
2016-02-29,0.28,0.28,0.28,0.28,000,0.28
