Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.29,0.29,0.29,0.29,000,0.29
2015-01-02,0.29,0.29,0.29,0.29,000,0.29
2015-01-05,0.29,0.29,0.29,0.29,2500,0.29
2015-01-06,0.29,0.29,0.265,0.28,7700,0.28
2015-01-07,0.27,0.27,0.27,0.27,62800,0.27
2015-01-08,0.27,0.27,0.27,0.27,000,0.27
2015-01-09,0.29,0.30,0.29,0.29,94400,0.29
2015-01-12,0.29,0.29,0.29,0.29,000,0.29
2015-01-13,0.29,0.29,0.29,0.29,000,0.29
2015-01-14,0.29,0.29,0.29,0.29,000,0.29
2015-01-15,0.30,0.38,0.30,0.38,108500,0.38
2015-01-16,0.37,0.375,0.37,0.37,45500,0.37
2015-01-19,0.37,0.37,0.31,0.35,15000,0.35
2015-01-20,0.345,0.345,0.34,0.34,15000,0.34
2015-01-21,0.34,0.34,0.33,0.33,15000,0.33
2015-01-22,0.33,0.345,0.33,0.345,27000,0.345
2015-01-23,0.345,0.345,0.345,0.345,15000,0.345
2015-01-26,0.345,0.345,0.345,0.345,000,0.345
2015-01-27,0.345,0.345,0.345,0.345,9700,0.345
2015-01-28,0.34,0.34,0.31,0.31,27100,0.31
2015-01-29,0.33,0.33,0.33,0.33,15000,0.33
2015-01-30,0.33,0.35,0.33,0.35,62300,0.35
2015-02-02,0.36,0.365,0.34,0.365,14400,0.365
2015-02-03,0.355,0.355,0.355,0.355,600,0.355
2015-02-04,0.345,0.35,0.345,0.35,20000,0.35
2015-02-05,0.345,0.345,0.34,0.34,25000,0.34
2015-02-06,0.34,0.35,0.34,0.345,203400,0.345
2015-02-09,0.345,0.345,0.31,0.33,95500,0.33
2015-02-10,0.33,0.33,0.32,0.32,35400,0.32
2015-02-11,0.33,0.33,0.33,0.33,7000,0.33
2015-02-12,0.34,0.34,0.32,0.32,59400,0.32
2015-02-13,0.32,0.33,0.32,0.33,34000,0.33
2015-02-16,0.33,0.34,0.33,0.34,8000,0.34
2015-02-17,0.33,0.33,0.33,0.33,400,0.33
2015-02-18,0.31,0.31,0.30,0.30,22000,0.30
2015-02-19,0.31,0.31,0.30,0.30,99500,0.30
2015-02-20,0.30,0.31,0.295,0.31,212200,0.31
2015-02-23,0.31,0.32,0.30,0.30,3900,0.30
2015-02-24,0.30,0.30,0.30,0.30,000,0.30
2015-02-25,0.30,0.30,0.30,0.30,000,0.30
2015-02-26,0.31,0.32,0.30,0.30,230000,0.30
2015-02-27,0.31,0.31,0.30,0.30,248300,0.30
2015-03-02,0.30,0.30,0.30,0.30,000,0.30
2015-03-03,0.295,0.295,0.295,0.295,13300,0.295
2015-03-04,0.295,0.295,0.295,0.295,000,0.295
2015-03-05,0.285,0.285,0.25,0.285,115700,0.285
2015-03-06,0.26,0.27,0.25,0.27,60000,0.27
2015-03-09,0.27,0.27,0.245,0.25,190600,0.25
2015-03-10,0.265,0.265,0.255,0.255,40000,0.255
2015-03-11,0.26,0.26,0.22,0.22,127200,0.22
2015-03-12,0.24,0.24,0.21,0.22,152800,0.22
2015-03-13,0.23,0.235,0.225,0.235,158700,0.235
2015-03-16,0.23,0.235,0.23,0.235,100000,0.235
2015-03-17,0.235,0.235,0.235,0.235,000,0.235
2015-03-18,0.23,0.23,0.23,0.23,5500,0.23
2015-03-19,0.24,0.24,0.23,0.23,105000,0.23
2015-03-20,0.235,0.235,0.235,0.235,20000,0.235
2015-03-23,0.235,0.235,0.235,0.235,000,0.235
2015-03-24,0.23,0.23,0.23,0.23,72500,0.23
2015-03-25,0.23,0.23,0.23,0.23,2500,0.23
2015-03-26,0.235,0.235,0.235,0.235,100000,0.235
2015-03-27,0.235,0.235,0.235,0.235,000,0.235
2015-03-30,0.24,0.24,0.235,0.24,116500,0.24
2015-03-31,0.24,0.24,0.21,0.21,28800,0.21
2015-04-01,0.23,0.235,0.22,0.235,31000,0.235
2015-04-02,0.235,0.235,0.225,0.225,55000,0.225
2015-04-03,0.225,0.225,0.225,0.225,000,0.225
2015-04-06,0.225,0.225,0.225,0.225,000,0.225
2015-04-07,0.225,0.225,0.225,0.225,46500,0.225
2015-04-08,0.21,0.21,0.20,0.20,12000,0.20
2015-04-09,0.20,0.20,0.20,0.20,170000,0.20
2015-04-10,0.215,0.215,0.20,0.20,27000,0.20
2015-04-13,0.20,0.21,0.20,0.21,85500,0.21
2015-04-14,0.20,0.21,0.20,0.21,85500,0.21
2015-04-15,0.21,0.22,0.205,0.22,70000,0.22
2015-04-16,0.22,0.22,0.22,0.22,000,0.22
2015-04-17,0.215,0.215,0.215,0.215,20000,0.215
2015-04-20,0.21,0.21,0.20,0.21,93300,0.21
2015-04-21,0.20,0.22,0.20,0.22,6500,0.22
2015-04-22,0.20,0.20,0.20,0.20,35000,0.20
2015-04-23,0.20,0.20,0.20,0.20,000,0.20
2015-04-24,0.19,0.19,0.19,0.19,32000,0.19
2015-04-27,0.19,0.19,0.175,0.175,310000,0.175
2015-04-28,0.175,0.175,0.17,0.175,217000,0.175
2015-04-29,0.175,0.175,0.175,0.175,123200,0.175
2015-04-30,0.175,0.195,0.175,0.18,221400,0.18
2015-05-01,0.18,0.18,0.18,0.18,000,0.18
2015-05-04,0.18,0.18,0.18,0.18,20000,0.18
2015-05-05,0.18,0.18,0.18,0.18,50000,0.18
2015-05-06,0.18,0.18,0.18,0.18,25000,0.18
2015-05-07,0.18,0.18,0.18,0.18,000,0.18
2015-05-08,0.185,0.185,0.18,0.18,40600,0.18
2015-05-11,0.20,0.20,0.19,0.19,80000,0.19
2015-05-12,0.20,0.23,0.20,0.205,150600,0.205
2015-05-13,0.23,0.25,0.22,0.22,251600,0.22
2015-05-14,0.26,0.26,0.24,0.26,240200,0.26
2015-05-15,0.26,0.30,0.26,0.295,385700,0.295
2015-05-18,0.285,0.29,0.285,0.29,63500,0.29
2015-05-19,0.28,0.28,0.28,0.28,24200,0.28
2015-05-20,0.28,0.28,0.28,0.28,000,0.28
2015-05-21,0.28,0.28,0.28,0.28,65000,0.28
2015-05-22,0.28,0.28,0.28,0.28,000,0.28
2015-05-25,0.26,0.26,0.23,0.23,8000,0.23
2015-05-26,0.235,0.235,0.225,0.225,80000,0.225
2015-05-27,0.225,0.225,0.225,0.225,000,0.225
2015-05-28,0.26,0.30,0.26,0.28,373300,0.28
2015-05-29,0.28,0.28,0.275,0.28,271400,0.28
2015-06-01,0.28,0.28,0.28,0.28,40000,0.28
2015-06-02,0.28,0.32,0.28,0.32,197900,0.32
2015-06-03,0.32,0.33,0.32,0.33,220000,0.33
2015-06-04,0.305,0.305,0.305,0.305,14000,0.305
2015-06-05,0.32,0.32,0.305,0.305,4200,0.305
2015-06-08,0.305,0.305,0.305,0.305,000,0.305
2015-06-09,0.29,0.29,0.29,0.29,40500,0.29
2015-06-10,0.29,0.29,0.28,0.28,45300,0.28
2015-06-11,0.28,0.28,0.28,0.28,165000,0.28
2015-06-12,0.28,0.28,0.28,0.28,52500,0.28
2015-06-15,0.29,0.29,0.28,0.28,170100,0.28
2015-06-16,0.29,0.29,0.29,0.29,30000,0.29
2015-06-17,0.285,0.285,0.275,0.28,106900,0.28
2015-06-18,0.28,0.28,0.27,0.28,314000,0.28
2015-06-19,0.28,0.28,0.28,0.28,30000,0.28
2015-06-22,0.28,0.28,0.27,0.27,493800,0.27
2015-06-23,0.27,0.27,0.27,0.27,151200,0.27
2015-06-24,0.26,0.26,0.26,0.26,30000,0.26
2015-06-25,0.27,0.27,0.27,0.27,569200,0.27
2015-06-26,0.27,0.28,0.27,0.27,970300,0.27
2015-06-29,0.27,0.27,0.27,0.27,000,0.27
2015-06-30,0.27,0.27,0.27,0.27,000,0.27
2015-07-01,0.28,0.31,0.275,0.31,312300,0.31
2015-07-02,0.31,0.31,0.30,0.31,79500,0.31
2015-07-03,0.295,0.36,0.295,0.36,516300,0.36
2015-07-06,0.35,0.35,0.34,0.34,13000,0.34
2015-07-07,0.34,0.34,0.34,0.34,17000,0.34
2015-07-08,0.33,0.33,0.32,0.32,216100,0.32
2015-07-09,0.30,0.32,0.29,0.32,93000,0.32
2015-07-10,0.32,0.33,0.31,0.33,300000,0.33
2015-07-13,0.33,0.33,0.33,0.33,5000,0.33
2015-07-14,0.35,0.355,0.34,0.35,890300,0.35
2015-07-15,0.35,0.35,0.34,0.34,31400,0.34
2015-07-16,0.34,0.35,0.34,0.35,254000,0.35
2015-07-17,0.35,0.35,0.32,0.335,100900,0.335
2015-07-20,0.35,0.36,0.34,0.345,565400,0.345
2015-07-21,0.35,0.36,0.345,0.355,471700,0.355
2015-07-22,0.355,0.37,0.345,0.345,519900,0.345
2015-07-23,0.345,0.345,0.34,0.34,57400,0.34
2015-07-24,0.345,0.345,0.335,0.34,367000,0.34
2015-07-27,0.34,0.34,0.335,0.335,37500,0.335
2015-07-28,0.34,0.34,0.32,0.32,264300,0.32
2015-07-29,0.32,0.32,0.32,0.32,000,0.32
2015-07-30,0.32,0.32,0.31,0.32,12600,0.32
2015-07-31,0.335,0.335,0.335,0.335,6000,0.335
2015-08-03,0.335,0.335,0.32,0.335,38000,0.335
2015-08-04,0.33,0.33,0.33,0.33,109500,0.33
2015-08-05,0.33,0.33,0.30,0.325,18400,0.325
2015-08-06,0.325,0.325,0.30,0.30,21400,0.30
2015-08-07,0.30,0.30,0.30,0.30,000,0.30
2015-08-10,0.29,0.305,0.29,0.29,152700,0.29
2015-08-11,0.29,0.29,0.29,0.29,000,0.29
2015-08-12,0.29,0.29,0.29,0.29,000,0.29
2015-08-13,0.29,0.29,0.29,0.29,100000,0.29
2015-08-14,0.28,0.28,0.28,0.28,4900,0.28
2015-08-17,0.30,0.30,0.30,0.30,40000,0.30
2015-08-18,0.30,0.30,0.30,0.30,000,0.30
2015-08-19,0.29,0.29,0.29,0.29,10000,0.29
2015-08-20,0.28,0.28,0.27,0.27,155400,0.27
2015-08-21,0.27,0.30,0.27,0.30,127000,0.30
2015-08-24,0.30,0.30,0.25,0.25,125500,0.25
2015-08-25,0.25,0.25,0.25,0.25,3900,0.25
2015-08-26,0.25,0.25,0.225,0.25,205900,0.25
2015-08-27,0.25,0.25,0.25,0.25,110000,0.25
2015-08-28,0.27,0.27,0.27,0.27,50000,0.27
2015-08-31,0.27,0.28,0.27,0.28,68900,0.28
2015-09-01,0.285,0.29,0.28,0.29,40500,0.29
2015-09-02,0.29,0.29,0.27,0.28,79100,0.28
2015-09-03,0.28,0.285,0.27,0.28,143400,0.28
2015-09-04,0.29,0.29,0.29,0.29,4100,0.29
2015-09-07,0.265,0.275,0.265,0.275,22500,0.275
2015-09-08,0.275,0.275,0.275,0.275,000,0.275
2015-09-09,0.275,0.275,0.265,0.265,13800,0.265
2015-09-10,0.275,0.275,0.275,0.275,8000,0.275
2015-09-11,0.275,0.275,0.275,0.275,000,0.275
2015-09-14,0.27,0.27,0.27,0.27,9000,0.27
2015-09-15,0.305,0.32,0.30,0.30,520100,0.30
2015-09-16,0.29,0.32,0.29,0.32,319500,0.32
2015-09-17,0.32,0.32,0.32,0.32,57700,0.32
2015-09-18,0.32,0.32,0.31,0.315,137700,0.315
2015-09-21,0.31,0.31,0.31,0.31,50800,0.31
2015-09-22,0.31,0.31,0.295,0.30,158500,0.30
2015-09-23,0.30,0.30,0.30,0.30,105000,0.30
2015-09-24,0.29,0.29,0.27,0.27,158500,0.27
2015-09-25,0.26,0.285,0.26,0.285,35600,0.285
2015-09-28,0.27,0.27,0.27,0.27,39500,0.27
2015-09-29,0.27,0.28,0.27,0.27,138200,0.27
2015-09-30,0.27,0.285,0.255,0.285,235500,0.285
2015-10-01,0.30,0.31,0.275,0.31,381900,0.31
2015-10-02,0.32,0.32,0.31,0.315,295900,0.315
2015-10-05,0.315,0.32,0.315,0.32,642000,0.32
2015-10-06,0.315,0.315,0.315,0.315,69000,0.315
2015-10-07,0.315,0.315,0.315,0.315,8000,0.315
2015-10-08,0.31,0.335,0.29,0.315,220000,0.315
2015-10-09,0.33,0.33,0.32,0.33,331100,0.33
2015-10-12,0.325,0.325,0.32,0.32,59600,0.32
2015-10-13,0.31,0.32,0.31,0.32,204800,0.32
2015-10-14,0.325,0.33,0.32,0.32,276000,0.32
2015-10-15,0.32,0.32,0.32,0.32,102500,0.32
2015-10-16,0.32,0.33,0.32,0.325,692500,0.325
2015-10-19,0.32,0.32,0.30,0.30,75500,0.30
2015-10-20,0.305,0.31,0.305,0.31,250000,0.31
2015-10-21,0.31,0.31,0.29,0.29,203200,0.29
2015-10-22,0.29,0.30,0.29,0.29,272700,0.29
2015-10-23,0.29,0.29,0.29,0.29,000,0.29
