Date,Open,High,Low,Close,Volume,Adj Close
2015-02-12,0.20,0.20,0.20,0.20,80200,0.20
2015-02-13,0.195,0.20,0.195,0.20,40000,0.20
2015-02-16,0.20,0.20,0.20,0.20,5100,0.20
2015-02-17,0.20,0.20,0.20,0.20,4900,0.20
2015-02-18,0.20,0.20,0.20,0.20,000,0.20
2015-02-19,0.20,0.20,0.20,0.20,000,0.20
2015-02-20,0.20,0.20,0.20,0.20,000,0.20
2015-02-23,0.20,0.20,0.20,0.20,000,0.20
2015-02-24,0.20,0.20,0.20,0.20,000,0.20
2015-02-25,0.20,0.20,0.20,0.20,000,0.20
2015-02-26,0.20,0.20,0.20,0.20,000,0.20
2015-02-27,0.20,0.20,0.20,0.20,000,0.20
2015-03-02,0.20,0.20,0.195,0.195,18800,0.195
2015-03-03,0.195,0.195,0.195,0.195,000,0.195
2015-03-04,0.195,0.195,0.195,0.195,000,0.195
2015-03-05,0.195,0.195,0.195,0.195,000,0.195
2015-03-06,0.195,0.195,0.195,0.195,000,0.195
2015-03-09,0.195,0.195,0.195,0.195,000,0.195
2015-03-10,0.195,0.195,0.195,0.195,000,0.195
2015-03-11,0.195,0.195,0.195,0.195,000,0.195
2015-03-12,0.195,0.195,0.195,0.195,000,0.195
2015-03-13,0.195,0.195,0.195,0.195,000,0.195
2015-03-16,0.195,0.195,0.195,0.195,000,0.195
2015-03-17,0.195,0.195,0.195,0.195,000,0.195
2015-03-18,0.195,0.195,0.195,0.195,000,0.195
2015-03-19,0.195,0.195,0.195,0.195,000,0.195
2015-03-20,0.195,0.195,0.195,0.195,000,0.195
2015-03-23,0.195,0.195,0.195,0.195,000,0.195
2015-03-24,0.195,0.195,0.195,0.195,000,0.195
2015-03-25,0.195,0.195,0.195,0.195,000,0.195
2015-03-26,0.195,0.195,0.195,0.195,000,0.195
2015-03-27,0.095,0.13,0.09,0.12,34000,0.12
2015-03-30,0.12,0.12,0.12,0.12,1000,0.12
2015-03-31,0.12,0.12,0.12,0.12,000,0.12
2015-04-01,0.12,0.12,0.12,0.12,000,0.12
2015-04-02,0.11,0.15,0.11,0.15,8000,0.15
2015-04-03,0.15,0.15,0.15,0.15,000,0.15
2015-04-06,0.15,0.15,0.15,0.15,000,0.15
2015-04-07,0.15,0.15,0.15,0.15,16000,0.15
2015-04-08,0.15,0.15,0.15,0.15,000,0.15
2015-04-09,0.15,0.15,0.15,0.15,000,0.15
2015-04-10,0.15,0.15,0.15,0.15,000,0.15
2015-04-13,0.15,0.15,0.15,0.15,23400,0.15
2015-04-14,0.15,0.15,0.15,0.15,000,0.15
2015-04-15,0.15,0.15,0.15,0.15,000,0.15
2015-04-16,0.15,0.15,0.15,0.15,000,0.15
2015-04-17,0.15,0.15,0.15,0.15,000,0.15
2015-04-20,0.15,0.15,0.15,0.15,000,0.15
2015-04-21,0.15,0.15,0.15,0.15,51200,0.15
2015-04-22,0.15,0.15,0.15,0.15,12900,0.15
2015-04-23,0.15,0.15,0.15,0.15,000,0.15
2015-04-24,0.15,0.15,0.15,0.15,000,0.15
2015-04-27,0.15,0.15,0.15,0.15,4600,0.15
2015-04-28,0.12,0.12,0.12,0.12,2500,0.12
2015-04-29,0.12,0.12,0.12,0.12,40000,0.12
2015-04-30,0.12,0.12,0.12,0.12,2500,0.12
2015-05-01,0.12,0.12,0.12,0.12,000,0.12
2015-05-04,0.12,0.12,0.12,0.12,000,0.12
2015-05-05,0.12,0.12,0.12,0.12,000,0.12
2015-05-06,0.12,0.12,0.12,0.12,000,0.12
2015-05-07,0.12,0.12,0.12,0.12,000,0.12
