Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,6.00,6.00,6.00,6.00,000,5.981
2015-01-02,6.00,6.00,6.00,6.00,000,5.981
2015-01-05,6.00,6.10,6.00,6.10,200,6.081
2015-01-06,6.15,6.15,6.15,6.15,000,6.131
2015-01-07,5.60,5.60,5.60,5.60,1500,5.583
2015-01-08,5.60,5.60,5.60,5.60,000,5.583
2015-01-09,5.70,5.70,5.70,5.70,2500,5.682
2015-01-12,5.70,5.70,5.70,5.70,000,5.682
2015-01-13,5.70,5.70,5.70,5.70,000,5.682
2015-01-14,5.70,5.70,5.70,5.70,3500,5.682
2015-01-15,5.70,5.70,5.70,5.70,1500,5.682
2015-01-16,5.70,5.70,5.70,5.70,000,5.682
2015-01-19,5.70,5.70,5.70,5.70,000,5.682
2015-01-20,5.70,5.70,5.70,5.70,000,5.682
2015-01-21,5.70,5.70,5.70,5.70,000,5.682
2015-01-22,5.70,5.80,5.70,5.80,2000,5.782
2015-01-23,5.80,5.80,5.80,5.80,2000,5.782
2015-01-26,5.80,5.80,5.80,5.80,000,5.782
2015-01-27,5.80,5.80,5.80,5.80,000,5.782
2015-01-28,5.80,5.80,5.80,5.80,000,5.782
2015-01-29,5.80,5.80,5.80,5.80,000,5.782
2015-01-30,5.80,5.80,5.80,5.80,000,5.782
2015-02-02,5.80,5.80,5.80,5.80,000,5.782
2015-02-03,5.80,5.80,5.80,5.80,000,5.782
2015-02-04,5.80,5.80,5.80,5.80,000,5.782
2015-02-05,5.80,5.80,5.80,5.80,000,5.782
2015-02-06,5.80,5.80,5.80,5.80,000,5.782
2015-02-09,5.80,5.80,5.80,5.80,000,5.782
2015-02-10,5.80,5.80,5.80,5.80,000,5.782
2015-02-11,5.80,5.80,5.80,5.80,27900,5.782
2015-02-12,5.85,5.85,5.80,5.80,5500,5.782
2015-02-13,5.80,5.80,5.80,5.80,16400,5.782
2015-02-16,5.80,5.80,5.80,5.80,000,5.782
2015-02-17,5.80,5.80,5.80,5.80,000,5.782
2015-02-18,5.80,5.80,5.80,5.80,000,5.782
2015-02-19,5.80,5.80,5.80,5.80,000,5.782
2015-02-20,5.80,5.80,5.80,5.80,000,5.782
2015-02-23,5.80,5.80,5.80,5.80,000,5.782
2015-02-24,5.80,5.80,5.80,5.80,000,5.782
2015-02-25,5.80,5.80,5.80,5.80,000,5.782
2015-02-26,5.80,5.80,5.80,5.80,000,5.782
2015-02-27,5.80,5.80,5.80,5.80,000,5.782
2015-03-02,5.80,5.80,5.80,5.80,000,5.782
2015-03-03,5.80,5.80,5.80,5.80,000,5.782
2015-03-04,5.80,5.80,5.80,5.80,000,5.782
2015-03-05,5.80,5.80,5.80,5.80,000,5.782
2015-03-06,5.80,5.80,5.80,5.80,000,5.782
2015-03-09,5.80,5.80,5.80,5.80,000,5.782
2015-03-10,5.80,5.80,5.80,5.80,000,5.782
2015-03-11,5.80,5.80,5.80,5.80,000,5.782
2015-03-12,5.80,5.80,5.80,5.80,000,5.782
2015-03-13,5.80,5.80,5.80,5.80,000,5.782
2015-03-16,5.80,5.80,5.80,5.80,000,5.782
2015-03-17,5.80,5.80,5.80,5.80,000,5.782
2015-03-18,5.80,5.80,5.80,5.80,000,5.782
2015-03-19,6.60,6.63,6.60,6.63,9600,6.609
2015-03-20,6.63,6.63,6.63,6.63,000,6.609
2015-03-23,6.63,6.63,6.63,6.63,000,6.609
2015-03-24,6.63,6.63,6.63,6.63,000,6.609
2015-03-25,6.63,6.63,6.63,6.63,000,6.609
2015-03-26,6.63,6.63,6.63,6.63,000,6.609
2015-03-27,6.63,6.63,6.63,6.63,000,6.609
2015-03-30,6.75,6.80,6.75,6.80,4000,6.779
2015-03-31,6.77,6.77,6.77,6.77,1500,6.749
2015-04-01,6.75,6.75,6.75,6.75,5000,6.729
2015-04-02,6.75,6.75,6.75,6.75,000,6.729
2015-04-03,6.75,6.75,6.75,6.75,000,6.729
2015-04-06,6.75,6.75,6.75,6.75,000,6.729
2015-04-07,6.75,6.75,6.75,6.75,000,6.729
2015-04-08,6.75,6.75,6.75,6.75,000,6.729
2015-04-09,6.75,6.75,6.75,6.75,000,6.729
2015-04-10,6.75,6.75,6.75,6.75,000,6.729
2015-04-13,6.75,6.75,6.75,6.75,000,6.729
2015-04-14,6.95,6.95,6.95,6.95,4000,6.928
2015-04-15,6.95,6.95,6.95,6.95,000,6.928
2015-04-16,6.95,6.95,6.95,6.95,000,6.928
2015-04-17,6.95,6.95,6.95,6.95,000,6.928
2015-04-20,6.95,6.95,6.95,6.95,000,6.928
2015-04-21,6.95,6.95,6.95,6.95,000,6.928
2015-04-22,7.01,7.01,7.00,7.00,7000,6.978
2015-04-23,7.00,7.00,7.00,7.00,000,6.978
2015-04-24,7.00,7.00,7.00,7.00,000,6.978
2015-04-27,7.00,7.00,7.00,7.00,000,6.978
2015-04-28,7.00,7.00,7.00,7.00,000,6.978
2015-04-29,7.00,7.00,7.00,7.00,5000,6.978
2015-04-30,7.00,7.00,7.00,7.00,000,6.978
2015-05-01,7.00,7.00,7.00,7.00,000,6.978
2015-05-04,7.00,7.00,7.00,7.00,000,6.978
2015-05-05,7.00,7.00,7.00,7.00,000,6.978
