Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.05,0.05,0.05,0.05,000,0.05
2015-01-02,0.052,0.052,0.052,0.052,50000,0.052
2015-01-05,0.052,0.052,0.052,0.052,300000,0.052
2015-01-06,0.052,0.054,0.052,0.053,102400,0.053
2015-01-07,0.053,0.053,0.053,0.053,000,0.053
2015-01-08,0.055,0.055,0.055,0.055,45600,0.055
2015-01-09,0.055,0.057,0.055,0.056,401000,0.056
2015-01-12,0.056,0.057,0.056,0.056,52500,0.056
2015-01-13,0.056,0.056,0.056,0.056,000,0.056
2015-01-14,0.056,0.056,0.056,0.056,7700,0.056
2015-01-15,0.056,0.056,0.056,0.056,000,0.056
2015-01-16,0.056,0.056,0.056,0.056,000,0.056
2015-01-19,0.058,0.058,0.058,0.058,225300,0.058
2015-01-20,0.058,0.058,0.058,0.058,000,0.058
2015-01-21,0.058,0.058,0.057,0.057,44000,0.057
2015-01-22,0.057,0.057,0.057,0.057,000,0.057
2015-01-23,0.057,0.057,0.057,0.057,000,0.057
2015-01-26,0.057,0.057,0.057,0.057,000,0.057
2015-01-27,0.055,0.055,0.054,0.054,229100,0.054
2015-01-28,0.055,0.058,0.055,0.058,294000,0.058
2015-01-29,0.058,0.06,0.057,0.057,1166600,0.057
2015-01-30,0.057,0.058,0.057,0.058,623700,0.058
2015-02-02,0.057,0.057,0.057,0.057,62500,0.057
2015-02-03,0.056,0.057,0.051,0.057,982800,0.057
2015-02-04,0.056,0.056,0.056,0.056,50000,0.056
2015-02-05,0.056,0.057,0.056,0.056,536000,0.056
2015-02-06,0.056,0.056,0.055,0.056,218200,0.056
2015-02-09,0.054,0.054,0.054,0.054,375000,0.054
2015-02-10,0.054,0.055,0.054,0.054,690000,0.054
2015-02-11,0.054,0.055,0.053,0.055,651500,0.055
2015-02-12,0.055,0.055,0.055,0.055,000,0.055
2015-02-13,0.055,0.055,0.055,0.055,000,0.055
2015-02-16,0.055,0.055,0.055,0.055,000,0.055
2015-02-17,0.057,0.057,0.057,0.057,150000,0.057
2015-02-18,0.057,0.057,0.057,0.057,000,0.057
2015-02-19,0.06,0.065,0.059,0.065,282700,0.065
2015-02-20,0.066,0.067,0.064,0.064,675000,0.064
2015-02-23,0.067,0.067,0.066,0.066,459000,0.066
2015-02-24,0.066,0.066,0.066,0.066,000,0.066
2015-02-25,0.065,0.065,0.065,0.065,115000,0.065
2015-02-26,0.065,0.065,0.065,0.065,271000,0.065
2015-02-27,0.064,0.064,0.061,0.061,257500,0.061
2015-03-02,0.061,0.061,0.061,0.061,000,0.061
2015-03-03,0.061,0.061,0.061,0.061,149000,0.061
2015-03-04,0.061,0.061,0.061,0.061,000,0.061
2015-03-05,0.061,0.061,0.061,0.061,45000,0.061
2015-03-06,0.061,0.061,0.061,0.061,000,0.061
2015-03-09,0.061,0.063,0.06,0.063,352600,0.063
2015-03-10,0.06,0.06,0.06,0.06,121200,0.06
2015-03-11,0.06,0.06,0.06,0.06,000,0.06
2015-03-12,0.059,0.06,0.056,0.058,857200,0.058
2015-03-13,0.06,0.06,0.06,0.06,20000,0.06
2015-03-16,0.06,0.06,0.06,0.06,000,0.06
2015-03-17,0.056,0.06,0.056,0.06,505000,0.06
2015-03-18,0.06,0.062,0.06,0.06,355000,0.06
2015-03-19,0.06,0.06,0.06,0.06,000,0.06
