Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.045,0.045,0.045,0.045,000,0.045
2015-01-02,0.045,0.045,0.045,0.045,000,0.045
2015-01-05,0.045,0.045,0.045,0.045,000,0.045
2015-01-06,0.045,0.045,0.045,0.045,000,0.045
2015-01-07,0.045,0.045,0.045,0.045,000,0.045
2015-01-08,0.045,0.045,0.045,0.045,000,0.045
2015-01-09,0.04,0.04,0.04,0.04,8800,0.04
2015-01-12,0.04,0.04,0.04,0.04,000,0.04
2015-01-13,0.04,0.04,0.04,0.04,000,0.04
2015-01-14,0.04,0.04,0.04,0.04,000,0.04
2015-01-15,0.04,0.04,0.04,0.04,000,0.04
2015-01-16,0.04,0.04,0.04,0.04,000,0.04
2015-01-19,0.04,0.04,0.04,0.04,000,0.04
2015-01-20,0.04,0.04,0.04,0.04,000,0.04
2015-01-21,0.035,0.05,0.035,0.05,1175000,0.05
2015-01-22,0.05,0.05,0.05,0.05,000,0.05
2015-01-23,0.05,0.05,0.05,0.05,000,0.05
2015-01-26,0.05,0.05,0.05,0.05,000,0.05
2015-01-27,0.05,0.05,0.05,0.05,000,0.05
2015-01-28,0.05,0.05,0.05,0.05,000,0.05
2015-01-29,0.05,0.05,0.05,0.05,000,0.05
2015-01-30,0.049,0.049,0.049,0.049,145800,0.049
2015-02-02,0.049,0.049,0.049,0.049,000,0.049
2015-02-03,0.05,0.05,0.045,0.045,233100,0.045
2015-02-04,0.045,0.045,0.045,0.045,000,0.045
2015-02-05,0.045,0.045,0.045,0.045,000,0.045
2015-02-06,0.047,0.047,0.047,0.047,40400,0.047
2015-02-09,0.047,0.047,0.047,0.047,000,0.047
2015-02-10,0.047,0.047,0.047,0.047,225000,0.047
2015-02-11,0.047,0.047,0.047,0.047,000,0.047
2015-02-12,0.047,0.047,0.047,0.047,4500,0.047
2015-02-13,0.047,0.047,0.047,0.047,000,0.047
2015-02-16,0.047,0.047,0.047,0.047,000,0.047
2015-02-17,0.047,0.047,0.047,0.047,000,0.047
2015-02-18,0.04,0.04,0.04,0.04,210000,0.04
