Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.055,1.055,1.055,1.055,000,0.97043
2015-01-02,1.035,1.05,1.035,1.04,32100,0.95663
2015-01-05,1.035,1.05,1.03,1.05,1042500,0.96583
2015-01-06,1.05,1.05,1.01,1.03,312800,0.94743
2015-01-07,1.04,1.04,1.015,1.02,364800,0.93824
2015-01-08,1.035,1.04,1.015,1.04,58900,0.95663
2015-01-09,1.035,1.04,1.03,1.03,122200,0.94743
2015-01-12,1.02,1.055,1.015,1.02,99000,0.93824
2015-01-13,1.035,1.035,1.017,1.02,120700,0.93824
2015-01-14,1.02,1.03,1.02,1.03,774900,0.94743
2015-01-15,1.03,1.03,1.02,1.03,9100,0.94743
2015-01-16,1.02,1.03,1.01,1.03,346900,0.94743
2015-01-19,1.025,1.05,1.02,1.05,64200,0.96583
2015-01-20,1.05,1.05,1.01,1.04,43900,0.95663
2015-01-21,1.04,1.04,1.03,1.035,241800,0.95203
2015-01-22,1.035,1.045,1.035,1.035,30600,0.95203
2015-01-23,1.035,1.04,1.035,1.035,531800,0.95203
2015-01-26,1.035,1.035,1.035,1.035,000,0.95203
2015-01-27,1.035,1.035,1.005,1.02,531900,0.93824
2015-01-28,1.02,1.025,1.02,1.02,29700,0.93824
2015-01-29,1.02,1.03,1.015,1.02,1082800,0.93824
2015-01-30,1.035,1.04,1.02,1.04,319800,0.95663
2015-02-02,1.04,1.04,1.025,1.04,375200,0.95663
2015-02-03,1.035,1.095,1.025,1.095,1804600,1.00722
2015-02-04,1.095,1.10,1.08,1.095,828400,1.00722
2015-02-05,1.095,1.175,1.09,1.125,964100,1.03482
2015-02-06,1.12,1.13,1.105,1.115,1159800,1.02562
2015-02-09,1.13,1.13,1.107,1.11,1170000,1.02102
2015-02-10,1.125,1.125,1.10,1.11,639600,1.02102
2015-02-11,1.11,1.115,1.105,1.105,696700,1.01642
2015-02-12,1.11,1.115,1.085,1.10,1299300,1.01182
2015-02-13,1.115,1.12,1.095,1.115,501300,1.02562
2015-02-16,1.10,1.115,1.09,1.105,647600,1.01642
2015-02-17,1.105,1.1125,1.095,1.105,1855300,1.01642
2015-02-18,1.11,1.12,1.10,1.12,55900,1.03022
2015-02-19,1.11,1.135,1.105,1.13,154800,1.03942
2015-02-20,1.135,1.15,1.135,1.145,2564100,1.05322
2015-02-23,1.14,1.15,1.135,1.145,531300,1.05322
2015-02-24,1.14,1.15,1.135,1.135,1935700,1.04402
2015-02-25,1.14,1.18,1.12,1.155,1112500,1.06241
2015-02-26,1.16,1.16,1.14,1.15,1244900,1.05781
2015-02-27,1.17,1.185,1.14,1.175,949600,1.08081
2015-03-02,1.18,1.20,1.16,1.175,1068200,1.08081
2015-03-03,1.19,1.20,1.17,1.20,387100,1.10381
2015-03-04,1.20,1.21,1.185,1.20,1208300,1.10381
