Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.42,0.42,0.42,0.42,000,0.3878
2015-01-02,0.42,0.42,0.42,0.42,000,0.3878
2015-01-05,0.42,0.42,0.42,0.42,000,0.3878
2015-01-06,0.44,0.45,0.44,0.45,6000,0.4155
2015-01-07,0.45,0.45,0.45,0.45,000,0.4155
2015-01-08,0.45,0.45,0.45,0.45,000,0.4155
2015-01-09,0.44,0.53,0.44,0.51,142900,0.4709
2015-01-12,0.52,0.52,0.51,0.51,35000,0.4709
2015-01-13,0.50,0.50,0.46,0.49,43900,0.4524
2015-01-14,0.49,0.49,0.49,0.49,5000,0.4524
2015-01-15,0.49,0.49,0.49,0.49,000,0.4524
2015-01-16,0.51,0.51,0.51,0.51,13000,0.4709
2015-01-19,0.51,0.51,0.51,0.51,000,0.4709
2015-01-20,0.51,0.52,0.51,0.52,16700,0.4801
2015-01-21,0.53,0.53,0.53,0.53,30000,0.4894
2015-01-22,0.545,0.56,0.545,0.55,42900,0.5078
2015-01-23,0.55,0.55,0.55,0.55,000,0.5078
2015-01-26,0.55,0.55,0.55,0.55,000,0.5078
2015-01-27,0.60,0.60,0.59,0.60,188000,0.554
2015-01-28,0.60,0.60,0.60,0.60,000,0.554
2015-01-29,0.595,0.62,0.595,0.595,1062700,0.5494
2015-01-30,0.595,0.595,0.595,0.595,000,0.5494
2015-02-02,0.57,0.57,0.56,0.56,22700,0.5171
2015-02-03,0.56,0.56,0.56,0.56,000,0.5171
2015-02-04,0.56,0.56,0.56,0.56,11200,0.5171
2015-02-05,0.57,0.57,0.56,0.56,42600,0.5171
2015-02-06,0.57,0.57,0.57,0.57,46600,0.5263
2015-02-09,0.57,0.575,0.53,0.53,72500,0.4894
2015-02-10,0.53,0.53,0.53,0.53,000,0.4894
2015-02-11,0.53,0.53,0.53,0.53,000,0.4894
2015-02-12,0.53,0.53,0.53,0.53,000,0.4894
2015-02-13,0.53,0.53,0.53,0.53,000,0.4894
2015-02-16,0.53,0.53,0.53,0.53,000,0.4894
2015-02-17,0.565,0.565,0.565,0.565,7500,0.5217
2015-02-18,0.565,0.565,0.565,0.565,4500,0.5217
2015-02-19,0.565,0.575,0.565,0.565,26200,0.5217
2015-02-20,0.575,0.59,0.575,0.575,58400,0.5309
2015-02-23,0.58,0.58,0.58,0.58,8600,0.5355
2015-02-24,0.58,0.58,0.56,0.56,108900,0.5171
2015-02-25,0.56,0.56,0.56,0.56,000,0.5171
2015-02-26,0.58,0.60,0.58,0.60,270000,0.554
2015-02-27,0.60,0.60,0.60,0.60,000,0.554
2015-03-02,0.60,0.60,0.60,0.60,000,0.554
2015-03-03,0.595,0.595,0.57,0.57,13600,0.5263
2015-03-04,0.59,0.60,0.59,0.60,90000,0.554
2015-03-05,0.60,0.60,0.60,0.60,9900,0.554
2015-03-06,0.58,0.58,0.58,0.58,3000,0.5355
2015-03-09,0.60,0.60,0.60,0.60,50000,0.554
2015-03-10,0.60,0.60,0.60,0.60,000,0.5817
2015-03-11,0.60,0.60,0.60,0.60,000,0.5817
2015-03-12,0.60,0.60,0.60,0.60,25000,0.5817
2015-03-13,0.60,0.60,0.60,0.60,000,0.5817
2015-03-16,0.60,0.60,0.60,0.60,000,0.5817
2015-03-17,0.60,0.60,0.60,0.60,000,0.5817
2015-03-18,0.60,0.60,0.60,0.60,000,0.5817
2015-03-19,0.60,0.62,0.60,0.62,275000,0.6011
2015-03-20,0.63,0.63,0.61,0.61,104800,0.5914
2015-03-23,0.61,0.61,0.61,0.61,000,0.5914
2015-03-24,0.61,0.61,0.61,0.61,3000,0.5914
2015-03-25,0.61,0.61,0.61,0.61,10000,0.5914
2015-03-26,0.61,0.61,0.61,0.61,000,0.5914
2015-03-27,0.61,0.61,0.61,0.61,000,0.5914
2015-03-30,0.60,0.60,0.58,0.58,12000,0.5623
2015-03-31,0.58,0.58,0.58,0.58,000,0.5623
2015-04-01,0.58,0.58,0.58,0.58,8000,0.5623
