Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.91,0.91,0.91,0.91,000,0.76054
2015-01-02,0.91,0.91,0.895,0.905,29900,0.75636
2015-01-05,0.895,0.90,0.87,0.87,55400,0.72711
2015-01-06,0.88,0.90,0.86,0.87,42700,0.72711
2015-01-07,0.865,0.90,0.84,0.895,205400,0.748
2015-01-08,0.895,0.895,0.87,0.895,65700,0.748
2015-01-09,0.895,0.895,0.87,0.875,79500,0.73128
2015-01-12,0.89,0.895,0.85,0.85,120000,0.71039
2015-01-13,0.86,0.895,0.86,0.87,162300,0.72711
2015-01-14,0.87,0.895,0.87,0.885,1167100,0.73964
2015-01-15,0.875,0.895,0.87,0.895,110200,0.748
2015-01-16,0.895,0.895,0.88,0.895,145100,0.748
2015-01-19,0.895,0.90,0.87,0.88,83400,0.73546
2015-01-20,0.88,0.895,0.88,0.895,685400,0.748
2015-01-21,0.892,0.90,0.89,0.89,298600,0.74382
2015-01-22,0.89,0.895,0.89,0.895,565700,0.748
2015-01-23,0.895,0.895,0.87,0.875,225200,0.73128
2015-01-26,0.875,0.875,0.875,0.875,000,0.73128
2015-01-27,0.87,0.8775,0.82,0.845,417000,0.70621
2015-01-28,0.825,0.855,0.82,0.845,101500,0.70621
2015-01-29,0.842,0.855,0.825,0.825,309300,0.6895
2015-01-30,0.835,0.842,0.805,0.805,574100,0.67278
2015-02-02,0.81,0.81,0.805,0.805,286900,0.67278
2015-02-03,0.812,0.865,0.805,0.84,227500,0.70203
2015-02-04,0.84,0.8775,0.835,0.865,253200,0.72293
2015-02-05,0.86,0.87,0.86,0.87,56000,0.72711
2015-02-06,0.86,0.89,0.86,0.875,116400,0.73128
2015-02-09,0.87,0.875,0.865,0.87,129500,0.72711
2015-02-10,0.87,0.87,0.86,0.865,882900,0.72293
2015-02-11,0.87,0.885,0.865,0.87,594000,0.72711
2015-02-12,0.875,0.88,0.87,0.87,99000,0.72711
2015-02-13,0.88,0.89,0.86,0.875,207700,0.73128
2015-02-16,0.88,0.88,0.86,0.86,179700,0.71875
2015-02-17,0.875,0.88,0.86,0.86,231200,0.71875
2015-02-18,0.86,0.86,0.84,0.84,205600,0.70203
2015-02-19,0.86,0.86,0.83,0.84,126100,0.70203
2015-02-20,0.84,0.85,0.835,0.835,234300,0.69785
2015-02-23,0.84,0.84,0.83,0.835,149400,0.69785
2015-02-24,0.85,0.85,0.83,0.83,281400,0.69368
2015-02-25,0.825,0.835,0.82,0.82,173800,0.68532
2015-02-26,0.845,0.85,0.83,0.83,557500,0.69368
2015-02-27,0.87,0.905,0.855,0.86,738700,0.71875
2015-03-02,0.87,0.885,0.86,0.86,348200,0.71875
2015-03-03,0.87,0.89,0.855,0.87,629300,0.72711
2015-03-04,0.89,0.905,0.885,0.90,882600,0.75218
2015-03-05,0.875,0.887,0.83,0.86,681000,0.75043
2015-03-06,0.865,0.87,0.85,0.865,580400,0.7548
