Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.71,4.71,4.71,4.71,000,4.368
2015-01-02,4.70,4.78,4.68,4.78,581700,4.433
2015-01-05,4.76,4.81,4.67,4.70,1784800,4.358
2015-01-06,4.65,4.69,4.61,4.63,1321000,4.294
2015-01-07,4.61,4.71,4.61,4.68,1723400,4.34
2015-01-08,4.73,4.735,4.59,4.66,2135100,4.321
2015-01-09,4.73,4.73,4.60,4.64,2021500,4.303
2015-01-12,4.62,4.71,4.62,4.69,1276100,4.349
2015-01-13,4.66,4.68,4.60,4.63,1745000,4.294
2015-01-14,4.60,4.61,4.50,4.53,1602100,4.201
2015-01-15,4.50,4.54,4.42,4.48,3753500,4.154
2015-01-16,4.47,4.49,4.405,4.45,2321400,4.127
2015-01-19,4.53,4.53,4.44,4.44,1424000,4.117
2015-01-20,4.45,4.45,4.39,4.39,1474200,4.071
2015-01-21,4.44,4.46,4.39,4.40,2326500,4.08
2015-01-22,4.41,4.45,4.39,4.40,1844000,4.08
2015-01-23,4.46,4.49,4.42,4.47,1325100,4.145
2015-01-26,4.47,4.47,4.47,4.47,000,4.145
2015-01-27,4.53,4.59,4.51,4.56,2697000,4.229
2015-01-28,4.55,4.61,4.54,4.57,1552200,4.238
2015-01-29,4.58,4.62,4.57,4.59,1483700,4.256
2015-01-30,4.62,4.68,4.59,4.63,2461100,4.294
2015-02-02,4.62,4.67,4.61,4.62,1229700,4.284
2015-02-03,4.65,4.68,4.58,4.66,1460900,4.321
2015-02-04,4.70,4.77,4.69,4.77,3015600,4.423
2015-02-05,4.78,4.83,4.75,4.82,2636500,4.47
2015-02-06,4.82,4.87,4.785,4.86,2791300,4.507
2015-02-09,4.86,4.93,4.83,4.93,1736600,4.572
2015-02-10,4.93,4.94,4.89,4.91,2517700,4.553
2015-02-11,4.88,4.94,4.87,4.89,1729700,4.535
2015-02-12,4.95,4.95,4.845,4.87,2452500,4.516
2015-02-13,4.90,4.95,4.885,4.95,1367000,4.59
2015-02-16,4.93,4.95,4.89,4.94,966700,4.581
2015-02-17,4.94,4.97,4.89,4.91,1866300,4.553
2015-02-18,4.72,4.74,4.59,4.68,6426000,4.34
2015-02-19,4.68,4.72,4.59,4.62,2534200,4.284
2015-02-20,4.65,4.67,4.52,4.56,3675900,4.229
2015-02-23,4.58,4.595,4.49,4.50,1853800,4.173
