Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.24,0.24,0.24,0.24,000,0.24
2015-01-02,0.25,0.275,0.245,0.26,1967900,0.26
2015-01-05,0.27,0.325,0.265,0.325,5282800,0.325
2015-01-06,0.31,0.31,0.285,0.285,3515400,0.285
2015-01-07,0.285,0.32,0.28,0.30,1239600,0.30
2015-01-08,0.30,0.335,0.30,0.31,2033200,0.31
2015-01-09,0.32,0.325,0.29,0.295,1259200,0.295
2015-01-12,0.305,0.305,0.29,0.29,438500,0.29
2015-01-13,0.30,0.325,0.297,0.315,2236000,0.315
2015-01-14,0.31,0.31,0.30,0.31,781800,0.31
2015-01-15,0.31,0.315,0.295,0.295,618000,0.295
2015-01-16,0.295,0.305,0.285,0.29,665200,0.29
2015-01-19,0.30,0.305,0.295,0.30,458400,0.30
2015-01-20,0.295,0.30,0.29,0.29,571900,0.29
2015-01-21,0.295,0.30,0.29,0.29,632200,0.29
2015-01-22,0.295,0.295,0.285,0.285,332400,0.285
2015-01-23,0.295,0.32,0.295,0.32,2788800,0.32
2015-01-26,0.32,0.32,0.32,0.32,000,0.32
2015-01-27,0.32,0.325,0.30,0.30,2797900,0.30
2015-01-28,0.305,0.315,0.30,0.305,972600,0.305
2015-01-29,0.305,0.31,0.305,0.305,452100,0.305
2015-01-30,0.31,0.34,0.30,0.305,3638400,0.305
2015-02-02,0.305,0.305,0.285,0.285,2557400,0.285
2015-02-03,0.29,0.305,0.29,0.30,688300,0.30
2015-02-04,0.30,0.30,0.29,0.295,534600,0.295
2015-02-05,0.30,0.30,0.29,0.29,372900,0.29
2015-02-06,0.29,0.295,0.29,0.295,799800,0.295
2015-02-09,0.295,0.295,0.29,0.29,333100,0.29
2015-02-10,0.29,0.29,0.28,0.285,967600,0.285
2015-02-11,0.285,0.285,0.27,0.27,617200,0.27
2015-02-12,0.27,0.28,0.265,0.27,284000,0.27
2015-02-13,0.27,0.28,0.265,0.275,266000,0.275
2015-02-16,0.275,0.28,0.25,0.265,1063600,0.265
2015-02-17,0.262,0.265,0.26,0.26,417000,0.26
2015-02-18,0.26,0.285,0.255,0.285,1004000,0.285
2015-02-19,0.29,0.29,0.28,0.28,693100,0.28
2015-02-20,0.28,0.28,0.265,0.27,427100,0.27
2015-02-23,0.27,0.27,0.265,0.265,209800,0.265
2015-02-24,0.265,0.27,0.26,0.26,140600,0.26
2015-02-25,0.265,0.28,0.265,0.275,281100,0.275
2015-02-26,0.28,0.28,0.26,0.265,728100,0.265
2015-02-27,0.265,0.285,0.265,0.275,904500,0.275
2015-03-02,0.28,0.28,0.26,0.26,1020300,0.26
2015-03-03,0.265,0.265,0.245,0.26,1115600,0.26
2015-03-04,0.255,0.255,0.245,0.245,250200,0.245
2015-03-05,0.25,0.255,0.245,0.25,271000,0.25
2015-03-06,0.25,0.255,0.245,0.25,146900,0.25
2015-03-09,0.25,0.255,0.245,0.25,349400,0.25
2015-03-10,0.255,0.255,0.25,0.25,401300,0.25
2015-03-11,0.245,0.255,0.23,0.245,496400,0.245
2015-03-12,0.255,0.26,0.25,0.25,592700,0.25
2015-03-13,0.247,0.275,0.247,0.25,3019900,0.25
2015-03-16,0.25,0.25,0.245,0.245,361500,0.245
2015-03-17,0.245,0.255,0.24,0.24,450200,0.24
2015-03-18,0.24,0.24,0.225,0.225,682000,0.225
2015-03-19,0.23,0.235,0.205,0.21,1001600,0.21
2015-03-20,0.215,0.225,0.21,0.215,521200,0.215
2015-03-23,0.215,0.225,0.205,0.205,728300,0.205
2015-03-24,0.21,0.215,0.205,0.21,440500,0.21
2015-03-25,0.215,0.225,0.205,0.22,423300,0.22
2015-03-26,0.22,0.22,0.21,0.22,387600,0.22
2015-03-27,0.22,0.225,0.215,0.22,358500,0.22
2015-03-30,0.215,0.215,0.205,0.21,653300,0.21
2015-03-31,0.225,0.24,0.205,0.205,2484200,0.205
2015-04-01,0.205,0.205,0.165,0.17,3140500,0.17
2015-04-02,0.195,0.215,0.185,0.19,3975800,0.19
2015-04-03,0.19,0.19,0.19,0.19,000,0.19
2015-04-06,0.19,0.19,0.19,0.19,000,0.19
2015-04-07,0.19,0.21,0.19,0.20,768500,0.20
2015-04-08,0.205,0.205,0.195,0.195,533700,0.195
2015-04-09,0.205,0.205,0.185,0.185,434400,0.185
2015-04-10,0.185,0.195,0.175,0.195,1569500,0.195
2015-04-13,0.19,0.19,0.18,0.185,290100,0.185
2015-04-14,0.185,0.185,0.18,0.18,455100,0.18
2015-04-15,0.18,0.18,0.175,0.175,433000,0.175
2015-04-16,0.175,0.185,0.175,0.18,264500,0.18
2015-04-17,0.185,0.22,0.185,0.215,2242400,0.215
2015-04-20,0.23,0.255,0.22,0.235,4266500,0.235
2015-04-21,0.255,0.30,0.24,0.245,8882500,0.245
2015-04-22,0.24,0.25,0.225,0.23,1072900,0.23
2015-04-23,0.23,0.23,0.215,0.225,1431400,0.225
2015-04-24,0.215,0.22,0.21,0.22,1619800,0.22
2015-04-27,0.215,0.215,0.19,0.19,2699500,0.19
2015-04-28,0.195,0.195,0.185,0.19,678900,0.19
2015-04-29,0.19,0.205,0.19,0.20,788800,0.20
2015-04-30,0.20,0.20,0.19,0.20,602700,0.20
2015-05-01,0.20,0.21,0.195,0.20,1197500,0.20
2015-05-04,0.20,0.205,0.20,0.20,470500,0.20
2015-05-05,0.20,0.20,0.195,0.195,224700,0.195
2015-05-06,0.19,0.195,0.185,0.185,1126600,0.185
2015-05-07,0.185,0.185,0.175,0.18,1408400,0.18
2015-05-08,0.185,0.185,0.177,0.18,693800,0.18
2015-05-11,0.18,0.182,0.175,0.175,499900,0.175
2015-05-12,0.175,0.175,0.17,0.17,1035900,0.17
2015-05-13,0.17,0.175,0.17,0.17,635100,0.17
2015-05-14,0.17,0.21,0.16,0.19,13442900,0.19
2015-05-15,0.185,0.185,0.165,0.17,2963700,0.17
2015-05-18,0.17,0.175,0.165,0.175,1145600,0.175
2015-05-19,0.18,0.19,0.175,0.175,3942300,0.175
2015-05-20,0.175,0.175,0.165,0.165,1082800,0.165
2015-05-21,0.165,0.17,0.165,0.165,1006400,0.165
2015-05-22,0.17,0.17,0.16,0.165,1508000,0.165
2015-05-25,0.165,0.165,0.155,0.155,465100,0.155
2015-05-26,0.155,0.165,0.155,0.155,1187100,0.155
2015-05-27,0.16,0.16,0.14,0.145,2309800,0.145
2015-05-28,0.15,0.155,0.145,0.145,467000,0.145
2015-05-29,0.15,0.16,0.15,0.15,956500,0.15
2015-06-01,0.15,0.155,0.145,0.15,446200,0.15
2015-06-02,0.15,0.15,0.145,0.145,299400,0.145
2015-06-03,0.15,0.15,0.145,0.145,532000,0.145
2015-06-04,0.15,0.15,0.145,0.145,239400,0.145
2015-06-05,0.145,0.145,0.14,0.14,595300,0.14
2015-06-08,0.14,0.14,0.14,0.14,000,0.14
2015-06-09,0.14,0.14,0.135,0.135,392200,0.135
2015-06-10,0.14,0.14,0.135,0.14,716800,0.14
2015-06-11,0.14,0.16,0.14,0.155,2149900,0.155
2015-06-12,0.16,0.175,0.15,0.15,2532900,0.15
2015-06-15,0.155,0.155,0.145,0.145,848700,0.145
2015-06-16,0.145,0.15,0.145,0.15,556700,0.15
2015-06-17,0.15,0.155,0.145,0.145,212800,0.145
2015-06-18,0.145,0.15,0.145,0.145,406200,0.145
2015-06-19,0.14,0.145,0.135,0.14,831800,0.14
2015-06-22,0.14,0.14,0.135,0.14,537900,0.14
2015-06-23,0.14,0.14,0.135,0.135,386900,0.135
2015-06-24,0.135,0.14,0.135,0.14,669700,0.14
2015-06-25,0.135,0.14,0.135,0.135,434900,0.135
2015-06-26,0.135,0.14,0.13,0.135,460600,0.135
2015-06-29,0.135,0.14,0.13,0.13,495300,0.13
2015-06-30,0.13,0.135,0.125,0.13,926000,0.13
2015-07-01,0.125,0.14,0.125,0.135,673900,0.135
2015-07-02,0.13,0.13,0.115,0.12,1905600,0.12
2015-07-03,0.125,0.125,0.12,0.125,474200,0.125
2015-07-06,0.12,0.12,0.115,0.115,773300,0.115
2015-07-07,0.115,0.14,0.105,0.135,5157000,0.135
2015-07-08,0.14,0.14,0.125,0.125,1157900,0.125
2015-07-09,0.125,0.125,0.115,0.12,1054700,0.12
2015-07-10,0.12,0.12,0.115,0.115,716400,0.115
2015-07-13,0.115,0.13,0.115,0.13,1188100,0.13
2015-07-14,0.13,0.135,0.125,0.125,436400,0.125
2015-07-15,0.13,0.15,0.13,0.15,1081300,0.15
2015-07-16,0.145,0.16,0.145,0.145,2181100,0.145
2015-07-17,0.145,0.15,0.14,0.14,342200,0.14
2015-07-20,0.145,0.145,0.14,0.145,226600,0.145
2015-07-21,0.145,0.145,0.145,0.145,165800,0.145
2015-07-22,0.145,0.145,0.14,0.145,411400,0.145
2015-07-23,0.145,0.145,0.14,0.14,317700,0.14
2015-07-24,0.135,0.14,0.135,0.135,97900,0.135
2015-07-27,0.135,0.135,0.13,0.135,513000,0.135
2015-07-28,0.135,0.135,0.135,0.135,132300,0.135
2015-07-29,0.14,0.14,0.13,0.135,363700,0.135
2015-07-30,0.13,0.135,0.13,0.13,154000,0.13
2015-07-31,0.135,0.14,0.13,0.14,680700,0.14
2015-08-03,0.135,0.14,0.13,0.13,888600,0.13
2015-08-04,0.13,0.135,0.125,0.125,288000,0.125
2015-08-05,0.125,0.125,0.115,0.115,703100,0.115
2015-08-06,0.115,0.12,0.115,0.115,135500,0.115
2015-08-07,0.115,0.12,0.115,0.12,363200,0.12
2015-08-10,0.125,0.125,0.115,0.125,128100,0.125
2015-08-11,0.12,0.125,0.12,0.12,268000,0.12
2015-08-12,0.12,0.12,0.12,0.12,172000,0.12
2015-08-13,0.12,0.125,0.12,0.125,86400,0.125
2015-08-14,0.125,0.13,0.12,0.12,281100,0.12
