Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.525,0.525,0.525,0.525,000,0.47096
2015-01-02,0.52,0.525,0.515,0.525,30200,0.47096
2015-01-05,0.515,0.515,0.50,0.505,109400,0.45302
2015-01-06,0.505,0.505,0.505,0.505,4000,0.45302
2015-01-07,0.505,0.505,0.50,0.50,10400,0.44853
2015-01-08,0.50,0.50,0.50,0.50,50200,0.44853
2015-01-09,0.50,0.50,0.50,0.50,000,0.44853
2015-01-12,0.49,0.49,0.49,0.49,9800,0.43956
2015-01-13,0.49,0.49,0.48,0.48,168000,0.43059
2015-01-14,0.46,0.47,0.46,0.46,66300,0.41265
2015-01-15,0.45,0.45,0.45,0.45,6900,0.40368
2015-01-16,0.45,0.45,0.45,0.45,56700,0.40368
2015-01-19,0.45,0.45,0.45,0.45,12800,0.40368
2015-01-20,0.45,0.45,0.45,0.45,000,0.40368
2015-01-21,0.45,0.45,0.44,0.44,17000,0.39471
2015-01-22,0.44,0.445,0.44,0.445,15500,0.39919
2015-01-23,0.445,0.445,0.445,0.445,000,0.39919
2015-01-26,0.445,0.445,0.445,0.445,000,0.39919
2015-01-27,0.45,0.46,0.45,0.46,41200,0.41265
2015-01-28,0.455,0.455,0.45,0.45,66600,0.40368
2015-01-29,0.45,0.45,0.45,0.45,000,0.40368
2015-01-30,0.45,0.45,0.45,0.45,000,0.40368
2015-02-02,0.45,0.455,0.45,0.45,200400,0.40368
2015-02-03,0.44,0.45,0.44,0.45,596400,0.40368
2015-02-04,0.455,0.455,0.445,0.45,122500,0.40368
2015-02-05,0.45,0.455,0.45,0.45,747100,0.40368
2015-02-06,0.45,0.45,0.45,0.45,16000,0.40368
2015-02-09,0.45,0.45,0.45,0.45,1200,0.40368
2015-02-10,0.45,0.45,0.45,0.45,2600,0.40368
2015-02-11,0.45,0.45,0.45,0.45,100,0.40368
2015-02-12,0.45,0.45,0.45,0.45,31200,0.40368
2015-02-13,0.45,0.45,0.45,0.45,57100,0.40368
2015-02-16,0.445,0.445,0.445,0.445,200,0.39919
2015-02-17,0.445,0.445,0.445,0.445,000,0.39919
2015-02-18,0.445,0.45,0.44,0.44,151700,0.39471
