Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.95,4.95,4.95,4.95,000,4.95
2015-01-02,4.95,4.95,4.95,4.95,000,4.95
2015-01-05,4.95,4.95,4.95,4.95,000,4.95
2015-01-06,4.95,4.95,4.95,4.95,000,4.95
2015-01-07,4.95,4.95,4.95,4.95,1100,4.95
2015-01-08,4.95,4.95,4.95,4.95,000,4.95
2015-01-09,4.95,4.95,4.95,4.95,200,4.95
2015-01-12,4.95,4.95,4.95,4.95,000,4.95
2015-01-13,4.95,4.95,4.95,4.95,000,4.95
2015-01-14,4.95,4.95,4.95,4.95,000,4.95
2015-01-15,4.80,4.80,4.80,4.80,000,4.80
2015-01-16,4.80,4.80,4.80,4.80,000,4.80
2015-01-19,4.82,4.82,4.82,4.82,300,4.82
2015-01-20,4.82,4.82,4.82,4.82,000,4.82
2015-01-21,4.90,4.99,4.90,4.99,4000,4.99
2015-01-22,4.99,4.99,4.99,4.99,000,4.99
2015-01-23,4.99,4.99,4.99,4.99,000,4.99
2015-01-26,4.99,4.99,4.99,4.99,000,4.99
2015-01-27,4.99,4.99,4.99,4.99,000,4.99
2015-01-28,4.99,4.99,4.99,4.99,000,4.99
2015-01-29,5.08,5.08,4.87,4.87,400,4.87
2015-01-30,4.87,4.87,4.87,4.87,000,4.87
2015-02-02,4.90,4.90,4.90,4.90,000,4.90
2015-02-03,4.90,4.90,4.90,4.90,000,4.90
2015-02-04,4.90,4.90,4.90,4.90,000,4.90
2015-02-05,4.92,4.92,4.90,4.90,5300,4.90
2015-02-06,4.90,4.90,4.90,4.90,000,4.90
2015-02-09,5.04,5.10,5.01,5.10,1100,5.10
2015-02-10,5.10,5.10,5.10,5.10,8700,5.10
2015-02-11,5.10,5.10,5.08,5.08,2600,5.08
2015-02-12,5.08,5.18,5.08,5.16,55000,5.16
2015-02-13,5.16,5.16,5.16,5.16,000,5.16
2015-02-16,5.15,5.28,5.15,5.26,800,5.26
2015-02-17,5.26,5.26,5.26,5.26,000,5.26
2015-02-18,5.52,5.52,5.52,5.52,18700,5.52
2015-02-19,5.53,5.65,5.53,5.56,3700,5.56
2015-02-20,5.65,5.80,5.65,5.75,19000,5.75
2015-02-23,5.70,5.70,5.70,5.70,300,5.70
2015-02-24,5.70,5.70,5.64,5.65,1600,5.65
2015-02-25,5.57,5.57,5.57,5.57,100,5.57
2015-02-26,5.57,5.57,5.57,5.57,000,5.57
2015-02-27,5.57,5.57,5.57,5.57,000,5.57
2015-03-02,5.57,5.57,5.57,5.57,000,5.57
2015-03-03,5.69,5.69,5.69,5.69,500,5.69
2015-03-04,5.64,5.64,5.64,5.64,500,5.64
2015-03-05,5.64,5.64,5.64,5.64,000,5.64
2015-03-06,5.64,5.64,5.64,5.64,000,5.64
2015-03-09,5.68,5.68,5.66,5.66,900,5.66
2015-03-10,5.70,5.72,5.70,5.72,8700,5.72
2015-03-11,5.72,5.72,5.72,5.72,000,5.72
2015-03-12,5.69,5.72,5.69,5.70,10600,5.70
2015-03-13,5.65,5.65,5.65,5.65,8300,5.65
2015-03-16,5.65,5.65,5.65,5.65,000,5.65
2015-03-17,5.51,5.55,5.51,5.55,20500,5.55
