Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.10,0.10,0.10,0.10,000,0.10
2015-01-02,0.10,0.10,0.10,0.10,000,0.10
2015-01-05,0.10,0.10,0.10,0.10,000,0.10
2015-01-06,0.10,0.10,0.10,0.10,000,0.10
2015-01-07,0.10,0.10,0.10,0.10,000,0.10
2015-01-08,0.063,0.063,0.063,0.063,10000,0.063
2015-01-09,0.063,0.063,0.063,0.063,000,0.063
2015-01-12,0.063,0.063,0.063,0.063,000,0.063
2015-01-13,0.063,0.063,0.063,0.063,000,0.063
2015-01-14,0.064,0.064,0.064,0.064,20000,0.064
2015-01-15,0.064,0.064,0.064,0.064,000,0.064
2015-01-16,0.064,0.064,0.064,0.064,000,0.064
2015-01-19,0.068,0.068,0.068,0.068,19000,0.068
2015-01-20,0.068,0.068,0.068,0.068,000,0.068
2015-01-21,0.081,0.081,0.081,0.081,28000,0.081
2015-01-22,0.081,0.081,0.081,0.081,75000,0.081
2015-01-23,0.081,0.081,0.081,0.081,000,0.081
2015-01-26,0.081,0.081,0.081,0.081,000,0.081
2015-01-27,0.081,0.081,0.081,0.081,000,0.081
2015-01-28,0.081,0.081,0.081,0.081,000,0.081
2015-01-29,0.082,0.082,0.082,0.082,15000,0.082
2015-01-30,0.082,0.082,0.082,0.082,14400,0.082
2015-02-02,0.082,0.082,0.082,0.082,000,0.082
2015-02-03,0.082,0.082,0.082,0.082,000,0.082
2015-02-04,0.082,0.082,0.082,0.082,000,0.082
2015-02-05,0.082,0.082,0.082,0.082,157500,0.082
2015-02-06,0.082,0.082,0.082,0.082,000,0.082
2015-02-09,0.082,0.082,0.082,0.082,000,0.082
2015-02-10,0.082,0.082,0.082,0.082,000,0.082
2015-02-11,0.082,0.082,0.082,0.082,000,0.082
2015-02-12,0.082,0.082,0.082,0.082,000,0.082
2015-02-13,0.082,0.082,0.082,0.082,000,0.082
2015-02-16,0.082,0.082,0.082,0.082,000,0.082
2015-02-17,0.06,0.06,0.06,0.06,8400,0.06
2015-02-18,0.06,0.06,0.06,0.06,000,0.06
2015-02-19,0.057,0.057,0.057,0.057,5000,0.057
2015-02-20,0.065,0.065,0.065,0.065,110000,0.065
2015-02-23,0.065,0.065,0.065,0.065,000,0.065
2015-02-24,0.065,0.065,0.065,0.065,000,0.065
2015-02-25,0.065,0.065,0.065,0.065,61200,0.065
2015-02-26,0.065,0.065,0.065,0.065,12500,0.065
2015-02-27,0.065,0.065,0.065,0.065,000,0.065
2015-03-02,0.065,0.065,0.065,0.065,000,0.065
2015-03-03,0.065,0.065,0.065,0.065,000,0.065
2015-03-04,0.065,0.065,0.065,0.065,000,0.065
2015-03-05,0.065,0.065,0.065,0.065,000,0.065
2015-03-06,0.065,0.065,0.065,0.065,000,0.065
2015-03-09,0.065,0.065,0.065,0.065,000,0.065
2015-03-10,0.065,0.065,0.065,0.065,000,0.065
2015-03-11,0.065,0.065,0.065,0.065,000,0.065
2015-03-12,0.065,0.065,0.065,0.065,000,0.065
2015-03-13,0.065,0.065,0.065,0.065,000,0.065
2015-03-16,0.065,0.065,0.065,0.065,000,0.065
2015-03-17,0.065,0.065,0.065,0.065,000,0.065
2015-03-18,0.065,0.065,0.065,0.065,000,0.065
2015-03-19,0.065,0.065,0.065,0.065,000,0.065
2015-03-20,0.065,0.065,0.065,0.065,26000,0.065
2015-03-23,0.065,0.065,0.065,0.065,000,0.065
2015-03-24,0.065,0.065,0.065,0.065,30000,0.065
2015-03-25,0.065,0.065,0.065,0.065,000,0.065
2015-03-26,0.065,0.065,0.065,0.065,000,0.065
2015-03-27,0.066,0.066,0.065,0.065,60000,0.065
2015-03-30,0.065,0.065,0.065,0.065,000,0.065
2015-03-31,0.065,0.065,0.065,0.065,000,0.065
2015-04-01,0.065,0.065,0.065,0.065,000,0.065
2015-04-02,0.065,0.065,0.065,0.065,000,0.065
2015-04-03,0.065,0.065,0.065,0.065,000,0.065
2015-04-06,0.065,0.065,0.065,0.065,000,0.065
2015-04-07,0.065,0.065,0.065,0.065,000,0.065
2015-04-08,0.065,0.065,0.065,0.065,000,0.065
2015-04-09,0.065,0.065,0.065,0.065,000,0.065
2015-04-10,0.065,0.065,0.065,0.065,000,0.065
2015-04-13,0.065,0.065,0.065,0.065,000,0.065
2015-04-14,0.065,0.065,0.065,0.065,000,0.065
2015-04-15,0.065,0.065,0.065,0.065,000,0.065
2015-04-16,0.065,0.065,0.065,0.065,000,0.065
2015-04-17,0.065,0.065,0.065,0.065,000,0.065
2015-04-20,0.065,0.065,0.065,0.065,000,0.065
2015-04-21,0.065,0.065,0.065,0.065,000,0.065
2015-04-22,0.065,0.065,0.065,0.065,000,0.065
2015-04-23,0.065,0.065,0.065,0.065,000,0.065
2015-04-24,0.065,0.065,0.065,0.065,000,0.065
2015-04-27,0.065,0.065,0.065,0.065,000,0.065
2015-04-28,0.065,0.065,0.065,0.065,000,0.065
2015-04-29,0.065,0.065,0.065,0.065,000,0.065
2015-04-30,0.049,0.049,0.038,0.038,294600,0.038
2015-05-01,0.038,0.038,0.038,0.038,000,0.038
2015-05-04,0.045,0.046,0.045,0.046,65100,0.046
