Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.20694,0.20694,0.20694,0.20694,000,0.20694
2015-01-02,0.20694,0.21175,0.20212,0.21175,377500,0.21175
2015-01-05,0.21656,0.231,0.21656,0.231,1360300,0.231
2015-01-06,0.231,0.231,0.22137,0.231,418400,0.231
2015-01-07,0.22619,0.22619,0.22137,0.22619,462400,0.22619
2015-01-08,0.22619,0.22619,0.21656,0.22619,378600,0.22619
2015-01-09,0.22619,0.22619,0.21656,0.22137,237700,0.22137
2015-01-12,0.22137,0.22137,0.21656,0.21656,200800,0.21656
2015-01-13,0.21656,0.22137,0.21656,0.22137,98300,0.22137
2015-01-14,0.22137,0.22137,0.21175,0.21656,316200,0.21656
2015-01-15,0.21656,0.21656,0.21175,0.21656,295600,0.21656
2015-01-16,0.21656,0.22137,0.21175,0.22137,188000,0.22137
2015-01-19,0.22137,0.22137,0.21175,0.21656,450300,0.21656
2015-01-20,0.21656,0.21656,0.20694,0.20694,563800,0.20694
2015-01-21,0.20886,0.21175,0.20694,0.21175,485000,0.21175
2015-01-22,0.21175,0.21175,0.20694,0.21175,157000,0.21175
2015-01-23,0.21175,0.21656,0.19731,0.20694,903100,0.20694
2015-01-26,0.20694,0.20694,0.20694,0.20694,000,0.20694
2015-01-27,0.21656,0.22137,0.21175,0.21656,831400,0.21656
2015-01-28,0.21656,0.22137,0.21656,0.21656,323900,0.21656
2015-01-29,0.21656,0.21656,0.21175,0.21656,149400,0.21656
2015-01-30,0.21656,0.21897,0.21175,0.21849,205100,0.21849
2015-02-02,0.21656,0.21656,0.21175,0.21175,209400,0.21175
2015-02-03,0.21656,0.22137,0.21656,0.22137,369200,0.22137
2015-02-04,0.22137,0.231,0.21656,0.22137,915900,0.22137
2015-02-05,0.22137,0.22137,0.21175,0.21175,808700,0.21175
2015-02-06,0.20694,0.21175,0.20212,0.20212,619800,0.20212
2015-02-09,0.20694,0.20694,0.1925,0.1925,689200,0.1925
2015-02-10,0.1925,0.1925,0.18287,0.1925,1256600,0.1925
2015-02-11,0.1925,0.20212,0.18769,0.1925,554700,0.1925
2015-02-12,0.1925,0.1925,0.18769,0.18769,304800,0.18769
2015-02-13,0.1925,0.1925,0.18769,0.1925,391000,0.1925
2015-02-16,0.1925,0.1925,0.18287,0.1925,826100,0.1925
2015-02-17,0.1925,0.1925,0.17806,0.18769,472200,0.18769
2015-02-18,0.18769,0.1925,0.18769,0.1925,274500,0.1925
2015-02-19,0.1925,0.1925,0.18769,0.1925,103900,0.1925
2015-02-20,0.1925,0.1925,0.18769,0.18769,125200,0.18769
2015-02-23,0.18769,0.20694,0.18769,0.20212,1816900,0.20212
2015-02-24,0.20212,0.20212,0.18287,0.18287,1352500,0.18287
2015-02-25,0.18287,0.18769,0.18287,0.18769,383400,0.18769
2015-02-26,0.18769,0.18769,0.18287,0.18287,352700,0.18287
2015-02-27,0.18769,0.18769,0.18769,0.18769,271400,0.18769
2015-03-02,0.18769,0.18769,0.18287,0.18769,515100,0.18769
2015-03-03,0.18287,0.18769,0.18287,0.18287,322500,0.18287
2015-03-04,0.18769,0.18769,0.18769,0.18769,122400,0.18769
2015-03-05,0.18769,0.18769,0.18287,0.18287,59500,0.18287
2015-03-06,0.18769,0.18769,0.18287,0.18287,111800,0.18287
2015-03-09,0.18287,0.18769,0.18287,0.18769,179000,0.18769
2015-03-10,0.18769,0.18769,0.18769,0.18769,73600,0.18769
2015-03-11,0.18287,0.18769,0.18287,0.18769,270400,0.18769
2015-03-12,0.18287,0.18287,0.17325,0.17325,1028000,0.17325
2015-03-13,0.18287,0.18287,0.17806,0.17806,58300,0.17806
2015-03-16,0.17806,0.18287,0.17806,0.18287,126400,0.18287
2015-03-17,0.18287,0.18287,0.18287,0.18287,219700,0.18287
2015-03-18,0.18287,0.18287,0.17806,0.18287,197100,0.18287
2015-03-19,0.17806,0.18287,0.17806,0.17806,397500,0.17806
2015-03-20,0.17806,0.17806,0.17325,0.17325,221100,0.17325
