Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.43,2.43,2.43,2.43,000,2.31154
2015-01-02,2.40,2.43,2.38,2.42,510800,2.30203
2015-01-05,2.41,2.44,2.40,2.42,876800,2.30203
2015-01-06,2.39,2.39,2.34,2.38,1740800,2.26398
2015-01-07,2.36,2.38,2.33,2.34,1091000,2.22593
2015-01-08,2.35,2.37,2.325,2.35,741400,2.23544
2015-01-09,2.36,2.41,2.355,2.39,880300,2.27349
2015-01-12,2.39,2.41,2.37,2.39,990300,2.27349
2015-01-13,2.35,2.36,2.29,2.33,1944700,2.21641
2015-01-14,2.32,2.38,2.32,2.34,2938700,2.22593
2015-01-15,2.33,2.34,2.29,2.31,2235800,2.19739
2015-01-16,2.27,2.32,2.24,2.27,2386800,2.15934
2015-01-19,2.29,2.31,2.27,2.27,1058700,2.15934
2015-01-20,2.28,2.41,2.28,2.40,1998600,2.283
2015-01-21,2.40,2.49,2.40,2.47,1544100,2.34959
2015-01-22,2.46,2.46,2.43,2.45,1205900,2.33057
2015-01-23,2.46,2.46,2.35,2.39,3545600,2.27349
2015-01-26,2.39,2.39,2.39,2.39,000,2.27349
2015-01-27,2.39,2.46,2.37,2.39,1299700,2.27349
2015-01-28,2.35,2.36,2.31,2.35,2195400,2.23544
2015-01-29,2.34,2.38,2.33,2.35,1401700,2.23544
2015-01-30,2.35,2.37,2.33,2.34,2801600,2.22593
2015-02-02,2.34,2.37,2.32,2.35,2804000,2.23544
2015-02-03,2.36,2.39,2.35,2.37,1716700,2.25446
2015-02-04,2.39,2.43,2.39,2.41,1692500,2.29252
2015-02-05,2.43,2.45,2.41,2.43,1242800,2.31154
2015-02-06,2.44,2.46,2.395,2.41,1046000,2.29252
2015-02-09,2.40,2.41,2.37,2.40,1307600,2.283
2015-02-10,2.41,2.41,2.37,2.38,892900,2.26398
2015-02-11,2.39,2.42,2.37,2.38,2143200,2.26398
2015-02-12,2.41,2.46,2.40,2.43,1862000,2.31154
2015-02-13,2.47,2.50,2.46,2.50,1381700,2.37813
2015-02-16,2.48,2.52,2.48,2.52,1996600,2.39715
2015-02-17,2.51,2.565,2.495,2.55,2122700,2.42569
2015-02-18,2.62,2.71,2.62,2.63,7330800,2.50179
