Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.004,0.004,0.004,0.004,000,0.01067
2015-01-02,0.004,0.004,0.004,0.004,000,0.01067
2015-01-05,0.004,0.004,0.004,0.004,000,0.01067
2015-01-06,0.004,0.004,0.004,0.004,000,0.01067
2015-01-07,0.004,0.004,0.004,0.004,000,0.01067
2015-01-08,0.004,0.004,0.004,0.004,000,0.01067
2015-01-09,0.004,0.004,0.004,0.004,000,0.01067
2015-01-12,0.004,0.004,0.004,0.004,000,0.01067
2015-01-13,0.006,0.007,0.006,0.007,393000,0.01867
2015-01-14,0.007,0.007,0.007,0.007,000,0.01867
2015-01-15,0.007,0.007,0.007,0.007,000,0.01867
2015-01-16,0.007,0.007,0.007,0.007,000,0.01867
2015-01-19,0.006,0.006,0.005,0.005,937500,0.01333
2015-01-20,0.005,0.005,0.005,0.005,000,0.01333
2015-01-21,0.006,0.006,0.006,0.006,37500,0.016
2015-01-22,0.006,0.006,0.006,0.006,712500,0.016
2015-01-23,0.006,0.006,0.006,0.006,000,0.016
2015-01-26,0.006,0.006,0.006,0.006,000,0.016
2015-01-27,0.006,0.006,0.006,0.006,000,0.016
2015-01-28,0.006,0.006,0.006,0.006,000,0.016
2015-01-29,0.006,0.006,0.006,0.006,000,0.016
2015-01-30,0.006,0.006,0.006,0.006,000,0.016
2015-02-02,0.006,0.006,0.006,0.006,000,0.016
2015-02-03,0.006,0.006,0.006,0.006,000,0.016
2015-02-04,0.006,0.007,0.006,0.007,2168500,0.01867
2015-02-05,0.007,0.007,0.007,0.007,000,0.01867
2015-02-06,0.007,0.007,0.007,0.007,000,0.01867
2015-02-09,0.007,0.007,0.007,0.007,000,0.01867
2015-02-10,0.007,0.008,0.007,0.008,523700,0.02133
2015-02-11,0.008,0.008,0.008,0.008,000,0.02133
2015-02-12,0.007,0.007,0.007,0.007,56200,0.01867
2015-02-13,0.007,0.007,0.007,0.007,000,0.01867
2015-02-16,0.007,0.007,0.007,0.007,375000,0.01867
2015-02-17,0.007,0.007,0.007,0.007,321000,0.01867
2015-02-18,0.007,0.007,0.007,0.007,000,0.01867
2015-02-19,0.007,0.007,0.007,0.007,000,0.01867
2015-02-20,0.007,0.007,0.007,0.007,000,0.01867
2015-02-23,0.007,0.007,0.007,0.007,000,0.01867
2015-02-24,0.007,0.007,0.006,0.006,189000,0.016
2015-02-25,0.006,0.006,0.006,0.006,000,0.016
2015-02-26,0.006,0.006,0.006,0.006,000,0.016
2015-02-27,0.006,0.006,0.006,0.006,000,0.016
2015-03-02,0.007,0.007,0.007,0.007,52500,0.01867
2015-03-03,0.007,0.007,0.007,0.007,360000,0.01867
2015-03-04,0.007,0.009,0.007,0.008,2139100,0.02133
2015-03-05,0.008,0.008,0.008,0.008,000,0.02133
2015-03-06,0.008,0.008,0.008,0.008,000,0.02133
2015-03-09,0.008,0.008,0.008,0.008,000,0.02133
2015-03-10,0.008,0.008,0.008,0.008,000,0.02133
2015-03-11,0.008,0.008,0.008,0.008,000,0.02133
2015-03-12,0.008,0.008,0.008,0.008,9300,0.02133
2015-03-13,0.008,0.008,0.008,0.008,000,0.02133
2015-03-16,0.008,0.009,0.008,0.009,2707700,0.024
2015-03-17,0.009,0.009,0.008,0.008,397500,0.02133
2015-03-18,0.009,0.009,0.009,0.009,563900,0.024
2015-03-19,0.009,0.009,0.009,0.009,3045000,0.024
2015-03-20,0.009,0.009,0.009,0.009,910500,0.024
2015-03-23,0.009,0.009,0.009,0.009,93400,0.024
2015-03-24,0.009,0.009,0.009,0.009,476200,0.024
2015-03-25,0.009,0.009,0.009,0.009,1528700,0.024
2015-03-26,0.009,0.009,0.009,0.009,114000,0.024
2015-03-27,0.009,0.009,0.009,0.009,33700,0.024
2015-03-30,0.009,0.009,0.009,0.009,000,0.024
2015-03-31,0.009,0.009,0.009,0.009,91800,0.024
2015-04-01,0.008,0.009,0.008,0.009,43100,0.024
2015-04-02,0.009,0.009,0.009,0.009,75000,0.024
2015-04-03,0.009,0.009,0.009,0.009,000,0.024
2015-04-06,0.009,0.009,0.009,0.009,000,0.024
2015-04-07,0.009,0.009,0.009,0.009,000,0.024
2015-04-08,0.009,0.009,0.008,0.009,141200,0.024
2015-04-09,0.009,0.009,0.009,0.009,000,0.024
2015-04-10,0.009,0.009,0.009,0.009,000,0.024
2015-04-13,0.009,0.009,0.009,0.009,000,0.024
2015-04-14,0.009,0.009,0.009,0.009,000,0.024
2015-04-15,0.008,0.009,0.008,0.009,1200000,0.024
2015-04-16,0.009,0.009,0.009,0.009,000,0.024
2015-04-17,0.009,0.009,0.009,0.009,37500,0.024
2015-04-20,0.009,0.009,0.009,0.009,000,0.024
2015-04-21,0.009,0.009,0.009,0.009,46800,0.024
2015-04-22,0.009,0.01,0.009,0.01,296200,0.02667
2015-04-23,0.009,0.009,0.009,0.009,300000,0.024
2015-04-24,0.009,0.009,0.009,0.009,000,0.024
2015-04-27,0.009,0.009,0.009,0.009,000,0.024
2015-04-28,0.008,0.008,0.008,0.008,448100,0.02133
2015-04-29,0.008,0.008,0.008,0.008,000,0.02133
