Date,Open,High,Low,Close,Volume,Adj Close
2016-05-16,1.50,1.53,1.37,1.455,2110300,1.455
2016-05-17,1.455,1.47,1.42,1.43,735900,1.43
2016-05-18,1.45,1.45,1.385,1.40,406600,1.40
2016-05-19,1.42,1.42,1.37,1.40,294400,1.40
2016-05-20,1.40,1.40,1.35,1.36,222300,1.36


2016-05-23,1.36,1.37,1.33,1.36,225800,1.36
2016-05-24,1.37,1.37,1.265,1.28,127400,1.28
2016-05-25,1.31,1.32,1.28,1.31,32500,1.31
2016-05-26,1.32,1.33,1.28,1.28,41600,1.28
2016-05-27,1.28,1.28,1.20,1.205,146000,1.205


2016-05-30,1.20,1.205,1.055,1.12,79600,1.12
2016-05-31,1.15,1.295,1.15,1.22,355900,1.22
2016-06-01,1.22,1.22,1.17,1.18,115600,1.18
2016-06-02,1.18,1.25,1.175,1.21,534000,1.21
2016-06-03,1.235,1.235,1.23,1.23,26000,1.23


2016-06-06,1.205,1.25,1.205,1.21,35400,1.21
2016-06-07,1.23,1.23,1.185,1.185,179000,1.185
2016-06-08,1.17,1.17,1.16,1.16,19000,1.16
2016-06-09,1.16,1.17,1.14,1.15,130200,1.15
2016-06-10,1.155,1.18,1.155,1.155,74400,1.155


2016-06-13,1.155,1.155,1.155,1.155,000,1.155
2016-06-14,1.155,1.18,1.14,1.18,40600,1.18
