Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.00,1.00,1.00,1.00,000,1.00
2015-01-02,1.00,1.00,1.00,1.00,000,1.00
2015-01-05,1.005,1.005,1.005,1.005,1200,1.005
2015-01-06,1.01,1.01,1.01,1.01,14000,1.01
2015-01-07,1.01,1.01,1.01,1.01,000,1.01
2015-01-08,1.06,1.12,1.06,1.12,10200,1.12
2015-01-09,1.005,1.005,1.005,1.005,93700,1.005
2015-01-12,1.005,1.005,1.005,1.005,000,1.005
2015-01-13,1.005,1.005,1.005,1.005,2000,1.005
2015-01-14,0.97,0.97,0.95,0.97,46400,0.97
2015-01-15,0.97,0.97,0.97,0.97,000,0.97
2015-01-16,0.97,0.97,0.97,0.97,000,0.97
2015-01-19,0.97,0.97,0.97,0.97,000,0.97
2015-01-20,0.95,0.95,0.95,0.95,56500,0.95
2015-01-21,0.95,0.95,0.95,0.95,000,0.95
2015-01-22,0.95,0.95,0.95,0.95,3800,0.95
2015-01-23,0.95,0.95,0.95,0.95,000,0.95
2015-01-26,0.95,0.95,0.95,0.95,000,0.95
2015-01-27,0.95,0.95,0.95,0.95,000,0.95
2015-01-28,0.95,0.95,0.95,0.95,000,0.95
2015-01-29,0.95,0.95,0.95,0.95,000,0.95
2015-01-30,0.90,0.90,0.90,0.90,40000,0.90
2015-02-02,0.90,0.90,0.90,0.90,000,0.90
2015-02-03,0.765,0.765,0.68,0.70,66200,0.70
2015-02-04,0.725,0.79,0.725,0.73,24300,0.73
2015-02-05,0.73,0.735,0.73,0.735,13100,0.735
2015-02-06,0.73,0.73,0.73,0.73,11200,0.73
2015-02-09,0.73,0.73,0.72,0.72,34100,0.72
2015-02-10,0.72,0.72,0.70,0.70,27300,0.70
2015-02-11,0.70,0.70,0.70,0.70,8000,0.70
2015-02-12,0.68,0.68,0.68,0.68,14000,0.68
2015-02-13,0.68,0.68,0.67,0.67,10900,0.67
2015-02-16,0.65,0.65,0.65,0.65,12500,0.65
2015-02-17,0.65,0.65,0.65,0.65,4300,0.65
2015-02-18,0.65,0.65,0.65,0.65,000,0.65
2015-02-19,0.67,0.67,0.67,0.67,8200,0.67
2015-02-20,0.68,0.68,0.68,0.68,1500,0.68
2015-02-23,0.68,0.69,0.68,0.68,23300,0.68
2015-02-24,0.67,0.67,0.67,0.67,1100,0.67
2015-02-25,0.65,0.67,0.65,0.67,5000,0.67
2015-02-26,0.67,0.67,0.67,0.67,000,0.67
2015-02-27,0.67,0.67,0.67,0.67,000,0.67
2015-03-02,0.66,0.66,0.66,0.66,4000,0.66
2015-03-03,0.63,0.63,0.63,0.63,25900,0.63
