Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.06,0.06,0.06,0.06,000,0.06
2015-01-02,0.06,0.06,0.06,0.06,000,0.06
2015-01-05,0.06,0.06,0.06,0.06,000,0.06
2015-01-06,0.06,0.06,0.06,0.06,56000,0.06
2015-01-07,0.06,0.06,0.06,0.06,000,0.06
2015-01-08,0.06,0.06,0.06,0.06,000,0.06
2015-01-09,0.06,0.06,0.06,0.06,55700,0.06
2015-01-12,0.05,0.055,0.05,0.055,150000,0.055
2015-01-13,0.055,0.055,0.055,0.055,000,0.055
2015-01-14,0.055,0.055,0.055,0.055,000,0.055
2015-01-15,0.058,0.06,0.058,0.06,310100,0.06
2015-01-16,0.06,0.06,0.06,0.06,000,0.06
2015-01-19,0.06,0.06,0.06,0.06,000,0.06
2015-01-20,0.058,0.058,0.058,0.058,25000,0.058
2015-01-21,0.058,0.058,0.058,0.058,000,0.058
2015-01-22,0.058,0.058,0.058,0.058,000,0.058
2015-01-23,0.058,0.058,0.058,0.058,000,0.058
2015-01-26,0.058,0.058,0.058,0.058,000,0.058
2015-01-27,0.058,0.058,0.058,0.058,10000,0.058
2015-01-28,0.058,0.058,0.058,0.058,000,0.058
2015-01-29,0.058,0.058,0.058,0.058,000,0.058
2015-01-30,0.058,0.058,0.058,0.058,000,0.058
2015-02-02,0.055,0.055,0.055,0.055,25000,0.055
2015-02-03,0.055,0.055,0.055,0.055,000,0.055
2015-02-04,0.055,0.055,0.055,0.055,000,0.055
2015-02-05,0.055,0.055,0.055,0.055,000,0.055
2015-02-06,0.052,0.052,0.052,0.052,96100,0.052
2015-02-09,0.052,0.052,0.052,0.052,000,0.052
2015-02-10,0.051,0.052,0.051,0.052,88800,0.052
2015-02-11,0.052,0.052,0.052,0.052,000,0.052
2015-02-12,0.052,0.052,0.052,0.052,000,0.052
2015-02-13,0.052,0.052,0.052,0.052,000,0.052
2015-02-16,0.052,0.052,0.052,0.052,000,0.052
2015-02-17,0.052,0.052,0.052,0.052,000,0.052
2015-02-18,0.052,0.052,0.052,0.052,000,0.052
2015-02-19,0.052,0.052,0.052,0.052,000,0.052
2015-02-20,0.052,0.052,0.052,0.052,000,0.052
2015-02-23,0.052,0.052,0.052,0.052,000,0.052
2015-02-24,0.052,0.052,0.052,0.052,000,0.052
2015-02-25,0.052,0.052,0.052,0.052,000,0.052
2015-02-26,0.052,0.052,0.052,0.052,000,0.052
2015-02-27,0.052,0.052,0.052,0.052,000,0.052
2015-03-02,0.047,0.049,0.044,0.049,120000,0.049
2015-03-03,0.049,0.049,0.049,0.049,000,0.049
2015-03-04,0.043,0.043,0.035,0.035,360000,0.035
2015-03-05,0.035,0.035,0.035,0.035,000,0.035
2015-03-06,0.035,0.035,0.035,0.035,000,0.035
2015-03-09,0.035,0.035,0.035,0.035,000,0.035
2015-03-10,0.035,0.036,0.035,0.036,102500,0.036
2015-03-11,0.035,0.037,0.035,0.037,129500,0.037
2015-03-12,0.037,0.038,0.037,0.038,100000,0.038
2015-03-13,0.038,0.038,0.038,0.038,000,0.038
2015-03-16,0.038,0.038,0.038,0.038,000,0.038
2015-03-17,0.038,0.038,0.038,0.038,000,0.038
2015-03-18,0.038,0.038,0.038,0.038,000,0.038
2015-03-19,0.038,0.038,0.038,0.038,000,0.038
2015-03-20,0.038,0.038,0.038,0.038,000,0.038
2015-03-23,0.038,0.038,0.038,0.038,000,0.038
2015-03-24,0.038,0.038,0.038,0.038,000,0.038
2015-03-25,0.037,0.038,0.037,0.037,127600,0.037
2015-03-26,0.037,0.037,0.037,0.037,000,0.037
2015-03-27,0.037,0.037,0.037,0.037,26000,0.037
2015-03-30,0.036,0.036,0.036,0.036,23700,0.036
2015-03-31,0.036,0.036,0.036,0.036,000,0.036
2015-04-01,0.025,0.036,0.025,0.036,52500,0.036
2015-04-02,0.036,0.036,0.036,0.036,000,0.036
2015-04-03,0.036,0.036,0.036,0.036,000,0.036
2015-04-06,0.036,0.036,0.036,0.036,000,0.036
2015-04-07,0.036,0.036,0.036,0.036,000,0.036
2015-04-08,0.035,0.035,0.035,0.035,15000,0.035
2015-04-09,0.035,0.035,0.035,0.035,000,0.035
2015-04-10,0.035,0.035,0.035,0.035,000,0.035
2015-04-13,0.035,0.035,0.035,0.035,000,0.035
2015-04-14,0.035,0.035,0.035,0.035,000,0.035
2015-04-15,0.035,0.035,0.035,0.035,000,0.035
2015-04-16,0.025,0.025,0.025,0.025,67500,0.025
2015-04-17,0.025,0.025,0.025,0.025,000,0.025
2015-04-20,0.025,0.025,0.025,0.025,000,0.025
2015-04-21,0.025,0.025,0.025,0.025,000,0.025
2015-04-22,0.025,0.025,0.025,0.025,000,0.025
2015-04-23,0.025,0.025,0.025,0.025,000,0.025
2015-04-24,0.025,0.028,0.025,0.028,212600,0.028
2015-04-27,0.028,0.028,0.028,0.028,000,0.028
2015-04-28,0.026,0.026,0.026,0.026,142600,0.026
2015-04-29,0.026,0.026,0.026,0.026,000,0.026
2015-04-30,0.026,0.026,0.026,0.026,40000,0.026
2015-05-01,0.026,0.026,0.026,0.026,000,0.026
2015-05-04,0.026,0.026,0.026,0.026,000,0.026
2015-05-05,0.026,0.026,0.02,0.02,135000,0.02
2015-05-06,0.02,0.02,0.02,0.02,000,0.02
2015-05-07,0.02,0.02,0.02,0.02,000,0.02
2015-05-08,0.02,0.02,0.02,0.02,000,0.02
2015-05-11,0.02,0.02,0.02,0.02,000,0.02
2015-05-12,0.02,0.02,0.02,0.02,150000,0.02
2015-05-13,0.02,0.02,0.02,0.02,000,0.02
2015-05-14,0.021,0.021,0.021,0.021,25000,0.021
2015-05-15,0.021,0.021,0.021,0.021,000,0.021
2015-05-18,0.021,0.021,0.021,0.021,000,0.021
2015-05-19,0.022,0.022,0.022,0.022,25000,0.022
2015-05-20,0.022,0.022,0.022,0.022,000,0.022
2015-05-21,0.02,0.02,0.02,0.02,250000,0.02
