Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.39,1.39,1.39,1.39,000,1.39
2015-01-02,1.39,1.39,1.39,1.39,000,1.39
2015-01-05,1.39,1.39,1.39,1.39,000,1.39
2015-01-06,1.39,1.39,1.39,1.39,000,1.39
2015-01-07,1.39,1.39,1.39,1.39,000,1.39
2015-01-08,1.39,1.40,1.39,1.40,57200,1.40
2015-01-09,1.40,1.40,1.40,1.40,000,1.40
2015-01-12,1.40,1.40,1.40,1.40,000,1.40
2015-01-13,1.40,1.40,1.40,1.40,000,1.40
2015-01-14,1.38,1.38,1.38,1.38,700,1.38
2015-01-15,1.35,1.38,1.35,1.38,51600,1.38
2015-01-16,1.38,1.38,1.38,1.38,000,1.38
2015-01-19,1.38,1.38,1.38,1.38,6500,1.38
2015-01-20,1.38,1.38,1.38,1.38,8600,1.38
2015-01-21,1.38,1.38,1.38,1.38,4800,1.38
2015-01-22,1.38,1.38,1.38,1.38,000,1.38
2015-01-23,1.35,1.35,1.35,1.35,250000,1.35
2015-01-26,1.35,1.35,1.35,1.35,000,1.35
2015-01-27,1.34,1.37,1.34,1.37,9000,1.37
2015-01-28,1.37,1.39,1.37,1.39,213800,1.39
2015-01-29,1.39,1.39,1.36,1.39,37200,1.39
2015-01-30,1.39,1.39,1.39,1.39,000,1.39
2015-02-02,1.36,1.36,1.36,1.36,20000,1.36
2015-02-03,1.36,1.36,1.35,1.35,5000,1.35
2015-02-04,1.35,1.35,1.35,1.35,000,1.35
2015-02-05,1.35,1.35,1.35,1.35,000,1.35
2015-02-06,1.35,1.35,1.35,1.35,000,1.35
2015-02-09,1.35,1.35,1.35,1.35,000,1.35
2015-02-10,1.39,1.40,1.39,1.40,31200,1.40
2015-02-11,1.40,1.40,1.40,1.40,5000,1.40
2015-02-12,1.40,1.40,1.40,1.40,000,1.40
2015-02-13,1.40,1.40,1.40,1.40,10900,1.40
2015-02-16,1.42,1.42,1.42,1.42,600,1.42
2015-02-17,1.42,1.42,1.42,1.42,000,1.42
2015-02-18,1.40,1.40,1.40,1.40,1300,1.40
2015-02-19,1.40,1.40,1.40,1.40,000,1.40
2015-02-20,1.40,1.40,1.40,1.40,000,1.40
2015-02-23,1.41,1.44,1.41,1.415,6400,1.415
2015-02-24,1.44,1.44,1.43,1.44,17700,1.44
2015-02-25,1.44,1.45,1.40,1.45,10400,1.45
2015-02-26,1.45,1.45,1.40,1.40,202600,1.40
2015-02-27,1.40,1.40,1.40,1.40,000,1.40
2015-03-02,1.40,1.40,1.38,1.38,18300,1.38
2015-03-03,1.38,1.39,1.35,1.39,16100,1.39
2015-03-04,1.39,1.39,1.39,1.39,000,1.39
2015-03-05,1.39,1.39,1.39,1.39,000,1.39
2015-03-06,1.365,1.365,1.36,1.365,21100,1.365
2015-03-09,1.365,1.365,1.36,1.36,27200,1.36
2015-03-10,1.36,1.36,1.36,1.36,3200,1.36
2015-03-11,1.38,1.38,1.38,1.38,20000,1.38
2015-03-12,1.38,1.39,1.38,1.38,42200,1.38
2015-03-13,1.39,1.40,1.39,1.40,30900,1.40
2015-03-16,1.41,1.41,1.41,1.41,2800,1.41
2015-03-17,1.41,1.41,1.41,1.41,12100,1.41
2015-03-18,1.41,1.41,1.41,1.41,000,1.41
2015-03-19,1.41,1.41,1.41,1.41,000,1.41
2015-03-20,1.41,1.41,1.41,1.41,000,1.41
2015-03-23,1.41,1.41,1.41,1.41,000,1.41
2015-03-24,1.445,1.445,1.445,1.445,155000,1.445
2015-03-25,1.445,1.50,1.445,1.50,13600,1.50
2015-03-26,1.50,1.50,1.50,1.50,000,1.50
2015-03-27,1.50,1.50,1.50,1.50,000,1.50
2015-03-30,1.495,1.495,1.45,1.45,6400,1.45
2015-03-31,1.45,1.45,1.45,1.45,600,1.45
2015-04-01,1.45,1.45,1.43,1.43,14300,1.43
2015-04-02,1.43,1.43,1.43,1.43,000,1.43
2015-04-03,1.43,1.43,1.43,1.43,000,1.43
2015-04-06,1.43,1.43,1.43,1.43,000,1.43
2015-04-07,1.43,1.43,1.43,1.43,000,1.43
2015-04-08,1.45,1.45,1.45,1.45,19600,1.45
2015-04-09,1.45,1.45,1.45,1.45,000,1.45
2015-04-10,1.45,1.45,1.45,1.45,000,1.45
2015-04-13,1.45,1.45,1.45,1.45,7000,1.45
2015-04-14,1.45,1.45,1.45,1.45,4100,1.45
2015-04-15,1.42,1.42,1.42,1.42,23200,1.42
2015-04-16,1.41,1.41,1.41,1.41,2200,1.41
2015-04-17,1.41,1.41,1.40,1.40,7000,1.40
2015-04-20,1.40,1.40,1.38,1.38,13000,1.38
2015-04-21,1.38,1.38,1.38,1.38,000,1.38
2015-04-22,1.40,1.40,1.39,1.39,1900,1.39
2015-04-23,1.39,1.39,1.39,1.39,000,1.39
2015-04-24,1.39,1.39,1.39,1.39,000,1.39
2015-04-27,1.43,1.43,1.43,1.43,19600,1.43
2015-04-28,1.43,1.43,1.43,1.43,000,1.43
2015-04-29,1.43,1.43,1.43,1.43,000,1.43
2015-04-30,1.43,1.43,1.43,1.43,000,1.43
2015-05-01,1.43,1.43,1.43,1.43,2700,1.43
2015-05-04,1.43,1.43,1.43,1.43,000,1.43
2015-05-05,1.43,1.43,1.43,1.43,000,1.43
2015-05-06,1.43,1.43,1.43,1.43,000,1.43
