Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.11,0.11,0.11,0.11,000,0.11
2015-01-02,0.11,0.11,0.11,0.11,000,0.11
2015-01-05,0.11,0.11,0.11,0.11,000,0.11
2015-01-06,0.115,0.12,0.115,0.12,45100,0.12
2015-01-07,0.12,0.12,0.115,0.12,87500,0.12
2015-01-08,0.12,0.12,0.12,0.12,000,0.12
2015-01-09,0.12,0.12,0.12,0.12,000,0.12
2015-01-12,0.12,0.12,0.12,0.12,000,0.12
2015-01-13,0.12,0.12,0.12,0.12,164600,0.12
2015-01-14,0.115,0.12,0.11,0.12,50300,0.12
2015-01-15,0.12,0.12,0.12,0.12,8000,0.12
2015-01-16,0.11,0.12,0.11,0.12,39900,0.12
2015-01-19,0.11,0.12,0.105,0.12,174000,0.12
2015-01-20,0.11,0.12,0.11,0.12,148000,0.12
2015-01-21,0.12,0.12,0.12,0.12,000,0.12
2015-01-22,0.11,0.11,0.11,0.11,20000,0.11
2015-01-23,0.105,0.115,0.105,0.11,114300,0.11
2015-01-26,0.11,0.11,0.11,0.11,000,0.11
2015-01-27,0.105,0.115,0.105,0.115,686000,0.115
2015-01-28,0.11,0.11,0.105,0.105,40700,0.105
2015-01-29,0.105,0.105,0.105,0.105,7600,0.105
2015-01-30,0.105,0.105,0.095,0.10,275500,0.10
2015-02-02,0.10,0.12,0.10,0.12,111700,0.12
2015-02-03,0.10,0.10,0.10,0.10,333700,0.10
2015-02-04,0.097,0.10,0.097,0.10,684600,0.10
2015-02-05,0.10,0.10,0.098,0.10,99300,0.10
2015-02-06,0.098,0.10,0.098,0.10,557300,0.10
2015-02-09,0.10,0.10,0.098,0.10,182000,0.10
2015-02-10,0.098,0.098,0.098,0.098,182500,0.098
2015-02-11,0.099,0.10,0.098,0.098,102300,0.098
2015-02-12,0.098,0.098,0.098,0.098,000,0.098
2015-02-13,0.097,0.0975,0.097,0.097,100300,0.097
2015-02-16,0.097,0.097,0.097,0.097,000,0.097
2015-02-17,0.097,0.097,0.097,0.097,000,0.097
2015-02-18,0.097,0.097,0.097,0.097,000,0.097
2015-02-19,0.097,0.097,0.097,0.097,000,0.097
2015-02-20,0.093,0.094,0.09,0.094,112500,0.094
2015-02-23,0.094,0.094,0.086,0.09,545400,0.09
2015-02-24,0.09,0.09,0.086,0.09,424300,0.09
2015-02-25,0.09,0.09,0.085,0.085,354200,0.085
2015-02-26,0.07,0.11,0.07,0.10,1330100,0.10
2015-02-27,0.10,0.10,0.095,0.095,806800,0.095
2015-03-02,0.095,0.095,0.092,0.092,116400,0.092
2015-03-03,0.085,0.085,0.083,0.083,35900,0.083
2015-03-04,0.083,0.083,0.083,0.083,000,0.083
2015-03-05,0.083,0.083,0.083,0.083,000,0.083
2015-03-06,0.083,0.084,0.083,0.084,85000,0.084
2015-03-09,0.084,0.084,0.084,0.084,000,0.084
2015-03-10,0.086,0.086,0.08,0.085,756200,0.085
2015-03-11,0.086,0.086,0.086,0.086,152000,0.086
2015-03-12,0.086,0.086,0.086,0.086,000,0.086
2015-03-13,0.086,0.086,0.086,0.086,000,0.086
2015-03-16,0.085,0.085,0.085,0.085,8100,0.085
2015-03-17,0.085,0.086,0.085,0.085,75400,0.085
2015-03-18,0.085,0.085,0.08,0.082,185800,0.082
2015-03-19,0.08,0.08,0.08,0.08,1370000,0.08
2015-03-20,0.08,0.09,0.077,0.077,713100,0.077
2015-03-23,0.08,0.08,0.077,0.079,225000,0.079
2015-03-24,0.078,0.078,0.074,0.075,1315400,0.075
2015-03-25,0.074,0.074,0.074,0.074,102000,0.074
2015-03-26,0.071,0.075,0.071,0.075,358700,0.075
2015-03-27,0.075,0.075,0.075,0.075,000,0.075
2015-03-30,0.074,0.074,0.074,0.074,64000,0.074
2015-03-31,0.074,0.08,0.071,0.08,168300,0.08
2015-04-01,0.071,0.072,0.071,0.071,191800,0.071
2015-04-02,0.071,0.071,0.071,0.071,27700,0.071
2015-04-03,0.071,0.071,0.071,0.071,000,0.071
2015-04-06,0.071,0.071,0.071,0.071,000,0.071
2015-04-07,0.071,0.071,0.071,0.071,51600,0.071
2015-04-08,0.071,0.08,0.071,0.08,81000,0.08
2015-04-09,0.072,0.072,0.072,0.072,23100,0.072
2015-04-10,0.072,0.072,0.072,0.072,28500,0.072
2015-04-13,0.073,0.073,0.072,0.072,22900,0.072
2015-04-14,0.072,0.075,0.072,0.075,189300,0.075
2015-04-15,0.075,0.075,0.072,0.072,543600,0.072
2015-04-16,0.073,0.075,0.072,0.072,281000,0.072
2015-04-17,0.073,0.073,0.072,0.072,75000,0.072
2015-04-20,0.075,0.075,0.075,0.075,127800,0.075
2015-04-21,0.079,0.079,0.079,0.079,37900,0.079
2015-04-22,0.073,0.073,0.071,0.071,422700,0.071
2015-04-23,0.072,0.075,0.072,0.075,103600,0.075
2015-04-24,0.073,0.075,0.071,0.071,741000,0.071
2015-04-27,0.071,0.071,0.07,0.07,800300,0.07
2015-04-28,0.07,0.07,0.07,0.07,100000,0.07
2015-04-29,0.07,0.07,0.07,0.07,000,0.07
2015-04-30,0.074,0.075,0.07,0.07,258800,0.07
2015-05-01,0.075,0.075,0.075,0.075,31600,0.075
2015-05-04,0.075,0.085,0.075,0.085,657800,0.085
2015-05-05,0.085,0.09,0.082,0.089,232300,0.089
2015-05-06,0.089,0.089,0.089,0.089,000,0.089
2015-05-07,0.098,0.115,0.096,0.105,523000,0.105
2015-05-08,0.105,0.11,0.095,0.095,443700,0.095
2015-05-11,0.095,0.095,0.093,0.093,46500,0.093
2015-05-12,0.095,0.095,0.09,0.09,497800,0.09
2015-05-13,0.087,0.087,0.087,0.087,21200,0.087
2015-05-14,0.087,0.087,0.087,0.087,000,0.087
2015-05-15,0.088,0.088,0.088,0.088,30000,0.088
2015-05-18,0.088,0.088,0.088,0.088,000,0.088
2015-05-19,0.085,0.085,0.083,0.083,75000,0.083
2015-05-20,0.083,0.083,0.073,0.073,1090600,0.073
2015-05-21,0.073,0.073,0.073,0.073,50000,0.073
2015-05-22,0.073,0.073,0.073,0.073,000,0.073
2015-05-25,0.074,0.074,0.074,0.074,21400,0.074
2015-05-26,0.074,0.075,0.069,0.069,983000,0.069
2015-05-27,0.069,0.069,0.069,0.069,000,0.069
2015-05-28,0.07,0.074,0.069,0.074,814000,0.074
2015-05-29,0.072,0.074,0.072,0.074,80000,0.074
2015-06-01,0.076,0.082,0.076,0.082,149000,0.082
2015-06-02,0.079,0.079,0.079,0.079,70000,0.079
2015-06-03,0.075,0.075,0.075,0.075,12000,0.075
2015-06-04,0.072,0.072,0.072,0.072,8700,0.072
2015-06-05,0.072,0.072,0.072,0.072,20000,0.072
2015-06-08,0.072,0.072,0.072,0.072,000,0.072
2015-06-09,0.072,0.077,0.07,0.077,287600,0.077
2015-06-10,0.073,0.075,0.07,0.075,184200,0.075
2015-06-11,0.07,0.076,0.07,0.071,115000,0.071
2015-06-12,0.071,0.071,0.071,0.071,000,0.071
2015-06-15,0.071,0.071,0.071,0.071,8400,0.071
2015-06-16,0.071,0.071,0.068,0.068,311600,0.068
2015-06-17,0.067,0.067,0.066,0.066,93300,0.066
2015-06-18,0.066,0.07,0.065,0.065,803400,0.065
2015-06-19,0.067,0.067,0.062,0.062,241100,0.062
2015-06-22,0.062,0.063,0.055,0.055,377000,0.055
