Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.28958,0.28958,0.28958,0.28958,000,0.28958
2015-01-02,0.28958,0.28958,0.28958,0.28958,13700,0.28958
2015-01-05,0.28958,0.29449,0.28467,0.29449,56000,0.29449
2015-01-06,0.28958,0.29449,0.27977,0.29449,457900,0.29449
2015-01-07,0.28467,0.29449,0.28467,0.29449,41800,0.29449
2015-01-08,0.28467,0.28467,0.28467,0.28467,112500,0.28467
2015-01-09,0.28467,0.29449,0.28467,0.29449,297400,0.29449
2015-01-12,0.29449,0.29449,0.29449,0.29449,79600,0.29449
2015-01-13,0.29449,0.29449,0.29449,0.29449,86500,0.29449
2015-01-14,0.28467,0.28467,0.28467,0.28467,9000,0.28467
2015-01-15,0.28467,0.28467,0.27486,0.27486,125900,0.27486
2015-01-16,0.27486,0.27486,0.26504,0.26504,182600,0.26504
2015-01-19,0.26995,0.26995,0.26995,0.26995,66100,0.26995
2015-01-20,0.27977,0.27977,0.26013,0.26013,173600,0.26013
2015-01-21,0.26504,0.28467,0.26504,0.28467,27500,0.28467
2015-01-22,0.28467,0.28958,0.28467,0.28958,56000,0.28958
2015-01-23,0.27486,0.28467,0.27486,0.28467,118900,0.28467
2015-01-26,0.28467,0.28467,0.28467,0.28467,000,0.28467
2015-01-27,0.28467,0.30431,0.26995,0.27977,452400,0.27977
2015-01-28,0.29449,0.29449,0.27977,0.27977,164000,0.27977
2015-01-29,0.27977,0.29449,0.26995,0.29449,116900,0.29449
2015-01-30,0.29449,0.30431,0.29449,0.30431,552100,0.30431
2015-02-02,0.30431,0.30921,0.28467,0.28958,597300,0.28958
2015-02-03,0.28958,0.28958,0.27977,0.28467,187900,0.28467
2015-02-04,0.27977,0.29449,0.27977,0.29449,51500,0.29449
2015-02-05,0.29449,0.29449,0.27486,0.27486,640000,0.27486
2015-02-06,0.27486,0.29449,0.26995,0.27486,109400,0.27486
2015-02-09,0.27486,0.27486,0.26995,0.26995,105600,0.26995
2015-02-10,0.26995,0.26995,0.26995,0.26995,000,0.26995
2015-02-11,0.26995,0.26995,0.26504,0.26504,34500,0.26504
2015-02-12,0.26504,0.26504,0.25522,0.25522,301700,0.25522
2015-02-13,0.25522,0.26504,0.25522,0.26504,249000,0.26504
2015-02-16,0.28467,0.28467,0.27486,0.28467,112600,0.28467
