Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.028,0.028,0.028,0.028,000,0.028
2015-01-02,0.027,0.028,0.024,0.028,678300,0.028
2015-01-05,0.028,0.028,0.026,0.026,531000,0.026
2015-01-06,0.027,0.028,0.027,0.028,100000,0.028
2015-01-07,0.026,0.026,0.025,0.025,597500,0.025
2015-01-08,0.026,0.026,0.024,0.025,1285900,0.025
2015-01-09,0.025,0.025,0.025,0.025,000,0.025
2015-01-12,0.025,0.025,0.025,0.025,509200,0.025
2015-01-13,0.026,0.026,0.023,0.023,733500,0.023
2015-01-14,0.024,0.024,0.023,0.023,2515000,0.023
2015-01-15,0.023,0.024,0.023,0.024,380800,0.024
2015-01-16,0.024,0.024,0.024,0.024,000,0.024
2015-01-19,0.024,0.024,0.024,0.024,237500,0.024
2015-01-20,0.023,0.023,0.02,0.021,2518000,0.021
2015-01-21,0.021,0.022,0.021,0.022,804400,0.022
2015-01-22,0.022,0.022,0.02,0.02,1232000,0.02
2015-01-23,0.02,0.021,0.019,0.021,1870100,0.021
2015-01-26,0.021,0.021,0.021,0.021,000,0.021
2015-01-27,0.02,0.02,0.019,0.02,2859300,0.02
2015-01-28,0.02,0.021,0.02,0.021,1172200,0.021
2015-01-29,0.021,0.021,0.02,0.021,528500,0.021
2015-01-30,0.02,0.02,0.019,0.019,973900,0.019
2015-02-02,0.018,0.02,0.017,0.019,564700,0.019
2015-02-03,0.019,0.019,0.019,0.019,661600,0.019
2015-02-04,0.019,0.02,0.019,0.019,1041100,0.019
2015-02-05,0.02,0.021,0.019,0.019,616400,0.019
2015-02-06,0.02,0.021,0.02,0.021,688400,0.021
2015-02-09,0.021,0.021,0.021,0.021,342400,0.021
2015-02-10,0.02,0.021,0.02,0.02,608100,0.02
2015-02-11,0.02,0.02,0.019,0.019,371100,0.019
2015-02-12,0.02,0.02,0.019,0.02,1359800,0.02
2015-02-13,0.02,0.02,0.02,0.02,212400,0.02
2015-02-16,0.021,0.022,0.021,0.022,1531400,0.022
2015-02-17,0.022,0.022,0.022,0.022,000,0.022
2015-02-18,0.022,0.022,0.021,0.021,795500,0.021
2015-02-19,0.021,0.021,0.021,0.021,125000,0.021
2015-02-20,0.021,0.021,0.02,0.02,445000,0.02
2015-02-23,0.021,0.021,0.021,0.021,200000,0.021
2015-02-24,0.021,0.021,0.02,0.021,809200,0.021
2015-02-25,0.021,0.021,0.021,0.021,511800,0.021
2015-02-26,0.021,0.021,0.019,0.019,828000,0.019
2015-02-27,0.021,0.021,0.02,0.02,455500,0.02
2015-03-02,0.02,0.02,0.019,0.02,371100,0.02
2015-03-03,0.019,0.019,0.019,0.019,300000,0.019
2015-03-04,0.02,0.022,0.02,0.02,2158900,0.02
2015-03-05,0.019,0.019,0.019,0.019,227100,0.019
2015-03-06,0.02,0.02,0.019,0.019,550000,0.019
2015-03-09,0.019,0.019,0.019,0.019,623900,0.019
2015-03-10,0.019,0.019,0.019,0.019,20000,0.019
2015-03-11,0.02,0.02,0.019,0.019,335800,0.019
2015-03-12,0.02,0.021,0.018,0.018,1112400,0.018
2015-03-13,0.018,0.018,0.018,0.018,29700,0.018
2015-03-16,0.018,0.018,0.018,0.018,000,0.018
2015-03-17,0.018,0.02,0.018,0.02,1400000,0.02
2015-03-18,0.018,0.018,0.017,0.018,439000,0.018
2015-03-19,0.017,0.018,0.016,0.017,2347500,0.017
2015-03-20,0.018,0.019,0.018,0.019,723800,0.019
2015-03-23,0.019,0.019,0.019,0.019,527500,0.019
2015-03-24,0.019,0.019,0.019,0.019,542100,0.019
2015-03-25,0.02,0.02,0.019,0.019,68700,0.019
2015-03-26,0.019,0.019,0.019,0.019,000,0.019
2015-03-27,0.019,0.02,0.019,0.02,2313700,0.02
2015-03-30,0.02,0.022,0.02,0.022,857100,0.022
2015-03-31,0.025,0.026,0.023,0.023,5776000,0.023
2015-04-01,0.023,0.023,0.022,0.023,1707800,0.023
2015-04-02,0.023,0.023,0.022,0.022,2006700,0.022
2015-04-03,0.022,0.022,0.022,0.022,000,0.022
2015-04-06,0.022,0.022,0.022,0.022,000,0.022
2015-04-07,0.022,0.022,0.021,0.021,1224000,0.021
2015-04-08,0.022,0.027,0.022,0.027,2645300,0.027
2015-04-09,0.029,0.031,0.027,0.028,12257100,0.028
2015-04-10,0.029,0.031,0.029,0.03,4745700,0.03
2015-04-13,0.027,0.028,0.025,0.025,1192000,0.025
2015-04-14,0.027,0.027,0.025,0.026,395900,0.026
2015-04-15,0.026,0.03,0.026,0.029,1522000,0.029
2015-04-16,0.03,0.031,0.029,0.03,1873400,0.03
2015-04-17,0.03,0.031,0.03,0.03,3432200,0.03
2015-04-20,0.031,0.031,0.028,0.03,1875100,0.03
2015-04-21,0.028,0.031,0.028,0.029,278200,0.029
2015-04-22,0.029,0.031,0.029,0.031,1161700,0.031
2015-04-23,0.028,0.028,0.028,0.028,282500,0.028
2015-04-24,0.028,0.029,0.028,0.029,355100,0.029
2015-04-27,0.029,0.031,0.029,0.031,1363500,0.031
2015-04-28,0.031,0.031,0.027,0.027,1758200,0.027
2015-04-29,0.027,0.028,0.027,0.027,929400,0.027
2015-04-30,0.026,0.026,0.026,0.026,849400,0.026
2015-05-01,0.027,0.028,0.024,0.026,2205800,0.026
2015-05-04,0.026,0.026,0.023,0.026,478800,0.026
2015-05-05,0.026,0.026,0.024,0.024,1492800,0.024
2015-05-06,0.024,0.025,0.022,0.025,1907900,0.025
2015-05-07,0.024,0.024,0.024,0.024,536800,0.024
2015-05-08,0.025,0.026,0.025,0.026,1001000,0.026
2015-05-11,0.025,0.026,0.025,0.026,1418600,0.026
2015-05-12,0.026,0.026,0.026,0.026,45800,0.026
2015-05-13,0.026,0.027,0.025,0.027,965800,0.027
2015-05-14,0.027,0.028,0.027,0.027,175000,0.027
2015-05-15,0.036,0.055,0.033,0.052,201094900,0.052
2015-05-18,0.05,0.061,0.044,0.045,129826400,0.045
2015-05-19,0.045,0.048,0.043,0.047,16032700,0.047
2015-05-20,0.048,0.048,0.041,0.041,6582300,0.041
2015-05-21,0.041,0.041,0.038,0.04,10904300,0.04
2015-05-22,0.04,0.048,0.039,0.044,11064900,0.044
2015-05-25,0.044,0.045,0.043,0.043,4601500,0.043
2015-05-26,0.043,0.043,0.041,0.043,1497600,0.043
2015-05-27,0.043,0.045,0.041,0.044,1834300,0.044
2015-05-28,0.044,0.044,0.04,0.04,1827300,0.04
2015-05-29,0.04,0.041,0.038,0.038,2854800,0.038
2015-06-01,0.038,0.041,0.038,0.039,1657400,0.039
2015-06-02,0.04,0.04,0.037,0.037,1565500,0.037
2015-06-03,0.038,0.039,0.038,0.039,918900,0.039
2015-06-04,0.04,0.041,0.039,0.039,926000,0.039
2015-06-05,0.039,0.042,0.039,0.04,1434300,0.04
2015-06-08,0.04,0.04,0.04,0.04,000,0.04
2015-06-09,0.041,0.041,0.037,0.037,3253500,0.037
2015-06-10,0.038,0.04,0.035,0.037,3510100,0.037
2015-06-11,0.037,0.038,0.036,0.037,1150700,0.037
2015-06-12,0.038,0.04,0.037,0.04,1801400,0.04
2015-06-15,0.039,0.043,0.038,0.038,3029900,0.038
2015-06-16,0.04,0.04,0.036,0.036,1394100,0.036
2015-06-17,0.037,0.037,0.035,0.035,4616000,0.035
2015-06-18,0.036,0.036,0.034,0.034,1951000,0.034
2015-06-19,0.035,0.035,0.032,0.033,354000,0.033
2015-06-22,0.033,0.033,0.03,0.031,1102700,0.031
2015-06-23,0.031,0.032,0.031,0.032,819100,0.032
2015-06-24,0.031,0.031,0.031,0.031,640900,0.031
2015-06-25,0.032,0.032,0.031,0.031,628100,0.031
2015-06-26,0.03,0.031,0.03,0.031,595400,0.031
2015-06-29,0.032,0.032,0.028,0.03,2183100,0.03
2015-06-30,0.03,0.0305,0.029,0.03,1125900,0.03
2015-07-01,0.03,0.031,0.03,0.03,1752800,0.03
2015-07-02,0.03,0.03,0.03,0.03,300000,0.03
2015-07-03,0.03,0.03,0.03,0.03,612300,0.03
