Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.03,0.03,0.03,0.03,000,0.03
2015-01-02,0.028,0.03,0.028,0.03,39100,0.03
2015-01-05,0.03,0.032,0.03,0.032,303900,0.032
2015-01-06,0.032,0.032,0.03,0.032,468000,0.032
2015-01-07,0.029,0.029,0.029,0.029,324000,0.029
2015-01-08,0.029,0.03,0.029,0.03,48200,0.03
2015-01-09,0.03,0.03,0.03,0.03,000,0.03
2015-01-12,0.03,0.03,0.028,0.028,566900,0.028
2015-01-13,0.028,0.028,0.028,0.028,131400,0.028
2015-01-14,0.028,0.028,0.028,0.028,50000,0.028
2015-01-15,0.028,0.029,0.026,0.027,488900,0.027
2015-01-16,0.027,0.031,0.027,0.031,2520800,0.031
2015-01-19,0.032,0.036,0.032,0.034,554200,0.034
2015-01-20,0.034,0.038,0.034,0.037,2177700,0.037
2015-01-21,0.037,0.037,0.037,0.037,118600,0.037
2015-01-22,0.037,0.037,0.037,0.037,000,0.037
2015-01-23,0.037,0.037,0.035,0.035,420000,0.035
2015-01-26,0.035,0.035,0.035,0.035,000,0.035
2015-01-27,0.03,0.03,0.03,0.03,35000,0.03
2015-01-28,0.03,0.03,0.027,0.028,819400,0.028
2015-01-29,0.028,0.028,0.025,0.025,756700,0.025
2015-01-30,0.025,0.025,0.025,0.025,000,0.025
2015-02-02,0.026,0.026,0.026,0.026,132000,0.026
2015-02-03,0.027,0.029,0.027,0.029,116800,0.029
2015-02-04,0.029,0.031,0.029,0.031,179100,0.031
2015-02-05,0.036,0.036,0.036,0.036,300000,0.036
2015-02-06,0.035,0.035,0.035,0.035,20000,0.035
2015-02-09,0.032,0.032,0.03,0.03,200000,0.03
2015-02-10,0.032,0.035,0.032,0.035,290700,0.035
2015-02-11,0.035,0.035,0.03,0.031,904200,0.031
2015-02-12,0.032,0.032,0.03,0.03,720800,0.03
2015-02-13,0.033,0.033,0.032,0.032,55500,0.032
2015-02-16,0.033,0.034,0.033,0.034,52400,0.034
2015-02-17,0.034,0.034,0.031,0.033,941600,0.033
2015-02-18,0.032,0.034,0.032,0.034,58800,0.034
2015-02-19,0.034,0.034,0.032,0.032,278600,0.032
2015-02-20,0.033,0.033,0.031,0.031,473300,0.031
2015-02-23,0.031,0.031,0.031,0.031,44900,0.031
2015-02-24,0.031,0.031,0.029,0.03,320000,0.03
2015-02-25,0.03,0.03,0.03,0.03,000,0.03
2015-02-26,0.029,0.029,0.028,0.029,666500,0.029
2015-02-27,0.029,0.029,0.029,0.029,226000,0.029
2015-03-02,0.029,0.029,0.028,0.028,300000,0.028
2015-03-03,0.029,0.029,0.027,0.027,711100,0.027
2015-03-04,0.027,0.029,0.026,0.029,159400,0.029
2015-03-05,0.029,0.03,0.029,0.03,67500,0.03
2015-03-06,0.03,0.03,0.03,0.03,000,0.03
2015-03-09,0.03,0.03,0.03,0.03,135000,0.03
2015-03-10,0.028,0.028,0.027,0.027,84400,0.027
2015-03-11,0.029,0.029,0.029,0.029,207800,0.029
2015-03-12,0.029,0.029,0.028,0.028,392500,0.028
2015-03-13,0.028,0.029,0.027,0.029,955600,0.029
2015-03-16,0.029,0.029,0.027,0.027,925900,0.027
2015-03-17,0.03,0.032,0.028,0.03,856900,0.03
2015-03-18,0.037,0.038,0.033,0.033,2043000,0.033
2015-03-19,0.031,0.032,0.031,0.031,527400,0.031
2015-03-20,0.031,0.031,0.031,0.031,111900,0.031
2015-03-23,0.032,0.035,0.032,0.035,1061200,0.035
2015-03-24,0.035,0.049,0.035,0.049,7515800,0.049
2015-03-25,0.049,0.049,0.045,0.047,4387700,0.047
2015-03-26,0.047,0.056,0.047,0.051,4213500,0.051
2015-03-27,0.054,0.061,0.054,0.059,4818400,0.059
2015-03-30,0.062,0.064,0.054,0.054,5105000,0.054
2015-03-31,0.056,0.058,0.054,0.054,1026500,0.054
2015-04-01,0.054,0.054,0.051,0.052,1146500,0.052
2015-04-02,0.053,0.057,0.053,0.055,676700,0.055
2015-04-03,0.055,0.055,0.055,0.055,000,0.055
2015-04-06,0.055,0.055,0.055,0.055,000,0.055
2015-04-07,0.056,0.06,0.053,0.055,1344000,0.055
2015-04-08,0.055,0.055,0.055,0.055,000,0.055
2015-04-09,0.055,0.055,0.055,0.055,000,0.055
2015-04-10,0.055,0.055,0.055,0.055,000,0.055
2015-04-13,0.052,0.077,0.052,0.077,18760200,0.077
2015-04-14,0.077,0.081,0.068,0.07,11287800,0.07
2015-04-15,0.073,0.073,0.067,0.067,1987800,0.067
2015-04-16,0.069,0.07,0.064,0.07,1811500,0.07
2015-04-17,0.07,0.071,0.063,0.063,2440400,0.063
2015-04-20,0.063,0.068,0.06,0.065,2746900,0.065
2015-04-21,0.068,0.076,0.068,0.068,4620800,0.068
2015-04-22,0.071,0.071,0.066,0.067,1560700,0.067
2015-04-23,0.067,0.068,0.064,0.068,1749200,0.068
2015-04-24,0.06,0.066,0.06,0.066,3499900,0.066
2015-04-27,0.066,0.066,0.061,0.064,1518200,0.064
2015-04-28,0.061,0.069,0.061,0.065,2006600,0.065
2015-04-29,0.066,0.085,0.06,0.085,6787800,0.085
2015-04-30,0.086,0.095,0.085,0.089,16368800,0.089
2015-05-01,0.094,0.10,0.092,0.095,14405800,0.095
2015-05-04,0.099,0.105,0.094,0.099,8945600,0.099
2015-05-05,0.105,0.115,0.099,0.11,8940900,0.11
2015-05-06,0.115,0.115,0.093,0.093,9372300,0.093
2015-05-07,0.09,0.097,0.09,0.095,8762800,0.095
2015-05-08,0.098,0.11,0.097,0.11,7115800,0.11
2015-05-11,0.11,0.11,0.098,0.105,6455300,0.105
2015-05-12,0.10,0.105,0.096,0.098,8295900,0.098
2015-05-13,0.10,0.10,0.091,0.092,4954400,0.092
2015-05-14,0.089,0.09,0.084,0.087,3235800,0.087
2015-05-15,0.082,0.086,0.082,0.086,1292000,0.086
2015-05-18,0.085,0.088,0.082,0.082,703800,0.082
2015-05-19,0.087,0.093,0.085,0.092,3015400,0.092
2015-05-20,0.091,0.094,0.083,0.083,2708800,0.083
2015-05-21,0.083,0.088,0.076,0.076,6012000,0.076
2015-05-22,0.076,0.084,0.073,0.082,4604500,0.082
2015-05-25,0.08,0.085,0.078,0.078,1778700,0.078
2015-05-26,0.08,0.083,0.075,0.075,3659100,0.075
2015-05-27,0.078,0.08,0.074,0.075,2333400,0.075
2015-05-28,0.075,0.075,0.063,0.065,5268200,0.065
2015-05-29,0.064,0.069,0.064,0.069,1544500,0.069
2015-06-01,0.069,0.069,0.064,0.066,1395400,0.066
2015-06-02,0.067,0.068,0.066,0.068,818000,0.068
2015-06-03,0.068,0.071,0.066,0.069,2271300,0.069
2015-06-04,0.07,0.07,0.068,0.068,681700,0.068
2015-06-05,0.069,0.069,0.067,0.069,218500,0.069
2015-06-08,0.069,0.069,0.069,0.069,000,0.069
2015-06-09,0.069,0.069,0.067,0.068,784400,0.068
2015-06-10,0.069,0.071,0.064,0.066,2078300,0.066
2015-06-11,0.067,0.069,0.066,0.069,1599300,0.069
2015-06-12,0.069,0.069,0.065,0.067,969700,0.067
2015-06-15,0.067,0.067,0.06,0.06,1763400,0.06
2015-06-16,0.06,0.06,0.058,0.058,981000,0.058
2015-06-17,0.057,0.057,0.05,0.055,3767800,0.055
2015-06-18,0.055,0.058,0.054,0.057,962100,0.057
2015-06-19,0.055,0.057,0.054,0.057,451800,0.057
2015-06-22,0.055,0.056,0.048,0.053,2223700,0.053
2015-06-23,0.05,0.05,0.048,0.05,584400,0.05
2015-06-24,0.05,0.055,0.048,0.055,1677200,0.055
2015-06-25,0.055,0.056,0.05,0.05,2150900,0.05
2015-06-26,0.055,0.055,0.051,0.051,992200,0.051
2015-06-29,0.051,0.053,0.05,0.05,733300,0.05
2015-06-30,0.052,0.058,0.052,0.058,763500,0.058
2015-07-01,0.058,0.058,0.056,0.056,744800,0.056
2015-07-02,0.055,0.059,0.052,0.052,725200,0.052
2015-07-03,0.055,0.055,0.051,0.052,428300,0.052
2015-07-06,0.036,0.036,0.028,0.029,16045200,0.029
2015-07-07,0.03,0.033,0.029,0.029,8021800,0.029
2015-07-08,0.029,0.029,0.025,0.025,4228300,0.025
2015-07-09,0.025,0.025,0.02,0.02,2528400,0.02
2015-07-10,0.023,0.03,0.023,0.028,5596600,0.028
2015-07-13,0.028,0.029,0.025,0.025,2321200,0.025
2015-07-14,0.025,0.028,0.025,0.027,482500,0.027
2015-07-15,0.028,0.03,0.027,0.027,1684500,0.027
2015-07-16,0.027,0.029,0.024,0.029,816300,0.029
2015-07-17,0.029,0.029,0.026,0.026,588900,0.026
2015-07-20,0.026,0.026,0.025,0.025,811300,0.025
2015-07-21,0.026,0.027,0.026,0.026,799000,0.026
2015-07-22,0.027,0.028,0.026,0.026,141100,0.026
2015-07-23,0.026,0.026,0.026,0.026,000,0.026
2015-07-24,0.026,0.027,0.026,0.027,554000,0.027
2015-07-27,0.026,0.026,0.024,0.024,539800,0.024
2015-07-28,0.025,0.026,0.025,0.025,187000,0.025
2015-07-29,0.024,0.024,0.022,0.023,2414400,0.023
2015-07-30,0.023,0.023,0.023,0.023,188200,0.023
2015-07-31,0.023,0.023,0.023,0.023,103600,0.023
2015-08-03,0.023,0.023,0.023,0.023,200,0.023
2015-08-04,0.025,0.025,0.025,0.025,550600,0.025
2015-08-05,0.023,0.023,0.023,0.023,72300,0.023
2015-08-06,0.022,0.022,0.022,0.022,93500,0.022
