Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.60,0.60,0.60,0.60,000,0.60
2015-01-02,0.60,0.60,0.60,0.60,18000,0.60
2015-01-05,0.58,0.58,0.58,0.58,5000,0.58
2015-01-06,0.58,0.58,0.58,0.58,000,0.58
2015-01-07,0.58,0.58,0.58,0.58,000,0.58
2015-01-08,0.58,0.58,0.58,0.58,000,0.58
2015-01-09,0.585,0.585,0.58,0.585,443900,0.585
2015-01-12,0.60,0.60,0.59,0.59,809000,0.59
2015-01-13,0.59,0.59,0.59,0.59,200000,0.59
2015-01-14,0.59,0.59,0.59,0.59,000,0.59
2015-01-15,0.59,0.59,0.59,0.59,000,0.59
2015-01-16,0.59,0.59,0.59,0.59,000,0.59
2015-01-19,0.585,0.585,0.585,0.585,3300,0.585
2015-01-20,0.585,0.585,0.585,0.585,000,0.585
2015-01-21,0.55,0.55,0.55,0.55,32000,0.55
2015-01-22,0.55,0.55,0.55,0.55,64500,0.55
2015-01-23,0.56,0.56,0.55,0.555,32500,0.555
2015-01-26,0.555,0.555,0.555,0.555,000,0.555
2015-01-27,0.555,0.555,0.55,0.55,52300,0.55
2015-01-28,0.55,0.55,0.55,0.55,3500,0.55
2015-01-29,0.56,0.565,0.56,0.565,61500,0.565
2015-01-30,0.58,0.585,0.58,0.58,1404300,0.58
2015-02-02,0.58,0.58,0.58,0.58,000,0.58
2015-02-03,0.57,0.585,0.57,0.585,94500,0.585
2015-02-04,0.595,0.61,0.595,0.60,468200,0.60
2015-02-05,0.60,0.60,0.60,0.60,000,0.60
2015-02-06,0.60,0.60,0.60,0.60,000,0.60
2015-02-09,0.60,0.60,0.60,0.60,000,0.60
2015-02-10,0.60,0.60,0.60,0.60,000,0.60
2015-02-11,0.60,0.60,0.60,0.60,000,0.60
2015-02-12,0.60,0.60,0.60,0.60,000,0.60
2015-02-13,0.60,0.60,0.60,0.60,000,0.60
2015-02-16,0.60,0.61,0.60,0.61,52100,0.61
2015-02-17,0.60,0.605,0.56,0.56,463300,0.56
2015-02-18,0.56,0.57,0.56,0.57,2901500,0.57
2015-02-19,0.57,0.57,0.57,0.57,000,0.57
2015-02-20,0.59,0.59,0.59,0.59,65800,0.59
2015-02-23,0.59,0.59,0.58,0.58,82200,0.58
2015-02-24,0.60,0.60,0.595,0.595,213200,0.595
2015-02-25,0.60,0.61,0.595,0.595,659200,0.595
2015-02-26,0.595,0.60,0.595,0.60,428600,0.60
2015-02-27,0.60,0.60,0.60,0.60,72500,0.60
2015-03-02,0.61,0.61,0.60,0.60,436800,0.60
2015-03-03,0.60,0.60,0.60,0.60,000,0.60
2015-03-04,0.59,0.59,0.59,0.59,60000,0.59
2015-03-05,0.60,0.60,0.60,0.60,15000,0.60
2015-03-06,0.60,0.61,0.60,0.61,10000,0.61
2015-03-09,0.61,0.61,0.61,0.61,000,0.61
2015-03-10,0.59,0.59,0.59,0.59,7800,0.59
2015-03-11,0.59,0.59,0.59,0.59,000,0.59
2015-03-12,0.59,0.59,0.59,0.59,000,0.59
2015-03-13,0.58,0.58,0.55,0.58,40500,0.58
