Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.225,0.225,0.225,0.225,000,0.225
2015-01-02,0.20,0.225,0.20,0.225,87900,0.225
2015-01-05,0.225,0.225,0.225,0.225,000,0.225
2015-01-06,0.225,0.225,0.225,0.225,000,0.225
2015-01-07,0.215,0.215,0.21,0.21,75300,0.21
2015-01-08,0.21,0.21,0.21,0.21,000,0.21
2015-01-09,0.21,0.21,0.20,0.20,49600,0.20
2015-01-12,0.20,0.22,0.20,0.21,240400,0.21
2015-01-13,0.21,0.21,0.21,0.21,000,0.21
2015-01-14,0.21,0.22,0.21,0.22,54500,0.22
2015-01-15,0.22,0.22,0.22,0.22,000,0.22
2015-01-16,0.215,0.215,0.21,0.21,26300,0.21
2015-01-19,0.21,0.21,0.21,0.21,109400,0.21
2015-01-20,0.21,0.24,0.21,0.24,583000,0.24
2015-01-21,0.23,0.23,0.225,0.225,174500,0.225
2015-01-22,0.225,0.225,0.22,0.22,62900,0.22
2015-01-23,0.225,0.23,0.225,0.23,324900,0.23
2015-01-26,0.23,0.23,0.23,0.23,000,0.23
2015-01-27,0.23,0.23,0.225,0.225,199500,0.225
2015-01-28,0.225,0.225,0.225,0.225,145000,0.225
2015-01-29,0.225,0.23,0.225,0.225,240200,0.225
2015-01-30,0.23,0.235,0.23,0.235,80200,0.235
2015-02-02,0.245,0.25,0.24,0.25,411200,0.25
2015-02-03,0.25,0.25,0.24,0.24,97400,0.24
2015-02-04,0.24,0.26,0.24,0.26,518400,0.26
2015-02-05,0.26,0.265,0.26,0.265,58000,0.265
2015-02-06,0.265,0.265,0.265,0.265,000,0.265
2015-02-09,0.26,0.27,0.26,0.27,117800,0.27
2015-02-10,0.27,0.27,0.27,0.27,000,0.27
2015-02-11,0.27,0.27,0.26,0.265,151800,0.265
2015-02-12,0.265,0.265,0.265,0.265,54300,0.265
2015-02-13,0.265,0.265,0.26,0.26,146500,0.26
2015-02-16,0.265,0.27,0.265,0.27,36600,0.27
2015-02-17,0.265,0.265,0.26,0.26,163100,0.26
2015-02-18,0.265,0.265,0.26,0.265,82500,0.265
2015-02-19,0.265,0.30,0.265,0.30,440100,0.30
2015-02-20,0.29,0.30,0.275,0.275,154000,0.275
2015-02-23,0.275,0.275,0.275,0.275,000,0.275
2015-02-24,0.275,0.295,0.275,0.295,62500,0.295
2015-02-25,0.295,0.305,0.295,0.30,104300,0.30
2015-02-26,0.30,0.30,0.30,0.30,21500,0.30
2015-02-27,0.30,0.30,0.30,0.30,20000,0.30
2015-03-02,0.295,0.295,0.29,0.29,84000,0.29
2015-03-03,0.30,0.32,0.30,0.30,160700,0.30
