Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.11,0.11,0.11,0.11,000,0.11
2015-01-02,0.11,0.11,0.105,0.105,446100,0.105
2015-01-05,0.11,0.11,0.10,0.10,406900,0.10
2015-01-06,0.105,0.107,0.096,0.096,872600,0.096
2015-01-07,0.096,0.105,0.096,0.105,365700,0.105
2015-01-08,0.11,0.12,0.11,0.12,322400,0.12
2015-01-09,0.12,0.125,0.12,0.125,665100,0.125
2015-01-12,0.125,0.145,0.125,0.14,894900,0.14
2015-01-13,0.145,0.15,0.14,0.145,746300,0.145
2015-01-14,0.14,0.14,0.115,0.115,546600,0.115
2015-01-15,0.135,0.14,0.12,0.135,158700,0.135
2015-01-16,0.135,0.145,0.125,0.125,343200,0.125
2015-01-19,0.13,0.13,0.12,0.12,120200,0.12
2015-01-20,0.12,0.13,0.12,0.13,16100,0.13
2015-01-21,0.125,0.125,0.12,0.125,111700,0.125
2015-01-22,0.12,0.125,0.12,0.12,29800,0.12
2015-01-23,0.12,0.12,0.105,0.11,810900,0.11
2015-01-26,0.11,0.11,0.11,0.11,000,0.11
2015-01-27,0.12,0.12,0.105,0.105,165900,0.105
2015-01-28,0.105,0.105,0.105,0.105,000,0.105
2015-01-29,0.115,0.115,0.11,0.11,308800,0.11
2015-01-30,0.11,0.112,0.11,0.11,126100,0.11
2015-02-02,0.11,0.1125,0.11,0.11,159900,0.11
2015-02-03,0.11,0.11,0.11,0.11,27900,0.11
2015-02-04,0.115,0.12,0.115,0.115,337900,0.115
2015-02-05,0.11,0.11,0.105,0.105,447700,0.105
2015-02-06,0.105,0.105,0.105,0.105,128600,0.105
2015-02-09,0.105,0.11,0.102,0.105,147400,0.105
2015-02-10,0.10,0.105,0.10,0.10,236800,0.10
2015-02-11,0.10,0.102,0.10,0.10,16900,0.10
2015-02-12,0.105,0.105,0.10,0.10,77600,0.10
2015-02-13,0.10,0.1025,0.096,0.096,663600,0.096
2015-02-16,0.10,0.10,0.096,0.097,200900,0.097
2015-02-17,0.097,0.0975,0.093,0.095,946000,0.095
2015-02-18,0.095,0.095,0.095,0.095,264900,0.095
2015-02-19,0.093,0.093,0.09,0.09,187100,0.09
2015-02-20,0.092,0.092,0.091,0.092,118000,0.092
2015-02-23,0.093,0.093,0.093,0.093,30000,0.093
2015-02-24,0.092,0.093,0.092,0.093,55600,0.093
2015-02-25,0.092,0.094,0.092,0.093,41200,0.093
2015-02-26,0.095,0.0955,0.093,0.093,167300,0.093
2015-02-27,0.093,0.098,0.092,0.098,173800,0.098
2015-03-02,0.096,0.099,0.095,0.095,204400,0.095
2015-03-03,0.097,0.097,0.097,0.097,39600,0.097
2015-03-04,0.097,0.097,0.097,0.097,10000,0.097
2015-03-05,0.099,0.10,0.098,0.10,146500,0.10
2015-03-06,0.10,0.10,0.10,0.10,38700,0.10
2015-03-09,0.10,0.10,0.095,0.097,582300,0.097
2015-03-10,0.095,0.096,0.094,0.096,87500,0.096
2015-03-11,0.094,0.094,0.092,0.092,134800,0.092
2015-03-12,0.092,0.092,0.088,0.088,1108500,0.088
2015-03-13,0.088,0.088,0.084,0.086,794700,0.086
2015-03-16,0.086,0.088,0.085,0.088,219100,0.088
2015-03-17,0.09,0.093,0.089,0.089,42000,0.089
2015-03-18,0.087,0.087,0.086,0.086,62500,0.086
2015-03-19,0.088,0.088,0.084,0.084,42900,0.084
2015-03-20,0.087,0.087,0.084,0.086,368600,0.086
2015-03-23,0.086,0.086,0.083,0.084,190800,0.084
2015-03-24,0.085,0.087,0.085,0.087,167000,0.087
2015-03-25,0.088,0.0905,0.088,0.089,552400,0.089
2015-03-26,0.09,0.09,0.088,0.088,434700,0.088
2015-03-27,0.088,0.088,0.087,0.087,394600,0.087
2015-03-30,0.088,0.088,0.085,0.085,216400,0.085
2015-03-31,0.085,0.086,0.084,0.085,1536500,0.085
2015-04-01,0.085,0.085,0.085,0.085,45500,0.085
2015-04-02,0.085,0.085,0.085,0.085,15400,0.085
2015-04-03,0.085,0.085,0.085,0.085,000,0.085
2015-04-06,0.085,0.085,0.085,0.085,000,0.085
2015-04-07,0.085,0.085,0.083,0.083,203400,0.083
2015-04-08,0.083,0.085,0.083,0.084,134300,0.084
2015-04-09,0.083,0.085,0.083,0.085,224900,0.085
2015-04-10,0.085,0.086,0.084,0.084,320200,0.084
2015-04-13,0.089,0.089,0.087,0.087,75500,0.087
2015-04-14,0.087,0.0875,0.085,0.086,66800,0.086
2015-04-15,0.086,0.087,0.084,0.085,71200,0.085
2015-04-16,0.084,0.086,0.084,0.086,155900,0.086
2015-04-17,0.084,0.085,0.084,0.0845,448400,0.0845
2015-04-20,0.085,0.085,0.084,0.084,261500,0.084
2015-04-21,0.084,0.084,0.084,0.084,1000,0.084
2015-04-22,0.085,0.0855,0.085,0.085,121100,0.085
2015-04-23,0.086,0.086,0.085,0.085,479500,0.085
2015-04-24,0.086,0.086,0.085,0.086,659900,0.086
2015-04-27,0.087,0.089,0.085,0.086,1223300,0.086
2015-04-28,0.085,0.086,0.084,0.086,409700,0.086
2015-04-29,0.084,0.086,0.084,0.084,107000,0.084
2015-04-30,0.085,0.094,0.085,0.094,1284100,0.094
2015-05-01,0.094,0.12,0.094,0.11,946600,0.11
2015-05-04,0.13,0.135,0.12,0.125,606700,0.125
2015-05-05,0.125,0.135,0.12,0.135,1384600,0.135
2015-05-06,0.135,0.14,0.125,0.125,502900,0.125
2015-05-07,0.125,0.125,0.10,0.10,575700,0.10
2015-05-08,0.10,0.115,0.10,0.115,240200,0.115
2015-05-11,0.115,0.12,0.11,0.12,292900,0.12
2015-05-12,0.115,0.115,0.11,0.11,89200,0.11
2015-05-13,0.115,0.125,0.115,0.115,197700,0.115
2015-05-14,0.12,0.12,0.12,0.12,123400,0.12
2015-05-15,0.12,0.12,0.115,0.115,209800,0.115
2015-05-18,0.115,0.115,0.115,0.115,43200,0.115
2015-05-19,0.115,0.115,0.115,0.115,102300,0.115
2015-05-20,0.11,0.11,0.10,0.10,296600,0.10
2015-05-21,0.10,0.105,0.10,0.105,124500,0.105
2015-05-22,0.105,0.11,0.105,0.105,482800,0.105
2015-05-25,0.115,0.175,0.115,0.12,1840800,0.12
2015-05-26,0.125,0.13,0.12,0.12,422800,0.12
2015-05-27,0.125,0.125,0.11,0.12,401100,0.12
2015-05-28,0.12,0.12,0.115,0.12,118400,0.12
2015-05-29,0.12,0.125,0.115,0.12,310700,0.12
2015-06-01,0.125,0.125,0.125,0.125,59200,0.125
2015-06-02,0.12,0.12,0.115,0.12,272900,0.12
2015-06-03,0.12,0.125,0.12,0.125,471700,0.125
2015-06-04,0.13,0.135,0.125,0.13,461200,0.13
2015-06-05,0.125,0.125,0.125,0.125,24500,0.125
2015-06-08,0.125,0.125,0.125,0.125,000,0.125
2015-06-09,0.12,0.13,0.115,0.12,324100,0.12
2015-06-10,0.115,0.115,0.115,0.115,288100,0.115
2015-06-11,0.115,0.115,0.115,0.115,351900,0.115
2015-06-12,0.115,0.115,0.10,0.10,1061200,0.10
2015-06-15,0.10,0.11,0.10,0.105,204000,0.105
2015-06-16,0.105,0.115,0.105,0.105,289700,0.105
2015-06-17,0.105,0.11,0.10,0.10,107100,0.10
2015-06-18,0.105,0.105,0.10,0.10,140700,0.10
2015-06-19,0.10,0.10,0.10,0.10,638100,0.10
2015-06-22,0.10,0.10,0.10,0.10,207600,0.10
2015-06-23,0.10,0.10,0.10,0.10,34800,0.10
2015-06-24,0.10,0.105,0.099,0.105,176200,0.105
2015-06-25,0.10,0.10,0.10,0.10,89300,0.10
2015-06-26,0.10,0.10,0.10,0.10,116100,0.10
2015-06-29,0.10,0.10,0.099,0.099,76000,0.099
2015-06-30,0.099,0.105,0.099,0.105,74100,0.105
2015-07-01,0.105,0.11,0.105,0.11,69200,0.11
2015-07-02,0.105,0.11,0.105,0.11,188600,0.11
2015-07-03,0.11,0.11,0.10,0.10,18000,0.10
2015-07-06,0.10,0.10,0.10,0.10,3800,0.10
2015-07-07,0.10,0.10,0.10,0.10,55600,0.10
2015-07-08,0.10,0.10,0.098,0.098,203500,0.098
2015-07-09,0.098,0.098,0.098,0.098,4600,0.098
2015-07-10,0.098,0.10,0.098,0.10,123900,0.10
2015-07-13,0.10,0.10,0.10,0.10,000,0.10
2015-07-14,0.098,0.105,0.098,0.105,33700,0.105
2015-07-15,0.10,0.10,0.10,0.10,52500,0.10
