Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.50,3.50,3.50,3.50,000,3.228
2015-01-02,3.51,3.57,3.50,3.53,3536200,3.256
2015-01-05,3.52,3.58,3.51,3.57,5739400,3.293
2015-01-06,3.54,3.57,3.465,3.49,15507800,3.219
2015-01-07,3.51,3.58,3.49,3.58,12713700,3.302
2015-01-08,3.59,3.61,3.55,3.61,9069200,3.33
2015-01-09,3.64,3.67,3.60,3.65,7845000,3.367
2015-01-12,3.66,3.68,3.62,3.67,7559100,3.385
2015-01-13,3.64,3.70,3.635,3.67,10317900,3.385
2015-01-14,3.67,3.70,3.645,3.69,12848100,3.404
2015-01-15,3.70,3.74,3.685,3.71,18906200,3.422
2015-01-16,3.71,3.75,3.70,3.75,19137400,3.459
2015-01-19,3.77,3.77,3.67,3.70,9873100,3.413
2015-01-20,3.66,3.69,3.63,3.64,10556800,3.357
2015-01-21,3.68,3.76,3.675,3.76,9844200,3.468
2015-01-22,3.75,3.77,3.71,3.71,14288500,3.422
2015-01-23,3.79,3.875,3.76,3.86,16058300,3.56
2015-01-26,3.86,3.86,3.86,3.86,000,3.56
2015-01-27,3.85,3.90,3.84,3.89,12113000,3.588
2015-01-28,3.85,3.90,3.83,3.83,9757500,3.533
2015-01-29,3.80,3.88,3.79,3.85,8912400,3.551
2015-01-30,3.90,3.92,3.80,3.80,23324900,3.505
2015-02-02,3.85,3.93,3.85,3.85,9775000,3.551
2015-02-03,3.84,3.91,3.78,3.88,19188700,3.579
2015-02-04,3.97,3.97,3.88,3.92,17597700,3.616
2015-02-05,3.93,3.99,3.91,3.94,13946900,3.634
2015-02-06,3.92,3.98,3.88,3.95,7497300,3.643
2015-02-09,3.90,3.95,3.86,3.95,8115200,3.643
2015-02-10,3.94,3.97,3.89,3.96,11398100,3.653
2015-02-11,3.89,3.95,3.875,3.88,12077800,3.685
2015-02-12,3.93,3.94,3.86,3.86,16192000,3.666
2015-02-13,3.90,3.93,3.85,3.86,11683400,3.666
2015-02-16,3.82,3.84,3.77,3.79,10748000,3.60
2015-02-17,3.75,3.78,3.71,3.78,10572100,3.59
2015-02-18,3.80,3.84,3.72,3.80,11536200,3.609
2015-02-19,3.80,3.81,3.75,3.78,11494700,3.59
2015-02-20,3.78,3.80,3.73,3.74,15234400,3.552
2015-02-23,3.73,3.80,3.71,3.79,12822700,3.60
2015-02-24,3.81,3.83,3.76,3.77,11881700,3.581
2015-02-25,3.77,3.89,3.77,3.87,19487800,3.676
2015-02-26,3.83,3.88,3.83,3.85,17825300,3.657
2015-02-27,3.88,3.89,3.84,3.86,14547600,3.666
2015-03-02,3.85,3.935,3.85,3.90,13805800,3.704
2015-03-03,3.98,4.00,3.885,3.93,13938600,3.733
2015-03-04,3.96,3.96,3.89,3.91,6271200,3.714
2015-03-05,3.91,3.93,3.84,3.93,23594500,3.733
2015-03-06,3.94,3.94,3.88,3.93,7461600,3.733
2015-03-09,3.85,3.86,3.775,3.79,12298400,3.60
2015-03-10,3.78,3.84,3.74,3.82,20669500,3.628
2015-03-11,3.80,3.89,3.79,3.87,13160400,3.676
2015-03-12,3.89,3.93,3.86,3.92,7881500,3.723
2015-03-13,3.92,3.93,3.88,3.91,9900200,3.714
2015-03-16,3.85,3.87,3.82,3.86,10551900,3.666
2015-03-17,3.88,3.90,3.82,3.82,12973000,3.628
2015-03-18,3.78,3.815,3.75,3.79,17370100,3.60
2015-03-19,3.81,3.88,3.81,3.88,28933000,3.685
2015-03-20,3.88,3.93,3.85,3.93,33470800,3.733
2015-03-23,3.90,3.93,3.85,3.90,7021900,3.704
2015-03-24,3.88,3.97,3.86,3.94,10465400,3.742
2015-03-25,3.98,3.98,3.895,3.90,14033500,3.704
2015-03-26,3.85,3.875,3.81,3.82,21164000,3.628
2015-03-27,3.80,3.895,3.79,3.85,13075000,3.657
2015-03-30,3.81,3.85,3.765,3.78,15906700,3.59
2015-03-31,3.79,3.84,3.74,3.74,27259600,3.552
2015-04-01,3.71,3.75,3.66,3.74,25937900,3.552
2015-04-02,3.73,3.78,3.715,3.74,18778200,3.552
2015-04-03,3.74,3.74,3.74,3.74,000,3.552
2015-04-06,3.74,3.74,3.74,3.74,000,3.552
2015-04-07,3.78,3.79,3.72,3.74,11863000,3.552
2015-04-08,3.74,3.81,3.72,3.80,16311200,3.609
2015-04-09,3.78,3.81,3.77,3.81,12201400,3.619
2015-04-10,3.80,3.88,3.785,3.87,9550500,3.676
2015-04-13,3.88,3.93,3.87,3.88,13219400,3.685
2015-04-14,3.90,3.905,3.84,3.87,10230600,3.676
2015-04-15,3.86,3.87,3.77,3.81,17482000,3.619
2015-04-16,3.83,3.87,3.795,3.80,12339300,3.609
2015-04-17,3.79,3.795,3.72,3.75,9685000,3.562
2015-04-20,3.69,3.75,3.66,3.74,8814800,3.552
2015-04-21,3.78,3.79,3.71,3.75,8139400,3.562
2015-04-22,3.78,3.78,3.72,3.74,9424800,3.552
2015-04-23,3.73,3.78,3.70,3.76,7551800,3.571
2015-04-24,3.76,3.84,3.74,3.80,7784500,3.609
2015-04-27,3.85,3.89,3.83,3.85,8756100,3.657
2015-04-28,3.83,3.86,3.80,3.84,7142700,3.647
2015-04-29,3.81,3.835,3.755,3.76,10317700,3.571
2015-04-30,3.71,3.78,3.67,3.74,11232700,3.552
2015-05-01,3.71,3.75,3.68,3.72,8782600,3.533
2015-05-04,3.74,3.79,3.73,3.75,6169400,3.562
2015-05-05,3.83,3.865,3.775,3.81,13650700,3.619
2015-05-06,3.75,3.78,3.74,3.76,15609500,3.571
2015-05-07,3.75,3.80,3.68,3.69,17059300,3.505
2015-05-08,3.75,3.82,3.75,3.78,12435700,3.59
2015-05-11,3.80,3.85,3.80,3.82,10032300,3.628
2015-05-12,3.81,3.82,3.74,3.81,14833900,3.619
2015-05-13,3.83,3.87,3.81,3.87,11358500,3.676
2015-05-14,3.82,3.85,3.805,3.84,8025200,3.647
2015-05-15,3.89,3.92,3.84,3.92,10371400,3.723
2015-05-18,3.90,3.96,3.89,3.92,19221100,3.723
2015-05-19,3.92,3.95,3.86,3.88,17123900,3.685
2015-05-20,3.88,3.93,3.87,3.91,11388300,3.714
2015-05-21,3.90,3.91,3.87,3.89,21193300,3.695
2015-05-22,3.90,3.955,3.88,3.95,14186700,3.752
2015-05-25,3.94,3.97,3.91,3.94,6231000,3.742
2015-05-26,3.95,3.98,3.92,3.98,14396600,3.78
2015-05-27,3.94,3.98,3.905,3.96,14510800,3.761
2015-05-28,3.96,3.97,3.905,3.93,12877900,3.733
2015-05-29,3.89,3.97,3.89,3.95,25593500,3.752
2015-06-01,3.91,3.99,3.89,3.98,8485700,3.78
2015-06-02,3.98,3.98,3.89,3.89,14016600,3.695
2015-06-03,3.87,3.92,3.81,3.88,15227400,3.685
2015-06-04,3.88,3.89,3.80,3.80,21846300,3.609
2015-06-05,3.77,3.85,3.77,3.85,14562600,3.657
2015-06-08,3.85,3.85,3.85,3.85,000,3.657
2015-06-09,3.84,3.91,3.83,3.88,18432100,3.685
2015-06-10,3.87,3.90,3.85,3.87,23205900,3.676
2015-06-11,3.88,3.89,3.83,3.84,14715300,3.647
2015-06-12,3.81,3.88,3.81,3.84,14488900,3.647
2015-06-15,3.80,3.86,3.80,3.86,14361600,3.666
2015-06-16,3.84,3.91,3.82,3.82,18983300,3.628
2015-06-17,3.86,3.87,3.82,3.84,19178400,3.647
2015-06-18,3.78,3.82,3.74,3.80,29338300,3.609
2015-06-19,3.89,3.94,3.85,3.89,24576500,3.695
2015-06-22,3.88,3.985,3.88,3.95,15714800,3.752
2015-06-23,4.00,4.05,3.985,4.01,21373100,3.809
2015-06-24,4.00,4.01,3.925,3.95,16057400,3.752
2015-06-25,3.95,3.95,3.84,3.87,21763000,3.676
2015-06-26,3.82,3.86,3.765,3.85,21041000,3.657
2015-06-29,3.81,3.83,3.74,3.76,15169700,3.571
2015-06-30,3.71,3.775,3.70,3.75,29587300,3.562
2015-07-01,3.79,3.81,3.72,3.80,18629800,3.609
2015-07-02,3.81,3.84,3.765,3.81,16464900,3.619
2015-07-03,3.78,3.79,3.74,3.79,10863200,3.60
2015-07-06,3.74,3.77,3.71,3.77,10920400,3.581
2015-07-07,3.80,3.86,3.80,3.84,10950900,3.647
2015-07-08,3.80,3.88,3.79,3.87,14495000,3.676
2015-07-09,3.84,3.88,3.805,3.87,10624300,3.676
2015-07-10,3.90,3.90,3.81,3.81,10690200,3.619
2015-07-13,3.80,3.87,3.80,3.80,9211600,3.609
2015-07-14,3.87,3.89,3.835,3.85,12301000,3.657
2015-07-15,3.86,3.90,3.85,3.87,10507500,3.676
2015-07-16,3.88,3.925,3.86,3.90,17697400,3.704
2015-07-17,3.90,3.92,3.87,3.90,6459300,3.704
2015-07-20,3.90,3.91,3.84,3.86,11147900,3.666
2015-07-21,3.88,3.95,3.86,3.93,7729000,3.733
2015-07-22,3.91,3.93,3.87,3.91,17236500,3.714
2015-07-23,3.87,3.90,3.85,3.87,15152700,3.676
2015-07-24,3.85,3.91,3.82,3.84,12299400,3.647
