Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.19,0.19,0.19,0.19,000,0.19
2015-01-02,0.185,0.19,0.18,0.19,322000,0.19
2015-01-05,0.185,0.185,0.18,0.185,1112300,0.185
2015-01-06,0.175,0.185,0.175,0.185,792300,0.185
2015-01-07,0.18,0.185,0.175,0.185,547100,0.185
2015-01-08,0.18,0.18,0.175,0.175,865200,0.175
2015-01-09,0.18,0.18,0.17,0.175,785300,0.175
2015-01-12,0.17,0.18,0.17,0.175,674800,0.175
2015-01-13,0.17,0.175,0.17,0.175,1155100,0.175
2015-01-14,0.175,0.175,0.165,0.175,1469000,0.175
2015-01-15,0.175,0.175,0.165,0.17,886200,0.17
2015-01-16,0.165,0.175,0.165,0.175,1668100,0.175
2015-01-19,0.175,0.18,0.167,0.175,1981900,0.175
2015-01-20,0.17,0.1725,0.165,0.165,789800,0.165
2015-01-21,0.165,0.17,0.165,0.165,285800,0.165
2015-01-22,0.165,0.175,0.165,0.17,2320200,0.17
2015-01-23,0.17,0.17,0.16,0.16,1054800,0.16
2015-01-26,0.16,0.16,0.16,0.16,000,0.16
2015-01-27,0.16,0.16,0.145,0.145,1781200,0.145
2015-01-28,0.15,0.15,0.125,0.135,8962100,0.135
2015-01-29,0.135,0.16,0.135,0.15,5302800,0.15
2015-01-30,0.155,0.155,0.135,0.135,6223500,0.135
2015-02-02,0.145,0.155,0.145,0.15,1331700,0.15
2015-02-03,0.155,0.17,0.155,0.165,5796100,0.165
2015-02-04,0.165,0.17,0.162,0.165,3277800,0.165
2015-02-05,0.17,0.17,0.165,0.17,1931600,0.17
2015-02-06,0.175,0.18,0.175,0.18,2917200,0.18
2015-02-09,0.18,0.18,0.17,0.175,2234800,0.175
2015-02-10,0.175,0.175,0.17,0.17,1552800,0.17
2015-02-11,0.17,0.177,0.17,0.175,320900,0.175
2015-02-12,0.175,0.18,0.17,0.175,3114800,0.175
2015-02-13,0.18,0.18,0.175,0.175,2980800,0.175
2015-02-16,0.18,0.18,0.17,0.17,980600,0.17
2015-02-17,0.17,0.175,0.17,0.175,347400,0.175
2015-02-18,0.175,0.18,0.17,0.175,1031300,0.175
2015-02-19,0.175,0.18,0.175,0.18,688800,0.18
2015-02-20,0.18,0.195,0.18,0.19,2670700,0.19
2015-02-23,0.19,0.195,0.19,0.195,2275100,0.195
2015-02-24,0.195,0.205,0.195,0.20,5476900,0.20
2015-02-25,0.205,0.207,0.20,0.205,2152500,0.205
2015-02-26,0.205,0.215,0.205,0.215,5072700,0.215
2015-02-27,0.215,0.215,0.20,0.20,11330500,0.20
2015-03-02,0.20,0.20,0.19,0.19,3397000,0.19
2015-03-03,0.21,0.21,0.195,0.20,6001100,0.20
2015-03-04,0.205,0.205,0.195,0.195,1326900,0.195
2015-03-05,0.20,0.20,0.195,0.195,3001900,0.195
2015-03-06,0.20,0.20,0.195,0.20,1025100,0.20
2015-03-09,0.195,0.195,0.19,0.19,1221200,0.19
2015-03-10,0.195,0.20,0.19,0.19,3704000,0.19
2015-03-11,0.19,0.195,0.19,0.195,212200,0.195
2015-03-12,0.19,0.195,0.19,0.19,610600,0.19
2015-03-13,0.195,0.20,0.19,0.195,880300,0.195
2015-03-16,0.195,0.20,0.195,0.20,2153900,0.20
2015-03-17,0.20,0.20,0.195,0.20,1829100,0.20
2015-03-18,0.195,0.1975,0.195,0.195,1210600,0.195
2015-03-19,0.195,0.20,0.19,0.195,5066300,0.195
2015-03-20,0.195,0.195,0.19,0.19,3361800,0.19
2015-03-23,0.192,0.195,0.19,0.195,810600,0.195
2015-03-24,0.195,0.195,0.19,0.195,989700,0.195
2015-03-25,0.195,0.195,0.19,0.19,1305600,0.19
2015-03-26,0.192,0.195,0.19,0.195,784900,0.195
2015-03-27,0.195,0.195,0.19,0.195,1450600,0.195
