Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,17.27,17.27,17.27,17.27,000,16.335
2015-01-02,17.29,17.56,17.14,17.50,304300,16.553
2015-01-05,17.39,17.57,17.38,17.53,494500,16.581
2015-01-06,17.40,17.53,17.28,17.44,823200,16.496
2015-01-07,17.23,17.38,17.14,17.30,585400,16.364
2015-01-08,17.22,17.45,17.07,17.36,648300,16.42
2015-01-09,17.48,17.70,17.38,17.70,814100,16.742
2015-01-12,17.42,17.605,17.24,17.29,803300,16.354
2015-01-13,17.07,17.33,17.07,17.15,778500,16.222
2015-01-14,17.04,17.12,16.85,16.90,772700,15.985
2015-01-15,16.79,16.88,16.54,16.87,764300,15.957
2015-01-16,16.61,16.68,16.20,16.38,1467100,15.493
2015-01-19,16.57,16.86,16.52,16.83,1049600,15.919
2015-01-20,16.73,16.79,16.58,16.67,668000,15.768
2015-01-21,16.67,17.13,16.60,17.13,747700,16.203
2015-01-22,17.14,17.17,16.93,17.06,746800,16.137
2015-01-23,17.22,17.32,17.12,17.23,679900,16.297
2015-01-26,17.23,17.23,17.23,17.23,000,16.297
2015-01-27,17.28,17.75,17.27,17.71,1507800,16.751
2015-01-28,17.39,17.76,17.39,17.58,705200,16.629
2015-01-29,17.55,17.89,17.52,17.77,726400,16.808
2015-01-30,17.98,18.14,17.85,17.85,1270200,16.884
2015-02-02,17.91,18.07,17.85,17.93,716200,16.96
2015-02-03,17.97,18.19,17.87,18.13,795600,17.149
2015-02-04,18.25,18.27,17.99,18.14,628900,17.158
2015-02-05,18.24,18.45,17.56,17.70,1879800,16.742
2015-02-06,17.93,18.09,17.68,17.70,1090200,16.742
2015-02-09,17.75,18.15,17.75,17.99,442700,17.016
2015-02-10,18.13,18.15,17.88,18.00,666700,17.026
2015-02-11,18.46,18.46,18.03,18.06,679000,17.083
2015-02-12,18.11,18.34,18.05,18.07,1444400,17.092
2015-02-13,18.10,18.67,18.10,18.54,1121700,17.537
2015-02-16,18.99,18.99,18.61,18.73,767700,17.716
2015-02-17,17.00,17.51,16.56,17.10,8332000,16.174
2015-02-18,17.35,17.76,17.05,17.56,3213100,16.61
2015-02-19,17.64,17.77,17.48,17.60,1576400,16.647
2015-02-20,17.70,17.75,17.21,17.36,1223100,16.42
2015-02-23,17.43,17.57,17.31,17.52,734100,16.572
2015-02-24,17.55,17.62,17.305,17.37,1244100,16.43
2015-02-25,17.37,17.46,17.21,17.41,1182200,16.468
2015-02-26,17.30,17.40,17.15,17.30,1029100,16.364
2015-02-27,17.43,17.43,17.27,17.29,1184700,16.354
2015-03-02,17.35,17.37,17.28,17.32,1356100,16.383
2015-03-03,17.40,17.49,17.26,17.33,1291700,16.392
2015-03-04,17.44,17.44,17.28,17.32,1130600,16.383
2015-03-05,17.32,17.36,17.21,17.33,1036900,16.392
2015-03-06,17.35,17.42,17.27,17.36,718300,16.42
2015-03-09,17.31,17.34,17.11,17.21,578000,16.279
2015-03-10,17.24,17.28,17.10,17.21,882300,16.279
2015-03-11,17.11,17.32,17.01,17.18,1143400,16.25
2015-03-12,17.24,17.83,17.22,17.74,2406000,16.78
2015-03-13,17.83,18.00,17.65,17.75,2067600,16.789
2015-03-16,17.60,17.75,17.55,17.58,1332500,16.629
2015-03-17,17.83,17.885,17.36,17.43,1396900,16.487
2015-03-18,17.32,17.49,17.26,17.47,1520500,16.524
2015-03-19,17.53,17.84,17.53,17.72,2047200,16.761
2015-03-20,17.69,17.92,17.68,17.85,3606400,16.884
2015-03-23,17.85,17.94,17.75,17.86,1279600,16.893
2015-03-24,17.75,18.02,17.74,17.95,1407600,16.978
2015-03-25,17.95,17.97,17.635,17.67,1241300,16.714
2015-03-26,17.53,17.60,17.27,17.42,1620600,16.477
2015-03-27,17.29,17.41,17.14,17.29,1779100,16.613
2015-03-30,16.99,17.06,16.53,16.95,1947700,16.286
2015-03-31,17.16,17.215,17.00,17.12,2479100,16.45
2015-04-01,17.10,17.18,16.71,16.74,1790400,16.085
2015-04-02,17.00,17.08,16.79,16.95,1286400,16.286
2015-04-03,16.95,16.95,16.95,16.95,000,16.286
2015-04-06,16.95,16.95,16.95,16.95,000,16.286
2015-04-07,17.08,17.145,16.77,16.84,983900,16.181
2015-04-08,17.00,17.09,16.87,16.92,1375800,16.258
2015-04-09,16.98,17.03,16.89,16.98,1622900,16.315
2015-04-10,17.01,17.07,16.905,17.01,1743900,16.344
2015-04-13,17.09,17.15,16.83,16.87,1117400,16.21
2015-04-14,16.82,16.83,16.64,16.80,1524900,16.142
2015-04-15,16.70,16.94,16.66,16.92,1606400,16.258
2015-04-16,17.00,17.13,16.94,17.08,1536400,16.411
2015-04-17,17.04,17.07,16.77,16.79,1390900,16.133
2015-04-20,16.69,16.69,16.44,16.49,1616600,15.844
2015-04-21,16.57,16.60,16.41,16.48,1398800,15.835
2015-04-22,16.55,16.55,16.24,16.44,1838700,15.796
2015-04-23,16.38,16.46,16.25,16.41,1576300,15.768
2015-04-24,16.60,16.83,16.52,16.80,1433000,16.142
2015-04-27,16.77,16.85,16.71,16.80,1068400,16.142
2015-04-28,16.84,16.90,16.77,16.86,1002100,16.20
2015-04-29,16.84,16.88,16.46,16.48,1092000,15.835
2015-04-30,16.31,16.34,16.07,16.25,1271800,15.614
2015-05-01,16.20,16.27,16.04,16.25,782100,15.614
2015-05-04,16.15,16.39,16.11,16.28,1893500,15.643
2015-05-05,16.48,16.55,16.16,16.20,1324400,15.566
2015-05-06,16.05,16.10,15.77,15.96,1698800,15.335
2015-05-07,15.76,15.89,15.65,15.74,1385700,15.124
2015-05-08,15.87,15.92,15.67,15.69,925800,15.076
2015-05-11,15.89,15.90,15.58,15.58,1344500,14.97
2015-05-12,15.60,15.965,15.57,15.93,1355600,15.306
2015-05-13,15.81,16.08,15.75,16.06,1177100,15.431
2015-05-14,15.86,15.97,15.70,15.85,1171000,15.229
2015-05-15,16.10,16.20,16.02,16.06,901100,15.431
2015-05-18,16.05,16.13,15.87,15.89,843300,15.268
2015-05-19,15.88,16.015,15.76,15.85,1102800,15.229
2015-05-20,16.01,16.25,15.995,16.21,1137800,15.575
2015-05-21,16.39,16.65,16.37,16.60,1644700,15.95
2015-05-22,16.60,16.73,16.51,16.68,1604300,16.027
2015-05-25,16.80,16.85,16.69,16.74,688600,16.085
