Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.054,0.054,0.054,0.054,000,0.054
2015-01-02,0.054,0.055,0.054,0.054,574000,0.054
2015-01-05,0.054,0.054,0.053,0.053,350000,0.053
2015-01-06,0.051,0.052,0.051,0.052,90000,0.052
2015-01-07,0.051,0.055,0.051,0.055,365000,0.055
2015-01-08,0.055,0.055,0.053,0.053,180000,0.053
2015-01-09,0.052,0.054,0.052,0.054,279300,0.054
2015-01-12,0.054,0.055,0.054,0.054,218600,0.054
2015-01-13,0.054,0.055,0.054,0.054,171600,0.054
2015-01-14,0.054,0.056,0.054,0.056,498300,0.056
2015-01-15,0.055,0.055,0.055,0.055,449900,0.055
2015-01-16,0.055,0.055,0.054,0.055,479000,0.055
2015-01-19,0.055,0.055,0.054,0.054,403800,0.054
2015-01-20,0.055,0.055,0.055,0.055,465300,0.055
2015-01-21,0.062,0.08,0.06,0.08,44531000,0.08
2015-01-22,0.076,0.078,0.07,0.071,22156600,0.071
2015-01-23,0.071,0.078,0.068,0.076,11753500,0.076
2015-01-26,0.076,0.076,0.076,0.076,000,0.076
2015-01-27,0.074,0.082,0.072,0.072,28401700,0.072
2015-01-28,0.072,0.076,0.07,0.073,4812200,0.073
2015-01-29,0.074,0.078,0.074,0.077,3750400,0.077
2015-01-30,0.078,0.081,0.074,0.075,9550100,0.075
2015-02-02,0.075,0.076,0.072,0.072,1191600,0.072
2015-02-03,0.072,0.081,0.072,0.08,5406800,0.08
2015-02-04,0.078,0.086,0.074,0.074,19108700,0.074
2015-02-05,0.075,0.079,0.073,0.078,4043000,0.078
2015-02-06,0.081,0.082,0.076,0.077,5944700,0.077
2015-02-09,0.078,0.079,0.077,0.078,1074200,0.078
2015-02-10,0.077,0.084,0.077,0.084,11192600,0.084
2015-02-11,0.084,0.094,0.081,0.093,18111600,0.093
2015-02-12,0.094,0.098,0.089,0.089,12709800,0.089
2015-02-13,0.091,0.094,0.086,0.09,4562200,0.09
2015-02-16,0.091,0.093,0.088,0.092,2499800,0.092
2015-02-17,0.093,0.095,0.09,0.091,3148000,0.091
2015-02-18,0.092,0.092,0.09,0.092,1070200,0.092
2015-02-19,0.093,0.10,0.092,0.099,9371200,0.099
2015-02-20,0.10,0.105,0.095,0.095,8454700,0.095
2015-02-23,0.097,0.099,0.095,0.096,3771600,0.096
2015-02-24,0.097,0.102,0.097,0.098,3151800,0.098
2015-02-25,0.10,0.105,0.086,0.089,14290500,0.089
2015-02-26,0.089,0.093,0.086,0.087,4516000,0.087
2015-02-27,0.086,0.088,0.083,0.087,2238100,0.087
2015-03-02,0.087,0.087,0.084,0.085,1346100,0.085
2015-03-03,0.084,0.085,0.08,0.082,2676900,0.082
2015-03-04,0.082,0.083,0.082,0.083,365300,0.083
2015-03-05,0.085,0.095,0.085,0.094,5255400,0.094
2015-03-06,0.094,0.097,0.092,0.092,2680200,0.092
2015-03-09,0.093,0.095,0.093,0.093,1841000,0.093
2015-03-10,0.093,0.094,0.091,0.094,1498400,0.094
2015-03-11,0.093,0.096,0.091,0.096,1318700,0.096
2015-03-12,0.099,0.105,0.097,0.105,8666900,0.105
2015-03-13,0.105,0.11,0.105,0.11,3103900,0.11
2015-03-16,0.11,0.11,0.10,0.10,3780100,0.10
2015-03-17,0.10,0.105,0.099,0.105,2938100,0.105
2015-03-18,0.105,0.105,0.102,0.102,542600,0.102
2015-03-19,0.105,0.105,0.099,0.099,1786300,0.099
2015-03-20,0.099,0.10,0.095,0.096,2171300,0.096
2015-03-23,0.097,0.10,0.097,0.098,1884800,0.098
2015-03-24,0.098,0.099,0.096,0.097,794000,0.097
2015-03-25,0.098,0.105,0.098,0.10,1384000,0.10
2015-03-26,0.10,0.10,0.099,0.10,2201100,0.10
2015-03-27,0.10,0.10,0.099,0.10,415200,0.10
2015-03-30,0.10,0.10,0.099,0.099,908200,0.099
2015-03-31,0.10,0.10,0.10,0.10,356700,0.10
2015-04-01,0.10,0.105,0.10,0.105,1877300,0.105
2015-04-02,0.105,0.105,0.10,0.10,1625700,0.10
2015-04-03,0.10,0.10,0.10,0.10,000,0.10
2015-04-06,0.10,0.10,0.10,0.10,000,0.10
2015-04-07,0.10,0.105,0.10,0.10,1159200,0.10
2015-04-08,0.10,0.10,0.096,0.096,4915400,0.096
2015-04-09,0.096,0.096,0.091,0.091,3354100,0.091
2015-04-10,0.09,0.095,0.09,0.093,2151800,0.093
2015-04-13,0.094,0.097,0.093,0.093,1222700,0.093
2015-04-14,0.093,0.105,0.093,0.098,3452700,0.098
2015-04-15,0.10,0.105,0.099,0.10,969700,0.10
2015-04-16,0.099,0.099,0.096,0.096,1311600,0.096
2015-04-17,0.098,0.10,0.096,0.097,531200,0.097
2015-04-20,0.097,0.097,0.094,0.095,1452600,0.095
