Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,5.99989,5.99989,5.99989,5.99989,000,5.82686
2015-01-02,5.99989,6.04677,5.97177,5.99989,276900,5.82686
2015-01-05,5.98114,6.01864,5.97177,6.00927,516300,5.83597
2015-01-06,6.01864,6.03739,5.92489,5.97177,475000,5.79955
2015-01-07,5.95302,6.02802,5.90614,5.95302,468700,5.78134
2015-01-08,5.97177,6.15926,5.97177,6.00927,976800,5.83597
2015-01-09,6.13114,6.21551,6.08426,6.11239,841500,5.93611
2015-01-12,6.13114,6.15926,6.04677,6.06552,370900,5.89059
2015-01-13,6.07489,6.10301,5.99052,6.00927,527400,5.83597
2015-01-14,6.00927,6.10301,5.96239,5.98114,851100,5.80865
2015-01-15,5.96239,5.99989,5.86864,5.90614,953700,5.73581
2015-01-16,5.88739,5.90614,5.71865,5.80302,724600,5.63566
2015-01-19,5.86864,5.90614,5.81239,5.84052,591500,5.67208
2015-01-20,5.85927,5.85927,5.7749,5.7749,759900,5.60835
2015-01-21,5.80302,5.87802,5.78427,5.82177,668200,5.65387
2015-01-22,5.84989,5.84989,5.6999,5.71865,809100,5.55373
2015-01-23,5.81239,6.05145,5.75615,6.01864,1127600,5.84507
2015-01-26,6.01864,6.01864,6.01864,6.01864,000,5.84507
2015-01-27,6.01864,6.14051,5.98114,6.09364,557400,5.9179
2015-01-28,6.07489,6.11239,5.99989,6.02802,579400,5.85417
2015-01-29,5.93427,6.09364,5.92489,6.09364,550800,5.9179
2015-01-30,6.14051,6.28114,6.03739,6.22489,881200,6.04537
2015-02-02,6.24364,6.37488,6.23426,6.23426,1504300,6.05447
2015-02-03,6.23426,6.30926,6.13114,6.21551,968400,6.03626
2015-02-04,6.31864,6.33739,6.15926,6.22489,658800,6.04537
2015-02-05,6.25301,6.30926,6.20614,6.29051,935400,6.10909
2015-02-06,6.31864,6.32801,6.14051,6.18739,506000,6.00895
2015-02-09,6.19676,6.22489,6.12176,6.19676,750800,6.01805
2015-02-10,6.45926,6.78738,6.28114,6.73113,3054800,6.53701
2015-02-11,6.95612,7.19987,6.89987,7.05925,4145800,6.85566
2015-02-12,7.21862,7.37799,7.04987,7.078,2430300,6.87387
2015-02-13,7.1155,7.25612,7.10143,7.21862,1446700,7.01044
2015-02-16,7.25612,7.36862,7.19987,7.29362,1333300,7.08328
2015-02-17,7.27487,7.27487,7.153,7.21862,656300,7.01044
2015-02-18,7.20924,7.24674,7.13425,7.16237,964400,6.95581
2015-02-19,7.21862,7.21862,7.05925,7.06862,707800,6.86476
2015-02-20,7.04987,7.04987,6.88113,6.93737,847700,6.7373
2015-02-23,7.01237,7.06862,6.98425,7.0405,1452200,6.83746
2015-02-24,7.03112,7.04987,6.94675,7.02175,1621300,6.81925
2015-02-25,7.03112,7.13425,7.003,7.13425,1422700,6.9285
2015-02-26,7.17175,7.18112,6.99362,7.08737,913200,6.88297
2015-02-27,7.1155,7.1155,6.94675,7.02175,780500,6.81925
2015-03-02,7.0405,7.18112,7.0405,7.05925,543800,6.85566
2015-03-03,7.13425,7.17175,6.91862,7.003,623600,6.80104
2015-03-04,7.08737,7.08737,6.928,6.97487,536800,6.77372
2015-03-05,6.9655,6.9655,6.778,6.84363,686600,6.64626
2015-03-06,6.84363,6.95612,6.69363,6.853,1379800,6.65536
2015-03-09,6.853,6.928,6.83425,6.87175,494500,6.67357
2015-03-10,6.87175,6.928,6.75925,6.79675,992600,6.64035
2015-03-11,6.75925,6.87644,6.64675,6.82488,521200,6.66784
2015-03-12,6.8155,7.0405,6.79675,7.003,576900,6.84186
2015-03-13,7.01237,7.06862,6.95612,7.04987,686400,6.88765
2015-03-16,7.05925,7.10612,6.91862,6.95612,726100,6.79606
2015-03-17,7.03112,7.03112,6.22489,6.79675,2266100,6.64035
2015-03-18,6.778,6.93737,6.74988,6.928,820800,6.76858
2015-03-19,6.98425,7.0405,6.89987,7.01237,1146000,6.85101
2015-03-20,7.06862,7.19049,7.0405,7.18112,1168500,7.01588
2015-03-23,7.19987,7.22799,7.14362,7.14362,1753800,6.97924
2015-03-24,7.13425,7.17175,7.0405,7.153,697600,6.98841
2015-03-25,7.21862,7.21862,7.06862,7.09675,733000,6.93345
2015-03-26,7.20924,7.23737,6.94675,7.12487,1452800,6.96092
2015-03-27,6.98425,7.09675,6.95612,7.078,1145600,6.91513
2015-03-30,7.078,7.078,7.078,7.078,000,6.91513
2015-03-31,7.078,7.078,7.078,7.078,000,6.91513
2015-04-01,7.078,7.078,7.078,7.078,000,6.91513
2015-04-02,7.75,7.93,7.48,7.85,6704900,7.66937
2015-04-03,7.85,7.85,7.85,7.85,000,7.66937
2015-04-06,7.85,7.85,7.85,7.85,000,7.66937
2015-04-07,8.01,8.07,7.64,7.69,3207100,7.51305
2015-04-08,7.55,7.615,7.28,7.52,4704400,7.34696
2015-04-09,7.36,7.53,7.27,7.27,2284900,7.10271
2015-04-10,7.28,7.39,7.17,7.29,2653500,7.12225
2015-04-13,7.34,7.48,7.29,7.47,2143900,7.29811
2015-04-14,7.50,7.66,7.48,7.57,2931200,7.39581
2015-04-15,7.50,7.51,7.13,7.21,4657200,7.0441
2015-04-16,7.24,7.28,7.15,7.21,2894900,7.0441
2015-04-17,7.21,7.28,6.86,6.87,5660500,6.71192
2015-04-20,6.80,6.83,6.52,6.54,5808100,6.38951
2015-04-21,6.67,6.74,6.50,6.56,4257800,6.40905
2015-04-22,6.60,6.61,6.40,6.42,3347300,6.27227
2015-04-23,6.26,6.56,6.20,6.49,7978500,6.34066
2015-04-24,6.53,6.64,6.51,6.58,5693600,6.42859
2015-04-27,6.63,6.73,6.63,6.69,3756000,6.53606
2015-04-28,6.70,6.75,6.55,6.58,2675200,6.42859
2015-04-29,6.70,6.70,6.41,6.41,3173900,6.2625
2015-04-30,6.37,6.44,6.25,6.34,2564400,6.19411
2015-05-01,6.33,6.39,6.22,6.32,2437300,6.17457
2015-05-04,6.38,6.54,6.33,6.48,2511900,6.33089
2015-05-05,6.70,6.70,6.55,6.61,3097500,6.4579
2015-05-06,6.59,6.59,6.33,6.34,3236900,6.19411
2015-05-07,6.33,6.34,6.15,6.23,2745500,6.08665
2015-05-08,6.15,6.19,5.77,5.96,7003900,5.82286
2015-05-11,6.10,6.18,6.00,6.10,4594800,5.95964
2015-05-12,6.05,6.11,6.02,6.02,3309400,5.88148
2015-05-13,6.00,6.09,5.98,6.03,4440100,5.89125
2015-05-14,6.03,6.19,6.02,6.03,6859600,5.89125
2015-05-15,6.13,6.26,6.13,6.18,2896000,6.0378
2015-05-18,6.27,6.30,6.19,6.21,2377300,6.06711
2015-05-19,6.25,6.255,6.10,6.10,5629900,5.95964
2015-05-20,6.11,6.20,6.06,6.08,1934500,5.9401
2015-05-21,6.10,6.17,6.08,6.12,1861800,5.97918
2015-05-22,6.20,6.25,6.17,6.22,1781100,6.07688
2015-05-25,6.28,6.28,6.11,6.12,2826100,5.97918
2015-05-26,6.11,6.19,6.06,6.10,3729900,5.95964
2015-05-27,6.07,6.15,6.05,6.10,2907500,5.95964
2015-05-28,6.10,6.11,5.83,5.90,4189000,5.76424
2015-05-29,5.94,6.06,5.92,6.03,4740200,5.89125
2015-06-01,6.05,6.26,6.05,6.20,2686200,6.05734
2015-06-02,6.25,6.41,6.25,6.34,3532300,6.19411
2015-06-03,6.40,6.40,6.28,6.34,4216000,6.19411
2015-06-04,6.40,6.40,6.22,6.22,2642000,6.07688
2015-06-05,6.19,6.33,6.18,6.25,1977400,6.10619
2015-06-08,6.25,6.25,6.25,6.25,000,6.10619
2015-06-09,6.25,6.30,6.18,6.22,1884700,6.07688
2015-06-10,6.23,6.23,6.05,6.06,4471500,5.92056
2015-06-11,6.15,6.25,6.11,6.20,1973000,6.05734
2015-06-12,6.24,6.38,6.22,6.29,2221400,6.14526
2015-06-15,6.31,6.32,6.22,6.29,1602900,6.14526
2015-06-16,6.33,6.37,6.22,6.25,1602500,6.10619
2015-06-17,6.29,6.32,6.20,6.25,2040500,6.10619
2015-06-18,6.25,6.25,6.10,6.16,2423200,6.01826
2015-06-19,6.18,6.30,6.155,6.27,1960700,6.12572
2015-06-22,6.26,6.40,6.18,6.38,1483900,6.23319
2015-06-23,6.45,6.56,6.41,6.49,4168400,6.34066
2015-06-24,6.36,6.45,6.11,6.13,6259700,5.98895
2015-06-25,5.30,5.55,4.85,5.06,23834700,4.94357
2015-06-26,5.20,5.21,4.93,5.04,9285200,4.92403
2015-06-29,4.40,4.40,3.50,3.78,32221000,3.69302
2015-06-30,3.60,3.70,3.29,3.56,16918100,3.47808
2015-07-01,3.74,3.94,3.60,3.69,11728600,3.60509
2015-07-02,3.81,3.95,3.75,3.77,9508100,3.68325
2015-07-03,3.82,3.87,3.77,3.83,6802000,3.74187
2015-07-06,3.78,3.80,3.61,3.63,3587000,3.54647
2015-07-07,3.73,3.83,3.635,3.65,4409600,3.56601
2015-07-08,3.61,3.71,3.50,3.51,4174500,3.42923
2015-07-09,3.47,3.48,3.32,3.37,4711000,3.29245
2015-07-10,3.40,3.51,3.34,3.39,3132800,3.31199
2015-07-13,3.42,3.56,3.35,3.50,3560000,3.41946
2015-07-14,3.62,3.75,3.52,3.67,4390000,3.58555
2015-07-15,3.75,3.86,3.72,3.81,5308600,3.72233
2015-07-16,3.89,3.90,3.70,3.75,4278200,3.66371
2015-07-17,3.77,3.91,3.75,3.87,3799300,3.78095
2015-07-20,3.90,3.95,3.86,3.90,4166200,3.81026
2015-07-21,3.97,4.01,3.85,3.86,4522100,3.77118
2015-07-22,3.87,3.95,3.83,3.85,3004300,3.76141
2015-07-23,3.85,3.93,3.83,3.91,1885600,3.82003
2015-07-24,3.90,3.90,3.57,3.60,4933500,3.51716
2015-07-27,3.58,3.68,3.45,3.47,3106800,3.39015
2015-07-28,3.42,3.65,3.36,3.52,3759300,3.439
2015-07-29,3.61,3.67,3.53,3.55,2491500,3.46831
2015-07-30,3.57,3.59,3.46,3.46,2842300,3.38038
2015-07-31,3.52,3.52,3.40,3.42,3586900,3.3413
2015-08-03,3.46,3.50,3.43,3.46,1739100,3.38038
2015-08-04,3.48,3.52,3.35,3.38,2694600,3.30223
2015-08-05,3.39,3.42,3.21,3.27,4844300,3.19476
